nombre,nivel,turno,sstnmnt,domicil,ubicacn,colonia,alcaldi,longitud,latitud
CENDI PART SEDI LOMAS,INICIAL,MATUTINO,Particular,EXPLANADA NO. 305,"EXPLANADA NO. 305, LOMAS DE CHAPULTEPEC, MIGUEL HIDALGO",LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,-99.211154,19.4251542
ARMONIA INFANTIL,INICIAL,MATUTINO,Particular,AV. SINATEL No 38 MZ. 4 LT. 21,"AV. SINATEL No 38 MZ. 4 LT. 21, SINATEL AMPLIACION, IZTAPALAPA",SINATEL (AMPL),IZTAPALAPA,-99.1318013,19.3648281
CENDI PART. COLEGIO DE LAS BALEARES,INICIAL,TIEMPO COMPLETO,Particular,JOSEFA ORTIZ DE DOMINGUEZ NO 2,"JOSEFA ORTIZ DE DOMINGUEZ NO 2, TIZAPAN, ALVARO OBREGON",TIZAPAN_TIZAPAN SAN ANGEL,ALVARO OBREGON,-99.202637,19.3351668
"CENDI PART COLEGIO CIBELES, S.C.",INICIAL,MATUTINO,Particular,RIO GRIJALVA NUM 27,"RIO GRIJALVA NUM 27, CUAUHTEMOC, CUAUHTEMOC",CUAUHTEMOC,CUAUHTEMOC,-99.1701471,19.4336398
CENTRO DE DESARROLLO INFANTIL KINDERGARDEN,INICIAL,TIEMPO COMPLETO,Particular,CALLE 11 DE ENERO DE 1861 NO. 2114,"CALLE 11 DE ENERO DE 1861 NO. 2114, LEYES DE REFORMA, IZTAPALAPA",LEYES DE REFORMA 3A SECCION I,IZTAPALAPA,-99.0661015,19.3826355
DASHEEN S.C,INICIAL,TIEMPO COMPLETO,Particular,AV. ALFREDO ROBLES DOMINGUEZ NUM 115,"AV. ALFREDO ROBLES DOMINGUEZ NUM 115, INDUSTRIAL, GUSTAVO A. MADERO",INDUSTRIAL II,GUSTAVO A. MADERO,-99.1286238,19.4694276
CENDI PART CENTRO ECOLOGICO DE DESARROLLO INFANTIL,INICIAL,TIEMPO COMPLETO,Particular,BARRANCA DE PILARES NUM 24,"BARRANCA DE PILARES NUM 24, TLACOPAC, ALVARO OBREGON",FLOR DE MARIA,ALVARO OBREGON,-99.2025308,19.3544879
ESTANCIA INFANTIL ALKACINA,INICIAL,TIEMPO COMPLETO,Particular,JOSÉ DEL RÍO 171,"JOSÉ DEL RÍO 171, SANTA MARTHA ACATITLA, IZTAPALAPA",SANTA MARTHA ACATITLA,IZTAPALAPA,-99.0207062,19.3698434
INSTITUTO DE APOYO AL NIÑO,INICIAL,MATUTINO,Particular,CERRO TUERA NO. 7,"CERRO TUERA NO. 7, OXTOPULCO, COYOACAN",OXTOPULCO UNIVERSIDAD,COYOACAN,-99.1820653,19.3417768
GUARDERIA PARTICIPATIVA U-914,INICIAL,TIEMPO COMPLETO,Particular,AV. MICHOACAN NO. 20,"AV. MICHOACAN NO. 20, RENOVACION, IZTAPALAPA",RENOVACION,IZTAPALAPA,-99.0533139,19.3660906
LICEO MEXICANO JEAN PIAGET,INICIAL,TIEMPO COMPLETO,Particular,CALLE ESTIO NUM 61,"CALLE ESTIO NUM 61, ANGEL ZIMBRON, AZCAPOTZALCO",ANGEL ZIMBRON,AZCAPOTZALCO,-99.1903621,19.4660408
COLEGIO SAN AGUSTIN,INICIAL,TIEMPO COMPLETO,Particular,MUSSET NUM 218,"MUSSET NUM 218, POLANCO REFORMA, MIGUEL HIDALGO",POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,-99.196841,19.4351009
CENDI PART JARDIN ENCANTADO,INICIAL,TIEMPO COMPLETO,Particular,RIO BAMBA NUM 713 Y 713A,"RIO BAMBA NUM 713 Y 713A, LINDAVISTA, GUSTAVO A. MADERO",LINDAVISTA I,GUSTAVO A. MADERO,-99.1280401,19.4892334
COLEGIO CIBELES,INICIAL,MATUTINO,Particular,RIO GANGES NUM 81,"RIO GANGES NUM 81, CUAUHTEMOC, CUAUHTEMOC",CUAUHTEMOC,CUAUHTEMOC,-99.1721186,19.4274132
ESTANCIA INFANTIL PRIMAVERA,INICIAL,MATUTINO,Particular,LAGO MAYOR N¦ 186,"LAGO MAYOR N¦ 186, ANAHUAC I, MIGUEL HIDALGO",ANAHUAC LOS MANZANOS,MIGUEL HIDALGO,-99.186061,19.4452975
COLEGIO RICHARDSON,INICIAL,MATUTINO,Particular,CERRADA DE BENITO JUÁREZ NO. 17,"CERRADA DE BENITO JUÁREZ NO. 17, CULHUACAN, IZTAPALAPA",SAN ANTONIO CULHUACAN (BARR),IZTAPALAPA,-99.1101838,19.3388902
CENTRO INTEGRAL INFANTIL LA SALLE SIMON BOLIVAR,INICIAL,MATUTINO,Particular,MURCIA NO. 14,"MURCIA NO. 14, INSURGENTES MIXCOAC, BENITO JUAREZ",INSURGENTES MIXCOAC,BENITO JUAREZ,-99.1810804,19.3700367
