SISTEMA,NOMBRE,LINEA,EST,CVE_EOD17,TIPO,ALCALDIAS,AÑO,CVE_EST,longitud,latitud
Metrobús,París,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.1559054549711,19.432394720045693
Metrobús,Reforma,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.15854425029424,19.431106483118526
Metrobús,Hamburgo,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.16279734075351,19.42917016143172
Metrobús,El Ahuehuete,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.16505863239207,19.428067900747724
Metrobús,El Ángel,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.16865753520594,19.42641814344347
Metrobús,La Diana,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.17251362831335,19.42458282932953
Metrobús,Chapultepec,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.17467360744344,19.423587082950952
Metrobús,Alameda Tacubaya,7,,,Servicio temporal,Miguel Hidalgo,2023.0,,-99.18591745888251,19.40148534150958
Metrobús,De La Salle,7,,,Servicio temporal,Cuauhtémoc / Miguel Hidalgo,2023.0,,-99.18346673516852,19.409020086326528
Metrobús,De La Salle,7,,,Servicio temporal,Miguel Hidalgo,2023.0,,-99.18420775806,19.408368343301472
Metrobús,Chapultepec,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.17425848309948,19.424061180828488
Metrobús,La Diana,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.17089197013948,19.425668289991535
Metrobús,El Ángel,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.16864362041262,19.426686259386592
Metrobús,El Ahuehuete,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.16483425068824,19.428497763979376
Metrobús,Hamburgo,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.16150480944832,19.43004876459309
Metrobús,Reforma,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.15870539361195,19.43143344343557
Metrobús,París,7,,,Servicio temporal,Cuauhtémoc,2023.0,,-99.15595807857136,19.432661819890622
Metrobús,Aeropuerto T1,4,41.0,,,Venustiano Carranza,,MB0441,-99.083666,19.435307
Metrobús,Aeropuerto T2,4,42.0,,,Venustiano Carranza,,MB0442,-99.07725,19.421476
Metrobús,Delegación Cuauhtémoc,4,2.0,11121.0,Intermedia,Cuauhtémoc,2012.0,MB0402,-99.152416,19.442594
Metrobús,Delegación Cuauhtémoc,4,48.0,11121.0,Intermedia,Cuauhtémoc,2012.0,MB0448,-99.152454,19.442136
Metrobús,México Tenochtitlan,4,3.0,,Intermedia,Cuauhtémoc,,MB0403,-99.153269,19.439025
Metrobús,México Tenochtitlan,4,49.0,,Intermedia,Cuauhtémoc,,MB0449,-99.153457,19.438641
Metrobús,Plaza de la República,4,18.0,11142.0,Intermedia,Cuauhtémoc,2012.0,MB0418,-99.154138,19.436804
Metrobús,Plaza de la República,4,60.0,11142.0,Intermedia,Cuauhtémoc,2012.0,MB0460,-99.153982,19.437128
Metrobús,Amajac,4,19.0,11127.0,Transbordo,Cuauhtémoc,2012.0,MB0419,-99.153532,19.434159
Metrobús,Amajac,4,70.0,11127.0,Transbordo,Cuauhtémoc,2012.0,MB0470,-99.153371,19.435014
Metrobús,Defensoría Pública,4,61.0,,Intermedia,Cuauhtémoc,,MB0461,-99.151011,19.433364
Metrobús,Defensoría Pública,4,20.0,,Intermedia,Cuauhtémoc,,MB0420,-99.15063,19.433106
Metrobús,Vocacional 5,4,21.0,11152.0,Intermedia,Cuauhtémoc,2012.0,MB0421,-99.150217,19.431589
Metrobús,Vocacional 5,4,62.0,11152.0,Intermedia,Cuauhtémoc,2012.0,MB0462,-99.150952,19.431756
Metrobús,Juárez,4,22.0,11131.0,Transbordo,Cuauhtémoc,2012.0,MB0422,-99.148387,19.431305
Metrobús,Juárez,4,63.0,11131.0,Transbordo,Cuauhtémoc,2012.0,MB0463,-99.147744,19.43126
Metrobús,Mercados San Juan,4,23.0,,Intermedia,Cuauhtémoc,,MB0423,-99.143549,19.430607
Metrobús,Mercados San Juan,4,64.0,,Intermedia,Cuauhtémoc,,MB0464,-99.144654,19.430772
