SISTEMA,NOMBRE,LINEA,EST,CVE_EST,CVE_EOD17,TIPO,ALCALDIAS,AÑO,longitud,latitud
STC Metro,Pantitlán,01,1,STC0101,5014,Terminal / Transbordo,Venustiano Carranza,1984,-99.0747357270116,19.416334085596525
STC Metro,Zaragoza,01,2,STC0102,5020,Intermedia,Venustiano Carranza,1969,-99.0822888117768,19.41192045593743
STC Metro,Gomez Farías,01,3,STC0103,5007,Intermedia,Venustiano Carranza,1969,-99.0902103917112,19.416478456907367
STC Metro,Boulevard Puerto Aéreo,01,4,STC0104,5003,Intermedia,Venustiano Carranza,1969,-99.09625873241016,19.419941964850207
STC Metro,Balbuena,01,5,STC0105,5001,Intermedia,Venustiano Carranza,1969,-99.10277436397423,19.42335533557525
STC Metro,Moctezuma,01,6,STC0106,5012,Intermedia,Venustiano Carranza,1969,-99.10979926910476,19.42685434666967
STC Metro,San Lázaro,01,7,STC0107,5017,Transbordo,Venustiano Carranza,1969,-99.11426095239392,19.43005884961391
STC Metro,Candelaria,01,8,STC0108,5004,Transbordo,Venustiano Carranza,1969,-99.12090955005588,19.42954014071058
STC Metro,Merced,01,9,STC0109,5011,Intermedia,Venustiano Carranza,1969,-99.1250254185176,19.42548757157406
STC Metro,Pino Suárez,01,10,STC0110,5015,Transbordo,Cuauhtémoc,1969,-99.13263861199376,19.425923495107927
STC Metro,Isabel La Católica,01,11,STC0111,5009,Intermedia,Cuauhtémoc,1969,-99.13783045646257,19.42639351179822
STC Metro,Salto del Agua,01,12,STC0112,5016,Transbordo,Cuauhtémoc,1969,-99.14340629386965,19.426948189741864
STC Metro,Balderas,01,13,STC0113,5002,Transbordo,Cuauhtémoc,1969,-99.14948115142847,19.426997876088905
STC Metro,Cuauhtémoc,01,14,STC0114,5006,Intermedia,Cuauhtémoc,1969,-99.1545979513498,19.4256611110838
STC Metro,Insurgentes,01,15,STC0115,5008,Intermedia,Cuauhtémoc,1969,-99.16328887947714,19.423651800607303
STC Metro,Sevilla,01,16,STC0116,5018,Intermedia,Cuauhtémoc,1969,-99.17111907391484,19.421849915921573
STC Metro,Chapultepec,01,17,STC0117,5005,Intermedia,Cuauhtémoc / Miguel Hidalgo,1969,-99.17641673157046,19.42074629504737
STC Metro,Juanacatlán,01,18,STC0118,5010,Intermedia,Miguel Hidalgo,1970,-99.18198382947882,19.4129516424911
STC Metro,Tacubaya,01,19,STC0119,5019,Transbordo,Miguel Hidalgo,1970,-99.18763652631694,19.40251380233993
STC Metro,Observatorio,01,20,STC0120,5013,Terminal,Álvaro Obregón,1972,-99.20040474604608,19.398282375699324
STC Metro,Cuatro Caminos,02,1,STC0201,5045,Terminal,Estado de México - Naucalpan de Juárez,1984,-99.21584248969684,19.459593208492073
STC Metro,Panteones,02,2,STC0202,5052,Intermedia,Miguel Hidalgo,1984,-99.2029491295272,19.458638560770133
