SISTEMA,LINEA,RUTA,longitud,latitud
STC Metro,1,Observatorio - Pantitlàn,485629.4558209985,2147239.38244331
STC Metro,2,Cuatro Caminos - Tasqueña,483554.4074749367,2147060.802959025
STC Metro,3,Indios Verdes - Universidad,483811.00281886617,2146124.239389805
STC Metro,4,Martín Carrera - Santa Anita,487856.8201109028,2150023.354050638
STC Metro,5,Politecnico - Pantitlán,488282.5638180438,2151159.9439259376
STC Metro,6,El Rosario - Martín Carrera,483475.8600120136,2155008.497780314
STC Metro,7,El Rosario - Barranca del Muerto,479986.8435404612,2148954.005997367
STC Metro,8,Garibaldi - Constitución de 1917,488068.3846607294,2143707.892395723
STC Metro,9,Tacubaya - Pantitlán,486445.2575400981,2145936.285822622
STC Metro,A,Pantitlán - La Paz,497757.9259607644,2142713.2063859175
STC Metro,B,Buenavista - Ciudad Azteca,491742.4687353381,2152574.448597086
STC Metro,12,Mixcoac - Tláhuac,489544.8880273448,2137763.309155291
