ENT,MUN,LOC,TIPOLOC,OTROTIPO_C,DIS_TRANS,AUTO,MICRO,CAMION,TAXI,BICI,BARCO,AUTOCAB,MICROCAB,CAMIONCAB,TAXICAB,BICICAB,BARCOCAB,TRANSPRIN,FRECUENCIA,TIEMPO,ABASTECIM,AGUACOB,AGUAFUEN,AGUAOFUEN_C,DRENAJE,DRENAJECOB,DDRENAJE,ODDRENAJE_C,LIMCALLE,RECBASURA,DESBASURA,ODESBASURA_C,ALUMBRADO,ENFUENTE,ENOFUENTE_C,ALUMBCOB,MANZANA,RECUBCOB,BANQUETAS,PLAZA,CANCHA,PARQUE,BIBLIOTECA,CULTURA,SALON,FRIJOL,MAIZ,TORTILLA,PAN,ARROZ,LECHE,HUEVO,CARNE,POLLO,PESCADO,FRUTA,TIANGUIS,ABARROTE,DICONSA,LICONSA,FARMACIA,PAPELERIA,FERRETERIA,ROPA,LOZA,MUEBLE,MATERIAL,GAS,GOB_EDO,GOB_MUN,ORG_NG,OTRO_CC,OTRO_CD_C,CLINICA,MEDICO,PARTERA,BRIGADA,PROMOTOR,CURANDERO,TELEFONO,INTERNET,SENALCEL,TELEVISIONA,TELEVISIONP,DINERO,LTRABAJO,ACTAGR_V,ACTAGR_CF,ACTAGR_NO,ACTPEC_V,ACTPEC_CF,ACTPEC_NO,ACTMIN_V,ACTMIN_CF,ACTMIN_NO,ACTFOR_V,ACTFOR_CF,ACTFOR_NO,ACTREC_V,ACTREC_CF,ACTREC_NO,ACTPES_V,ACTPES_CF,ACTPES_NO,ACTART_V,ACTART_CF,ACTART_NO,OTRAACT_V,OTRAACT_CF,OTRAACT_NO,OTRAACT_C,ACT_PRIN,OACT_PRIN_C,PRODUCTO_C1,PRODUCTO_C2,PRODUCTO_C3,AUTMUN,OTRAMUN_C,CEJIDAL,INDIGENA,TRADICIONAL,POLICIA,CONFLICTO1,CONFLICTO2,CONFLICTO3,CONFLICTO4,CONFLICTO5,OCONF,OCONF_D_C,SEQUIA,HELADA,INUNDACION,INCENDIO,TEMBLOR,CICLON,OTRO_DANO,OTRO_DANO_DES_C,AIRE,MOTOR,BASURERO,RUIDO,AGUA,A_NEGRA,RIOS,PESTICIDAS,TERRENOS,PLAGAS,OCONT,OCONT_D_C,HABLALI,USOESC,USOIGL,USOFEST,USOCOMP,USOFAM,USOHOG,PROBLEMA,PROBLEMA_O_C,POBTOT,TAMLOC,LOC_LENGUA40PC
09,004,0010,02,,3,,,,,,,,,,,,,,,,1,2,5,,3,,,,1,3,5,,1,1,,2,3,,,2,4,6,8,2,4,1,3,5,8,2,3,5,8,2,4,5,2,3,6,8,2,3,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,3,2,4,5,7,2,4,3,,,03,04,,,,,09,,02,,,,06,,,09,,,03,,,06,,2,,112007,112008,,4,,1,4,5,8,1,4,6,8,2,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,1,9,9,9,9,9,9,08,,728,4,3
09,004,0050,04,,1,1,3,6,7,2,4,3,1,,1,,,2,5,20,1,1,5,,1,2,3,,2,3,5,,1,1,,1,1,1,2,2,4,6,8,2,4,1,4,5,7,1,3,5,8,2,4,6,2,3,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,3,6,7,1,3,1,3,5,8,1,4,3,,,03,04,,,,,09,01,,,,,06,,,09,,,03,04,,,471,9,,,,,5,998,2,4,6,7,2,4,5,7,1,4,,2,3,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,5,031,1,9,9,9,9,9,9,06,,486,3,3
09,004,0054,02,,1,1,3,6,7,2,4,3,1,,1,,,2,5,25,2,1,5,,3,,,,1,3,5,,1,1,,2,3,,,2,4,6,8,2,3,1,3,5,7,1,3,5,8,2,4,5,2,3,6,8,2,3,2,4,6,8,2,4,2,4,6,8,,2,4,6,7,1,4,2,4,5,7,1,4,3,,,03,,05,,,,09,,,03,,,06,,,09,,,03,,,06,,2,,999996,,,4,,2,4,6,8,2,4,6,7,1,4,,2,4,6,8,2,4,5,101,1,4,6,8,2,4,6,8,2,4,6,,1,9,9,9,9,9,9,08,,1233,5,3
09,004,0055,02,,1,2,3,6,7,2,4,,1,,1,,,2,4,30,1,2,5,,1,1,5,,1,4,5,,1,1,,1,3,,,2,3,6,8,2,4,1,3,5,7,1,3,5,7,1,3,5,2,3,6,8,2,4,2,4,6,8,2,3,2,4,6,8,,2,4,6,8,1,4,2,3,5,7,1,4,3,,,03,,,06,,,09,,,03,,,06,,,09,,,03,,,06,,,,,,,6,,2,4,6,7,2,4,5,8,1,4,,2,4,6,8,1,4,6,,2,4,6,8,2,4,6,8,2,4,6,,3,,,,,,,06,,80,1,3
09,004,0056,07,,3,,,,,,,,,,,,,,,,1,1,5,,3,,,,1,3,5,,1,1,,1,3,,,2,3,6,8,2,4,1,3,5,7,1,3,5,7,1,4,5,2,3,6,8,2,3,1,4,6,8,1,4,2,3,6,8,,2,4,6,7,2,4,1,3,5,7,1,4,3,,,03,,,06,,,09,,,03,,,06,,,09,,,03,04,05,,471,8,471,,,,4,,1,4,6,7,1,4,6,7,1,4,,2,4,5,8,1,4,6,,2,4,6,8,2,3,5,8,1,4,6,,3,,,,,,,06,,108,2,3
09,004,0057,02,,1,1,3,6,7,2,4,1,1,,1,,,1,4,25,1,1,5,,1,2,5,,1,3,5,,1,1,,1,3,,,2,4,6,8,2,4,1,3,5,7,1,3,5,7,1,4,5,2,3,6,8,2,4,2,4,6,8,2,3,2,4,6,8,,2,4,6,8,1,4,2,4,5,7,1,4,3,,,03,,,06,,,09,,,03,,05,,,,09,,,03,,,06,,5,,999999,,,6,,2,4,6,8,2,4,5,8,1,4,,2,4,6,8,1,4,6,,2,4,6,8,2,3,6,8,1,4,6,,1,9,9,9,9,9,9,03,,131,2,3
09,004,0058,02,,1,1,3,6,7,2,4,1,1,,1,,,1,5,15,1,2,7,095,1,2,6,063,2,3,4,,1,1,,1,3,,,2,3,6,8,2,4,1,3,5,7,1,3,5,7,1,3,5,2,3,6,8,2,3,2,4,6,8,2,3,2,4,6,8,,2,4,5,7,1,4,1,3,5,7,1,4,2,,,03,,,06,,,09,,,03,,05,,,,09,,,03,,,06,,5,,111135,,,6,,1,4,6,7,2,4,5,8,1,4,,2,3,5,7,1,4,6,,2,4,6,8,2,4,5,8,2,4,6,,3,,,,,,,06,,80,1,3
09,004,0059,02,,1,1,3,6,7,2,4,3,1,,1,,,2,5,60,2,3,5,,3,,,,2,4,,,3,,,,3,,,2,4,6,8,2,4,2,4,6,8,2,4,6,8,2,4,6,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,4,2,4,5,8,1,4,1,,,03,,,06,,,09,,02,,,,06,,,09,,,03,,05,,471,9,,,,,2,,1,4,6,8,2,4,6,8,2,4,,2,3,5,8,1,4,6,,1,3,6,8,2,4,6,8,2,3,6,,3,,,,,,,03,,24,1,3
09,004,0060,99,,9,,,,,,,,,,,,,,,,9,,,,9,,,,9,9,,,9,,,,9,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,,,,,9,,9,9,9,9,9,9,9,9,9,9,,9,9,9,9,9,9,9,,9,9,9,9,9,9,9,9,9,9,9,,9,,,,,,,99,,9,1,3
09,004,0062,01,,3,,,,,,,,,,,,,,,,1,1,5,,1,1,5,,2,3,5,,1,1,,1,3,,,1,4,5,8,2,4,1,4,6,8,1,3,5,8,2,4,6,2,3,6,8,2,4,2,4,6,8,2,3,2,4,6,8,,2,4,6,8,2,4,2,4,5,7,1,4,1,,,03,,,06,,,09,,,03,04,,,,,09,,,03,,,06,,5,,111135,,,6,,2,4,6,8,1,4,6,8,2,4,,2,4,6,8,1,4,6,,2,4,6,8,2,4,6,8,1,4,6,,3,,,,,,,01,,29,1,3
09,004,0063,03,,3,,,,,,,,,,,,,,,,2,4,7,092,3,,,,2,4,,,1,1,,1,1,2,5,2,4,6,8,2,4,1,3,5,7,1,3,5,7,1,3,5,2,3,6,8,2,4,2,4,6,8,2,3,2,4,6,8,,2,4,6,8,1,4,2,4,5,7,1,4,3,,,03,,,06,,,09,,,03,,,06,,,09,,,03,,,06,,,,,,,6,,1,4,5,8,2,4,6,8,1,4,,2,3,5,8,2,4,6,,1,4,6,7,2,3,6,8,2,4,6,,1,9,9,9,9,9,9,01,,818,4,3
