Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en primer nivel con amplia estancia, sala de televisión, dos recamaras y cuarto de servicio. Excelente ubicación. A dos calles del parque, escuelas cercanas, transporte publico accesible.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-renta-departamento-147256472.html,"MN 15,500","Pablo Veronés
Alfonso XIII, Alvaro Obregón","75 m² lote, 2 rec., 1 baño, 1 estac.",Alfonso XIII
"Departamento en venta Y renta en excelente estado de conservación, se encuentra en la Colonia Mixcoac en la calle de Giotto. Tiene 80 m2 habitables, cuenta con estancia y comedor, dos recámaras, dos baños completos, es interior, no cuenta con elevador, está en un segundo nivel y cuenta con tres estacionamientos, independientes, en la azotea cuenta con roof garden y asador para tus reuniones familiares, tiene área de lavado y jaula de tendido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-venta-renta-giotto-mixcoac-146703909.html,"MN 20,000","GIOTTO 52
Mixcoac, Benito Juárez","80 m² lote, 2 rec., 2 baños, 3 estac.",Alfonso XIII
"Departamento exterior ubicado en un segundo piso de un edificio de sólo 3 niveles. Muy cerca de la Universidad Panamericana. Consta de dos recámaras, área de tv o home office, dos baños completos, amplia estancia, cocina abierta con barra, área de lavado, dos cajones de estacionamiento techados que no se estorban con ningún vecino y dos balcones, uno en la estancia y otro en la recámara principal. A pesar de ser un edificio bajo, cuenta con elevador. Las cortinas que se ven en las fotos fueron cambiadas por persianas. Vigilancia durante el día y cámaras de videovigilancia cctv. Mantenimiento incluido en el precio de renta.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-con-dos-balcones-muy-iluminado-143574228.html,"MN 25,800","Poussin 40
Mixcoac, Benito Juárez","120 m² lote, 2 rec., 2 baños, 2 estac.",Alfonso XIII
"Rento precioso departamento, con preciosa vista al jardín, sin vecinos de un lado, la distribucion del departamento es excelente y cuenta con mucha luz, se entrega con persianas. Cuenta con asador, jardín, ludoeca, business center, area social, gimnasio, jaccuzi. Excelente ubicación y vias de acceso.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-precioso-departamento-enquentro-mixcoac-147009494.html,"MN 30,000","Av. Patriotismo 883
Mixcoac, Benito Juárez","88 m² lote, 2 rec., 2 baños, 2 estac.",Alfonso XIII
"Es un departamento exterior con 95m2 muy iluminado en cuarto piso con elevador cuenta con dos recamaras la principal con su baño dos baños cocina equipada área de lavado junto a la cocina sala comedor con una excelente distribución cuenta con dos lugares de estacionamiento fijos no estorba a nadie área de contenedor para la basura vigilancia las 24 horas el edificio cuenta con roft Garden y gym, el mantenimiento esta incluido en la renta. Requisitos un deposito una renta adelanta un fiador el pago de una póliza legal no mascotas. Informes únicamente Whatsapp",https://www.inmuebles24.com/propiedades/clasificado/alclapin-mixcoac-dos-recamaras-147142744.html,"MN 22,000","Leonardo Da Vinci 129
Mixcoac, Benito Juárez","84 m² lote, 2 rec., 2 baños, 2 estac.",Alfonso XIII
"Green house ofrece en renta lindo departamento en la colonia lomas de plateros, unidad torres mixcoac, calle blvd. Adolfo lopez mateos 1661, C. P. Ver datos. Precio de renta mensual $ 17, 500 pesos, cuota de mantenimiento $1, 660. ubicado en quinto nivel, cuenta con estancia, cocina integral con ventilación natural, 3 recámaras con closet, 2 ½ baños, 1 cajón de estacionamiento fijo E independiente. 3 recamaras. 2 ½ baños. 1 estacionamiento fijo E independiente. 95 M2 construcción aproximadamente. 5ª nivel. 40 años de antigÜedad aproximadamente. elevador. seguridad las 24 horas. ubicado junto al walmart de plateros Y el parque octavio paz (deportivo plateros), el cual cuenta con canchas de futbol, tenis, basquetbol, alberca techada, así como otras actividades deportivas. Requisitos para arrendar: póliza jurídica de arrendamiento, el 50% paga el propietario. fiador con inmueble libre de gravamen en cdmx. depósito en garantía. comprobantes de ingresos O estados de cuenta bancaria. carta membretada laboral. buró de crédito Y buró judicial. 3 referencias. uso habitacional. * no aceptan mascotas* *si cumples con los requisitos* previa cita: mínimo con 24 horas de antelación, proporcionar identificación oficial para ingresar al condominio. tels Ver datos - Ver datos - Ver datos – Ver datos. visite nuestro anuncio de privacidad. mx/. mx/aviso-de-privacidad. Ver datos. las características son aproximadas. disponibilidad Y precio sujetos A últimos cambios. * exclusiva para clientes directos *",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-departamento-en-lomas-de-plateros-unidad-143007172.html,"MN 17,500","BULEVARD ADOLFO LOPEZ MATEOS
Lomas de Plateros, Alvaro Obregón","95 m² lote, 3 rec., 2 baños, 1 estac.",Alfonso XIII
"Vive al poniente de la ciudad en un depa funcional y accesible, ideal para quienes buscan su primer espacio independiente. Este depa de 32 m² se ubica en el segundo piso de un edificio de solo dos niveles, y cuenta con 1 recámara, 1 baño completo y área de tendido. Situado en la colonia Molino de Rosas, en Álvaro Obregón, a solo minutos del Mercado Mixcoac y con acceso rápido por Av. Alta Tensión. Es una excelente opción para personas solas o parejas que desean una ubicación conectada, a un precio accesible. No se aceptan mascotas y el inmueble está disponible de inmediato. Aprovecha esta oportunidad para comenzar tu independencia en un espacio funcional y bien ubicado. Solicita tu visita cuanto antes. Con Homie renta sin aval. Proceso 100% digital. Tú eliges cómo pagar la renta a través de diferentes formas de pago. ¡Conoce ya este depa e independízate de las tareas de rentar! Departamento de 40. 0 metros cuadrados cuenta con: - 1 habitación. - 1. 0 baño. Antigüedad: 55 años. . Número de habitantes recomendado: 2. Disponibilidad para mostrar: 25/julio/2025. Disponibilidad para habitar: 25/julio/2025. ¡Enamórate de tu vida en este departamento! # Homie Id: 9_4_9_8_7. Estos son los beneficios que tienes como inquilino al rentar tu nuevo hogar con nosotros: * No necesitas aval (sujeto a Términos y Condiciones). * Realiza el pago de tu renta mediante transferencia digital en nuestra plataforma o en efectivo en miles de locales disponibles. * Asistencia y conciliación con tu propietario. * Proceso sin burocracia, renta en cuestión de horas y sin trámites complicados. * Descuentos exclusivos en mudanzas, muebles y más. * Firma tu contrato de forma digital.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-molino-de-rosas-94987-147085153.html,"MN 6,800","Rosa Carmesí
Molino de Rosas, Alvaro Obregón","40 m² lote, 1 rec., 1 baño",Alfonso XIII
"Departamento en Renta en un Moderno residencial en la colonia Mixcoac, estrene un hogar con los mejores acabados y excelente distribución. Ubicado estratégicamente para ofrecer fácil acceso y cercanía a importantes vías como anillo periférico. En su interior cuenta con un superficie total de 82. 02, siendo 77. 63 m2 habitables, balcón de 4. 39 m2 y bodega incluida. *Cambio de precio sin previo aviso y sujeto a disponibilidad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-25-877-renta-departamento-av-revolucion-i-h-144698945.html,"MN 27,000","Avenida Revolucion
Mixcoac, Benito Juárez","82 m² lote, 2 rec., 2 baños, 1 estac.",Alfonso XIII
"Excelente departamento en renta con inmejorable ubicación casi esquina periferico. Dos recámaras, estancia-comedor con excelente iluminación, cocina, un estudio, un baño, segundo nivel, exterior y un estacionamiento. Edificio de 20 departamentos, gas estacionario. Disponible a partir del 17 de septiembre. Requisitos: Con o Sin fiador con bien raíz en la cdmx, cobertura jurídica, pago de depósito en garantía una vez aprobada la solicitud y pago de la primera renta a la firma del Contrato. No se cobrará ninguna cantidad, sino hasta después de haber aceptado su solicitud, debiendo hacer el pago únicamente en la cuenta bancaria de ac rentas, S. C.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-mixcoac-147426363.html,"MN 16,275","Giotto 70
Mixcoac, Benito Juárez","70 m² lote, 2 rec., 1 baño, 1 estac.",Alfonso XIII
"Green house ofrece en renta lindo departamento en la colonia lomas de plateros, unidad torres mixcoac, calle blvd. Adolfo lopez mateos 1661, C. P. Ver datos. Precio de renta mensual $ 17, 500 pesos, cuota de mantenimiento $1, 660. ubicado en quinto nivel, cuenta con estancia, cocina integral con ventilación natural, 3 recámaras con closet, 2 ½ baños, 1 cajón de estacionamiento fijo E independiente. 3 recamaras. 2 ½ baños. 1 estacionamiento fijo E independiente. 95 M2 construcción aproximadamente. 5ª nivel. 40 años de antigÜedad aproximadamente. elevador. seguridad las 24 horas. ubicado junto al walmart de plateros Y el parque octavio paz (deportivo plateros), el cual cuenta con canchas de futbol, tenis, basquetbol, alberca techada, así como otras actividades deportivas. Requisitos para arrendar: póliza jurídica de arrendamiento, el 50% paga el propietario. fiador con inmueble libre de gravamen en cdmx. depósito en garantía. comprobantes de ingresos O estados de cuenta bancaria. carta membretada laboral. buró de crédito Y buró judicial. 3 referencias. uso habitacional. * no aceptan mascotas* *si cumples con los requisitos* previa cita: mínimo con 24 horas de antelación, proporcionar identificación oficial para ingresar al condominio. tels Ver datos - Ver datos- whatsapp - Ver datos – Ver datos. visite nuestro anuncio de privacidad. mx/. mx/aviso-de-privacidad. Ver datos. las características son aproximadas. disponibilidad Y precio sujetos A últimos cambios. * exclusiva para clientes directos *",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-lomas-de-plateros-unidad-143007714.html,"MN 17,500","BOULEVARD ADOLFO LOPEZ MATEOS 1661
Lomas de Plateros, Alvaro Obregón","95 m² lote, 3 rec., 2 baños, 1 estac.",Alfonso XIII
