Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Bonito departamento. Cocina equipada, estancia comedor doble altura con balcón, recamara principal con baño completo con cancel de cristal templado y closet, recamara secundaria con closet, área de lavado con instalación hidráulica y eléctrica para la lavadora, boiler de paso, se ubica en el tercer nivel no contamos con elevador, se paga 900. 00 de mantenimiento. Se entrega con persianas, se acepta 1 mascota talla chica O 1 gato. Roof garden comun. *no tiene estacionamiento* A una cuadra hay una pension. Requisitos. 1 mes de renta. 2 depósitos. póliza jurídica con un costo 5, 800. 00 que deberá de cubrir el inquilino toda vez que no se pide aval con bien inmueble. Se pide 1, 200. 00 de la investigación de ser aprobada se tomara a cuenta del total de monto de la póliza. Ine, curp, 3 ultimos estados de cuenta del arrendador Y obligado solidario, comprobante de domicilio del obligado. Este departamento en renta se ubica en la colonia Algarín. Cuenta con 70 m2 de superficie construida. Este inmueble ofrece servicios básicos como agua y luz, además de conexión a internet/wifi. La Algarín es una zona predominantemente residencial y tranquila, con un ambiente familiar. Cuenta con buena conectividad gracias a sus vialidades principales y opciones de transporte público como estaciones de metro y paradas de autobús. Encontrarás escuelas de nivel básico y medio superior en los alrededores. Para tus compras, hay tiendas de conveniencia, mercados locales y supermercados cercanos. La zona también ofrece parques y áreas verdes para actividades recreativas. La seguridad se percibe como buena. El ambiente general es de vida de barrio, con vecinos que interactúan y un estilo de vida relajado. Agenda hoy mismo tu cita Ver datos 46",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-70-m-sup2--2-recamaras-en-renta-algarin-147271620.html,"MN 14,500","Calle José Toribio Medina
Algarín, Cuauhtémoc","70 m² lote, 2 rec., 2 baños",Algarin
"Centrico Departamento, excelente ubicación, Col. Obrera, Jose T. Cuellar esquina Manuel Othon, entre Isabel la Catolica y 5 de Febrero, a una cuadra del metro San Antonio Abad, consta de una recamara, estancia, cocina y baño, sin estacionamiento, no se aceptan mascotas, ideal para recién casados, Renta 5, 950. 00 Se muestra los martes de 3 a 4 con opción de sabados y domingos por la tarde confirmando su cita al cel. Ver datos-52 con la Sra. Heremita.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-bonito-departamento-51618417.html,"MN 5,950","JOSE T. CUELLAR 95
Obrera, Cuauhtémoc","35 m² lote, 1 rec., 1 baño",Algarin
"Departamento en Renta. $15, 500. Viaducto Río Piedad, Tlalpan. 72m2. 2 Recamaras. 2 Baños. Balcón. 1 Estacionamiento. Se acepta solo 1 (una) mascota pequeña.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-tlalpan-143516774.html,"MN 15,500","Viad. Río de la Piedad 256, Asturias
Asturias, Cuauhtémoc","67 m² lote, 2 rec., 2 baños, 1 estac.",Algarin
"Espectacular departamento de 87. 5m2 en la alcadia benito juarez. cuenta con: 2 recamaras con su closet, 2 baños completos. sala comedor. cocina equipada. area de lavado. 2 balcones. 2 cajones de estacionamiento independientes. 1 bodega. 1 roof garden privado de 79. 5m2. caseta de vigilancia las 24hrs. Y elevador",https://www.inmuebles24.com/propiedades/clasificado/alclapin-espectacular-departamento-en-renta-en-la-alcaldia-66275391.html,"MN 23,000","CADIZ
Álamos, Benito Juárez","85 m² lote, 2 rec., 2 estac.",Algarin
"-Este edificio es en una joya escondida en el corazón de Ciudad de México. -Calidad excepcional que se ajusta a tu presupuesto en un vecindario seguro como la Alcaldía Benito Juárez. -Todo tipo de comercios al alcance de tu mano. -Variedad de opciones en el edificio, desde 44 hasta 55m2. -Variedad de opciones en el edificio, desde $2, 390, 000. -No cuenta con estacionamiento",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-centricos-venta-en-la-benito-juarez-143516017.html,"MN 22,000","obrero mundial 736
Álamos, Benito Juárez","52 m² lote, 2 rec.",Algarin
"Depto seminuevo, iluminado, ventilado, muy bien ubicado, ambiente familiar, sin ruidos, listo para habitarse, seguridad 24 hrs a 10 metros del eje central lazaro cardenas y a un lado de la estación del metro doctores de la linea 8 del metro, centros comerciales, farmacias, colegios, transporte publico.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-la-obrera-144440439.html,"MN 12,000","fernando de alba ixtlilxochitl
Obrera, Cuauhtémoc","50 m² lote, 2 rec., 1 baño, 1 estac.",Algarin
"Exclusivo Pent House de 2 pisos: Ubicado en una de las Colonias con más alta plusvalía en la Alcaldía Benito Juárez y con tan solo 4 años de antigüedad, consta de 3 recámaras y la principal con vestidor, baño completo con tina de hidromasaje y terraza privada; las otras 2 recámaras tienen clóset, baño completo y balcón, amplia sala-comedor y cocina abierta con barra-desayunador, cuarto de lavado y bodega, además, 2 lugares grandes de estacionamiento independientes y roof garden privado con medio baño; se encuentra distribuido en 182 metros cuadrados con dos niveles y una inmejorable ubicación. El condominio tiene solo 10 departamentos, elevador y seguridad 24/7",https://www.inmuebles24.com/propiedades/clasificado/veclapin-excelente-departamento-pent-house-146426986.html,"MN 34,300","Isabel La Católica
Álamos, Benito Juárez","182 m² lote, 3 rec., 3 baños, 2 estac.",Algarin
"Se renta departamento en colonia Álamos, a una cuadra del metro Viaducto, esta en un piso 12 con 60 metros de construcción, cuenta con elevador, vigilancia 24 horas, gimnasio. Son son recamaras, un baño, estancia, comedor, cocina y área de lavado, un lugar de estacionamiento compartido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-departamento-en-alamos-dos-recamaras-con-147430587.html,"MN 14,000","Calzada de Tlalpan 550
Álamos, Benito Juárez","60 m² lote, 2 rec., 1 baño, 1 estac.",Algarin
"La alcaldía Cuauhtémoc te ofrece un departamento para tu familia con 80m2, 2 recamaras, 2 baños completos, área de sala comedor, cocina integral, sin lugar de estacionamiento, 4to piso sin elevador. Amueblado. Contáctanos para conocer más sobre el departamento",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-col.-asturias-cuauhtemoc-146653406.html,"MN 18,000","José Sotero
Asturias, Cuauhtémoc","80 m² lote, 2 rec., 2 baños",Algarin
"*leer informacion* ** ** requisitos: fiador con propiedad en cdmx, pago de poliza juridica, renta Y deposito. 60M2. 2 recamaras con closet, 1 baño completo, sala comedor, cocina integral con area de lavado. * mas, 800 mantenimiento. *1 estacionamiento, no fijo. *jaula de tendido. *seguridad. *elevador. *1 er piso. *exterior. *1 mascota pequeña (1) *A 2 calles del metro viaducto. llamanos agendar cita Y envios listado de requisitos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-en-renta-calle-aragon-col-alamos-metro-viaducto-146802629.html,"MN 14,800","ARAGON #
Álamos, Benito Juárez","60 m² lote, 2 rec., 1 baño, 1 estac.",Algarin
