Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Renta lindo departamento en Ampliación Alpes, edificio estilo moderno en calle muy tranquila, excelente distribución, iluminado, ventilado, muy céntrico, cuenta con: - Sala comedor. - cocina concepto abierto. - área de lavado integrada. - 2 recámaras con clóset. - 2 baños completos. - estacionamiento para un vehículo chico, elevauto. El edificio cuenta con elevador y vigilancia los 24 horas, el precio de renta ya incluye la cuota de mantenimiento. Requisitos. Mes de renta. Mes de depósito. Fiador con bien raíz. Comprobantes de ingresos. Pago de póliza jurídica al 50-50",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-depto-ampliacion-alpes-147380347.html,"MN 16,200","Rada 44
Ampliación Alpes, Alvaro Obregón","60 m² lote, 2 rec., 2 baños, 1 estac.",Ampliación Alpes
"Amplia habitacion amueblada iluminada con baño integrado, vestidor, salita de lectura, escritorio, cama matrimonial, tocador, la renta incluye todos los servicios (luz, agua, gas E internet) 1 estacionamiento, persona sola area comun: cocina integral Y area de lavanderia no mascotas nivel residencial magniifca ubicacion",https://www.inmuebles24.com/propiedades/clasificado/alclapin-habitacion-amueblada-renta-col.-las-aguilas-parte-baja-144622568.html,"MN 8,500","AVE DOCTOR ALFONSO CASO
Ampliación Alpes, Alvaro Obregón","15 m² lote, 1 rec., 1 baño, 1 estac.",Ampliación Alpes
"Excelente ph de dos niveles con dos terrazas en calle tranquila. increible pent house, muy iluminado Y orientado, vistas verdes. Edificio pequeño. Dos recmaras en pb con vestidor Y baño, ventilaciÒN natural, acabados de primera, madera en pisos, mrmoles Y canceles de cristal templado en baños. Dos recmaras en planta alta, con vestidor Y baño, la principal con salita Y una pequeña bodeguita Y terraza. Cuenta con cocina mediana, despensa de buen tamaño, dos salas de television, sala comedor con acceso A una gran terraza, area de antecomedor, amplio cuarto de blancos, dos areas de lavanderia, cuarto de servicio completo, solo dos departamentos por piso. 3 estacionamientos independientes. El desarrollo cueta con seguridad 24 hrs, jardines, alberca. La calle es muy amplia Y tranquila, muy arbolada.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-ph-de-dos-niveles-con-terrazas-en-calle-64778848.html,"MN 80,000","MEDANOS
Ampliación Alpes, Alvaro Obregón","506 m² lote, 4 rec., 4 baños, 4 estac.",Ampliación Alpes
"Características generales. Precio renta $32, 000. 00. Precio venta $6, 250, 000. 00. • 170 m2 de superficie. • 3 recámaras. • 2 baños. • Bar. • Cuarto de servicio completo. • Bodega. • 2 lugares de estacionamiento. áreas comunes. • Alberca. • Jacuzi. • Salón de usos múltiples. • Concha de basquetbol. • Juegos para niños. informes. *Arturo Vizcaíno 56 Ver datos",https://www.inmuebles24.com/propiedades/clasificado/veclapin-excelente-departamento-en-renta-o-venta-las-aguilas-146014666.html,"MN 32,000","Las Aguilas 493
Ampliación Alpes, Alvaro Obregón","167 m² lote, 3 rec., 2 baños, 2 estac.",Ampliación Alpes
"Departamento en renta Ubicado en zona céntrica, 3 recámaras, 3 baños, cocina integral, sala-comedor, excelente iluminación. Cerca de transporte, restaurantes, plazas y escuelas. Listo para habitar contáctanos para más información.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147412955.html,"MN 28,000","MEDANOS
Ampliación Alpes, Alvaro Obregón","110 m² lote, 3 rec., 3 baños, 1 estac.",Ampliación Alpes
"Amplio Departamento ubicado en planta baja, nuevo a estrenar, ubicado en una de las mejores calles de la zona, cuenta con magníficos espacios, buena iluminación, acabados de lujo, cocina abierta de diseño, jardín y patio, dos recamaras la principal con vestidor y baño, ubicado en planta baja, el edificio cuenta con elevador, vigilancia las 24 horas, Roofgarden común y dos lugares de estacionamiento con eleva auto",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-las-aguilas-144622844.html,"MN 35,000","las aguilas
Las Águilas, Alvaro Obregón","110 m² lote, 2 rec., 2 estac.",Ampliación Alpes
"Departamento en renta en Calzada de Las Aguilas Álvaro Obregón, cdmx. Excelente departamento en condominio privado con vigilancia 24 horas en Calzada de Las Aguilas, con maravillosas vías de comunicación; a sólo 5 minutos de periférico y con todos los servicios que te interesan: escuelas, supermercados, bancos, plazas comerciales, etc. Consta de sala, comedor con ventanales, amplísima cocina integral con cubierta de granito, tres recámaras la principal con vestidor y baño privado. Pisos y closets de madera. Cuenta con un amplio cuarto de lavado y cuarto de servicio con baño. Gozarás de la tranquilidad y de increíbles áreas verdes en dónde podrás disfrutar en familia de los juegos infantiles, alberca con chapoteadero, cancha de squash, cancha de basket. Los estacionamientos son muy cómodos y de fácil acceso, son en línea y nadie te estorbara al aire libre. El precio incluye mantenimiento. Se entrega vacío. ¡Llama hoy y no dejes pasar esta oportunidad! “el precio publicado no incluyen los gastos notariales, comisiones Y contribuciones que se causen con motivo de la transmisión de la propiedad de que se trata”. •Los muebles que aparecen en la publicación son con fines ilustrativos y no están incluidos en el precio final de venta. •En venta los precios son de contado, en caso de utilizar algún crédito, el precio total se determinará en función de los montos variables de conceptos de crédito y gastos notariales que deben ser consultados con el especialista de cada institución financiera y notaría pública respectivamente. Aviso de privacidad. •Al recibir información de carácter personal por medio de este correo, se entiende que el titular de los datos personales ha otorgado su consentimiento expreso para utilizarlos en casos de identificación, contacto, atención, publicidad, facturación, cobranza, cotizaciones, intermediación inmobiliaria y contrataciones. Para mayor información sobre los términos y condiciones en que serán tratados sus datos personales, así como, los terceros con quienes compartimos su información personal y la forma en que podrá ejercer sus derechos arco y Revocación. Consulta nuestro aviso de privacidad en nuestra página web Luxury Habitat Real Estate México.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-calzada-de-las-aguilas-alvaro-147186558.html,"MN 32,000","Calzada de las Aguilas 493
Las Águilas, Alvaro Obregón","150 m² lote, 3 rec., 2 baños, 2 estac.",Ampliación Alpes
"Excelente departamento tipo town house iluminado, ubicado en 2do. Nivel, sala-comedor, cocina integral abierta con plancha de granito, un lindo patio, medio baño, en 3er. Nivel 2 recámaras, 2 baños completos, roof garden privado con medio baño, bodega, 2 estacionamientos, roof garden común con asador, vigilancia las 24 hrs. Se permiten mascotas. En la renta se incluye el mantenimiento (5;500). Citas con Rebeca Bárcena 55Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-lindo-departamento-tipo-town-house-en-renta-en-las-147415373.html,"MN 33,500","Quetzal 30
Las Águilas, Alvaro Obregón","148 m² lote, 2 rec., 2 baños, 2 estac.",Ampliación Alpes
"Buen departamento, bien iluminado. 90 m2 habitables más 60 m2 de roof garden. Consta de sala, comedor, cocina integral abierta, área de lavado. Tres recamaras la principal con baño y closet. Las otras dos recamaras con closet y comparten baño entre ellas y con el área social. El roof garden cuenta con medio baño y una bodega. Dos lugares de estacionamientos techados, bodega. Vigilancia 24/7. La renta es más mantenimiento de $ 3, 500. 00 la dueña solicita póliza jurídica con Renta Segura, el monto es de $6, 160. 00, se necesita aval con bienes inmuebles en la cdmx y pagarés.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-las-aguilas-147281915.html,"MN 22,000","Aguilas
Las Águilas, Alvaro Obregón","150 m² lote, 3 rec., 2 baños, 2 estac.",Ampliación Alpes
"Opción con o sin muebles. Departamento muy iluminado, muy bien decorado, amueblado y equipado. El departamento cuenta con dos recámaras, la principal con baño y clóset, la secundaria con clóset y comparte baño completo con visitas, cocina abierta con refrigerador y microondas y lavadora de vajilla. También cuenta con un mini Split y lavadora y secadora. Área de lavado y 2 estacionamientos. Piso 3. Deptos por piso 5 total 18",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-depto-calle-gutierrez-zamora-las-aguilas-145350879.html,"MN 23,000","Gutiérrez Zamora
Las Águilas, Alvaro Obregón","68 m² lote, 2 rec., 2 baños, 2 estac.",Ampliación Alpes
