Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"¡Vive en una de las zonas más exclusivas de la Ciudad de México con una vista inigualable! Este espectacular departamento amueblado y decorado de 171 m² se encuentra en el 6to piso del Conjunto Condominal Lago Zúrich 272, en la vibrante colonia Ampliación Granada. Características del departamento: * Vista espectacular al Museo Soumaya. * Sala y comedor amplios. * Sala de tv para tus momentos de entretenimiento. * Cocina equipada con barra y línea blanca. * 3 recámaras y 3 baños completos. * Cuarto de servicio con baño. * Cuarto de lavado. * 2 cajones de estacionamiento. El condominio ofrece amenidades de primer nivel que te harán sentir como si estuvieras de vacaciones permanentes: gimnasio, alberca, ludoteca, salón de eventos, cancha de pádel, sala de reuniones y seguridad las 24 horas. Precio de renta: 92, 000 mxn. ¡No pierdas la oportunidad de vivir en el corazón de la modernidad y el arte de la cdmx! Para más información o agendar una visita, contáctanos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-en-renta-departamento-carso-botticelli-lago-zurich-147266318.html,"MN 92,000","Calle Lago Zurich 272
Ampliación Granada, Miguel Hidalgo","171 m² lote, 3 rec., 3 baños, 2 estac.",Ampliación Granada
"Excelente departamento en Polanco a unos minutos de Teatro Telcel, Museos (Soumaya, Jumex), Acuario Inbursa, Centros Comerciales (Antara, Miyana, Pabellón Polanco), Gimnasios, a unas cuadras de Av. Rio San Joaquín, Hospitales, Supermercados (Costco Polanco, Chedraui). Departamento de 100 M2 distribuidos en sala, comedor, cocina abierta, 2 recámaras: la principal con baño y vestidor integrado, la segunda recámara y baño completo independiente que da servicio a esta y a visitas, 2 estacionamientos techados, bodega. Mantenimiento incluido 5, 500. 00. Se acepta mascota pequeña. El departamento se puede rentar amueblado o sólo con electrodomésticos. El precio de la renta incluyendo el mantenimiento. Amenidades: - Alberca techada y abierta. - Canchas de pádel, de tenis y de fútbol. - Salón de adultos. - Área de negocios. - Sky bar. - Vigilancia 24/7. Requisitos: -Contrato. -Un mes de depósito. -Un mes de renta. -Póliza Jurídica: 3 meses de ingresos, Ine, Curp, Situación Fiscal Actualizada, Comprobante de Domicilio, Aval con propiedad libre de gravamen en la Ciudad de México. Visítelo con previa cita! Gina A. G. (C. B. )",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-en-lago-andromaco-146867772.html,"MN 34,000","Lago Andromaco
Ampliación Granada, Miguel Hidalgo","99 m² lote, 2 rec., 2 baños, 2 estac.",Ampliación Granada
"Estrena departamento en quadrante neuchatel. no amueblado. si cuenta con refrigerador. horno de microondas. lavadora Y secadora. 96M2 habitables distribuido en: 2 recamaras, principal con vestidor Y baño completo Y secundaria con closet de piso A techo. cocina integral abierta con barra desayunadora. area de lavado. estancia sala comedor de buen tamaño. areas comunes: gimnasio equipado. alberca techada. ludoteca. salon de eventos. jardin de mascotas. lounge de jovenes. spa vapor jacuzzi. bar lounge. salon adultos. salon jovenes. jardines. seguridad 24/7. estacionamiento para visitas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-estrena-depto-en-quadrante-neuchatel-no-es-amueblado-147290262.html,"MN 44,900","QUADRANTE NEUCHATEL
Ampliación Granada, Miguel Hidalgo","96 m² lote, 2 rec., 2 baños, 2 estac.",Ampliación Granada
"Departamento en renta amueblado. Este amplio y moderno departamento ubicado en Nuevo Polanco, el cual ofrece un espacio excepcional para aquellos que buscan comodidad y estilo de vida contemporáneo. Tipo de propiedad: Departamento en renta amueblado. Ubicación: Calle Lago Zurich 219, Ampliación Granada, Miguel Hidalgo, Ciudad de México. Características Críticas: - Superficie: 119m² - Habitaciones: 2 Recámaras con vestidor. - Baños: 3 Baños completos. - Con Family o Estudio. - Cocina integral. - Sala y Comedor. - Área de Lavado. - Estacionamiento: 2 lugares disponibles. - Bonita vista al exterior. Condiciones: - Macsotas: Aceptadas. - No se permite furmar. ubicación: El residencial se encuentra sobre la calle Lago Zurich 219, a 50m de Cervantes de Saavedra frente al teatro Telcel y el museo Soumaya. Amenidades Comunes del complejo: - Seguridad 24 horas y circuito cerrado con alarma. - Acceso con biométricos: Huella dactilar. - Portero y Concierge. - Gimnasio Completo. - Alberca con baños. - Vapor/Sauna. - Cancha de Padel. - Salón de usos múltiples. - Salón de eventos. - Salón de juegos con billar. - Business Center. - Sala de Lectura. - Ludoteca. - Áreas Verdes con juegos de niños. - Pista de Jogging. - Estacionamientos para visitas. Observaciones adicionales: - Acceso directo a Plaza Carso. Servicios Cercanos: Este departamento se encuentra en una ubicación privilegiada con acceso a una amplia variedad de servicios cercanos, desde plazas comerciales con servicios bancarios, telefonía, tiendas de moda y lujo, restaurantes de diversos tipos, cafés, entretenimiento como cines y museos, gimnasios, salones de belleza, hospitales, corporativos, supermercados, colegios, entre otros. Esperamos tu llamada con mucho gusto. *Somos expertos en la zona de Carso, contáctanos para conocer más sobre esta y otras opciones de departamentos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-pissarro-carso-nuevo-polanco-147354699.html,"MN 55,000","Calle Lago Zurich 245
Ampliación Granada, Miguel Hidalgo","119 m² lote, 2 rec., 3 baños, 2 estac.",Ampliación Granada
"Bello departamento ubicado en Plaza Carso, Torre Rodin, Amueblado y Equipado, excelente distribucion, Inmediato a Polanco, Reforma, Periférico, Ejercito Nacional, Circuito Interior, Lomas de Chapultepec, los mejores Centros Comerciales y Corporativos, Estilo Contemporáneo, impecable, precioso departamento, excelente distribución finos acabados en madera, mármol, granito y cerámico, cocina integral abierta con barra de granito, muy iluminado, hermosa vista, amplia área social, cocina integral abierta, 02 recamaras, 02 baños, 02 estacionamientos, closets empotrados, en la recamara principal precioso y amplio vestidor, Cuarto de Lavado. Amenidades: alberca, gimnasio, salón de eventos, ludoteca, canchas de tenis, jardin, sala de juntas, Acceso directo a el centro comercial Plaza Carso. Vigilancia estricta las 24 horas. Cerca de Antara, supermercados, cines, las mejores tiendas y restaurantes. Excelente zona, céntrica y con acceso a múltiples servicios, comercios, entretenimiento y vías rápidas, acceso controlado. Excelente ubicación inmediato al restaurantes con acceso a múltiples servicios, comercios y lugares públicos, así como a una gran oferta cultural, caminando o en auto. Todos los servicios a la mano. A menos de 10 minutos (caminando): cafés, teatros, cines, club deportivo, farmacias, restaurante/bar, bancos, gasolinera, vigilancia, spa, salones y peluquerías, regalos, agencias automotrices, etc. Cerca de Corporativos, las mejores escuelas y Universidades. Una de las zonas con mayor tradición, historia y plusvalía de la Ciudad de México, segura, y con excelentes opciones para pasear y disfrutar con la familia o amigos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso-2-recamaras-amueblado-acceso-directo-al-53189023.html,"MN 60,000","Lago Zurich 245
Ampliación Granada, Miguel Hidalgo","115 m² lote, 2 rec., 2 baños, 2 estac.",Ampliación Granada
"Renta de Departamento Amueblado con balcón, en piso bajo de Be Grand Polanco, de 75 M2, 1 recámara, 1 baño completo, sala y comedor, cocina abierta, área de lavado, 1 lugar de estacionamiento, el edificio cuenta con Amenidades: Alberca, Gym, jardines con juegos infantiles, ludoteca, vigilancia 24 horas. Agenda tu cita cuanto antes!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-en-be-grand-polanco-con-65875062.html,"MN 33,500","Lago Iseo 305
Ampliación Granada, Miguel Hidalgo","75 m² lote, 1 rec., 1 baño, 1 estac.",Ampliación Granada
"Departamento en venta o Renta en Miyana. Moderno y amplio departamento ubicado en Miyana, Torre Monarca. Ofrece amplios espacios en sus 170m², consta de 3 recámaras con cuarto de servicio, además cuenta con bonitas vistas e iluminación. Una oportunidad en una ubicación privilegiada. - Tipo de operación: Departamento en venta o renta sin muebles. - Ubicación: Av. Ejército Nacional Mexicano 769, Granada, Miguel Hidalgo, Ver datos Ciudad de México, cdmx. Características: · 3 recámaras con baño completo, principal con tina y doble lavabo. · Sala y comedor amplios. · Cocina integral. · Cuarto de tele con medio baño de visitas. · Cuarto de servicio con baño completo. · Área de lavado. · Clóset de blancos y anaqueles. · Estacionamientos: 3 cajones de estacionamiento. · Esquinero e iluminado con bonita vista. · Cerradura digital en entrada. · Película aislante de calor en todas las ventanas. · Instalación de filtro de agua para el consumo humano. · Incluye línea Blanca (Horno, refri, micro, centro de lavado) Normas: Mascotas: Permitidas. Se permite fumar en el departamento. Beneficios de seguridad: - Alta Seguridad 24/7 con rondines de seguridad constantes. - Acceso con biométricos y huella. - Acceso directo a Plaza Miyana. Amenidades: - Alberca con chapoteadero. - Asoleadero con camastros. - Gimnasio completo. - Salón de pilares. - Salón de bici y multifucional. - Spa con masaje, jacuzzi, lockers, regaderas, sauna y vapor. - Salón de belleza. - Ludoteca. - Sala de tareas / estudio. - Restaurante / cafetería. - Áreas verdes, terrazas y mesas cómodas. - Cancha de futból. - Salón de juegos (billar) - Estacionamientos para visitas. ubicación: El residencial se encuentra en el centro comercial Miyana. Servicios cercanos: - Plazas comerciales con servicios bancarios, telefonía, tiendas de ropa de moda y de lujo, restaurantes de todo tipo de variedad, cafés, entretenimiento (cine, museos, etc. ), gimnasios, salones de belleza, hospitales, corporativos, supermercados, colegios, entre otros. Esperamos su llamada con mucho gusto. *Somos expertos en la zona de Nuevo Polanco, contáctenos para preguntar sobre ésta y otras opciones de departamentos",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-renta-o-venta-en-miyana-nuevo-polanco-147077497.html,"MN 85,000","AVENIDA EJÉRCITO NACIONAL 769
Ampliación Granada, Miguel Hidalgo","170 m² lote, 3 rec., 3 baños, 3 estac.",Ampliación Granada
"Departamento en Renta en Ventana Polanco con terraza, cuenta con 2 habitaciones la principal con baño y vestidor, 2 baños completos y 2 estacionamientos, el edificio incluye seguridad 24 hrs, estacionamiento de visitas, gimnasio, carril de nado, ludoteca, cancha de paddel, area de asadores, salon de eventos, jardin con juegos infantiles, a unos pasos de Plaza Carso, Antara y Miyana",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-con-terraza-147447766.html,"MN 34,000","Lago Zurich 168
Ampliación Granada, Miguel Hidalgo","90 m² lote, 2 rec., 2 baños, 2 estac.",Ampliación Granada
Rentaplazacarso. com. departamento completamente amueblado Y equipado muy lindo. 75 M2. 1 recamara con baño completo Y vestidor. Area de lavado. Acabados de alta calidad. Amplias cristaleras. Muy luminoso. 1 cajon de estacionamiento. Vigilancia 24 horas. Estacionamiento para visitas. Completo conjunto de amenidades. Torre muy tranquila Y segura. Todos los servicios alrededor. Ubicacion inmejorable. Mantenimiento incluido en la renta. Solo se renta para periodos de larga estancia.,https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso:-amueblado-de-1-recamara-143737561.html,"MN 40,000","FERROCARRIL DE CUERNAVACA 779
Ampliación Granada, Miguel Hidalgo","75 m² lote, 1 rec., 1 estac.",Ampliación Granada
"¿Buscas un departamento de lujo con todas las comodidades y en una de las zonas más vibrantes de la Ciudad de México? Este increíble departamento es para ti. Se renta una propiedad de 115 m² en el exclusivo complejo de Miyana Polanco, estratégicamente ubicado sobre la avenida Ejército Nacional, en la colonia Granada. El departamento está diseñado para ofrecerte una vida de confort y estilo. Cuenta con 2 amplias recámaras, perfectas para descansar y tener tu espacio personal. Además, dispone de 2. 5 baños modernos, ideales para la privacidad de los residentes y sus invitados. Pensando en tu comodidad, el departamento se entrega completamente amueblado y equipado, lo que te permite mudarte de inmediato sin la preocupación de comprar muebles o electrodomésticos. Incluye también 2 lugares de estacionamiento, un lujo en esta zona de la ciudad. Vivir en Miyana Polanco te da acceso a una experiencia residencial única, con seguridad las 24 horas y la cercanía a los principales centros de negocios, centros comerciales, restaurantes y parques de la zona de Polanco. Todo lo que necesitas está a tu alcance. Precio de renta: 62, 000 mxn. Para más información o para agendar una visita, contáctanos. ¡No dejes pasar esta oportunidad de vivir en uno de los complejos más codiciados de la ciudad!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-en-renta-departamento-miyana-polanco-ampliacion-147388261.html,"MN 62,000","Miyana
Ampliación Granada, Miguel Hidalgo","115 m² lote, 2 rec., 2 baños, 2 estac.",Ampliación Granada
