Título,Enlace,Precio,Dirección,Características,Colonia de Origen
Be Grand. Alto Polanco. Torre 1. Piso 18. 105m2. 2 recs principales con walkin clóset. 2 Baños completos. Cocina integral abierta. Barra desayunadora. Cuarto de lavado. Vista corredor Reforma. 2 estacionamientos. Bodega. el precio incluye el mantenimiento. Se acepta mascota pequeña. Requisito indispensable Fiador con bien raíz en la Cdmx libre de gravámen. en la cdmx libre de gravámen,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-be-grand-alto-polanco-dos-147453260.html,"MN 33,000","Lago Alberto
Anáhuac II Sección, Miguel Hidalgo","105 m² lote, 2 rec., 2 baños, 2 estac.",Anáhuac II Sección
"Departamento en renta amueblado en 5to piso sin elevador, consta de 2 recamaras, 1 baño y 1 estacionamiento, cuenta con vigilancia 24/7. ( no se aceptan mascotas). Esta ubicado cerca de metro Colegio Militar y Torre de Pemex, a 15 minutos de Polanco, cuenta con colegios, mercados cercanos, estaciones de metro y avenidas principales",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-amueblado-en-anahuac-miguel-147254558.html,"MN 16,500","Lago de Patzcuaro
Anáhuac II Sección, Miguel Hidalgo","46 m² lote, 2 rec., 1 baño, 1 estac.",Anáhuac II Sección
"-Anahuac, Be Grand alto Polanco, Torre iii, Lago Alberto. Bonito y moderno departamento de 67m2 en piso medio. Sala-comedor, cocina abierta, espacio de lavado. 1 recámara, 1 baño. 1 estacionamientos. Pisos de madera. Áreas comunes: alberca, gimnasio, ludoteca, salón de usos múltiples, business center, área de juego para niños, cine, salón de jóvenes. Seguridad. Renta incluye mantenimiento. Amueblado y equipado. Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se deben de verificar con la inmobiliaria. Esta publicación no es una oferta pública. Toda transacción requiere autorización expresa de los propietarios.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-be-grand-polanco-departamento-renta-amueblado-147179939.html,"MN 33,500","Lago Alberto 300
Anáhuac II Sección, Miguel Hidalgo","67 m² lote, 1 rec., 1 baño, 1 estac.",Anáhuac II Sección
"Loft en Renta en Parques Polanco, 42m2 en piso 3, el área es concepto abierto con acomodo al gusto de cada persona. Vista hacia área verde y exterior. Cuenta con closet, cocina, 1 baño, área de lavado independiente y 1 lugar de estacionamiento. Seguridad Privada y Circuito cerrado 24/7. El edificio es uno de los más nuevos del Residencial, áreas verdes con + de 19, 000 metros de áreas verdes, juegos infantiles, ludoteca, área para caminar y correr. Acceso directo a la plaza comercial de Parques Polanco con Restaurantes, bancos y múltiples opciones de negocios. Super ubicado en la zona más caliente del área. Walking distance a Liverpool Polanco y Polanquito.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-loft-parques-polanco-147327209.html,"MN 18,500","Lago Alberto 320
Anáhuac II Sección, Miguel Hidalgo","42 m² lote, 1 baño, 1 estac.",Anáhuac II Sección
"Departamento en renta. 2 habitaciones, cocina, sala-comedor, area de lavado, balcon y estacionamiento individual frente a elevador. vigilancia 24/7. No incluye: servicios de: luz, agua, tv de paga, teléfono e internet, entre otros. Mantenimiento incluido. requisitos: Mes de renta, Deposito y poliza juridica con valor de $6, 600. Mantenimiento incluido. (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-anahuac-ii-seccion-4-146709230.html,"MN 16,500","Lago Zirahuen
Anáhuac II Sección, Miguel Hidalgo","64 m² lote, 2 rec., 1 baño, 1 estac.",Anáhuac II Sección
"Departamento en renta amueblado en 5to piso sin elevador, cuenta con 2 recamaras, 1 baño y 1 estacionamiento, cuenta con vigilancia 24/7. ( no se aceptan mascotas). Esta ubicado cerca de metro Colegio Militar, metro Normal, a 5 minuto Torre de Pemex s, a 15 minutos de Polanco, cuenta con colegios, mercados cercano, transporte y avenidas pincipales.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-metro-colegio-militar.-147259915.html,"MN 16,500","Lago de Patzcuaro
Anáhuac II Sección, Miguel Hidalgo","46 m² lote, 2 rec., 1 baño, 1 estac.",Anáhuac II Sección
"Departamento de 80m2, consta de sala-comedor, cocina integral, zotehuela, 3 recamaras con closet, 2 baños completos, espacio para 2 automóviles. Ubicado en 4º piso interior (muy iluminado), no cuenta con elevador. Mantenimiento incluido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-felipe-carrillo-puerto-anahuac-i-147052224.html,"MN 16,000","Felipe Carrillo Puerto 130
Anáhuac II Sección, Miguel Hidalgo","80 m² lote, 3 rec., 2 baños, 2 estac.",Anáhuac II Sección
"Local comercial en venta ubicado en Anáhuac ii Sección. Cuenta con 65 m2 de superficie de terreno y 65 m2 construidos, ideal para iniciar o expandir tu negocio. Dispone de 2 baños y 1 lugar de estacionamiento. Antigüedad de 6 años. Este local ofrece un espacio versátil para adaptarlo a tus necesidades comerciales. Su distribución permite crear un ambiente funcional para atención al cliente y área de trabajo. Los baños están en perfectas condiciones y el estacionamiento facilita el acceso a tus clientes. La ubicación en Anáhuac ii Sección es estratégica, con fácil acceso a vialidades principales y transporte público. Anáhuac ii Sección es una zona predominantemente residencial y comercial, con un ambiente tranquilo y familiar. Se clasifica como una zona urbana consolidada con acceso a diversos servicios. En los alrededores, encontrarás opciones de transporte público como estaciones de Metrobús y paradas de autobús urbano, así como vialidades importantes que facilitan la movilidad. Hay escuelas de nivel básico y medio superior en la zona, así como supermercados, tiendas de conveniencia y farmacias. Para el ocio y la recreación, existen parques cercanos y restaurantes. La zona cuenta con hospitales y clínicas en la cercanía, lo que la hace conveniente para residentes y negocios. En general, Anáhuac ii Sección se percibe como una zona segura y con un ambiente de vida de barrio, donde los vecinos interactúan. La ubicación estratégica y la disponibilidad de servicios hacen de esta zona una opción atractiva para establecer un negocio.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-col-anahuac-143054497.html,"MN 23,000","CALZ MEXICO TACUBA #
Anáhuac II Sección, Miguel Hidalgo","65 m² lote, 2 baños, 1 estac.",Anáhuac II Sección
"Departamento construido en tercer piso (sin elevador), superficie de 55 m2, distribuido en 2 recamaras, sala, cocina, comedor, baño y área de lavado. Se encuentra semiamueblado y no cuenta con espacio de estacionamiento. Excelente ubicación, cercano a metro Colegio Militar.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147267679.html,"MN 14,250","LAGO DE PATZCUARO
Anáhuac II Sección, Miguel Hidalgo","55 m² lote, 2 rec., 1 baño",Anáhuac II Sección
"Excelente Departamento en Renta en Torre Cadú Lago, solo a 15 minutos de Polanco. Disponible 15 de septiembre. Sin muebles. Distribuido en dos recámaras con clóset, dos baños completos, estancia amplia, cocina integral, área de lavado y un estacionamiento. Amenidades como gimnasio, ludoteca, área de juegos infantiles, zona de mascotas y más! ¡Agenda tu visita y ven a conocerlo!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-torre-cadu-anahuac-147346114.html,"MN 20,500","Calzada Tacuba
Anáhuac II Sección, Miguel Hidalgo","65 m² lote, 2 rec., 2 baños, 1 estac.",Anáhuac II Sección
