Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en Renta. $15, 500. Viaducto Río Piedad, Tlalpan. 72m2. 2 Recamaras. 2 Baños. Balcón. 1 Estacionamiento. Se acepta solo 1 (una) mascota pequeña.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-tlalpan-143516774.html,"MN 15,500","Viad. Río de la Piedad 256, Asturias
Asturias, Cuauhtémoc","67 m² lote, 2 rec., 2 baños, 1 estac.",Asturias
"La alcaldía Cuauhtémoc te ofrece un departamento para tu familia con 80m2, 2 recamaras, 2 baños completos, área de sala comedor, cocina integral, sin lugar de estacionamiento, 4to piso sin elevador. Amueblado. Contáctanos para conocer más sobre el departamento",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-col.-asturias-cuauhtemoc-146653406.html,"MN 18,000","José Sotero
Asturias, Cuauhtémoc","80 m² lote, 2 rec., 2 baños",Asturias
"Departamento recién remodelado con terraza privada en renta – Colonia Asturias, Cuauhtémoc. ¡Todos los servicios incluidos! No te pierdas la oportunidad de estrenar este departamento recién remodelado. La propiedad estará lista para ocuparse en Septiembre 2025. Algunas fotos son renders de cómo estará quedando. ¡Excelente ubicación! A solo unos minutos del metro La Viga y Chabacano, cerca del mercado de Jamaica y a una cuadra de Viaducto Miguel Alemán. Ideal para quienes buscan comodidad y buena conexión con el resto de la ciudad. Características del departamento: • Superficie total: 55 m² • Interior: 48 m² con 2 habitaciones y 1 baño completo. • Terraza privada de 10m² • Cocina equipada. • Segundo piso (acceso por escaleras) Incluye mobiliario básico: refrigerador, lavadora, cortinas y clóset. Opción de cajón de estacionamiento con costo adicional. La propiedad está dentro de una casa habitada por una familia tranquila. Renta mensual: $12, 500. Incluye servicios agua, luz, internet y gas. Ideal para persona sola o pareja tranquila. ¡Agenda tu visita!",https://www.inmuebles24.com/propiedades/clasificado/alclappa-departamento-con-terraza-privada-en-renta-asturias-64236311.html,"MN 12,500","Sur 69-A 3009
Asturias, Cuauhtémoc","55 m² lote, 2 rec., 1 baño, 1 estac.",Asturias
"2 Recamaras, 2 baños, 2 closets, cocina integral, estacionamiento, roof garden privado, salón de usos múltiples, vigilancia las 24 horas, trato directo",https://www.inmuebles24.com/propiedades/clasificado/alclappa-departamento-penthouse-asturias-142493834.html,"MN 18,500","Sur 79 4214
Asturias, Cuauhtémoc","154 m² lote, 2 rec., 2 baños, 1 estac.",Asturias
"Bonito Departamento en primer piso exterior. Muy Iluminado. A estrenar!! 60 mts2. loft. terraza. Recamara. Clóset. Estancia comedor. Cocina. Barra. Sala. Baño completo. Incluye muebles sala, barra, cocina equipada, refrigerador, cama, pantalla hd. Los servicios van incluidos, agua, luz y gas. Además del internet. Comunicarse con Julio Pérez. Ver datos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-amueblado-viaducto-tlalpan-exterior-loft-66825281.html,"MN 12,000","Sta Anita 230
Viaducto Piedad, Iztacalco","60 m² lote, 1 rec., 1 baño",Asturias
"Exceente ubicacion departamento muy iluminado dentro de efificio de solo 8 deptos. Muy tranquilo; compuesto por 2 recamaras grandes con closet, estanci-comedor, cocina integral, baño completo con canceleria, area de lavado integrada Y jaula de tendido en azotea, cuenta con un lugar de estacionameinto,, no se aceptan mascotas, para mayores informes Y citas comuniquese al Ver datos sr. Roberto vela",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-en-viaducto-piedad-147251781.html,"MN 14,000","Sur 73 4349
Viaducto Piedad, Iztacalco","20 m² lote, 2 rec., 1 baño, 1 estac.",Asturias
"Bonito departamento. Cocina equipada, estancia comedor doble altura con balcón, recamara principal con baño completo con cancel de cristal templado y closet, recamara secundaria con closet, área de lavado con instalación hidráulica y eléctrica para la lavadora, boiler de paso, se ubica en el tercer nivel no contamos con elevador, se paga 900. 00 de mantenimiento. Se entrega con persianas, se acepta 1 mascota talla chica O 1 gato. Roof garden comun. *no tiene estacionamiento* A una cuadra hay una pension. Requisitos. 1 mes de renta. 2 depósitos. póliza jurídica con un costo 5, 800. 00 que deberá de cubrir el inquilino toda vez que no se pide aval con bien inmueble. Se pide 1, 200. 00 de la investigación de ser aprobada se tomara a cuenta del total de monto de la póliza. Ine, curp, 3 ultimos estados de cuenta del arrendador Y obligado solidario, comprobante de domicilio del obligado. Este departamento en renta se ubica en la colonia Algarín. Cuenta con 70 m2 de superficie construida. Este inmueble ofrece servicios básicos como agua y luz, además de conexión a internet/wifi. La Algarín es una zona predominantemente residencial y tranquila, con un ambiente familiar. Cuenta con buena conectividad gracias a sus vialidades principales y opciones de transporte público como estaciones de metro y paradas de autobús. Encontrarás escuelas de nivel básico y medio superior en los alrededores. Para tus compras, hay tiendas de conveniencia, mercados locales y supermercados cercanos. La zona también ofrece parques y áreas verdes para actividades recreativas. La seguridad se percibe como buena. El ambiente general es de vida de barrio, con vecinos que interactúan y un estilo de vida relajado. Agenda hoy mismo tu cita Ver datos 46",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-70-m-sup2--2-recamaras-en-renta-algarin-147271620.html,"MN 14,500","Calle José Toribio Medina
Algarín, Cuauhtémoc","70 m² lote, 2 rec., 2 baños",Asturias
"Pequeño departamento ubicado a media cuadra de Viaducto Río de la Piedad y La Coruña, a unas cuadras de Calz. De Tlalpan (metro Viaducto). Se encuentra en 3 piso, sin elevador. Cuenta con estancia sala-comedor, cocina integral, 1 recamara con closet, espacio para vestidor, 1 baño completo y no cuenta con estacionamiento. No niños y no mascotas. Citas: (55) Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-pequeno-departamento-en-renta-en-col.-viaducto-piedad-147424344.html,"MN 10,500","Marcos Carrillo 276
Viaducto Piedad, Iztacalco","62 m² lote, 1 rec., 1 baño",Asturias
"Iluminado y funcional departamento exterior con excelente ubicación, ideal para quienes buscan comodidad, seguridad y conectividad en la Cdmx. Este inmueble cuenta con: 3 recámaras todas con closet. 2 baños completos. Sala- comedor con balcón. Cocina abierta con diseño funcional. 1 cajón de estacionamiento independiente. Elevador y vigilancia las 24 / 7 para tu tranquilidad. Amenidades para disfrutar con tu familia. Cuenta con área de asadores, salón de usos múltiples. Ludoteca, perfecto para los pequeños del hogar. El departamentos es exterior, lo que lo hace iluminado y ventilado. Se encuentra en edificio moderno, seguro y bien administrado, con acceso controlado, servicio y limpieza de áreas comunes en óptimas condiciones. Conectividad inmejorable: Inmueble ubicado entre las estaciones de metro Jamaica, La Viga, San Antonio y Chabacano. A 2 calles de Viaducto Río de la Piedad, a 1 calle de Av del Taller. Agenda tu visita y conócelo, esta puede ser la oportunidad que estabas buscando. Para conocer este departamento es exclusivamente al telefono publicado.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-artes-graficas-145996479.html,"MN 17,900","Calzada la Viga 200
Sevilla, Venustiano Carranza","69 m² lote, 3 rec., 2 baños, 1 estac.",Asturias
"Se renta departamento en primer nivel interior, de 52 M2, desarrollado en 2 recmaras, sala, comedor, cocina equipada, area de lavado integrado, recien remodelado, excelente ubicacion, vias de acceso principal congreso de la union Y viaducto",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147408914.html,"MN 8,000","HIDALGO
Nueva Santa Anita, Iztacalco","52 m² lote, 2 rec., 1 baño",Asturias
