Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en renta con 50M2, cuenta con 1 recamara, sala, comedor, cocina integral, gas natural, 1 baño completo, area de lavado con jaula, cuenta con chimenea, muy cerca de av universidad Y A 10 minutos de metro viveros Y derechos humanos, A 15 minutos caminando de centro comercial mitikah.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-146805383.html,"MN 15,000","BENITO JUAREZ
Axotla, Alvaro Obregón","50 m² lote, 1 rec., 1 baño",Axotla
"Ubicadísimo departamento en calle tranquila a solo unos metros de Mitika, y muy cerca del centro de Coyoacán con excelente ubicación y vías de acceso. Iluminado y en excelentes condiciones, en edificio de 8 pisos, ubicado en un segundo piso y con solo 2 departamentos por nivel está este clásico departamento con mucha madera y amplias ventanas que consta de recibidor a la entrada, estancia muy amplia, cocina y antecomedor. Un amplio pasillo conduce a las 3 recámaras, todas muy amplias y con muy buenos closets. La recámara principal tiene baño y un segundo baño completo que comparten las otras 2 recámaras. Área de lavandería y cuarto de servicio con baño integrado. 1 lugar de estacionamiento fijo, no se estorba. Conserje de lunes a viernes de 8: 00 am a 6: 00 pm, sábados hasta las 2: 00 pm. Requisitos: Mes de depósito. Fiador u obligado solidario. Póliza jurídica",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-coyoacan-de-3-recamaras-147149879.html,"MN 35,000","Matamoros 46
Del Carmen, Coyoacán","167 m² lote, 3 rec., 2 baños, 1 estac.",Axotla
"Renta departamento remodelado. Cuenta con amplia estancia comedor. Cocina integral cerrada con área de lavado. Jaula de tendido en azotea. 2 recámaras grandes con closet. 2 baño completos. 2 lugares de estacionamiento fijos. Roof. garden común. Edificio con elevador. Requisitos para rentar: 1 mes de deposito. 1 mes de renta adelantada. Fiador con bien raiz en cdmx. Comprobantes de ingresos A traves de nomina O estados de cuenta bancarios por $68, 000 mensuales netos Y una poliza juridica",https://www.inmuebles24.com/propiedades/clasificado/alclapin-del-valle-sur-acacias-renta-departamento-remodelado-67078902.html,"MN 22,500","ADOLFO PRIETO
Acacias, Benito Juárez","100 m² lote, 2 rec., 2 baños, 2 estac.",Axotla
"Renta de departamento ubicado en la Colonia Acacias del Valle, zona segura, tranquíla y bien ubicada. Este departamento cuenta con amplia y luminosa estancia con acceso a terraza amplia. Dos cómodas recámaras, con closet en la recamara secundaria y walking closet, en la principal. Dos baños completos uno de ellos se encuentra ubicado en la recamara principal. La cocina es funcional y cuenta con espacio para alacena y refrigerador además de excelente ventilación e iluminación natural. Cuenta con patio de servicio, área de lavado, anexa al área de cocina y bien ventilada. El departamento cuenta con dos lugares de estacionamiento son amplios y solo se estorban entre sí. La ubicación es idónea para accesar a vías rápidas, metro, zonas peatonales, calle muy tranquila y en cerrada, a media cuadra del parque Acacias del Valle, muy cerca plazas comerciales, hospitales y tiendas de autoservicio.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-en-col-acacias-del-valle-benito-147143936.html,"MN 27,500","Calle 3
Acacias, Benito Juárez","95 m² lote, 2 rec., 2 baños, 2 estac.",Axotla
"Espacios inmobiliarios renta excelente departamento en la calle de Barranca del Muerto en la colonia Florida, a pasos de Insurgentes, muy iluminado, magnífica ubicación, 2do piso, 3 recámaras, 2 baños, cocina, sala, comedor, balcón, área de lavado, 2 estacionamientos, vigilancia 24 horas. Mantenimiento incluido en el precio de renta.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-calle-barranca-del-muerto-florida-61788622.html,"MN 26,500","Barranca del Muerto 140
Florida, Alvaro Obregón","130 m² lote, 3 rec., 2 baños, 2 estac.",Axotla
"Depto con 135 m2 habitables, mas terraza amplia. con 2 recamaras, 2 baños, 1 estacionamiento, sala, comedor, cocina, area de lavado. super ubicado, frente al teatro libanes y club libanes amueblado, en 3 piso (sin elevador)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-colonia-florida-147433003.html,"MN 29,500","Barranca del Muerto 96
Florida, Alvaro Obregón","135 m² lote, 2 rec., 2 baños, 1 estac.",Axotla
"Se renta departamento en la colonia Florida, tiene una excelente ubicación, a unas calles de Insurgentes y muy cerca del Club France. El edificio tiene vigilancia 24/7, cuenta con un elevador nuevo y el departamento se encuentra en el tercer nivel. Entrando al departamento se encuentra el área de sala-comedor que es muy iluminada y tiene espacio para poder hacer una tercera recámara. Cuenta con dos recámaras, un baño completo y medio baño para visitas. La cocina es amplia y tiene además un área de servicio y cuarto de servicio con baño completo que tiene acceso independiente. El departamento tiene asignado un cajón de estacionamiento de uso exclusivo y que es independiente y además el edificio cuenta con 4 lugares de estacionamiento para visitas. Fue remodelado recientemente y todo el departamento cuenta con luz indirecta",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-colonia-florida-147109135.html,"MN 39,000","Camelia 163
Florida, Alvaro Obregón","136 m² lote, 2 rec., 2 baños, 1 estac.",Axotla
"Departamento en renta en Avenida Mixcoac 222, colonia Acacias, planta baja, exterior. A unas calles de Parque Acacias, metro Coyoacan, Mitikah caminando a 10 minutos, Patio Universidad, Viveros de Coyoacan. Consta de: Sala, comedor, cocina integral abierta, cuarto de lavado. Recámara principal con vestidor y baño completo, Recámara secundaria con closet, Un baño completo en area común, Dos lugares de estacionamiento en fila (uno detrás del otro) Una bodega en planta baja. Vigilancia 24 horas, elevador, terraza interior, co-working. Espacio para socializar (mesa de billar y sala de estar) Mantenimiento mensual $2500 no incluido en el monto de la renta. Requisitos: Un mes de renta, un mes de depósito y póliza de arrendamiento anual con fiador u obligado solidario.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-colonia-acacias-benito-143051242.html,"MN 24,000","Avenida Rio Mixcoac
Acacias, Benito Juárez","82 m² lote, 2 rec., 2 baños, 2 estac.",Axotla
"[arr] id houm: Ver datos. Entérate de todos los beneficios al rentar con Houm: • No te pedimos aval. • Asistencia e intermediación con el propietario. • Firma tu contrato online. • Renta sin burocracia, papeleos y mucho más rápido. • Difiere tu depósito en hasta 6 meses sin interés. Departamento en renta, ubicado en la colonia Colonia del Valle Centro, con una superficie construida de 137. 00 m² y superficie total de 137. 00 m². Sus principales características son: • Sin amueblar. • 3 recámaras. • 4 baños. • Admite mascotas. • 1 estacionamiento. • Cocina equipada. • Piso 9. • Año de construcción: 1970. • Cuarto de lavado. • Bodega. Además, el inmueble cuenta con las siguientes amenidades: • Vigilancia 24 hrs. • Elevador. Si rentas con nosotros, te brindamos asesoría personalizada durante todo el proceso. Importante: • Se deben demostrar ingresos de 3 veces el valor de la renta. • En caso de que tus ingresos no lleguen a 3 veces el valor de la renta, estos pueden ser la suma de las personas que vivirán en la propiedad. • Te invitamos a agendar una visita a esta propiedad: esta puede ser presencial o vía streaming, desde la comodidad de tu hogar. • Y lo mejor. Sin aval. Más que una corredora, somos Houm. *Aplican T&C",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-acacias-con-3-recamaras-id:.-146847424.html,"MN 23,000","Avenida Coyoacán
Acacias, Benito Juárez","137 m² lote, 3 rec., 4 baños, 1 estac.",Axotla
"Rento mini departamento para una persona, únicamente para caballero, está amueblado, cuenta con todo lo necesario, baño completo, área de lavado y secado, se encuentra dentro de una casa pero es totalmente independiente, ambiente tranquilo y respetuoso, muy bien ubicado a unas cuadras de la preparatoria #6, centro y mercado de Coyoacán, cerca de la Plaza Mitika.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-mini-departamento-amueblado-para-una-persona-147257236.html,"MN 10,000","Avenida Río Churubusco 370 & Viena
Del Carmen, Coyoacán","40 m² lote, 1 rec., 1 baño",Axotla
