Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Se Renta Departamento de 150m2. En dos pisos. En P. B. El área Social: Estancia con Librero, Comedor, Cocina Integral (incluye Refrigerador y Horno de Microondas), Área de Lavado cerrada, medio Baño de Visitas, amplio Balcón en "" L "" con hermosa vista a los Volcanes. En Planta Alta, 3 recámaras, la principal con baño completo, clóset y cajoneras. Otro baño completo para las otras dos habitaciones. Todo el departamento está forrado de madera e incluye Persianas, con Black out en Habitaciones. 2 Cajones de Estacionamiento, 1 Bodega, Lobby, Ludoteca, Alberca con chapoteadero, Pista de Joggin, Juegos, Jardín, Salón de Fiestas, pequeño Gimnasio. Seguridad 24 hrs, acceso con tags en estacionamiento y tarjetas en Accesos principales. No se aceptan mascotas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-departamento-atras-del-costco-64207400.html,"MN 25,850","Toltecas 166
Carola, Alvaro Obregón","150 m² lote, 3 rec., 2 baños, 2 estac.",Carola
"Se renta departamento en 6o piso, elevador. 2 recámaras. 1 baño. 1 lugar de estacionamiento independiente. Excelente ubicación (Periférico y Viaducto) Vigilancia y canchas de basquet. no se aceptan mascotas de ningún tipo. Requisitos: Mes de renta. Mes de depósito. Aval o 2 meses de depósito con obligado solidario. Ambos casos firma de pagarés. Renta de 11, 500 más 600 pesos de mantenimiento. Se entrega pintado",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-col.-carola-147390644.html,"MN 11,500","Nellie Campobello 129
Carola, Alvaro Obregón","60 m² lote, 2 rec., 1 baño, 1 estac.",Carola
"Vive en un cómodo y cálido departamento naturalmente iluminado, dentro de un Fraccionamiento tranquilo, muy agradable y con excelente ubicación en Parque San Antonio, Carola, Alcaldía Álvaro Obregón, Ciudad de México, a sólo 5 minutos encontrarás vías como: Anillo Periférico, Avenida Central y Prolongación San Antonio y a poca distancia el Metro San Pedro de los Pinos, San Antonio y Metro Mixcoac. Por otro lado, a menos de 5 min encontrarás el Costco y la Plaza Exhibimex, así como escuelas, bancos y demás comercios alrededor. El departamento tiene una vista muy agradable ya que se encuentra en octavo piso. En la entrada del departamento al lado derecho encontrarás el estudio, seguido de la cocina integral con una barra desayunador, de frente encontrarás la sala-comedor, la izquierda un medio baño seguido de un baño completo compartido para las recámaras y la derecha la recámara principal y la recámara secundaria ambas con closet, también cuenta con espacio para la lavandería. Además, cuentas con dos lugares de estacionamiento y una bodega. El Fraccionamiento cuenta con áreas comunes como: explanada recreativa, área de juegos infantiles, 2 canchas deportivas y un Minisúper en el conjunto, recepción y vigilancia las 24 hrs. ¡Contáctanos ¡será un placer atenderte, éste podría ser tu próximo hogar…. **El precio del inmueble no incluye el pago de Impuestos, servicios u otros gastos, únicamente la renta de este y el mantenimiento. **Se requiere: mes de depósito, mes de renta y pago de póliza jurídica.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-alcaldia-alvaro-obregon-147304123.html,"MN 18,500","Toltecas 166, Torre H, Dpto 810, Alvaro Obregón, Cdmx
Carola, Alvaro Obregón","72 m² lote, 2 rec., 1 baño, 1 estac.",Carola
"Departamento en renta de 64 m2. Cuenta con 3 recamaras (la principal con closet), 2 baños completos, sala comedor, cocina integral, área de lavado y 1 cajón de estacionamiento totalmente independiente. El condominio es Pet friendly, tiene cancha de básquet, pista de jogging, juegos infantiles, 2 elevadores más 1 de carga para poder subir los muebles en la mudanza y tambien tiene estacionamiento de visitas. Tiene una gran ubicación ya que tiene acceso desde el condominio a una pequeña plaza con farmacias, restaurantes, gimnasio, dentista, panadería, etc; además de estar a unos pasos del Costco de San Antonio, Mega Soriana y con excelentes vías de transporte público. La renta son $13, 000 con mantenimiento incluido. Aceptamos mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-carola-alvaro-obregon-147444054.html,"MN 13,000","Toltecas
Carola, Alvaro Obregón","64 m² lote, 3 rec., 2 baños, 1 estac.",Carola
"Ref: 2 4 9 9 6 5. Departamento espacioso recién remodelado en renta, con entrega inmediata en el torre J en Parque San Antonio Carola, Álvaro Obregón. Con una distribución de 65 m2, esta propiedad cuenta con 1 recámara y su vestidor y baño completo. Cocina equipada, hay lavadora y refri. Cortinas enrollables en todos los espacios. Además, el edificio cuenta con amenidades como área de juegos infantiles, salón de fiestas, elevadores, caseta de vigilancia, jardín, área de eventos y seguridad privada 24 h, brindándote la tranquilidad y seguridad que tanto deseas. Entre las zonas de interés cercanas se encuentran el Parque san Antonio, Costco, Plaza Parque san Antonio, con bancos y otros servicios. La ubicación de esta propiedad es estratégica para garantizar la movilidad y. conectividad con distintas zonas de la Ciudad de México, dado su cercanía a. Rio becerra, Periférico, Av. San Antonio. Además, se encuentra a poca distancia del Metro San Pedro de los Pinos y metro Mixcoac. ¡No pierdas la oportunidad de conocer. este exclusivo hogar!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-parque-san-antonio-146510995.html,"MN 20,000","Toltecas 166 , Carola , 01180 Álvaro Obregón, Ciudad de México, México
Carola, Alvaro Obregón","65 m² lote, 1 rec., 1 baño, 2 estac.",Carola
"Con mantenimiento Incluido en la Renta. Departamento de dos plantas con Balcón, ubicado en condominio Punta San Antonio, cerca de comercios y todo tipo de servicios, a un costado de Periférico y con diversas vialidades como acceso. Planta Baja: Entrada al depto, Cocina, Sala, Comedor, Balcón, Baño de Visitas, Cuarto de Lavado con calentador nuevo. Planta Alta: 3 Recámaras, 2 Baños Completo. Cuenta con amenidades: Alberca con Vestidores. Gimnasio. Ludoteca. Oficina. Áreas Verdes. Pista de Jogging. Juegos Infantiles al aire libre. Salón de Fiestas. Cámaras de Seguridad en Areas Comunes. Seguridad Privada las 24 horas. 2 Cajones de Estacionamiento independientes. Mantenimiento Incluido",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-punta-san-antonio-147038871.html,"MN 23,500","punta san antonio
Carola, Alvaro Obregón","96 m² lote, 3 rec., 2 baños, 2 estac.",Carola
"Departamento en planta baja, ubicado en colonia Carola, disfruta de su ubicación cerca de vías rápidas, centros comerciales y diversos servicios. Cuenta con 2 recámaras con clóset, un baño completo, cocina integral y patio de servicio. Incluye un lugar de estacionamiento, seguridad 24/7 y mantenimiento, No se aceptan mascotas. El fraccionamiento cuenta con área de juegos infantiles. Para aviso de privacidad, quejas, sugerencias o aclaraciones visita, o escríbenos a Ver datos. Oficina Sur Ver datos y 6292. Los gastos de investigación y póliza jurídica no están incluidos en el costo de renta, así como el mobiliario, electrodomésticos y arte que se muestran en las fotografías.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-planta-baja-con-2-recamaras-147279687.html,"MN 14,000","Nellie Campobello
Carola, Alvaro Obregón","58 m² lote, 2 rec., 1 baño, 1 estac.",Carola
"Compartimos comisión con asesores inmobiliarios. Los pinos rentals, primer proyecto residencial con certificación edge en cdmx. departamentos equipados en renta ubicados sobre la vialidad urbana anillo periférico, permitiendo conectar con cualquier parte de la ciudad. Contamos con 3 tipos de departamentos acorde A tus necesidades. Loft - 1 recámara - 2 recámaras. beneficios: sin aval, clientes calificados que cumplan con requisitos. plazos de renta de 6 A 24 meses. mantenimiento en sitio. atención personalizada. 400mts de gimnasio equipado, coworking, sala de juegos, alberca, entre otras amenidades incluidas. Contáctanos Ver datos. Información importante: *Precios en contratos de 12 meses, incluye el costo de mantenimiento. Los cajones de estacionamiento, muebles y bodegas tienen costo adicional. El precio mostrado no incluye servicios públicos.",https://www.inmuebles24.com/propiedades/desarrollo/ememvein-los-pinos-rentals-renta-sin-aval-66376152.html,"MN 14,536","Anillo Periferico 428, San Pedro de los Pinos
San Pedro de los Pinos, Alvaro Obregón","150 un., 1 a 2 rec.",Carola
"Departamento U Place Periférico en renta con amenidades. Consta de 3 recamaras 2 y medio baños. Piso 26 vista a Chapultepec. Balcón. Área de lavado. Bodega. 2 lugares de estacionamiento independientes. Amenidades: Alberca, Gym, asadores, vapor, sauna, área de mascotas, ludoteca. Vigilancia 24 hrs. Mantenimiento incluido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-departamento-u-place-alvaro-obregon.-144474244.html,"MN 34,000","Blvb. Adolfo López Mateos 1075
San Pedro de los Pinos, Alvaro Obregón","150 m² lote, 3 rec., 2 baños, 2 estac.",Carola
"Departamentos en Renta de 2 recamaras y 2 baños. Los departamentos incluyen: cocina integral, parrilla de inducción, refrigerador, horno de microondas, closets, persianas y centro de lavado. El desarrollo cuenta con diferentes amenidades como son: Alberca, Gimnasio 24 hrs, Work Lounge, Pet Room y Game Room. No tienen muebles y el lugar de estacionamiento cuesta $1, 970 extra. Previa cita 48 Horas antes, no incluye muebles. Se realiza la investigacion por 899$, 1 mes de Renta y 1 mes de deposito. (segun cada cliente) Costos adicionales a considerar: Cajón de estacionamiento independiente $1, 970 auto, 600$ motocicleta, Mascota 1770$ cuota de inicio, mas 1770$ deposito y 310$ mensual. Horario de L-V 10 am a 2 pm y 4 a 6pm, Sab 10 a 2 pm.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-san-pedro-de-los-pinos-145745858.html,"MN 21,500","Av anillo Periferico
San Pedro de los Pinos, Alvaro Obregón","60 m² lote, 2 rec., 2 baños",Carola
