Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Bonito departamento ubicado en zona colonial de la Ciudad de México, es amplio y muy iluminado, consta de: 2 recámaras amplias e iluminadas, la principal con vestidor; 1 baño completo; cocineta; estancia de sala-comedor. Todas las ventanas tienen persianas y cuenta con una bonita vista al parque de la Bombilla. Excelente estado de conservación. El departamento se encuentra en una ubicación estratégica, muy cerca de avenidas principales: a una cuadra de Insurgentes, a dos cuadras de Revolución, a dos cuadras de avenida Universidad, lo que le otorga un fácil acceso a estas vías principales, al sistema de transporte público y a rutas de transporte escolar. Es ideal para estudiantes universitarios, foráneas o extranjeros. Opción: sin amueblar o amueblado/equipado mediante un incremento al precio por el amueblado más mantenimiento.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-excelente-ubicacion:-departamento-en-chimalistac-147366600.html,"MN 25,000","Miguel Ángel de Quevedo
Chimalistac, Alvaro Obregón","80 m² lote, 2 rec., 1 baño",Chimalistac
"Espectacular departamento de 235m2 en piso 15 con vista 180grados a San Angel) El departamento que se caracteriza por estar lleno de luz con amplísimos espacios y magnifica distribución consta de: •⁠ ⁠Estancia (sala-comedor) •⁠ ⁠Cocina Integral Abierta con barra desayunador. •⁠ ⁠Recámara principal con baño completo a doble tarja, closet y vestidor. •⁠ ⁠2 recámaras secundarias cada una con baño completo y closet. •⁠ ⁠½ Baño de visitas. •⁠ área para family room. •⁠ ⁠Area de lavado. •⁠ ⁠Cuarto de servicio con baño completo. •⁠ 3 Cajones de estacionamiento. El desarrollo que consta de dos torres de 17 pisos cada una con aprox. 72 depas por torre. En cuanto a amenidades contamos con: •⁠ Alberca techada con jacuzzi y área de vapor, sauna, regaderas y vestidores. •⁠ Gimnasio equipado con salón de spinning. •⁠ Salón de usos múltiples amueblado con bar. •⁠ Business center amuelado con internet. •⁠ ludoteca (adorable) •⁠ Area de juegos infantiles. •⁠ Jardín. •⁠ Area de asadores amueblada. •⁠ Area para mascotas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-de-lujo-las-flores-2020-con-147252866.html,"MN 70,000","Blvd adolfo lopez mateos 2020
San Ángel, Alvaro Obregón","235 m² lote, 3 rec., 3 baños, 3 estac.",Chimalistac
"Renta departamento en Eleva2411 con 3 recámaras. Cuenta con acabados de lujo, madera de ingeniería en área social y recámaras, mármol en baños, cocinas, vestidores, puertas y muebles de baños italianos. Contáctanos para recibir información adicional. Características: -115 m². -Recámara principal con baño y walk in clóset. -2 Recámaras con clóset. -Baño completo fuera de las dos recámaras secundarias. -Cocina equipada. -Amplia estancia y comedor. -Desayunador. -Área de servicio. -2 estacionamientos. Excelentes amenidades: • alberca. • chapoteadero para bebés y niños. • asoleadero. • cafetería. • áreas verdes. • gimnasio. • spa y área de masajes. • ludoteca. • salón de adultos. • tiendita. • estética. • business center",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-eleva2411-3-recamaras-90599447.html,"MN 38,000","Av. Insurgentrs Sur 2411
San Ángel, Alvaro Obregón","115 m² lote, 3 rec., 2 baños, 2 estac.",Chimalistac
"Ubicadísimo departamento en calle tranquila a solo unos metros de Mitika, y muy cerca del centro de Coyoacán con excelente ubicación y vías de acceso. Iluminado y en excelentes condiciones, en edificio de 8 pisos, ubicado en un segundo piso y con solo 2 departamentos por nivel está este clásico departamento con mucha madera y amplias ventanas que consta de recibidor a la entrada, estancia muy amplia, cocina y antecomedor. Un amplio pasillo conduce a las 3 recámaras, todas muy amplias y con muy buenos closets. La recámara principal tiene baño y un segundo baño completo que comparten las otras 2 recámaras. Área de lavandería y cuarto de servicio con baño integrado. 1 lugar de estacionamiento fijo, no se estorba. Conserje de lunes a viernes de 8: 00 am a 6: 00 pm, sábados hasta las 2: 00 pm. Requisitos: Mes de depósito. Fiador u obligado solidario. Póliza jurídica",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-coyoacan-de-3-recamaras-147149879.html,"MN 35,000","Matamoros 46
Del Carmen, Coyoacán","167 m² lote, 3 rec., 2 baños, 1 estac.",Chimalistac
"Renta departamento amueblado en el corazón de San Ángel, propio de conocedores que gusten del placer de la elegancia y el buen gusto diseñado en finas maderas, con acabados de lujo donde se combinan el arte y la comodidad, tiene una amplia estancia con vista al jardín de la Plaza de San Jacinto, la cocina es abierta, techos altos, baño con cancel de cristal templado, subiendo medio nivel encuentra la habitación con una recámara kings size, 2 armarios muy amplios, baño con cancel de cristal templado, cuenta con refrigerador y electrodomésticos. Incluye, luz, agua, gas e internet. Ganelo bajo de precio.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-san-angel-plaza-san-146275267.html,"MN 37,500","DR. GALVEZ 20 B
San Ángel, Alvaro Obregón","80 m² lote, 1 rec., 1 baño",Chimalistac
"Se renta departamento en la colonia Florida, tiene una excelente ubicación, a unas calles de Insurgentes y muy cerca del Club France. El edificio tiene vigilancia 24/7, cuenta con un elevador nuevo y el departamento se encuentra en el tercer nivel. Entrando al departamento se encuentra el área de sala-comedor que es muy iluminada y tiene espacio para poder hacer una tercera recámara. Cuenta con dos recámaras, un baño completo y medio baño para visitas. La cocina es amplia y tiene además un área de servicio y cuarto de servicio con baño completo que tiene acceso independiente. El departamento tiene asignado un cajón de estacionamiento de uso exclusivo y que es independiente y además el edificio cuenta con 4 lugares de estacionamiento para visitas. Fue remodelado recientemente y todo el departamento cuenta con luz indirecta",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-colonia-florida-147109135.html,"MN 39,000","Camelia 163
Florida, Alvaro Obregón","136 m² lote, 2 rec., 2 baños, 1 estac.",Chimalistac
"Exclusivos desarrollo ubicado en el corazón de las principales colonias residenciales del Sur de la ciudad. (Pedregal y San Ángel). Pedre cuenta con 110 departamentos desde 1 hasta 3 recámaras, todos con terraza y vistas espectaculares. 1 Torre de 14 niveles con 6 elevadores, 4 sótanos de estacionamiento, Gimnasio, Carril de Nado, Restaurante, Área de asadores y terraza común con vista de 360 a la ciudad. Además contamos con servicio exclusivo de Concierge. Este departamento de 2 niveles cuenta con un jardin de 144. 72m2",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-a-estrenar-en-el-pedregal-1001-66501818.html,"MN 54,000","Avenida San Jerónimo, 111
Loreto y Campamento, Alvaro Obregón","148 m² lote, 2 rec., 2 baños, 2 estac.",Chimalistac
"Depto con 135 m2 habitables, mas terraza amplia. con 2 recamaras, 2 baños, 1 estacionamiento, sala, comedor, cocina, area de lavado. super ubicado, frente al teatro libanes y club libanes amueblado, en 3 piso (sin elevador)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-colonia-florida-147433003.html,"MN 29,500","Barranca del Muerto 96
Florida, Alvaro Obregón","135 m² lote, 2 rec., 2 baños, 1 estac.",Chimalistac
"Departamento amueblado en renta be grand san angel. Vive la experiencia que ofrece Be Grand San Ángel, a pocos minutos de San Jerónimo, como referencia en frente del Hospital Genera. Ubicación: Calle Iglesia esq con Rio Magdalena, Col. San Ángel. 130m2 de superficie + 8m de balcón. 3 recámaras. (Principal con baño y vestidor, todas las recámaras cuentan con cama Queen) 2 baños (Recámara principal con baño, hay un tercer baño en el cuarto de servicio. ) 2 estacionamiento. Estancia 5. 5m x 4. 15m. Área de Lavado. Salón de Fiestas. gym. Alberca. Vigilancia 24hrs. Renta $35, 000. 00. wig: pkty6Xm",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-be-grand-san-angel-146938998.html,"MN 35,000","Calle Iglesia 270
Loreto y Campamento, Alvaro Obregón","138 m² lote, 3 rec., 3 baños, 2 estac.",Chimalistac
"Exclusivos desarrollo ubicado en el corazón de las principales colonias residenciales del Sur de la ciudad. (Pedregal y San Ángel). Pedre cuenta con 110 departamentos desde 1 hasta 3 recámaras, todos con terraza y vistas espectaculares. 1 Torre de 14 niveles con 6 elevadores, 4 sótanos de estacionamiento, Gimnasio, Carril de Nado, Restaurante, Área de asadores y terraza común con vista de 360° a la ciudad. Además contamos con servicio exclusivo de Concierge.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-a-estrenar-av-san-jeronimo-142865022.html,"MN 115,500","SAN JERONIMO, 111
Loreto y Campamento, Alvaro Obregón","319 m² lote, 3 rec., 3 baños",Chimalistac
"Departamento ubicado en piso medio-alto en venta, acabados de lujo, 95 m2 habitables, piso de madera de ingeniería, estancia abierta, 2 recámaras, la principal con baño, 2 baños completos, cocina integral con barra de granito, área de lavado, 2 estacionamientos, área de lavado. Circuito cerrado, lobby, seguridad, 3 elevadores por torre. Mantenimiento incluido. Amenidades: Alberca techada, jacuzzi, spa, sauna, gimnasio, ludoteca, salón para eventos grandes, salón para eventos pequeños, asadores con parrilla, área de juegos infantiles, terraza para tomar sol, áreas para eventos en diferentes puntos, áreas abiertas con jardín. Nuevo proyecto icónico al sur de la Ciudad, inspirado en el arte y la creatividad para lograr un ambiente único. En el tradicional barrio de San Ángel, a unos pasos de Altavista, un nuevo concepto residencial inspirado en el arte y la creatividad, tiene su origen y punto de inspiración en la casa estudio de Feliciano Béjar, un destacado artista plástico mexicano. La mezcla de belleza con áreas verdes, convierten los más de 2, 300 m2 en un lugar ideal para vivir. Incorporando el arte como parte de sus más de 1, 200 m2 de espacios abiertos, para lograr un ambiente que te llevarán a un estado de lujo, confort e inspiración. Proyecto diseñado para disfrutar las vistas del sur de la ciudad desde sus Amenidades en el nivel 26.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-art-atlamaya-residences-san-angel-zona-sur-147324832.html,"MN 28,500","Blvd. Adolfo López Mateos 2370
San Ángel, Alvaro Obregón","95 m² lote, 2 rec., 2 baños, 2 estac.",Chimalistac
"Departamento en renta a estrenar en piso alto, muy iluminado y ventilado, espectacular vista de la Ciudad, con acabados de lujo, en hermoso y exclusivo desarrollo, encuentra el departamento de tus sueños aquí, con una arquitectura única, y espacios pensados en tu comodidad. Ubicado en una de las mejores zonas de la Ciudad de México, a solo unos minutos de Portal San Ángel. Cuenta con 117 m2, de los cuales 40 son de terraza con verja de seguridad de vidrio templado alrededor del departamento, dos recámaras, 2 baños con acabados de mármol, cancel de vidrio templado, 2 estacionamientos, 4 bodegas, piso de madera de ingeniería, cocina integral abierta con plancha de granito, área de lavado, amplios ventanales. Mantenimiento incluido. Amenidades: Gym. Spa. Lounge Garden. Salón de eventos. Business center. Cine. Ludoteca. Carril de nado. Alberca. Motor Lobby. Estacionamiento para visitas. Circuito Cerrado. Seguridad. Concierge. Room Service. Biblioteca. Cafetería. Tienda de conveniencia. Tintorería. Sky Lounge. Sky Bar. Sky Pool. Barber shop & beauty salon",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-icon-san-angel-sur-cdmx-147400475.html,"MN 35,000","Blvd. Adolfo López Mateos 2008
San Ángel, Alvaro Obregón","117 m² lote, 2 rec., 2 baños, 2 estac.",Chimalistac
"Espacios inmobiliarios renta excelente departamento en la calle de Barranca del Muerto en la colonia Florida, a pasos de Insurgentes, muy iluminado, magnífica ubicación, 2do piso, 3 recámaras, 2 baños, cocina, sala, comedor, balcón, área de lavado, 2 estacionamientos, vigilancia 24 horas. Mantenimiento incluido en el precio de renta.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-calle-barranca-del-muerto-florida-61788622.html,"MN 26,500","Barranca del Muerto 140
Florida, Alvaro Obregón","130 m² lote, 3 rec., 2 baños, 2 estac.",Chimalistac
"Súper moderno mini loft amueblado en la colonia del Carmen Coyoacán, cerca de atractivos turísticos, avenidas importantes, transporte público. A unas cuadras del museo de Frida Kahlo y del Centro de Coyoacán. Cuenta con: * 1 recámara con cama qs, * Estancia con futón matrimonial. * Cocina equipada con todo lo que necesitas. * Lindo mini jardín con sillas para tomar el café o el solecito justo afuera del loft. Áreas comunes: * lavandería, * cocina equipada, * jacuzzi, * terrazas. * roof garden. Incluye todos los servicios: Luz, internet, gas, 1 limpieza por semana y mantenimiento de áreas comunes. ¡Súper oportunidad!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-coyoacan-centro-147202057.html,"MN 20,000","Berlin 52
Del Carmen, Coyoacán","50 m² lote, 1 rec., 1 baño",Chimalistac
"Exclusivos desarrollo ubicado en el corazón de las principales colonias residenciales del Sur de la ciudad. (Pedregal y San Ángel). Pedre cuenta con 110 departamentos desde 1 hasta 3 recámaras, todos con terraza y vistas espectaculares. 1 Torre de 14 niveles con 6 elevadores, 4 sótanos de estacionamiento, Gimnasio, Carril de Nado, Restaurante, Área de asadores y terraza común con vista de 360° a la ciudad. Además contamos con servicio exclusivo de Concierge.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-a-estrenar-av-san-jeronimo-111-gh-3-66515603.html,"MN 84,000","Avenida San Jerónimo, 111
Loreto y Campamento, Alvaro Obregón","184 m² lote, 1 rec., 1 baño, 1 estac.",Chimalistac
"Departamento de 164 m2 con muy bonitas vistas desde todo el departamento. Consta de 3 recámaras, 3 baños completos; cocina abierta, cuarto de servicio. Amenidades: 2 Albercas -Terraza con asadores - Ludoteca - Salón de eventos - Business center - sala de juntas - Gym - Tiendita - Salón de belleza - Cine - Biblioteca.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-y-renta-icon-san-angel-143252650.html,"MN 55,000","LOS ALPES
San Ángel, Alvaro Obregón","162 m² lote, 3 rec., 3 baños, 4 estac.",Chimalistac
