Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Encantador departamento en segundo nivel, lleno de luz, todo nuevo. La recámara es muy amplia con clóset y baño. Edificio de 6 departamentos únicamente, calle súper tranquila, arbolada. Se requiere poliza juridica con un valor de 4450, no cuenta con estacionamiento. ¿Agendamos?",https://www.inmuebles24.com/propiedades/clasificado/alclapin-para-estrenar-en-claveria-147220133.html,"MN 16,000","Norte 79-A 87
Clavería, Azcapotzalco","69 m² lote, 1 rec., 1 baño",Clavería
"Valor de renta: $25, 000. 00 mensuales mas mantenimiento de $2, 700. 00. Distribución: • 2 Recamaras. • 2 baños completos. • Sala-comedor. • Cocina integral. • Área de lavado. • 1 lugar estacionamiento. Características: • Piso en el que se encuentra: 1 piso. • Niveles totales: 4 niveles. • Construcción: 97 m2. • Uso de suelo: Habitacional. • Forma del Terreno: Regular. • Edad del inmueble: 4 años aprox. Equipamiento Depto: • Closet en recamaras. • Boiler. • Gas Natural. Equipamiento Edificio: • Cisterna. • Tinaco. • Vigilancia privada. • Circuito cerrado. • Portón eléctrico. • Sistema de alarma. • Video portero. Servicios de la zona: sacmex (Agua), cfe, Drenaje, Transporte Publico, Gas. Vialidades cercanas: A 105 mts. De Calle Ignacio Allende. A 190 mts. De Av. Clavería. A 285 mts. De Av. Cuitláhuac. A 680 mts. De Eje 3 Norte Camarones. A 980 mts. De Av. Aquiles Serdán. Amenidades cercanas: A 130 mts. De Plaza Comercial. A 165 mts. De Mercado de Clavería. A 170 mts. De Parque de la China.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-colonia-claveria-147306253.html,"MN 25,000","Texcoco 94
Clavería, Azcapotzalco","97 m² lote, 2 rec., 2 baños, 1 estac.",Clavería
"Precioso departamento en segundo nivel, todo para esttenar, lleno de luz, todo nuevo. 1 recámara y un estudio. Edificio de 6 departamentos únicamente, calle súper tranquila, arbolada. Lavandería independiente en la azotea muy espaciosa que también puede ser bodega. ¿Agendamos?",https://www.inmuebles24.com/propiedades/clasificado/alclapin-muy-lindo-depa-en-claveria-147446792.html,"MN 16,500","Calle Norte 87B
Clavería, Azcapotzalco","67 m² lote, 2 rec., 1 baño",Clavería
"Se renta departamento en casa duplex. Para habitar en planta baja con muy buena ubicación a escasos 5 minutos del centro de Azcapotzalco, a unas cuadras del Parque Bicentenario y cerca de los Metros Refinería, Camarones y Tacuba. Bien iluminado, techos altos y áreas generosas para poder vivir muy bien. Se conforma de sala-comedor, cocina integral, estudio, sala de tv, tres recámaras la principal con baño, un baño completo mas para servicio de las otras áreas, área de lavado y patio. No dejes pasar la oportunidad de vivir en esta tradicional colonia dotada de todos los servicios, solicita tu cita con Cony Rojas 55 Ver datos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-departamento-en-casa-duplex-63501474.html,"MN 22,000","Oasis 21-1
Clavería, Azcapotzalco","150 m² lote, 3 rec., 2 baños",Clavería
"Departamento en Colonia Clavería, Azcapotzalco, cdmx. Favor de leer y analizar la descripción Completa. Si no puede contactarnos por celular por mala señal, porfavor deje sus datos por mensaje de Texto sms o Whatsapp, (nosotros lo contactamos, pero favor de desbloquear el recibir números desconocidos), mandar mensaje solo si cumple con todos los requisitos, porfavor. Contactar porfavor en Horario de oficina. A media cuadra del parque de la china y a 3 cuadras de la glorieta de camarones. 1 Recámara con clóset, Estancia, Cocina y Baño. Calentador de agua. No tiene Estacionamiento, hay pensión Cerca. No se reciben mascotas. Se requiere: Comprobar Ingresos (3 a 1), Aval con Bien Inmueble en cdmx (Indispensable) y un Depósito. Gas de cilindro. Área de Tendido y Lavadero en azotea. El pago de los servicios es por separado (Agua, Cfe. ) Primer Piso.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-remodelado-lea-porfavor-la-descripcion-y-requisitos-146578997.html,"MN 7,100","Norte 79-A
Clavería, Azcapotzalco","50 m² lote, 1 rec., 1 baño",Clavería
"Renta de departamento 2 rec, 1 Bano, un lugar de estacionamiento, con mucha iluminacion equipado con cocineta, estufa, campana, boiler de paso, cancel de bano y 2 closets, roof garden privado con azador y tarja. El desarrollo cuenta con areas de co working, gym, ludoteca, juegos para ninos, 2 elevadores, contenedores de basura, servicios ocultos (agua, gas, luz e internet), acceso controlado con guardias de seguridad 24/7. Mantenimiento del edificio ya esta incluido en la renta.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-departamento-en-renta-con-roof-garden-privado-en-146694643.html,"MN 20,000","Avenida Cuitláhuac 2939
Clavería, Azcapotzalco","85 m² lote, 2 rec., 1 baño, 1 estac.",Clavería
"Renta 15, 500 una recámara, sala comedor, cocina, un baño, bodega planta azotea, gas estacionario. Requisitos renta de depósito, renta que corre, póliza jurídica",https://www.inmuebles24.com/propiedades/clasificado/alclappa-renta-departamento-claveria-146783602.html,"MN 15,500","Calle Norte 87B 21
Clavería, Azcapotzalco","63 m² lote, 1 rec., 1 baño",Clavería
"Precioso Departamento en Renta en Poniente 54 # 3396, colonia Obrero Popular, cerca del Centro de Azcapotzalco, del Casco de Sto. Tomás y de Avenidas principales como Camarones, Cuitláhuac, Circuito Interior, unitec Cuitláhuac, Tiendas de Autoservicio. características: el departamentoel departamento cuenta con Interfono, Cocina integral con alacena, horno y estufa de encendido electrónico, calentador de agua (boiler) de paso de encendido electrónico, servicio de gas natural, camas, tv, sofá, sillón, mesa de comedor, bufetera, electrodomésticos como cafetera, microondas, refrigerador, lavadora y un muy buen estado de conservación. distribución del departamento. El Departamento consta de 2 dos recamaras, 1 un baño, sala-comedor, cocina integral, zotehuela con área de lavado interior y 1 un lugar de estacionamiento techado individual con acceso independiente. ubicación dentro del desarrollo. Este bonito departamento, se ubica en el cuarto piso y es interior, lo que le permite tener la tranquilidad y comodidad de estar lejos de ruidos de la calle y como es el último piso y el departamento del fondo, le permite tener la privacidad de no tener vecinos pasando en frente o departamentos que le tapen la luz natural, no cuenta con elevador. características del desarrollo. ubicación del desarrolloel desarrollo está super céntrico, se ubica en Poniente 54 número 3396, colonia Obrero Popular, de la delegación o Alcaldía Azcapotzalco en la Ciudad de México y está a unas cuadras de la Avenida Camaronez, Azcapotzalco, Cuitlahuac, Glorienta de Camarones, cerca de la Torre de Pemex, el unitec de Marina Nacional, el Instituto Politécnico Nacional ipn en el casco de Santo Tomas, Anzures, Polanco. Muy cerca de colonia San Rafael, Cuauhtémoc, Juárez, Roma, Condesaserviciosel desarrollo cuenta con los servicios de una empresa de administración profesional con vigilancia y personal de mantenimiento de planta, así como personal de limpieza con una plantilla de varias personas que da servicio los siete días de la semana y todo con mucha tranquilidad y Excelente ambiente familiar, el desarrollo no cuenta con elevador. seguridadeste excelente departamento se encuentra en un Desarrollo Cuenta con Vigilancia las 24 horas del día, Circuito Cerrado de Televisión cctv, acceso controlado por sistemas electrónicos de forma peatonal, o bien por tag adicional al corbatín, tarjetón o marbete en el acceso vehicular. También se cuenta con Alarma Sísmica, Alarma Vecinal. vialidades cercanas. Circuito Interior, Reforma, Cuitlahuac, Mariano Escobedo, Marina Nacional, Av. México Tacuba, Avenida de los Insurgentes Centro, Ejército Nacional, Rio San Joaquín, Aquiles Serdán, Cuitláhuac, Eje 1 Norte Álzate, Eje 2 Norte Eulalia Guzmán, Camarones, Avenida de las Granjas, Vallejo, Avenida jardín entre muchas otras. Tendrás servicios, ubicación y equipamiento a un precio muy accesible. centros comerciales cercanosplaza Horizonte Cuitlahuac, Plaza Parque Jardín, Plaza Azcapotzalco, Plaza Legaria 238, Plaza Galerías, Parques Plaza Nuevo Polanco, Plaza Parque Jardín, Plaza Parque Vía Vallejo, Parques Polanco, Reforma 222, Plaza Antara, Plaza Carso, Fórum Buenavista, Pabellón Azcapotzalco, Marina Park y muchas mas. transportes cercanossitio de Taxis, Estaciones del Metro como Colegio Militar, Normal, Popotla, Cuitlahuac, Camarones, Rutas de Microbús a diferentes destinos como Toreo de 4 cuatro caminos, Pantitlán, Polanco, Defensa Nacional, metro Normal, Rosario, Tlalnepantla y muchas otras mas. servicios cercanos: Hospitales, Escuelas Públicas y Particulares de todos los niveles desde guarderías hasta universidades, Parques, Deportivos, Tiendas de Conveniencia, Farmacias, Panaderías, Tintorerías, Tortillerías, Tlapalerías, Papelerías, etc. hospitales cercanos: Hospital Españo, Hospital de la Mujer, Hospital Ruben Leñero, Hospital General de issste Tacuba, Unidad de Medicina Familiar No. 5 de imss Marina Nacional, Hospital de Especialidades San Judas Tadeo, Hospital Central Petroleos Mexicanos pemex, Hospital de la Luz, entre muchos otros. escuelas cercanas. cics - Centro Interdisciplinario de Ciencias de la Salud Unidad Santo Tomás ipn, ese - Escuela Superior de Economía - ipn, encb - Escuela Nacional de Ciencias Biológicas Unidad Santo Tomás ipn, esca - Escuela Superior de Comercio y Administración Unidad Santo Tomás ipn, esm - Escuela Superior de Medicina - ipn, eseo - Escuela Superior de Enfermería y Obstetricia ipn, unitec Cuitláhuac - Universidad Tecnológica de México, Colegio Frances Nueva Santa Maria Ac, Colegio de Educación Montessori, Colegio Trilingüe Pedro María Anaya, Instituto Social y Escolar, Colegio Salesiano, Colegio Civilización A. C. , Instituto Cobre de México, Escuela Estado de Nuevo León, Escuela Primaria Estado de Hidalgo, Escuela Primaria &quot;Francisco Sarabia&quot;, Escuela Primaria 20 de Noviembre, Escuela Primaria &quot;&quot;Rafael Angel de la Peña&quot;, Escuela Bilingüe Cambridge, Kinder Fray Francisco Aparicio, Colegio Inglés Michael Faraday, Jardín de Niños Maria Luisa de la Torre, Ex itam, Centro De Capacitación Artistica A. N. D. A. , requisitos: * Comprobar ingresos por 3. 5 veces el monto de la renta. * Fiador con inmueble libre de gravamen (indispensable) , de preferencia en Ciudad de México pero puede ser de otras ciudades* Aprobar la investigación (con costo) * Contrato mínimo a 12 meses. * Pago del depósito y un mes de renta por adelantado. * La Póliza Jurídica es opcional y no sustituye al fiador. ¡agenda tu cita! Te encantará. Empresa de intermediacion inmobiliaria. Compraventa, renta, remodelacion, construcción y administración de inmuebles. La información aquí proporcionada puede ser sujeta a cambio sin previo aviso y muestran únicamente una propuesta y de ninguna forma puede ser considerada vinculante, contractual o de forma alguna obligación de cumplir con cierto ofrecimiento. Las imágenes y contenido pueden estar sujetas a derechos de autor, por lo que no se autoriza de ninguna forma su uso fuera de este sitio ni para fines distintos a los que fue publicado. Para mayor información se recomienda contactar con un asesor que le brinde atención personalizada.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-cerca-del-ipn-casco-de-146881684.html,"MN 16,000","Poniente 54 #3396
Clavería, Azcapotzalco","66 m² lote, 2 rec., 1 baño, 1 estac.",Clavería
"Depa con excelente ventilación e iluminación natural, doble cerradura de seguridad en la puerta principal, timbre e interfón, 2 recamaras con clóset, cocina integral como estufa con camapana de extracción, sala/comedor, baño completo con boiler, cancel y luz en espejo, area de lavado, 1 lugar de estacionamiento, roof garden privado con azador, barra y tarja. Entre sus amenidades tenemos: lobby, areas de co working, gym equipado, ludoteca, area de juegos para ninos, 2 elevadores, areas comunes al aire libre, contenedores de basura, servicios ocultos (agua, gas, luz e internet), acceso controlado con camaras de seguridad en todo el edificio tanto afuera como adentro, guardias de seguridad 24/7. Mantenimiento del edificio ya esta incluido en la renta.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-departamento-en-renta-con-roof-garden-privado-en-146706576.html,"MN 20,000","Avenida Cuitláhuac 2939
Clavería, Azcapotzalco","85 m² lote, 2 rec., 1 baño, 1 estac.",Clavería
"Renta de bonito departamento 46 m2 cuenta con dos recamaras, un baño completo, estancia sala comedor, área de cocina junto área de lavado. La cocina tiene parrilla no tiene horno. Un lugar de estacionamiento (para carro pequeño) No se aceptan mascotas. luz natural en el departamento. A 1 km de ipade Business School (Instituto Panamericano de Alta Dirección de Empresa) a 300 metros del Parque San Álvaro. a 550 metros de la plaza Centro Comercial Patio Clavería, C. Egipto Ver datos, Claveria, Azcapotzalco, Ver datos Ciudad de México, cdmx",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-san-alvaro-azcapotzalco-147431954.html,"MN 15,000","Calle Juárez 18
San Álvaro, Azcapotzalco","46 m² lote, 2 rec., 1 baño, 1 estac.",Clavería
