Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Loft amueblado con terraza privada en el corazón de la Condesa. Elegante y funcional, este loft está totalmente equipado y listo para habitar. Ubicado en una de las zonas más icónicas y vibrantes de la cdmx, ideal para quienes buscan comodidad, estilo y excelente ubicación. Características del loft: • Cama tamaño queen. • Sala de estar acogedora. • Cocina integral totalmente equipada. • Terraza privada amueblada. • Baño completo. • Estacionamiento privado. Amenidades del edificio: • Alberca climatizada. • Gimnasio equipado. • Sauna. • Salón de eventos con terraza. • Sala de cómputo. • Seguridad con acceso controlado. • Vigilancia 24/7 y circuito cerrado de cámaras. Renta mensual: 30, 000. Incluye mantenimiento del edificio.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-loft-amueblado-con-terraza-privada-y-amenidades-en-147025260.html,"MN 30,000","Zamora 75
Condesa, Cuauhtémoc","60 m² lote, 1 rec., 1 baño, 1 estac.",Condesa
"Departamento en renta, icon condesa. Departamento en renta en uno de los edificios mas solicitados en Hipódromo Condesa. Amenidades como: -Lobby. -Elevador. - Salón de eventos con terraza. - Gimnasio. - Business center. -Carril de nado. -Ludoteca. - Spa con vapor, sala de masajes y jacuzzi. -Roof top con increíble vista. -Asador. -Sky bar. -Seguridad 24 7. -Circuito cerrado. Ubicado en una zona con Hospitales, escuelas, supermercados, bancos y las mejores zonas para recreación. Cerca de: - Parque España. - Parque México. - Bosque de Chapultepec. - Hospital Ángeles Metropolitano. *no se comparte por traer conpartida la propiedad. Si deseas se puede compartir en partes iguales.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-condesa-147363143.html,"MN 42,000","Chicontepec 57
Condesa, Cuauhtémoc","80 m² lote, 2 rec., 2 baños, 2 estac.",Condesa
"59m2, Condesa, Precioso Departamento estilo Art Deco, completamente amueblado en un segundo nivel, techos altos, acabados de carpintería en madera de tzalam, duelas de madera de encino americano, porcelanatos españoles, herrajes y granitos de alta calidad. La propiedad cuenta con 1 recámara muy amplia y con un closet, la sala - comedor cuenta con una cocina abierta con lavasecadora. El desarrollo cuenta con vigilancia e interfon y esta muy bien ubicado pasos del Parque España y Parque México, todo lo puedes hacer caminando. Matenimiento no incluido 1, 800. 00.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-condesa-departamento-amueblado-en-renta-147265317.html,"MN 29,200","Fernando Montes de Oca
Condesa, Cuauhtémoc","59 m² lote, 1 rec., 1 baño",Condesa
"Departamento en venta penthouse, condesa. Pent house. - 157 mts en dos niveles. -1 ó 2 habitaciones (dependiendo el layout) - 2 baños y medio. - Cocina. - Sala. - Comedor. - Cuarto de tv. - 1 terraza. - 1 roof garden privado. - Cuarto de lavado. - 2 estacionamientos. - Portero 24/7. - Bodega",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-penthouse-en-renta-o-venta-en-condesa-145930374.html,"MN 60,000","TAMAULIPAS 261 BIS
Condesa, Cuauhtémoc","157 m² lote, 2 rec., 2 baños, 2 estac.",Condesa
"En bonito edificio para estrenar el cual cuenta con roof garden comun con asador, palapas Y camastros, se localiza este precioso departamento nuevo de dos niveles, totalmente amueblado, con acabados de lujo, muy iluminado terraza en estancia lo cual le da una sensacion de amplitud Y libertad, recamara principal con terraza, vestidor Y baño acabados de lujo, date la oportunidad de conocerlos Y vivir en un espacio tan bonito como este. puede rentarse sin amueblar Y el precio sería de $50, 000. 00",https://www.inmuebles24.com/propiedades/clasificado/veclapin-condesa-precioso-departamento-para-estrenar-en-venta-y-144465238.html,"MN 57,000","BAJA CALIFORNIA 280
Condesa, Cuauhtémoc","123 m² lote, 2 rec., 2 baños, 2 estac.",Condesa
"En bonito edificio para estrenar el cual cuenta con roof garden comun con asador, palapas Y camastros, se localiza este precioso departamento nuevo, totalmente amueblado, con acabados de lujo, muy iluminado terraza en estancia lo cual le da una sensacion de amplitud Y libertad, recamara principal con terraza, vestidor Y baño acabados de lujo, date la oportunidad de conocerlos Y vivir en un espacio tan bonito como este. puede rentarse sin amueblar Y el precio sería de $41, 000. 00",https://www.inmuebles24.com/propiedades/clasificado/veclapin-condesa-precioso-departamento-para-estrenar-en-venta-y-144482556.html,"MN 48,000","BAJA CALIFORNIA 280
Condesa, Cuauhtémoc","96 m² lote, 2 rec., 2 baños, 1 estac.",Condesa
"Renta de studio-loft para estrenar en la CondesaExcelente ubicación, cerca de Servicios y restaurantesMuy buena iluminaciónCuenta con: 50m21 Recamara1 Baño completo CocinetaSalaComedor Terraza Areas Comunes: Roof Top con una vista increíble!! Seguridad 24 hrs Se Aceptan Mascotas No cuenta con lugares de estacionamiento nota: No compartimos comision en esta propiedad",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-loft-a-estrenar-en-la-condesa-147438982.html,"MN 26,000","Renta de Departamento Loft a Estrenar en la Condesa
Condesa, Cuauhtémoc","50 m² lote, 1 rec., 1 baño",Condesa
"160 m2 40 m2 roof privado (acceso directo) 2 recámaras 2 terrazas acabados de lujo seguridad 24/7 nuevo. En la calle de Veracruz, en el corazón de la Condesa, se encuentra este exclusivo pent-house en renta, rodeado de la tranquilidad de una calle arbolada y a pocos pasos de los principales parques de la colonia. El departamento destaca por sus espectaculares vistas al Castillo de Chapultepec y por ofrecer una experiencia de vida única gracias a sus amplias terrazas y roof garden privado, un espacio ideal para disfrutar con familiares o amigos. Cuenta con una mesa y pergola retractil para aprovechar al máximo. Distribuido en dos niveles, el primer piso cuenta con sala-comedor con cocina abierta, medio baño de visitas y área de lavandería, una recámara con vestidor, walk in closet y una amplia terraza. En el segundo nivel esta recámara principal también con vestidor y baño completo, acompañada de un roof privado con terraza ideal para disfrutar reuniones o momentos de descanso al aire libre. El departamento ofrece acceso directo desde el elevador, cuarto de servicio con baño, medio baño adicional en el roof, aire acondicionado central y un diseño moderno. Una propiedad que combina ubicación, privacidad y comodidad en una de las zonas más codiciadas de la ciudad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-condesa-147374954.html,"USD 6,500","Avenida Veracruz 72
Condesa, Cuauhtémoc","200 m² lote, 2 rec., 3 baños",Condesa
"59m2, Condesa, Precioso Departamento estilo Art Deco en un segundo nivel, techos altos, acabados de carpintería en madera de tzalam, duelas de madera de encino americano, porcelanatos españoles, herrajes y granitos de alta calidad. La propiedad cuenta con 1 recámara muy amplia y con un closet, la sala - comedor cuenta con una cocina abierta con lavasecadora. El desarrollo cuenta con vigilancia e interfon y esta muy bien ubicado pasos del Parque España y Parque México, todo lo puedes hacer caminando. Matenimiento no incluido 1, 800. 00.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-condesa-departamento-en-renta-147265546.html,"MN 29,200","Fernando Montes de Oca
Condesa, Cuauhtémoc","59 m² lote, 1 rec., 1 baño",Condesa
"Sin Comisión Compartida. Departamento de dos niveles con Terraza con vista a Ámsterdam, Condesa. 116m2 más 17m2 de terraza, 2 recamaras, 1 baño completo, sala comedor con salida a la terraza, cocina abierta, medio baño, área de lavado y 2 lugares de estacionamiento. *Incluye refrigerador, lavadora secadora y sillas en barra de cocina. Roof garden común con jacuzzi y grill. El departamento es exterior y se encuentra en el sexto piso. Vigilancia 24hrs. *La renta incluye el mantenimiento, agua y luz. *El departamento se puede habitar el 15 de septiembre. *mascotas a considerar. Disponible a partir del 15 de septiembre",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-condesa-147191586.html,"MN 52,000","Ámsterdam 253
Condesa, Cuauhtémoc","135 m² lote, 2 rec., 1 baño, 2 estac.",Condesa
