Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en renta en contadero. Residencial Escuadra, Cedros. R $20, 000 Incluido Mantenimiento. V $3, 500, 000. 1 Recamara. 1 Baño completo. 2 Lugares de estacionamiento. Terraza Privada. Se renta con Lavadora y Refrigerador. Pet. Freindly. Vigilancia 24/7. Pequeño Gym. Área de Co-working. Agenda tu cita!! .",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-contadero-147385329.html,"MN 20,000","Av de los Cedros 162, Contadero, Cuajimalpa de Morelos, 05500 Ciudad de México, CDMX
Contadero, Cuajimalpa de Morelos","127 m² lote, 1 rec., 1 baño, 2 estac.",Contadero
"Vive a unos pasos de Santa Fe en Residencial Stampa. Cerca de centros comerciales, vialidades, colegios, etc. Excelente seguridad e increíbles áreas comunes. Cuenta con una habitación, 1 baño, cocina integral, sala, comedor, área de lavado. Mantenimiento, luz y agua incluidos y bodega.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-stampa-santa-fe-62418902.html,"MN 20,000","Carretera México - Toluca
Contadero, Cuajimalpa de Morelos","61 m² lote, 1 rec., 1 baño, 1 estac.",Contadero
"Lujoso departamento en Origina Santa Fe. Disponible el 1 de septiembre. • Santa Fe. • Renta. • $45, 000. 00. • Mantenimiento incluido en la renta. • 131 mts2. • 2 habitaciones. • 2. 5 baños. • 2 cocheras. • Terraza. • Se aceptan mascotas. amenities. • Gym. • Alberca. • Club lounge. • Spa. • Kids Zone. • Ball Room. • Paddel. • Área de coworking. • Seguridad. • Elevador",https://www.inmuebles24.com/propiedades/clasificado/alclapin-lujos-departamento-en-origina-santa-fe-147221526.html,"MN 45,000","Carr. San Mateo Sta. Rosa
Contadero, Cuajimalpa de Morelos","131 m² lote, 2 rec., 2 baños, 2 estac.",Contadero
"Rento Loft de aproximadamente 50 m2, Sala - comedor. 1 recámara abierta con baño completo. Área de lavado. 1 lugar de estacionamiento. Amenidades, próximamente alberca y gimnasio. Sobre avenida Santa Fe a la altura de La Mexicana, justo al lado de City Market.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-loft-en-torre-mistral-completamente-nuevo.-147393858.html,"MN 20,000","Avenida Santa Fe 498
Santa Fe Centro, Contadero","50 m² lote, 1 rec., 1 baño, 1 estac.",Contadero
"Renta Departamento de 99 m² con Vista Espectacular a los Volcanes – Stampa Residencial, Santa Fe. Disponible a partir del 1 de septiembre. ¡Agenda tu visita hoy mismo y que no te lo ganen! Vive en uno de los desarrollos más completos y exclusivos de Santa Fe, con ubicación inmejorable a solo 8 minutos de la zona corporativa y comercial, y rodeado de las mejores vistas. Características del departamento: 99 m² habitables. Vista panorámica a las montañas. Sala-comedor amplios y luminosos. Cocina abierta con cubierta de granito Oxford. Área de lavado independiente y alacenas. 2 recámaras: Principal con vestidor y baño completo. Secundaria con clóset y baño compartido para visitas. Amenidades de lujo únicas en la zona: Alberca semiolímpica, alberca recreativa y chapoteadero. Gimnasio tipo fitness, áreas de yoga y pilates. 4 salones de eventos para hasta 250 personas. Salones de juegos, salones para adultos y 2 salas de cine. Business center y spa con vapor, sauna y masajes. Canchas de tenis, pádel y terrazas con fire pits. 5 áreas de asadores y más de 10, 000 m² de jardines. Ubicación privilegiada: Cerca de escuelas, hospitales, centros comerciales y vías principales. Zona tranquila, segura y con alta plusvalía. No pierdas la oportunidad de vivir con todo el confort y la exclusividad que mereces. Agenda tu cita y ven a conocerlo.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-stampa-contadero-depto-en-renta-vista-volcanes-99-147024720.html,"MN 27,500","STAMPA RESIDENCIAL
Contadero, Cuajimalpa de Morelos","99 m² lote, 2 rec., 2 baños, 2 estac.",Contadero
"Departamento de Lujo en Renta – Sin Muebles. Residencial: Be Grand Contadero / Santa Fe. Descubre este hermoso departamento ubicado en Be Grand Contadero Santa Fe, un desarrollo exclusivo que ofrece un estilo de vida sofisticado con acabados premium, espacios amplios y amenidades de primera clase. · Tipo de operación: Departamento en renta sin muebles. · Ubicación: Be Grand Contadero, cdmx. Características del Departamento: • Metraje total: 125 m² • Recámaras: 2 recámaras, principal con walk-in closet y tina. • Baños: 2 baños completos con acabados de lujo. • Cocina integral: Equipada con barra. • Sala y comedor amplios e iluminados. • Estacionamiento: 2 cajones disponibles. • Estado: Impecable, listo para habitar. Normas: · Mascotas permitidas. · Fumar permitido. Amenidades del Residencial: • Seguridad estricta 24/7 con acceso controlado. • Gimnasio completamente equipado para diferentes actividades (box, spinning, etc. ) • Grand Pool con carriles de nado y camastros. • Canchas de pádel. • Terrazas con asadores. • Bar con barra y billar. • Spa con jacuzzi. • Beauty Salon y barbería. • Kids Club y Kids Garden. • Casa Club. • Jardines espectaculares. • Estacionamiento para visitas. Ubicación Estratégica: Be Grand Santa Fe se encuentra sobre la carretera con acceso inmediato a vías principales, facilitando la conectividad con lo mejor que Santa Fe y Contadero tienen para ofrecer. ¡Descubre una nueva forma de vivir en Be Grand Contadero Santa Fe! Contáctanos para más información o para agendar una visita privada.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-be-grand-santa-fe-contadero-146893945.html,"MN 40,000","Carr. México-Toluca 5804
Contadero, Cuajimalpa de Morelos","125 m² lote, 2 rec., 2 baños, 2 estac.",Contadero
"Espectacular departamento amueblado y equipado en Stampa Residencial. Incluye mantenimiento. Disponibilidad inmediata. El departamento tiene excelente orientación en esquina, piso medio, acabados de primera, pisos de madera de ingenieria en recamaras y estacias, marmol en baños. Caracteristicas: Amueblado. 90 mts2. terraza. 2 recámaras. 2 baños completos con cubiertas de mármol. Cocina con cubierta de granito. Persianas. 2 Balcones. Cuarto de lavado. 2 lugares de estacionamiento. Bodega. Los pisos son de madera de ingeniería. Amenidades: Alberca techada, carril de nado, jacuzzi, Spa, Salón de usos múltiples con T. V, billar, ludoteca, gimnasio, jardín, salón de fiestas, snack bar, asadores, cine, coffee shop, fire pits.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-stampa-residencial-146787100.html,"MN 28,000","Carretera México Toluca
Contadero, Cuajimalpa de Morelos","90 m² lote, 2 rec., 2 baños, 2 estac.",Contadero
"A estrenar precioso departamento de 90 metros a 5 minutos de Santa Fe, con acabados de lujo y amenidades 5 estrellas. El departamento tiene 90 metros, 2 recamaras, 2 baños completos, 2 estacionamientos y 1 bodega, area de lavado y balcones. El edificio cuenta con seguridad privada, cajones de visita, Alberca con 3 carriles de nado, alberca familiar y chapoteadero 3 jacuzzis, Spa, Sauna, Vapor, jardín con asadores, salones de eventos, salon de adultos con billar y futbolito, Gym y en los próximos meses tendrá, ludoteca, cafeteria.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-dep-de-2-recamaras-a-5-minutos-de-santa-fe-esq-56857564.html,"MN 23,000","Carreter Mexico Toluca, 5860
Contadero, Cuajimalpa de Morelos","90 m² lote, 2 rec., 2 baños, 2 estac.",Contadero
"Excelente departamento a la venta en Escape Santa Fe. Con excelente orientación, vista a la reserva y gran iluminación. El departamento consta de 111m2 distribuidos en: • 2 recámaras. • 2 baños completos. • Sala y comedor muy amplios. • Cocina abierta. • Lavandería. • 2 estacionamientos. • El desarrollo cuenta con gimnasio. Este departamento amueblado está situado en la calle Juan Salvador Agraz. Es perfecto para hospedarse en la Ciudad de México si quieres experimentar lo mejor de ella. “el proyecto contempla el desarrollo de locales comerciales, departemantos, exclusivas suites Y un hotel boutique dentro del mismo conjunto. El esquema se desarrolla A partir de un basamento de dos niveles donte tiene lugar el comercio Y una torre de cristal que alberga los departamentos, suites Y el hotel. El basamento funge como el sostén de la torre pero su ligereza Y transparencia ponen en duda la idea persistente de que aquello que sostiene debiera ser pesado. Las líneas de basamento se adhieren al volumen como un manto que muestra la estructura interna. El ritmo que se logra por medio de los perfiles en la piel de vidrio se rompe al emerger la torre en un gesto desfasado que adquiere su propia lógica Y carácter constructivos. Sin embargo, el ritmo Y forma del basamento vuelve A manifestarse del lado izquierdo de la torre, envolviéndola. Por medio de una “entrecalle” O abertura vertical se separan los dos cuerpos, evitando así una unión desafortunada entre êstos cuerpos que formal Y funcionalmente se distinguen entre sí. La transición entre el basamento Y el desarrollo de la torre genera un vestíbulo triangular que se convierte en el punto de unión de las dos formas, donde elementos como plafones, losas E incluso la escalera mecánica, han sido pintados de negro, lo que magnifica las superficies de vidrio dotándolas E una fuerza expresiva Y de una independencia no sólo formal O estética, sino que invierte de nuevo los valores de lo que se entiende por sosten O sostenido. ” -Grupo Arquitech-",https://www.inmuebles24.com/propiedades/clasificado/veclapin-atencion-inversionistas-para-airbnb-escape-santa-fe-147084626.html,"MN 35,000","JUAN SALVADOR AGRAZ 37
Contadero, Cuajimalpa de Morelos","111 m² lote, 2 rec., 2 baños, 2 estac.",Contadero
"Se renta – departamento amueblado en av. Santa feubicación privilegiada: Av. Santa Fe, Colonia Santa Fe, a unos metros del Parque La Mexicana. Descripción del inmueble: Hermoso departamento amueblado de 138 m², ubicado en Piso 12, con una vista panorámica espectacular. • 1 recámara principal • 2 baños completos, con elegantes pisos de mármol • Sala y comedor amplios, con excelente iluminación natural • Cocina integral y área de lavandería • 2 cajones de estacionamiento juntos • Bodega privada • Edificio con amenidades de primer nivelRenta mensual: $38, 500 mxn (treinta y ocho mil quinientos pesos), mantenimiento incluidoÁreas comunes del edificio: • Salón de eventos • Ludoteca • Terraza • Gimnasio • Salón inglés • HelipuertoRequisitos: • Identificación oficial (ine) • Comprobante de solvencia económica • Comprobante de domicilio • curp • Constancia de situación fiscal • Aval con bien inmueble en cdmx • Fianza",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-av-santa-fe-contadero-cuajimalpa-de-146757696.html,"MN 38,500","Departamento en Renta en Av. Santa Fe, Contadero Cuajimalpa de Morelos, Cdmx
Contadero, Cuajimalpa de Morelos","138 m² lote, 1 rec., 2 baños, 2 estac.",Contadero
