Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Agwa es un innovador complejo residencial, que integra áreas comerciales y recreativas en un corredor lleno de áreas verdes donde se origina un nuevo estilo de vida urbano, rescatando lo mejor de Bosques de las Lomas. Departamento en Renta, Bosques de las Lomas, cerca de avenidas principales, centros comerciales, hospitales, colegios, a unos pasos de la carretera México Toluca. 142. 00 m2 tres recámaras, la principal con vestidor y baño, la segunda y tercera con closet y baño, sala de tv, sala. comedor, cocina, baño de visitas, área de lavado, 3 estacionamientos. Mantenimiento incluidoAmenidades: jardín, gimnasio con vestidores, carril de nado, alberca, áreas de asadores, cafetería, salas de juntas, ludoteca, salón de pilates, Pet zone y salón de belleza. Vigilancia 24/7",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-departamento-en-agwa-bosques-146953435.html,"MN 48,000","Rento Departamento en Agwa Bosques
Cooperativa Palo Alto, Cuajimalpa de Morelos","142 m² lote, 3 rec., 3 baños, 3 estac.",Cooperativa Palo Alto
"Increíble departamento amueblado en renta! Ubicado cerca de Santa Fe y Bosques de las Lomas. Acabados de gran calidad. Excelente orientación, con mucha iluminación y ventilación natural. Preciosas vistas hacia la ciudad y Santa Fe. Piso medio. Cuenta con dos recámaras, cada una con su baño, la principal tiene un amplio vestidor y dos lavabos. Además, el departamento tiene baño de visitas, clóset de blancos o alacena, sala-comedor, cocina abierta con hermosa cubierta de cuarzo, isla y electrodomésticos de primera. Tiene 2 estacionamientos techados independientes de los vecinos. El desarrollo cuenta con hermosas amenidades, entre las que destacan, gimnasio, salón de yoga, Spa, Carril de nado techado, cafetería en operación, terraza al aire libre con alberca, ludoteca, co-working, salón de fiestas, juegos infantiles y asadores. El precio incluye mantenimiento. Incluye los muebles, lavadora, secadora, refrigerador, horno de microondas y pantalla en la sala. Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con el asesor inmobiliario y los propietarios del inmueble. Todas las medidas del inmueble aquí mencionadas son meramente orientativas y aproximadas, las medidas exactas serán las que se expresen en el título de propiedad de cada inmueble. La publicación de la presente información no representa una oferta pública, por lo que toda transacción debe de hacerse de forma personal y para poder ser válida requiere de la autorización expresa de los propietarios del inmueble. Informes wa Ver datos y Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-en-agwa-bosques-66789206.html,"MN 47,000","Carretera Mexico Toluca 1535
Cooperativa Palo Alto, Cuajimalpa de Morelos","126 m² lote, 2 rec., 2 baños, 2 estac.",Cooperativa Palo Alto
"Ref: 2 5 2 0 0 2. Este departamento en renta, mide 360 m2, cuenta con 3 espaciosas recámaras, la principal con vestidor y baño con jacuzzi, las otras dos recámaras también tiene su propio baño y clóset/vestidor, estudio, sala y comedor con espectacular vista arbolada a una cañada, que es area verde natural protegida, una amplia cocina con antecomedor y también hermosas vistas, 2 alacenas. Tiene 4 estacionamientos independientes y lugares para visitas, bodega, área de lavandería, 2 cuartos de servicio, vigilancia 24/7. El elevador de acceso llega directamente al departamento. En áreas comunes tiene un salón de fiestas. Este lujoso departamento se encuentra en una zona privilegiada con gran conectividad y acceso a distintas zonas de interés cercanas: Excelente vía de acceso a la Autopista Méx Toluca en sentido a Toluca con retorno inmediato a cdmx y Santa Fe. Colegio Merici - 2 minutos. Paseo de Tamarindos - 10 minutos. C. C. Santa Fe, Parque La Mexicana, Hospital abc Santa Fe - 15 minutos. Plaza Lilas, Bancos y Supermercado - 10 minutos. Vivir en este departamento es sinónimo de comodidad, lujo y seguridad. Con una amplia oferta de amenidades y servicios a su disposición, esta propiedad es ideal para quienes buscan un estilo de vida exclusivo en una de las zonas más prestigiosas de la Ciudad de México. ¡No pierdas la oportunidad de hacer de este espectacular departamento tu nuevo hogar! Puedes rentarlo con o sin muebles.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-lujo-espacio-seguridad-vistas-hermosas-en-146839754.html,"MN 65,000","Fresno 70 , Cooperativa Palo Alto , 05110 Cuajimalpa de Morelos, Ciudad de México, México
Cooperativa Palo Alto, Cuajimalpa de Morelos","360 m² lote, 3 rec., 3 baños, 4 estac.",Cooperativa Palo Alto
"Increible departamento para estrenar. 126M2. dos recamaras la principal con baño Y vestidor. dos baños Y medio. sala comedor sala de tv. area de lavado. dos estacionamientos bodega. recepcion Y lobby. cafeteria, ludoteca, salon de jovenes, zona para niños, area de masajes, salon multiusos, gym, salon de yoga, sauna, vapor, estetica, carril de nado, terraza alberca descubierta. area para mascotas, area de asadores. hay departamentos disponibles con vista A bosques de las lomas Y A santa fe. hay desde 126M2 hasta 237M2 en renta Y venta",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-y-renta-listo-para-estrenar-agwa-146350924.html,"MN 41,000","CARR. MEXICO-TOLUCA 1535
Cooperativa Palo Alto, Cuajimalpa de Morelos","126 m² lote, 2 rec., 2 baños, 2 estac.",Cooperativa Palo Alto
"Jhlestrena departamento en Renta, Residencial Agwa BosquesTorre de departamentos con diseños inteligente, acabados de lujo, loseta cerámica con apariencia de madera, acabado texturizado, puertas, closets y gabinetes de madera, en la cocina integral y en baños granito natural, cuenta con 45 niveles de departamentos con inmejorables vistas a Bosques de las Lomas y Santa Fe, prototipos de 2 y 3 recámaras + cuarto de servicio, desde 110 m2 a 237 m2, ven a disfrutar la comodidad que Agwa Bosques te ofrece, con seguridad las 24 hrs del día y cámaras de circuito y servicios que puedes disfrutar dentro de este lujoso desarrollo;*ubicado en piso 30*el mantenimiento es de $ 6, 000. 00 mensuales. *cuenta con bodega*Alberca exterior*Alberca con carril de nado contra corriente. *Área de Asadores*Cafetería*Zona Petfriendly*Gimnasio y Cardio Room*Salón Yoga (Usos Múltiples) *Ludoteca*Bussines Center*Spa*Vapor*Servicios ( Comida, Estética, Masajes, Centro de trabajo) Leer menosubicación con acceso a las mejores zonas de la ciudad, cerca de los centros de negocios más importantes como Santa Fe, Reforma y de las colonias con la mejor oferta gastronómica, cultural y de entretenimiento. *3 minutos de Arcos Bosques. *3 minutos de Plaza Lilas. *10 minutos de las Lomas*10 minutos de Santa Fe*25 minutos de Polanco",https://www.inmuebles24.com/propiedades/clasificado/alclapin-jhl-renta-departamento-en-bosques-de-las-lomas-agwa-145887497.html,"MN 44,000","Carretera Mexico Toluca 1535
Cooperativa Palo Alto, Cuajimalpa de Morelos","110 m² lote, 2 rec., 2 baños, 2 estac.",Cooperativa Palo Alto
"Jhlestrena departamento en Renta, Residencial Agwa BosquesTorre de departamentos con diseños inteligente, acabados de lujo, loseta cerámica con apariencia de madera, acabado texturizado, puertas, closets y gabinetes de madera, en la cocina integral y en baños granito natural, cuenta con 45 niveles de departamentos con inmejorables vistas a Bosques de las Lomas y Santa Fe, prototipos de 2 y 3 recamaras + cuarto de servicio, desde 110 m2 a 237 m2, ven a disfrutar la comodidad que Agwa Bosques te ofrece, con seguridad las 24 hrs del día y cámaras de circuito y servicios que puedes disfrutar dentro de este lujoso desarrollo;* el mantenimiento es de $ 12,, 000. 00 mensuales. *cuenta con bodega*Seis elevadores*Alberca exterior*Alberca con carril de nado contra corriente. *Área de Asadores*Cafetería*Zona Petfriendly*Gimnasio y Cardio Room*Salón Yoga (Usos Multiples) *Ludoteca*Bussines Center*Spa*Vapor*Servicios ( Comida, Estética, Masajes, Centro de trabajo) Leer menosubicación con acceso a las mejores zonas de la ciudad, cerca de los centros de negocios más importantes como Santa Fe, Reforma y de las colonias con la mejor oferta gastronómica, cultural y de entretenimiento. *3 minutos de Arcos Bosques. *3 minutos de Plaza Lilas. *10 minutos de las Lomas*10 minutos de Santa Fe*25 minutos de Polanco",https://www.inmuebles24.com/propiedades/clasificado/alclapin-jhl-renta-departamento-en-bosques-de-las-lomas-agwa-145887517.html,"MN 45,000","Carretera Mexico Toluca 1535
Cooperativa Palo Alto, Cuajimalpa de Morelos","110 m² lote, 2 rec., 2 baños, 1 estac.",Cooperativa Palo Alto
"Precioso y moderno depto con vistas espectaculares y muy iluminado. 206 metros con espacios generosos y bien distribuidos. Sala comedor, baño de visitas, cocina abierta con cubierta de granito, alacena, cuarto de lavado y cuarto de servicio. Family room, 2 recámaras secundarias con closet y baño, recámara principal con amplio vestidor y baño, 4 garages. Áreas comunes completísimas, alberca, gym muy bien equipado, canal de nadó contra corriente, vapor, sauna, cafetería común, espacios pet friendly, terrazas, salón de eventos, ludoteca, centro de negocios con salas de juntas, vigilancia estricta 24 horas. Ubicación privilegiada, a un paso del centro comercial Lilas de Bosques de las Lomas y a 10 minutos de Santa Fe, Interlomas, Palmas, cuajimalpa, Constituyentes y Reforma. No se aceptan mascotas. Véalo! Previa cita.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-espectacular-depto-se-renta-residencial-awga-bosques-146720074.html,"MN 63,000","Carretera Mexico Toluca 1535
Cooperativa Palo Alto, Cuajimalpa de Morelos","206 m² lote, 3 rec., 3 baños, 4 estac.",Cooperativa Palo Alto
"Estrena Departamento en Agwa Bosques-Renta Excelente Departamento de 132 m2, iluminado muy acogedor, cuenta, cocina integral abierta con barra de granito, sala-comedor, 3 recámaras con baño, la principal con vestidor, baño de visitas, área de lavado, 3 estacionamientos techados. Amenidades y servicios: Gimnasio, Yoga, Alberca con chapoteadero al aire libre, Nado contracorriente, Spa, Vapor y Sauna, Ludoteca, Salón social y tv, Business center, Salón de belleza y Cafetería, Área de asadores, zonas de convivencia y Pet- friendly. Seguridad las 24 Hrs. eb-rn3127A tan solo 3 minutos de Arcos Bosques, Lilas y Bosques de las Lomas y cerca de Universidades, Colegios, Hospitales y Hoteles. Renta $ 46, 600Mantenimiento incluido en la renta! No dejes de visitarlo! ! *Precio y disponibilidad sujetos a cambio sin previo aviso",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-agwa-bosques-cooperativa-144933779.html,"MN 46,600","Departamento en Renta en Agwa Bosques
Cooperativa Palo Alto, Cuajimalpa de Morelos","132 m² lote, 3 rec., 3 baños, 3 estac.",Cooperativa Palo Alto
"Hermoso departamento para estrenar en 2 niveles, con mucha iluminación y hermosas vistas de la ciudad. Consta de 231. 15 m2, amplia cocina con isla con cubierta de granito integrada a la estacia, sala- comedor de gran tamaño, closet de blancos, baño de vistas, family room, 3 recámaras con baño, la principal con un vestidor muy amplio, cuarto de servicio con bañoy clóset, área de lavado, 4 estacionamientos techados. Amenidades y servicios: Gimnasio, Yoga, Alberca con chapoteadero al aire libre, Nado contracorriente, Spa, Vapor y Sauna, Ludoteca, Salón social y tv, Business center, Salón de belleza y Cafetería, Área de asadores, zonas de convivencia y Pet- friendly. Seguridad las 24 Hrs. A tan solo 3 minutos de Arcos Bosques, Lilas y Bosques de las Lomas y cerca de Universidades, Colegios, Hospitales y HotelesRenta $69, 000Mantenimiento incluido en la renta!! * Precio y disponibilidad sujetos a cambios sin previo aviso.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-aqwa-bosques-146843683.html,"MN 69,000","Departamento en Renta en Aqwa Bosques
Cooperativa Palo Alto, Cuajimalpa de Morelos","231 m² lote, 3 rec., 3 baños, 4 estac.",Cooperativa Palo Alto
"Oportunidad! ! Estrena Departamento en Riga Bosques-RentaExcelente Departamento de 73. 24m2, iluminado muy acogedor, cuenta con electrodomésticos, cocina integral abierta, sala-comedor, 1 recámaras con baño y vestidor, área de lavado, 1 estacionamiento techado. (Lugar adicional con costo) eb-sw4068Servicios incluidos: Luz, agua, gas e InternetAmenidades: Gimnasio, Yoga, Alberca con chapoteadero al aire libre, Terraza, Salón social y tv, Business center, Cafetería, Área de asadores, zonas de convivencia y Pet- friendly. Seguridad las 24 Hrs. A tan solo 3 minutos de Arcos Bosques, Lilas y Bosques de las Lomas y cerca de Universidades, Colegios, Hospitales y Hoteles. Renta $ 28, 310Mantenimiento incluido en la renta! No dejes de visitarlo! ! *Precio y disponibilidad sujetos a cambio sin previo aviso",https://www.inmuebles24.com/propiedades/clasificado/alclapin-estrena-departamento-en-renta-con-electrodomesticos-en-146210319.html,"MN 28,310","Departamento en Renta con Electrodomesticos
Cooperativa Palo Alto, Cuajimalpa de Morelos","73 m² lote, 1 rec., 1 baño, 1 estac.",Cooperativa Palo Alto
