Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Excelente departamento recien remodelado, ubicado en primer nivel, con elevador, amplia estancia, comedor con cocina abierta, baño completo de visitas, dos recamaras, la recamara principal con closet y baño, la segunda recamara con closet, un cajon de estacionamiento libre que nadie mas. La renta incluye mantenimiento vigente.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-credito-constructor-benito-juarez-147085999.html,"MN 24,500","HERA 31
Crédito Constructor, Benito Juárez","81 m² lote, 2 rec., 2 baños, 1 estac.",Crédito Constructor
"Departamentoen Renta de 120 m2 en San José Insurgentes. El departamentoubicado muy cerca de Insurgentes, se encuentraen un predio compartido con una oficina acceso totalmente independiente, consta dos niveles, en primer pisode amplia cocina, sala-comedor con ventana y un baño completo. En segundo piso cuenta con dos habitaciones, estancia y unbaños completo. El precio incluye mantenimiento. Se aceptan mascotas. Un lugar de estacionamiento. Requisitos de renta: -Póliza Jurídica con valor del 30% de la renta -Aval en cdmx u Obligado Solidario. -1 mes de renta. -1 mes de déposito. -Comprobar ingresos. (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-insurgentes-credito-147363730.html,"MN 21,000","Minerva
Crédito Constructor, Benito Juárez","120 m² lote, 2 rec., 2 baños, 1 estac.",Crédito Constructor
"Muy buena ubicación, cercano de oficinas, centros comerciales y de entretenimiento, restaurantes, bancos, etc. Amueblado: Sala comedor, cocina con todo lo necesario, dos habitaciones con closet cada una, destinada actualmente una de ellas a dormitorio y otra a estudio, baño con lavadora. Incluye servicios (Luz, gas, agua internet y mantenimiento). *Se da preferencia a empresas que rentan para uso residencial de sus colaboradores o bien parejas.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-departamento-amueblado-y-con-servicios-146885330.html,"MN 22,500","Hera
Crédito Constructor, Benito Juárez","61 m² lote, 2 rec., 1 baño",Crédito Constructor
"Departamento remodelado en quinto piso, con 143 m² interiores y un roof garden privado de 200 m², con acceso directo desde el interior del departamento. Al ingresar, se encuentra la sala-comedor con iluminación natural y conexión fluida hacia la cocina equipada y el área de lavado. Un pasillo distribuye las tres recámaras, todas con walk-in closet. La recámara principal y una de las recámaras secundarias tienen vista exterior y balcón privado. La tercera recámara cuenta con vista al interior del edificio. La recámara principal tiene baño completo; el segundo baño da servicio a las recámaras secundarias y el medio baño al área social. El departamento incluye dos lugares de estacionamiento (en batería), bodega privada y cuenta con elevador con acceso directo al piso. El edificio tiene seguridad 24 horas, gimnasio y salón de eventos. Se aceptan mascotas. 143 m² interiores. 200 m² de roof garden privado. 3 recámaras con walking closet. 2. 5 baños. Estacionamiento para 2 autos (en batería) Bodega privada. Antigüedad: 15 años. Remodelado recientemente. Elevador. Seguridad 24/7. Amenidades: gimnasio y salón de eventos. Pet friendly. Ubicación: San José Insurgentes, a una cuadra de Insurgentes Sur y muy cerca de Torre Manacar. Zona con excelente conectividad y servicios. Nota: Los muebles son montaje virtual. El departamento no incluye muebles",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-san-jose-insurgentes-roof-147065439.html,"MN 65,000","Plateros 16
San José Insurgentes, Benito Juárez","143 m² lote, 3 rec., 2 baños, 2 estac.",Crédito Constructor
"Distribución: • Sala. • Comedor. • 2 Recámaras. • 2 Baños completo. • Cocina integral. • Área de lavado. • 1 lugar de estacionamiento compartido. Características: • Amueblado o sin amueblar. • Superficie: 110 m2. • Forma de Terreno: Regular. • Edad: 50 años aprox. Con base al régimen de propiedad en condominio. • Piso en el que se encuentra: 4° piso. • Niveles Totales: 6 niveles. • Uso de suelo: Habitacional. • Mantenimiento: $2, 500 pesos mensuales. Equipamiento del Departamento: • Amueblado. • Gas estacionario. • Boiler. • Lavadero. • Closet en recamaras. • Estufa. • Contrato cfe. Equipamiento Edificio: • Cisterna. • Tinacos. • Vigilancia privada. • Escaleras. • Elevador. • Recepción. • Circuito cerrado. Estatus del inmueble: • Amueblado. • Inmueble Usado. • Inmueble Libre de gravamen. Requisitos: • Contratación de póliza jurídica. • Renta corriente. • Deposito en garantía equivalente a un mes de renta. Servicios de la Zona: • Agua. • cfe. • Drenaje. • Servicios de la alcaldía. • Gas. • Transporte Publico. • Plazas comerciales. • Escuelas. • Vialidades: Av. San Francisco, Cda del Recreo, Av. José María Rico Eje 8 Sur, Calle Bufalo. • A 1 km a la redonda: Centro Cultural San Francisco inapam, Hospital Veterinario Del Valle, Farmacias Similares, Centro Comercial Manacar, Centro Comercial Galerías Insurgentes, Mercado, Gimnasios. •A 1. 5 km: Parque Acacias, Hospital 20 de Noviembre, Metro Zapata, Metro 20 de Noviembre, Metrobús Rio Churubusco. Entorno: • Habitacional/Comercial. Adriel González. Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-actipan-benito-juarez-cdmx.-146495172.html,"MN 23,500","Av. San Francisco 1803 int 402
Actipan, Benito Juárez","110 m² lote, 2 rec., 2 baños, 1 estac.",Crédito Constructor
"Se renta departamento en la colonia Florida, tiene una excelente ubicación, a unas calles de Insurgentes y muy cerca del Club France. El edificio tiene vigilancia 24/7, cuenta con un elevador nuevo y el departamento se encuentra en el tercer nivel. Entrando al departamento se encuentra el área de sala-comedor que es muy iluminada y tiene espacio para poder hacer una tercera recámara. Cuenta con dos recámaras, un baño completo y medio baño para visitas. La cocina es amplia y tiene además un área de servicio y cuarto de servicio con baño completo que tiene acceso independiente. El departamento tiene asignado un cajón de estacionamiento de uso exclusivo y que es independiente y además el edificio cuenta con 4 lugares de estacionamiento para visitas. Fue remodelado recientemente y todo el departamento cuenta con luz indirecta",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-colonia-florida-147109135.html,"MN 39,000","Camelia 163
Florida, Alvaro Obregón","136 m² lote, 2 rec., 2 baños, 1 estac.",Crédito Constructor
"Este elegante departamento en sexto piso ofrece 171 m² de amplitud y luz natural, con pisos de madera en excelente estado. Sala y comedor con ventanales de techo a piso y cocina renovada. Dos recámaras, dos baños completos, cuarto de servicio y dos lugares de estacionamiento. Vigilancia 24/7 y ubicación privilegiada, a solo una cuadra del parque, para disfrutar de comodidad y tranquilidad. Renta: 39, 000 Incluye mantenimiento",https://www.inmuebles24.com/propiedades/clasificado/alclapin-vive-a-pasos-del-parque-en-san-jose-insurgentes-147284229.html,"MN 39,000","Damas
San José Insurgentes, Benito Juárez","171 m² lote, 2 rec., 2 baños, 2 estac.",Crédito Constructor
"Excelente departamento ubicado en avenida revolucion. Cerca de escuelas, universidades, hospitales y centros de negocios. A unos pasos de Torre Manacar, Plaza Inn y Walmart Express. Características del departamento: ️2 recámaras con clósets amplios. 2 baños completos. Sala – comedor con excelente iluminación natural. 1 lugar de estacionamiento. Área de lavado independiente. Balcón privado. Amenidades del edificio: Elevador. Seguridad 24/7 y cctv. Pet friendly. Bodega con excelente espacio para bicicletas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-nivel-6-a-4-minutos-de-torre-147437272.html,"MN 28,000","Avenida Revolución
San José Insurgentes, Benito Juárez","93 m² lote, 2 rec., 1 baño, 1 estac.",Crédito Constructor
"Departamento amueblado en renta cerca de avenida eje 8 Popocatépetl, ubicado en el 6to piso, el edificio cuenta con elevador consta de 2 recamaras con closet, 2 baños completos, sala, comedor, cocina integral, zotehuela, closet de blancos, espacio para oficina, bodega y lugar de estacionamiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-146721119.html,"MN 21,500","San Francisco 1803
Actipan, Benito Juárez","128 m² lote, 2 rec., 2 baños, 1 estac.",Crédito Constructor
"Espacios inmobiliarios renta excelente departamento en la calle de Barranca del Muerto en la colonia Florida, a pasos de Insurgentes, muy iluminado, magnífica ubicación, 2do piso, 3 recámaras, 2 baños, cocina, sala, comedor, balcón, área de lavado, 2 estacionamientos, vigilancia 24 horas. Mantenimiento incluido en el precio de renta.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-calle-barranca-del-muerto-florida-61788622.html,"MN 26,500","Barranca del Muerto 140
Florida, Alvaro Obregón","130 m² lote, 3 rec., 2 baños, 2 estac.",Crédito Constructor
"Scaret Solares55Ver datosLindo departamento impecable en San José Insurgentes, piso 1. El depa cuenta con dos recámaras con closet de pared y baño completo con cancel de vidrio. Sala, comedor y medio baño de visitas. Cocina cerrada y área de lavado también. 1 cajón de estacionamiento que si hay que moverse con el vecino. Seguridad de lunes a viernes de 9am a 6pm y sábados de 9am a 1 pmEl edificio cuenta con elevador. Se encuentra en calle tranquila y con excelente ubicación. El depa es interior y además cuenta con bodega. El precio ya incluye mantenimiento. No mascotas! Informes: Scarlet Solares55Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-san-jose-insurgentes-147353947.html,"MN 24,000","Lorenzo Rodríguez, San José Insurgentes
San José Insurgentes, Benito Juárez","72 m² lote, 2 rec., 2 baños, 1 estac.",Crédito Constructor
"Este encantador departamento interior ubicado en la Avenida Revolución. Con 90 metros cuadrados de espacio contemporáneo este hogar ofrece el equilibrio perfecto entre comodidad y estilo. Descubre la amplitud y luminosidad de este espacio, que cuenta con dos acogedoras recamaras y dos baños modernos que te brindarán la privacidad que mereces. La cocina, diseñada con un gusto exquisito, se integra perfectamente con la sala de estar, creando un ambiente perfecto para la convivencia. Este departamento incluye dos lugares de estacionamiento, proporcionándote la comodidad que necesitas. Además, el edificio ofrece un toque adicional de exclusividad con su roof garden, donde podrás disfrutar de vistas panorámicas que quitan el aliento. Mantente en forma en el gimnasio completamente equipado, relájate mientras tus pequeños exploran la ludoteca y vive con total tranquilidad gracias al servicio de vigilancia las 24 horas. Tu seguridad y bienestar son nuestra prioridad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-2-recamaras-revolucion-1062-141913999.html,"MN 25,100","revolucion 1062
San José Insurgentes, Benito Juárez","90 m² lote, 2 rec., 2 baños, 2 estac.",Crédito Constructor
"Depto con 135 m2 habitables, mas terraza amplia. con 2 recamaras, 2 baños, 1 estacionamiento, sala, comedor, cocina, area de lavado. super ubicado, frente al teatro libanes y club libanes amueblado, en 3 piso (sin elevador)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-colonia-florida-147433003.html,"MN 29,500","Barranca del Muerto 96
Florida, Alvaro Obregón","135 m² lote, 2 rec., 2 baños, 1 estac.",Crédito Constructor
"Precioso departamento, remodelado, impecable, iluminado, con cortinas, exterior, sala y comedor, cocina integral con área de lavado, 2 recámaras la principal con baño completo, otro baño completo para recámara y estudio, linda terraza, elevador, seguridad 24 horas y con un lugar de estacionamiento. En renta incluye mantenimiento. EasyBroker id: eb-ls1419",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-florida-80661181.html,"MN 36,500","Camelia
Florida, Alvaro Obregón","143 m² lote, 2 rec., 2 baños, 1 estac.",Crédito Constructor
"Renta de Departamento en Moderno residencial a estrenar, un hogar con los mejores acabados. Ubicado estratégicamente para ofrecer fácil acceso y cercanía a importantes vías como Anillo Periférico. En su interior cuenta con un superficie total de 153. 19 m2, siendo 77. 63 m2 habitables, Roof Garden de 71. 17 m2, balcón de 4. 39 m2 y bodega incluida. *Precios sujetos a cambio sin previo aviso y de acuerdo a disponibilidad. *Algunas de las imágenes son referenciales.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-25-1401-renta-departamento-av-revolucion-san-jose-145378836.html,"MN 39,500","Av. Revolución
San José Insurgentes, Benito Juárez","153 m² lote, 2 rec., 2 baños, 1 estac.",Crédito Constructor
"Este es un departamento en un nivel 3. Lleno de luz a todas horas. Sala y comedor amplios; cocina semi abierta. Recamara principal con terraza, comparte baño con la recámara secundaria. Además estudio con baño completo. Patio con lavandería. 1 coche. Vigilancia. Cerca de Viveros de Coyoacan. Ya incluye mantenimiento. No mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-florida-margaritas-143213808.html,"MN 31,200","Margaritas
Florida, Alvaro Obregón","110 m² lote, 2 rec., 2 baños, 1 estac.",Crédito Constructor
"Céntrico y como Departamento. Un recamara. Sala comedor. Cocina con fregadero, estufa y Alacena. Closet. un baño completo. 55 metros aproximados. Edificio clasico en muy buen estado. Edificio tranquilo. Metro bus Teatro de los insurgentes",https://www.inmuebles24.com/propiedades/clasificado/alclapin-centrico-departamento-de-una-recamara-en-san-jose-147343771.html,"MN 12,500","Cerrada de la perpetua #10
San José Insurgentes, Benito Juárez","55 m² lote, 1 rec., 1 baño",Crédito Constructor
"¡Vive en una colonia tranquila y familiar como San José Insurgentes! Este es un hermoso departamento de 70 mt2, muy bien distribuidos. Características de la propiedad: -Estancia-comedor bien iluminada. -Cocina integral con cubierta de granito. -Dos recamaras amplias, iluminadas y cada una con closet de buen tamaño. -Un baño completo, para su comodidad el lavamanos se encuentra en el pasillo, dando servicio a las recámaras y estancia-comedor de manera independiente. -Cuarto de lavado con puerta para hacerlo un espacio independiente. -Un lugar de estacionamiento con portón automático. Se sitúa en el piso dos y cuenta con elevador. Conserje 24/7. El departamento se encuentra cerca de espacios recreativos como Parque de la Bola, Plaza San José y Teatro Insurgentes. Además tiene una excelente conectividad a avenidas como Insurgentes Sur, Periférico y Av. Revolución. La renta es mas mantenimiento vigente de $1, 000 pesos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-san-jose-insurgentes-benito-juarez-147418885.html,"MN 20,000","Saturnino Herran 75
San José Insurgentes, Benito Juárez","26 m² lote, 2 rec., 1 baño, 1 estac.",Crédito Constructor
