Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Bonito y cómodo departamento de una recamara, un baño, cocina integral, amplia estancia, área de lavado con espacio para lavadora y secadora. Cuenta con cajón de estacionamiento, La cuota de mantenimiento incluye el pago de servicios de agua, luz y gas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-1-recamara-en-renta-54-m-sup2--147331412.html,"MN 13,500","Carretera México-Toluca 5813
Cuajimalpa, Cuajimalpa de Morelos","54 m² lote, 1 rec., 1 baño, 1 estac.",Cuajimalpa
"Departamento Amueblado y Equipado en Renta – A 10 min de Santa Fe. ¿Trabajas o estudias en Santa Fe? Este departamento es ideal para ti: totalmente amueblado, equipado y con excelente ubicación en Calle Antonio Ancona, Cuajimalpa, a solo 10 minutos de la zona corporativa y universitaria. Renta mensual: 16, 000 mxn. Ideal para 1 o 2 personas. No se aceptan mascotas. Características del departamento: 80 m² perfectamente distribuidos. Recámara King Size con vestidor y baño completo. Cocina integral equipada (refrigerador, microondas, licuadora, utensilios y más) Barra desayunador con bancos. Sala amueblada con pantalla. Escritorio para home office. Lámparas, persianas y decoración funcional. Lavasecadora incluida. Extras y amenidades: 1 cajón de estacionamiento. Portón eléctrico y cctv. Terraza común en cada nivel. Roof garden. Requisitos: 1 mes de depósito. 1 mes de renta corriente. Póliza jurídica. Agenda tu cita hoy mismo: Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-y-equipado-en-renta-a-10-147395613.html,"MN 16,000","Antonio Ancona
La Candelaria, Cuajimalpa","80 m² lote, 1 rec., 1 baño, 1 estac.",Cuajimalpa
"Cuota de mantenimiento incluído en la Rebta mensual. Excelente Departamento de 2 pisos, distribuídos en 130 m2 de área habitable + una terraza de 60 m2 aproximadamente + 2 lugares de estacionamiento techado (sin estorbar a vecinos). Ubicado en el conjunto habitacional Bamboo, que cuenta con: - estricta Vigilancia 24 horas. - portón eléctrico. - lobby. - 2 torres, 40 departamentos. - gimnasio equipado. - jardín con área de juegos infantiles. - salón de usos múltiples con barra, medios baños y ventanales que dan vista y salida al jardín. Goza de buena ubicación: - a 3 min de la autopista hacia Toluca o hacia Interlomas-Naucalpan, - a 10 min de Santa Fe, - a 10 min de Interlomas, Con las ventajas de servicios, comercios, Corporativos y escuelas de la zona. El departamento en su planta baja: - Estancia corrida sala-comedor. - Cocina integral con barra, y a lado el área de lavado. - 2 amplias recámaras, una de ellas con vestidor y baño; la otra recámara comparte el baño de visitas. En su planta alta: - Amplia recámara principal con vestidor y baño; con ventanales que dan salida a la terraza techada. - Terraza abierta de 60 m2 aproximadamente, ideal para tomar el sol, hacer carnes asadas, etc. Requisitos para el arrendamiento: - Indispensable contar con Fiador con bien raíz libre de gravamen en cdmx o Edo. De México (o la Empresa en donde trabaje como Obligado Solidario). - Pago anual de la Póliza Jurídica de arrendamiento. - 1 depósito en garantía. - Pago de la renta del mes corriente. Se muestra con previa cita E identificación. Agende su cita a los teléfonos. 55 Ver datos y/o Ver datos. Estamos listos para atenderle!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-2-niveles-terraza-en-renta-en-146236895.html,"MN 24,900","Calle Morelos 139
Cuajimalpa, Cuajimalpa de Morelos","190 m² lote, 3 rec., 3 baños, 2 estac.",Cuajimalpa
"Estrena depto, bien ubicado, amplio iluminado, con bueno acabados, listo para habitarse, cerca de santa fe, con ocpion A mejorar el precio el depto cuenta con 150 metros, cocina equipada area de comedor muy amplio, Y sala, tiene 3 recamaras de muy buen tamaño cada una con baño, vestidor, Y closet, area de lavanderia, 2 lugares de estacionamiento, vigilancia las 24 horas, area de mascotas. Asadores, roof garden, jardin, bodega, tambien se vende en $4´250, 000. 00 A tratar con oportunidad de precio",https://www.inmuebles24.com/propiedades/clasificado/veclapin-depto-renta-venta-cuajimalpa-146546285.html,"MN 25,000","CALLE JUAREZ 75 CUAJIMALPA
Cuajimalpa, Cuajimalpa de Morelos","150 m² lote, 3 rec., 3 baños, 2 estac.",Cuajimalpa
"Departamento moderno e iluminado con acabados de buen gusto en exclusivo ccondominio de departamentos y casas rodeado de naturaleza con amenidades y seguridad, en calle con doble acceso y una que sale a la carretera a minutos de Santa Fe y muy cerca de Bosques de las Lomas e Interlomas. Espacios: * 120 m2 de construcción ( de los departamentos mas grandes del condominio) * + 7 m2 de bodega. *Amplia área social de sala y comedor con ventanales de piso a techo con persianas en todo en departamento, con ventanales acondicionados para ser usados como balcón en sala y en habitaciones. *Cocina integral abierta con barra de granito y amplia isla diseñada para un my buen almacenaje. *2 habitaciones principal con vestidor y baño completo distribuido en dos partes separadas para dar una mayor practiidad y comodidad a la pareja, y la segunda habitación con clóset de buen tamaño con baño completo también pensado para darle servicio a dicha habitación y como baño de vistas. . * 2 Baños completos con canceles en vidrio templado y ventilación natural. * Area de lavado. * 2 Lugares de estacionamiento techados. * Bodega (7m2) *Mantenimiento de $ 3255 que incluye el costo del agua, además de los costos las amenidades y seguridad. Opcional a rentar a $Ver datos con mantenimento incluido ( requisitos: mes de renta, mes de deposito y pago de póliza ; con aval o bien obligado solidario) Se aceptan mascotas pequenas. amenidades: **La privada cuenta con vigilancia 24 /7 con circuito cerrado. * Estacionamiento para visitas. * Jardín y/o área de mascotas. *Gimnasio, *Salón de usos múltiples. *Roof Top con asador. *Aréa de lavandería cómun ( lavadoras y secadoras) Mayor infomación / citas: Ver datos",https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-renta-depto-c-vista-arbolada-privacidad-a-146350585.html,"MN 25,000","Calle Morelos 65
Cuajimalpa, Cuajimalpa de Morelos","127 m² lote, 2 rec., 2 baños, 2 estac.",Cuajimalpa
"Vive en las alturas con lujo, comodidad y espectaculares amenidades! Descubre este exclusivo departamento en el piso 17, con 196 m² de construcción en excelente estado de conservación. Su diseño inteligente y acabados de alta calidad te brindan el estilo de vida que mereces. 3 recámaras con closet en cada una. 3 baños completos. 1 estacionamiento. La cocina integral es ideal para los amantes del buen comer, mientras que la distribución del espacio incluye sala, comedor y área de lavado para tu máxima comodidad. Amenidades y espacios comunes que lo tienen todo: • Alberca. • Jardín. • Jacuzzi. • Gimnasio y spa. • Sauna y vapor. • Sala de cine y teatro. • Salones de fiesta (para adultos y niños) • Ludoteca. • Área de masajes. • Asadores. • Circuito cerrado, vigilancia privada y video portero para tu seguridad. • Elevador, cisterna e hidroneumático. • Valet parking. Mantenimiento Incluido. Todos los servicios están disponibles: agua, luz, drenaje, gas por red, alumbrado. Con un terreno de 196 m² de tipo regular, este inmueble se ubica en una torre habitacional moderna, con todo lo necesario para vivir con tranquilidad y confort.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-santa-fe-cdmx-147069529.html,"MN 45,000","Prolongación Paseo de la Reforma
Cuajimalpa, Cuajimalpa de Morelos","196 m² lote, 3 rec., 3 baños, 1 estac.",Cuajimalpa
"Rento bonito departamento, moderno, 2 recámaras con 2 closets, 2 baños completos, amplia area de sala Y comedor, cocina integral equipada, alacena con barra de granito, cuarto de lavado, 1 estacionamiento techado. 3, 000M2 de áreas comunes: ping pong, billar, gym super equipado, homme oficce, launge, cafetría, área de asador, ludoteca, salón tipo cafetería, terrazas, jardín sen de 600M2. El desarrollo cuenta con doble acceso, desde santa fe por tunel O puente, desde interlomas, vista hermosa Y cuajimalpa, camaras de seguridad, vigilancia, el desarrollo tiene excelente mantenimiento. mantenimiento incluido. si lo visitas te quedas!! Mascota pequeña",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-bonito-depto-a-5-min-de-santa-fe-147450599.html,"MN 15,750","Carretera México-Toluca 5623
Cuajimalpa, Cuajimalpa de Morelos","70 m² lote, 2 rec., 2 baños, 1 estac.",Cuajimalpa
"Departamento en Riga Bosques Conectividad y confort en Santa Fe. Ubicado en una zona estratégica que combina la tranquilidad residencial con la cercanía a los principales centros corporativos y comerciales del poniente de la cdmx. Puntos de interés cercanos: 2 min en auto a Patio Santa Fe y Televisa Santa Fe. 5 min al Centro Comercial Santa Fe y Parque La Mexicana. 7 min a universidades como ibero, Tec de Monterrey y Universidad de la Salud unisa. 10 min a hospitales y clínicas de la zona (abc Santa Fe) 15–20 min a Interlomas y Bosques de las Lomas. 30–35 min al Aeropuerto Internacional de la cdmx. Características y amenidades. Tipo loft. 1 Lugar de estacionamiento. Alberca. Gimnasio. Seguridad 24/7. Se aceptan mascotas. Pisos de alta tecnología (repelen polvo y humedad) Persianas. Refrigerador. Estufa, horno y microondas. Centro de lavado y secado. Sensores de humo, gas y co₂ Alarma contra incendio. Con acceso inmediato a Carretera México–Toluca, Paseo de los Tamarindos y Vasco de Quiroga, lo que facilita la movilidad hacia Santa Fe, Bosques y el poniente de la ciudad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-cuajimalpa-de-morelos-147191527.html,"MN 20,000","Carretera México-Toluca 1535
Cuajimalpa, Cuajimalpa de Morelos","40 m² lote, 1 rec., 1 baño, 1 estac.",Cuajimalpa
"Amplio departamento de 138 m2 que consta de tres recámaras, la principal con baño y vestidor. Las recámaras secundarias con closet y comparten baño. En el pasillo hay un enorme closet de blancos. Todo el departamento recibe una linda luz natural y ventilación. Cuenta también con cuarto de servicio y baño, una útil bodega y dos lugares de estacionamiento. El edificio está muy bien ubicado, esta cercano al Parque El Cacalote que es un gran espacio verde y 100% familiar. Puedes practicar futbol, correr, caminar, hacer picnic y entretener a los pequeños de la casa en sus juegos infantiles. También es cercano a escuelas de gran prestigio como lo son Tomás Moro y Northridge y además te queda Chedraui muy cerca para hacer tus compras. El precio del departamento esta de súper oportunidad!! Que no te lo ganen! Disponible a partir del 16 de agosto pero se puede conocer antes.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-o-renta-cuajimalpa-143718378.html,"MN 20,000","CERRADA DE VERACRUZ 115
Cuajimalpa, Cuajimalpa de Morelos","138 m² lote, 3 rec., 2 baños, 2 estac.",Cuajimalpa
"Se renta departamento amueblado en edificio Latelier, con una superficie de 108 mts, cuenta con 2 recamaras, 2 baños y estacionamiento para 1 auto. Amenidades: Gimnasio, alberca techada con jacuzzi, vista panoramica, jardín, cancha de padel y seguridad privada. No se admiten mascotas. El mantenimiento ya esta incluido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-santa-fe-latelier-147223515.html,"MN 33,500","Fernando Espinosa Gutiérrez 55
Cuajimalpa, Cuajimalpa de Morelos","108 m² lote, 2 rec., 2 baños, 1 estac.",Cuajimalpa
