Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Ubicadísimo departamento en calle tranquila a solo unos metros de Mitika, y muy cerca del centro de Coyoacán con excelente ubicación y vías de acceso. Iluminado y en excelentes condiciones, en edificio de 8 pisos, ubicado en un segundo piso y con solo 2 departamentos por nivel está este clásico departamento con mucha madera y amplias ventanas que consta de recibidor a la entrada, estancia muy amplia, cocina y antecomedor. Un amplio pasillo conduce a las 3 recámaras, todas muy amplias y con muy buenos closets. La recámara principal tiene baño y un segundo baño completo que comparten las otras 2 recámaras. Área de lavandería y cuarto de servicio con baño integrado. 1 lugar de estacionamiento fijo, no se estorba. Conserje de lunes a viernes de 8: 00 am a 6: 00 pm, sábados hasta las 2: 00 pm. Requisitos: Mes de depósito. Fiador u obligado solidario. Póliza jurídica",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-coyoacan-de-3-recamaras-147149879.html,"MN 35,000","Matamoros 46
Del Carmen, Coyoacán","167 m² lote, 3 rec., 2 baños, 1 estac.",Del Carmen
"Muy práctico y cómodo loft en pleno Coyoacán. Incluye todos los servicios: internet, agua, electricidad, limpieza una vez por semana. Bien equipado, se puede rentar por semanas, mes o por año. El mantenimiento, Incluye todos los servicios: Electricidad, agua, gas, internet, servicio de limpieza una vez por semana, jardinero. Uso de lavadora y secadora. Chapa electrónica tanto en el edificio como en el departamento. Tiene un roof garden compartido, área de asado, dos jardines. Tiene una cocina grande en área común y una sala para recibir visitas o cuando quieres cocinar u hornear algo fuera de tu loft. Se puede rentar por semana, meses o por año. Charming loft in Coyoacan, fully furniture all services included. If you are interested let me know your dates. Could be by week, month or by year. El precio varía si se renta por dìa, por semana o por mes. Precio anunciado es por mes",https://www.inmuebles24.com/propiedades/clasificado/teclapin-loft-del-carmen-coyoacan-58899199.html,"MN 19,500","Berlín 52
Del Carmen, Coyoacán","37 m² lote, 1 rec., 1 baño",Del Carmen
"Ref: 2 5 2 5 9 7. Este departamento para estrenar, en venta se encuentra a lado de los Viveros de Coyoacán, una de las zonas más emblemáticas de la Ciudad de México. Con una construcción de 125 m2, cuenta con 3 recámaras, 2 baños completos y todos los espacios necesarios para disfrutar en familia. Además, el uso de suelo residencial permite a sus habitantes vivir en un entorno tranquilo y seguro. Los residentes de este espectacular departamento podrán disfrutar de una amplia gama de amenidades, como área de juegos infantiles, asador, elevadores, caseta de vigilancia, jardín, intercomunicador, armarios empotrados y seguridad privada. Además, es un espacio pet friendly, perfecto para aquellos que desean compartir su hogar con sus mascotas. En cuanto a las zonas de interés cercanas, Del Carmen, Coyoacán, se encuentra a pocos minutos de centros comerciales, restaurantes y parques, que ofrecen diversas opciones de entretenimiento y esparcimiento. Además, la zona cuenta con excelentes vías de acceso, como avenidas principales y estaciones de metro, que facilitan la movilidad de sus residentes. Sin duda, este departamento es la opción ideal para quienes buscan un hogar confortable y bien ubicado en la Ciudad de México. Entre las zonas de interés cercanas se encuentran los Viveros de Coyoacán, Plaza Mitikah, la Cineteca, Museo Frida Kahlo, Walmart, Salud Digna y Hospital issste. La ubicación de esta propiedad es estratégica para garantizar la movilidad y conectividad con distintas zonas de la Ciudad de México, dado su cercanía a Av. Insurgentes Sur, Eje 7 Félix Cuevas, Mixcoac y av. Universidad. Además, se encuentra a poca distancia de las estaciones del Metro Viveros y Coyoacán. ¡No pierdas la oportunidad de conocer este exclusivo hogar!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-estrena-departamento-en-renta-viveros-coyoacan-146977368.html,"MN 30,000","Avenida Universidad 1435
Del Carmen, Coyoacán","125 m² lote, 3 rec., 2 baños, 1 estac.",Del Carmen
"Departamento en renta en Coyoacán | segundo piso|50 m2; |amueblado o sin amueblar. Consta de: 1 recámara, 1 baño completo, sala comedor, cocina integral, y pequeña terraza privada. Amenidades del edificio: Terraza con asador, Lavandería, Vigilancia 24/7. No se aceptan mascotas. no cuenta con estacionamiento, ni elevador. El precio de renta es más mantenimiento de $2, 500. Ubicado frente al Mercado de Coyoacán, rodeado de cafeterías, teatros, librerías, hospitales, escuelas de arte y centros comerciales. Requisitos: 1 mes de renta, 1 mes de depósito, Póliza jurídica equivalente al 30% del valor de la renta. Contrato mínimo de 1 año. (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-del-carmen-coyoacan-4-147381661.html,"MN 27,000","Calle Xicoténcatl
Del Carmen, Coyoacán","50 m² lote, 1 rec., 1 baño",Del Carmen
"Rento mini departamento para una persona, únicamente para caballero, está amueblado, cuenta con todo lo necesario, baño completo, área de lavado y secado, se encuentra dentro de una casa pero es totalmente independiente, ambiente tranquilo y respetuoso, muy bien ubicado a unas cuadras de la preparatoria #6, centro y mercado de Coyoacán, cerca de la Plaza Mitika.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-mini-departamento-amueblado-para-una-persona-147257236.html,"MN 10,000","Avenida Río Churubusco 370 & Viena
Del Carmen, Coyoacán","40 m² lote, 1 rec., 1 baño",Del Carmen
"Súper moderno mini loft amueblado en la colonia del Carmen Coyoacán, cerca de atractivos turísticos, avenidas importantes, transporte público. A unas cuadras del museo de Frida Kahlo y del Centro de Coyoacán. Cuenta con: * 1 recámara con cama qs, * Estancia con futón matrimonial. * Cocina equipada con todo lo que necesitas. * Lindo mini jardín con sillas para tomar el café o el solecito justo afuera del loft. Áreas comunes: * lavandería, * cocina equipada, * jacuzzi, * terrazas. * roof garden. Incluye todos los servicios: Luz, internet, gas, 1 limpieza por semana y mantenimiento de áreas comunes. ¡Súper oportunidad!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-coyoacan-centro-147202057.html,"MN 20,000","Berlin 52
Del Carmen, Coyoacán","50 m² lote, 1 rec., 1 baño",Del Carmen
"Departamento para una persona o pareja, ubicado en el corazón del centro de Coyoacán, frente al mercado. Rodeado de cafés, librerías, teatros y museos. Cómodo e iluminado departamento, cuenta con una pequeña terraza. Se renta con y sin amueblar. El edificio cuenta con terraza comunal y lavandería. No cuenta con estacionamiento.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-departamento-en-el-corazon-del-centro-de-coyoacan-144878202.html,"MN 27,000","Calle Xicoténcatl 355
Del Carmen, Coyoacán","50 m² lote, 1 rec., 1 baño",Del Carmen
"Departamento completamente amueblado en hermoso y exclusivo conjunto de casas, inigualable ubicación en Coyoacán, Del Carmen, cerca del Centro Histórico de Coyoacán, del Museo Frida Kahlo, del Centro comercial Mitika, cerca de transportes, comercios, en calle tranquila, el departamento tiene cocineta, comedor, sala, recamara, un baño completo y estudio, terraza, todos los servicios incluidos, agua, luz, gas, internet, mantenimiento, tv inteligente, estacionamiento opcional.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-tu-precioso-departamento-amueblado-con-terraza-en-146657449.html,"MN 19,500","Francisco Javier Mina 73
Del Carmen, Coyoacán","58 m² lote, 1 rec., 1 baño, 1 estac.",Del Carmen
"Town House en Renta en Torre Mitiakh. Disfruta el lujo y la comodidad de vivir en un exclusivo town house de 200 m2 dentro de la prestigiosa Torre Mitiakh. Amplios espacios, acabados de primer nivel y acceso a las amenidades más selectas. 3 recamaras. 3 baños y medio. cuarto de servicio con su baño completo. 2 lugares de estacionamiento. Renta: 77, 000 incluyendo mantenimiento. Se aceptan mascotas. Privacidad y seguridad. Estilo de vida único. Ubicación privilegiada. Ideal para quienes buscan exclusividad y confort en su día a día.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-townhouse-en-renta-en-torre-mitikah-147400553.html,"MN 66,000","Mítikah Torre Residencial
Xoco, Benito Juárez","200 m² lote, 3 rec., 3 baños, 2 estac.",Del Carmen
"• Mítikah Torre Residencial. • Venta. • $ 7, 300, 000 (us$390, 631. 40) • Renta amueblado. • $40, 000. 00 (us$2140. 45) • Mantenimiento incluido en la renta. • 79mts2. • 2 baños. • 1 cochera. • amenities. • Alberca. • Social Rooms. • Petzone. • Sauna y vapor. • Salón de eventos. • Gym. • Salón de Pilates. • Salón de spinning. • Ludotecas. • Seguridad. • Elevador",https://www.inmuebles24.com/propiedades/clasificado/veclapin-hermoso-loft-en-mitikah-torre-residencial-147403503.html,"MN 40,000","RIO CHURUBUSCO
Xoco, Benito Juárez","79 m² lote, 1 rec., 2 baños, 1 estac.",Del Carmen
