Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en Renta | 70 m2 | Segundo Piso | Servicios y Mantenimiento Incluidos | Estacionamiento | se renta sin muebles. Amplio y cómodo departamento de 70 m2;, ubicado en el segundo piso de una casa tranquila y bien ubicada. Consta de: Sala-comedor, Cocina integral, 2 recámaras, 1 baño completo, Balcón con área de lavado (lavasecadora incluida) , 1 cajón de estacionamiento. Se aceptan mascotas pequeñas bajo aprobación del propietario. La renta ya incluye servicios (agua, luz, y gas) y mantenimiento. Requisitos: Un mes de renta, un mes de depósito, ypóliza jurídica (30% del valor de la renta) Contrato mínimo de un año. (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-deportivo-pensil-miguel-hidalgo-147090806.html,"MN 13,000","Tercera Privada de Legaria
Deportivo Pensil, Miguel Hidalgo","70 m² lote, 2 rec., 1 baño, 1 estac.",Deportivo Pensil
"Torre Botticelli Amueblado de Super Lujo Espectacular. Muy exclusivo ubicado en Residencial Plaza Carso, Hermoso Departamento con una superficie de 170 metros, de Super Lujo, inmediato a Polanco, Antara, Periférico, Ejercito Nacional, Río San Joaquin, Reforma, Circuito Interior, Lomas de Chapultepec, los mejores Centros Comerciales y Corporativos, Estilo Contemporáneo, precioso departamento, excelente orientación, vista panoramica al Museo Soumaya, muy iluminado, lleno de luz, acabados de super lujo, mármol, granito y cerámica, fina carpinteria italiana, cuenta con amplia estancia, cocina integral con barra de granito abierta, muy iluminado, hermosa vista panoramica, 03 recamaras, 03 1/2 baños, Sala de television o estudio, 03 estacionamientos, closets empotrados, Cuarto de Servicio con baño integrado, Cuarto de Lavado. Amenidades: Alberca, Gimnasio, salón de fiestas, ludoteca. Estricta Vigilancia 24 horas. Cerca de supermercados, cines, las mejores tiendas y restaurantes. Todo! Vealo! Especial para ejecutivos o extranjeros. Excelente zona, céntrica y con acceso a múltiples servicios, comercios, entretenimiento y vías rápidas, acceso controlado. Excelente ubicación inmediato al restaurantes con acceso a múltiples servicios, comercios y lugares públicos, asi como a una gran oferta cultural, caminando o en auto. Todos los servicios a la mano. A menos de 10 minutos (caminando): cafés, teatros, cines, club deportivo, farmacias, restaurante/bar, bancos, gasolinera, vigilancia, spa, salones y peluquerías, regalos, agencias automotrices, etc. Cerca de Corporativos, las mejores escuelas y Universidades. Una de las zonas con mayor tradición, historia y plusvalía de la Ciudad de México, segura, y con excelentes opciones para pasear y disfrutar con la familia o amigos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-plaza-carso-amueblado-3-58058338.html,"MN 92,000","Lago Zurich 272
Ampliación Granada, Miguel Hidalgo","170 m² lote, 3 rec., 3 baños, 2 estac.",Deportivo Pensil
Departamento esquinero de 120 M2. 3 recámaras. Recámara principal con baño completo Y vestidor. Las otras dos recamaras comparten baño. Baño de visitas. Amplia sala comedor. Area de lavado. Linda cocina abierta. Techos de 3 metros que le dan mucha luz Y amplitud. Estancias muy amplias. Lindas vistas. 2 cajones de estacionamiento. Acceso directo al centro comercial. Completo conjunto de amenidades. Estacionamiento para visitas. Vigilancia 24 horas. Torre muy bien ubicada con todos los servicios alrededor.,https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso:-departamento-3-recamaras-totalmente-144749023.html,"MN 65,000","LAGO ZURICH 245
Ampliación Granada, Miguel Hidalgo","120 m² lote, 3 rec., 2 baños, 2 estac.",Deportivo Pensil
Rentaplazacarso. com. precioso departamento en renta en plaza carso 2 amueblado. Con acceso directo A la plaza. 118 M2: 2 recámaras con baño completo Y vestidor. Family room con baño completo. Area de lavado. Linda cocina abierta. Amplios espacios. Enormes cristaleras en todas las recamaras. Muy luminoso. Acabados de alta calidad. 2 cajones de estacionamiento. Completo conjunto de amenidades. Ubicación inmejorable. Vigilancia 24 horas. Acceso con huella digital. Estacionamiento de visitas.,https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso:-2-recamaras-con-family-room-amueblado-146994643.html,"MN 53,000","LAGO ZURICH 219
Ampliación Granada, Miguel Hidalgo","118 m² lote, 2 rec., 3 baños, 2 estac.",Deportivo Pensil
Rentaplazacarso. com. departamento completamente amueblado Y equipado muy lindo. 75 M2. 1 recamara con baño completo Y vestidor. Area de lavado. Acabados de alta calidad. Amplias cristaleras. Muy luminoso. 1 cajon de estacionamiento. Vigilancia 24 horas. Estacionamiento para visitas. Completo conjunto de amenidades. Torre muy tranquila Y segura. Todos los servicios alrededor. Ubicacion inmejorable. Mantenimiento incluido en la renta. Solo se renta para periodos de larga estancia.,https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso:-amueblado-de-1-recamara-143737561.html,"MN 40,000","FERROCARRIL DE CUERNAVACA 779
Ampliación Granada, Miguel Hidalgo","75 m² lote, 1 rec., 1 estac.",Deportivo Pensil
Rentaplazacarso. com. departamento de 171 M2: 3 recámaras cada una con baño completo Y vestidor. Completamente amueblado Y equipado muy bonito. Family room. Cuarto de servicio. Area de lavado. Linda cocina abierta. Amplia sala comedor. Preciosas vistas al soumaya. Muy luminoso. Enormes cristaleras en todas las estancias que le dan mucha luz. Acabados de alta calidad. 2 cajones de estacionamiento. Completo conjunto de amenidades. Vigilancia 24 horas. Torre muy bien ubicada con todos los servicios alrededor. Solo se renta para periodos de larga estancia. Mantenimiento incluido en la renta.,https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso:-amueblado-de-3-recamaras-con-family-room-147033815.html,"MN 92,000","LAGO ZURICH 272
Ampliación Granada, Miguel Hidalgo","171 m² lote, 3 rec., 3 baños, 3 estac.",Deportivo Pensil
Rentaplazacarso. com. departamento en renta de 60 M2 completamente amueblado Y equipado. 1 recamara muy espaciosa con amplio armario. Baño completo con dos puertas para dar servicio como baño de visitas Y baño recamara principal. Linda cocina abierta. Bonita sala con enormes cristaleras que le dan mucha luz. Area de lavado. Acabados de primera calidad. 1 cajon de estacionamiento. Completo conjunto de amenidades. Vigilancia 24 horas. Estacionamiento para visitas. Torre muy bien ubicada con todos los servicios alrededor. Mantenimiento incluido en la renta. Periodo minimo de renta un año.,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-plaza-carso:-1-recamara-90642294.html,"MN 38,000","LAGO ZURICH 96
Ampliación Granada, Miguel Hidalgo","60 m² lote, 1 baño, 1 estac.",Deportivo Pensil
"Departamento 3 recámaras en renta sin muebles con línea blanca. + Tipo de propiedad: Departamento en renta sin muebles con línea blanca. + Dirección: Calle Lago Zurich 219, Ampliación Granada, Miguel Hidalgo, Ciudad de México, Ver datos. Características: · Metraje: 133m² · Sin muebles con línea blanca (refrigerador, centro de lavado, microondas y lavavajillas) · 3 recámaras. · Baños: 2 baños completos y medio de visitas. · Sala y comedor amplio. · Cocina integral con barra y lavavajillas. · Área de lavado. · Estacionamientos: Dos cajones de estacionamiento. · Bodega. El departamento está en Torre Renoir del conjunto residencial de plaza Carso con increíbles amenidades: - Seguridad 24/7. - Acceso con biométricos y huella. - Áreas verdes. - Gimnasio completamente equipado. - Alberca techada climatizada con Chapoteadero. - Spa con Jacuzzi, vapor y baños. - Salón de ejercicio. - Salón de juegos. - Business Center. - Ludoteca. - Salón de usos múltiples. servicios cercanos: - Plazas comerciales con servicios bancarios, telefonía, tiendas de ropa de moda y de lujo, restaurantes de todo tipo de variedad, cafés, entretenimiento (cine, museos, etc. ), gimnasios, salones de belleza, hospitales, corporativos, supermercados, colegios, entre otros. Esperamos su llamada con mucho gusto. *Somos expertos en la zona de Carso, contáctenos para preguntar sobre ésta y otras opciones de departamentos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-carso-nuevo-polanco-torre-147457309.html,"MN 52,000","Calle Lago Zurich 96
Ampliación Granada, Miguel Hidalgo","133 m² lote, 3 rec., 2 baños, 2 estac.",Deportivo Pensil
Rentaplazacarso. com. departamento de 171 M2: 2 recámaras cada una con baño completo Y vestidor. Completamente amueblado Y equipado muy bonito. . Cuarto de servicio. Area de lavado. Linda cocina abierta. Amplia sala comedor. Preciosas vistas al soumaya. Muy luminoso. Enormes cristaleras en todas las estancias que le dan mucha luz. Acabados de alta calidad. 2 cajones de estacionamiento. Completo conjunto de amenidades. Vigilancia 24 horas. Torre muy bien ubicada con todos los servicios alrededor. Solo se renta para periodos de larga estancia. Mantenimiento incluido en la renta. *En este departamento no es posible broker inmobiliario*,https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso:-impresionante-amueblado-147268834.html,"MN 85,000","Calle Lago Zurich 272
Ampliación Granada, Miguel Hidalgo","171 m² lote, 2 rec., 2 baños, 3 estac.",Deportivo Pensil
"Amplio departamento en Renta en Cuadrante Neuchatel con linea blanca, cuenta con 2 habitaciones, la principal con baño y vestidor. , 2 baños completos y un family room, 2 estacionamientos, el edificio ofrece seguridad 24 hrs, estacionamiento de visitas, gimansio, alberca con jacuzzi, ludoteca, salon de jovenes, lounge bar y salones de eventos, a unos pasos de plaza Carso, Antara y Miyana, asi como supermercados, bancos, restaurantes museos, teatro",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departmento-en-renta-en-cuadrante-neuchate-146872660.html,"MN 40,000","lago andromaco 55
Ampliación Granada, Miguel Hidalgo","106 m² lote, 2 rec., 2 baños, 2 estac.",Deportivo Pensil
"Departamento en renta amueblado en Cuadrante Neuchatel, cuenta con 1 habitacion, 1 baño completo y estacionamiento, el edificio incluye seguridad 24 hrs, estacionamiento de visitas, gimnasio, alberca con jacuzzi, salon de eventos, lounge bar, ludoteca, a unos pasos de plaza Carso, Antara, Miyana, supermercados, bancos, restaurantes, museos, teatro",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-amueblado-en-cuadrante-neuchatel-146798318.html,"MN 37,000","lago andromaco 55
Ampliación Granada, Miguel Hidalgo","70 m² lote, 1 rec., 1 baño, 1 estac.",Deportivo Pensil
Rentaplazacarso. com. departamento de 60 M2: completamente amueblado Y equipado. Amplia sala. Linda cocina abierta. Area de lavado. Recamara con vestidor. Espacioso baño. Techos de 3 metros que le dan mucha luz. Vistas al jardin. 1 cajon de estacionamiento. Acceso directo al centro comercial. Completo conjunto de amenidades. Vigilancia 24 horas. Estacionamiento para visitas. Perfecta ubicacion. Servicios incluidos en el precio. Mantenimiento incluido en la renta.,https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso:-amueblado-de-1-recamara-66340025.html,"MN 35,000","LAGO ZURICH 245
Ampliación Granada, Miguel Hidalgo","60 m² lote, 1 rec., 1 baño, 1 estac.",Deportivo Pensil
"Departamento en renta amueblado. Disfruta del espacio y el estilo en este departamento de 134m² en Residencial Carso, Polanco, Torre Moliere. Este amplio departamento está ubicado en una de las áreas más dinámicas y bien conectadas de la ciudad. Un lugar ideal para quienes valoran el confort, la elegancia y un estilo de vida activo y cosmopolita. + Tipo de operación: Departamento en renta amueblado. + Ubicación: Torre Moliere, Carso, Nuevo Polanco. Características: · Metraje: 134m2. · Recámaras: 2 recámaras, principal con vestidor. · Baños: 2 baños completos y medio de visitas. · Cocina integral. · Sala y comedor amplios. · Medio baño de visitas. · Área de Lavado. · 2 cajones de estacionamiento. · Bonita vista. + Normas: - No se permite fumar. El departamento está en Torre Moliere del conjunto residencial de plaza Carso con increíbles amenidades: - Alta Seguridad 24/7. - Portero y Concierge. - Acceso con biométricos y huella dactilar. - Gimnasio con equipos y pesas de alto entrenamiento. - Alberca y chapoteadero. - Spa con vapor y baños. - Terraza. - Salón de juegos para adultos. - Centro de negocios. - Sala de juntas. - Ludoteca. - Salón de usos múltiples. - Estacionamiento de visitas. ubicación: El residencial se encuentra sobre la calle Blvd Cervantes de Saavedra frente a plaza Antara, entre el parque lineal y la calle de cerrada ferrocarril de Cuernavaca. Calles importantes cercanas: Río San Joaquín, Av. Ejercito Nacional, Periférico, Palmas. Servicios cercanos: - Plazas comerciales con servicios bancarios, telefonía, tiendas de ropa de moda y de lujo, restaurantes de todo tipo de variedad, cafés, entretenimiento (cine, museos, etc. ), gimnasios, salones de belleza, hospitales, corporativos, supermercados, colegios, entre otros. Esperamos su llamada con mucho gusto. *Somos expertos en la zona de Carso, contáctenos para preguntar sobre ésta y otras opciones de departamentos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-carso-moliere-nuevo-polanco-y-146962873.html,"MN 70,000","Miguel Cervantes Saavedra 255
Ampliación Granada, Miguel Hidalgo","134 m² lote, 2 rec., 2 baños, 2 estac.",Deportivo Pensil
