Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Excelente departamento con roof garden privado. Consta de sala comedor en espacio continuo, cocina abierta junto al área de lavado, dos baños completos y un medio baño de visitas, además de dos habitaciones con excelente entrada de luz natural y un balcón que conecta, sala y ambas recámaras. Acceso interior a roof privado, además de un cajón de estacionamiento independiente. El edificio cuenta con elevador, roof garden común, cisterna, gimnasio, ludoteca, vigilancia 24/7. Mantenimiento inlcuido, el departamento ya cuenta con internet total play por $550. se acepta una mascota pequeña. Requisitos: - mes de renta. - mes de depósito. - póliza jurídica (vale el 30% de la renta más iva y la paga el inquilino en su totalidad) para tramitarla se solicita fiador con propiedad libre de gravamen en cdmx o un obligado solidario. (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-ph-en-renta-colonia-ermita-benito-juarez-146751746.html,"MN 18,500","Calzada Ermita
Ermita, Benito Juárez","150 m² lote, 2 rec., 3 baños, 1 estac.",Ermita
"Bienvenido al mejor desarrollo en la zona: lujo - seguridad - garantías - acabados - ubicación - exclusividad. Con su distintivo estilo de ciudad y su cómoda localización; tu nuevo departamento! ! Es donde realmente puedes tenerlo todo. Lugares que marcan tendencia, restaurantes galardonados y de clase mundial, eventos deportivos de élite y una escena social que siempre es vibrante y excitante. &quot;Es lo que mereces para tu estilo de vida. &quot;Características: Departamento con acabados de lujo! ! 2 Recamaras. 2 Baños Completos. 1 Estacionamiento. Iluminación y ubicación inigualable. Contáctanos para conocer tu nuevo hogar. Será un placer atenderte! ! z o n a h o g a r e s. C o mte ayudamos A tramitar cualquier crédito hipotecario. bancario, infonavit, cofinavit, fovissste, alia2, etc. Llama Ahora! Tel: Ver datos. Whatsapp: Ver datos. z o n a h o g a r e s. C o mImágenes y textos son únicamente referencia. No deben interpretarse con fiel base de detalles finales en las residencias y desarrollo. El desarrollo se reserva el derecho de modificar y realizar cambios como juzgue correcto a su única y absoluta discreción. Representaciones verbales no contarán como modelo representante del desarrollador. *ajuste de precios sin previo aviso*z o n a h o g a r e s. C o m",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-2-recamaras-2-banos-1-147401482.html,"MN 22,000","Cercano Alberca Olimpica
Ermita, Benito Juárez","65 m² lote, 2 rec., 2 baños, 1 estac.",Ermita
"Este departamento en renta se encuentra en Portales Sur. Cuenta con 60 m2, ideal para una vida cómoda. El interior ofrece sala, comedor, cocina integral y 2 recámaras con clóset. Tiene 1 baño completo y área de lavandería. Disfruta de 1 lugar de estacionamiento y la seguridad de cámaras de vigilancia. . Cuenta con servicios básicos. El edificio se ubica en una zona residencial tranquila, con fácil acceso a escuelas cercanas, centros comerciales, parques. Portales Sur es un barrio predominantemente residencial, con un ambiente familiar y tranquilo. Encontrarás varias opciones de transporte público, incluyendo estaciones de metro y paradas de autobús, facilitando el acceso a vialidades importantes. Hay escuelas de preescolar, primaria y secundaria en los alrededores, así como supermercados, tiendas de conveniencia y farmacias. Para el ocio, existen parques y restaurantes cercanos. La zona cuenta con hospitales y clínicas en caso de necesidad. Se percibe un buen nivel de seguridad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-2-recamaras-en-renta-portales-sur-147278061.html,"MN 17,000","Avenida Pirineos
Portales Sur, Benito Juárez","60 m² lote, 2 rec., 1 baño, 1 estac.",Ermita
"Estrena lindo departamento, con excelente ubicación, con 2 habitaciones, 2 baños completos, cocina integral, área de lavandería integrada, pisos de loseta, 1 garage (en fila de 2), portón eléctrico. Cuenta con hermoso y grande roof garden. Elevador, cisterna. Fiador indispensable, al igual que póliza de arrendamiento. Se renta vacío.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-portales-sur-con-roof-garden-147400024.html,"MN 18,000","Saratoga 714
Portales Sur, Benito Juárez","66 m² lote, 2 rec., 2 baños, 1 estac.",Ermita
"Excelente Departamento, muy buena ubicación a unos metros de la alberca olímpica, del eje central, Rio Churubusco y Tlalpan, con superficie de 61 mt2 de construcción más 11 mt2 de terraza, consta de sala comedor, cocina equipada, área de servicio, dos recamaras con clóset, la principal con su propio baño, otro baño completo en pasillo que da servicio al resto del departamento. Cortinas back out en sala-comedor y de p. v. c. En recamaras, calentador de paso, estacionamiento para dos autos (uno arriba del otro) con elevador, luz interior en clósets. Control eléctrico peatonal y de autos. Gas estacionario. No se aceptan mascotas. Requisitos que deberá cubrir si está interesado: Una renta de depósito, una renta adelantada, presentar un obligado solidario y cubrir el costo de una Póliza Jurídica cuyo costo es de 7, 240. 00. Inquilino: 1. Identificación oficial. 2. Comprobante de domicilio. 3. Comprobante de ingresos de 3 meses a la fecha cfdi (Recibos de nómina, en caso de presentar facturas deberá presentar también declaraciones de impuestos). Obligado Solidario: 1. Identificación oficial. 2. Comprobante de domicilio. 3. Comprobante de ingresos de 3 meses a la fecha cfdi (Recibos de nómina, facturas o declaraciones de impuestos). 4 Constancia de Situación Fiscal Actualizada. El inquilino deberá demostrar capacidad de pago 3 a 1 respecto al monto de renta y el obligado solidario deberá demostrar capacidad de pago 1. 5 a 1 respecto al monto de renta. *Precio sujeto a cambio sin previo aviso",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-nevado-136-portales-147348392.html,"MN 17,500","Nevado 136
Portales Sur, Benito Juárez","72 m² lote, 2 rec., 2 baños, 2 estac.",Ermita
"Acogedor departamento ubicado en pb, con excelente ubicación en el cuadro Churubusco, Eje Central, Popocatepetl y División del Norte. A dos cuadras de Metro Eje Central de la línea 12. Cuenta con sala de 3 piezas, mesa de centro y esquinera, comedor para 6 personas con gran vitrina, cocina integral con refrigerador, microhondas y licuadora, 2 recamaras con closet y buena iluminación, Smart tv con mueble, librero, área de servicio con lavadora y alacena, pequeña terraza con mueble de jardín. Estacionamiento que no se estorba con otro vehículo. Se acepta mascota. Mantenimiento 2, 750. 00 incluído en la renta. Vigilancia 24 hrs. Requisitos: 1 mes de depósito, 1 mes de renta, fiador con propiedad libre de gravamen en la cdmx u obligado solidario con poliza jurídica.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-pb-cerca-alberca-olimpica-147367540.html,"MN 19,000","Avenida Nevado 168
Portales Sur, Benito Juárez","68 m² lote, 2 rec., 1 baño, 1 estac.",Ermita
"Ff 26 - 372. En una de las mejores zonas para vivir gracias a su tranquilidad y fácil acceso a importantes vias como Avenida Rio Churubusco y Calzada de Tlalpan, encontramos este departamento con inmejorable vista al sur de la ciudad, que gracias a su ubicación, amenidades, y seguridad le ofrece todas las comodidas necesarias para una agradable y placentera estancia en su nuevo hogar.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-portales-benito-juarez-147275354.html,"MN 18,500","Portales
Portales Sur, Benito Juárez","75 m² lote, 2 rec., 2 baños, 2 estac.",Ermita
"Vive a solo unos pasos de Río Churubusco y Calzada de Tlalpan. Este moderno departamento de 135m2 en dos niveles, lo tiene todo: desarrollo de 15 departamentos, 3 recámaras, 2 con balcón, la principal con baño, y una independiente con baño (puede ser estudio o cuarto de tv), 3 baños completos, Cocina abierta con barra de granito, Roof garden privado con pérgola, Área de lavado y bodega, 2 estacionamientos independientes, caseta de vigilancia 24/7, 1 elevador, garaje electrónico, interpone y lobby. Pet friendly. El mantenimiento está incluido. Inmobiliarias no se comparte comisión.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-excelente-ubicacion-cerca-rio-churubusco-146394939.html,"MN 33,000","Vistahermosa 65
Portales Sur, Benito Juárez","135 m² lote, 3 rec., 3 baños, 2 estac.",Ermita
"Departamento a unos pasos de Av. Tlalpan (a 3 calles del Metro Ermita). Estancia (sala-comedor), cocina abierta, 2 recámaras (la principal con baño), 2 baños, área de lavado integrada, 1 estacionamiento. El departamento es interior ubicado en el 2do. Piso (Con elevador). Edificio con cisterna y vigilancia 24hrs. Mantenimiento incluido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-portales-sur-147346618.html,"MN 17,500","CERRADA EMILIANO ZAPATA
Portales Sur, Benito Juárez","70 m² lote, 2 rec., 2 baños, 1 estac.",Ermita
"Departamento en Renta con excelente ubicación en Filipinas 1106, Departamento 303, Torre 2, Colonia Portales Sur, Alcaldia Benito Juarez, Cdmx. Entre calle Vista Hermosa y Nevado, con acceso a vías principales, transporte y servicios. Caracteristicas: 75 m² bien distribuidos. Ubicado en tercer piso (sin elevador) Edificio con 16 departamentos y solo 4 pisos. Edificio con cisterna. Sala-comedor. Cocina cerrada, funcional y ventilada. 2 recámaras con buena iluminación. 1 baño completo. Área de lavado integrada. Jaula de tendido en azotea. 1 estacionamiento independiente (no se estorba con nadie) *No Se Aceptan Mascotas. $18, 000 con mantenimiento incluido. Mantenimiento $550. Agenda tu cita para conocerlo.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-portales-sur-146924547.html,"MN 18,000","Filipinas 1106
Portales Sur, Benito Juárez","75 m² lote, 2 rec., 1 baño, 1 estac.",Ermita
"Departamento en Renta – Nuevo y Moderno. Descubre este hermoso departamento de 70 m², ubicado en un edificio moderno con elevador, ideal para quienes buscan comodidad y estilo en un ambiente completamente nuevo. Características principales: Superficie: 70 m² Recámaras: 2 con iluminación natural. Baños: 2 completos con acabados contemporáneos. Cocina: Integral equipada, lista para estrenar. Estacionamientos: 2 cajones privados. Piso: Ubicado en el 3er nivel, con acceso por elevador. Estado de conservación: Nuevo, listo para habitar. Uso de suelo: Habitacional. Este departamento es perfecto para quienes desean un hogar moderno y funcional. Además, cuenta con espacios bien distribuidos y un entorno pensado para el confort de toda la familia.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-departamento-en-portales-sur-147048975.html,"MN 20,000","CANARIAS 1125
Portales Sur, Benito Juárez","70 m² lote, 2 rec., 2 baños, 2 estac.",Ermita
"Rentó hermoso departamento funcional que cuenta con dos recámaras con clóset, sala comedor súper amplia, cocina no equipada únicamente la tarja y la instalación de lavadora! No elevador. No estacionamiento. Se acepta una mascota pequeña. No cuenta con área para lavar. La cocina cuenta con instalación para lavadora. El departamento es muy iluminado. Ventanales nuevos de aluminio blanco. Cerca de avenidas principales como Tlalpan sur. Eje 8 Popocatépetl. Requisitos indispensables. Una renta. Un depósito. Póliza jurídica costo de 5, 250. 00 se paga 1, 250. 00 a cuenta de la póliza por gastos de investigación. Interesados concertar cita 24 horas de anticipación",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-3-piso-no-elevador-147426218.html,"MN 12,500","Calle Antillas 1005
Portales Sur, Benito Juárez","75 m² lote, 2 rec., 1 baño",Ermita
"Mf. Departamento en Renta Amueblado sobre Eje Central Lázaro Cardenas. Agradable y muy iluminado departamento exterior, ubicado en sexto piso con elevador. Son dos recamaras, la principal con baño y vestidor, la segunda comparte baño con el área social. Estancia de buen tamaño con sofa y comedor, cocina integral, refrigerador, lavadora, El edificio tiene 21 departamentos, hay un roof garden común, biciestacionamiento;el acceso es controlado por huella digital, y tiene circuito cerrado de vigilancia. El departamento tiene un cajón de estacionamiento que se comparte con otro vecino. No se aceptan mascotas. Con ubicación privilegiada, a 200 metros de la estacion del metro Eje Central L12, y con todos los servicios y escuelas en la zona. Requisitos: comprobar ingresos 3 a 1 la renta, mes de renta y mes de deposito, fiador con bien inmueble libre de gravamen en cdmx o área metropolitana, póliza juridica de 6, 500 pesos a cargo del inquilino. Agenda tu visita, con gusto te atendemos. (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-portales-sur.-4-147131849.html,"MN 23,500","Eje Central Lázaro Cárdenas
Portales Sur, Benito Juárez","60 m² lote, 2 rec., 2 baños, 1 estac.",Ermita
"¡Hermoso departamento situado en segundo nivel, ofrece comodidad y conveniencia! Cuenta con tres recámaras, cada una con closet, cocina integral, dos baños completos, área de lavado incluida y un lugar de estacionamiento asignado. Ubicado casi esquina Av. Río Churubusco, a una cuadra de Calzada Tlalpan, a tres calles del metro Ermita y a cinco minutos del Centro Nacional de las Artes. Perfecto para quienes buscan un hogar bien ubicado en una zona tranquila y bien comunicada. ¡Agenda tu cita hoy mismo y ven a conocerlo! **no se comparte comisión**",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-portales-benito-juarez.-147037882.html,"MN 20,000","Alhambra
Portales Sur, Benito Juárez","81 m² lote, 3 rec., 2 baños, 1 estac.",Ermita
