Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"En uno de los entornos más hermosos de la Ciudad de México, la colonia Escandón, el lugar ideal por su gran variedad de opciones culturales, deportivas y gastronómicas, ubicada a unos pasos de la colonia Condesa, Roma y el wtc, con excelentes vías de comunicación. Departamento con acabados de la más alta calidad; cocina integral, área de servicio, sala, comedor, dos recámaras, un baño completo. Cuenta con calentadores solares y chapas inteligentes. Atención inmediata al 55 Ver datos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-eb-renta-colonia-escandon-miguel-143882551.html,"MN 23,000","Minería
Escandón II Sección, Miguel Hidalgo","68 m² lote, 2 rec., 1 baño",Escandón II Sección
"Ref: 2 5 2 9 3 7. Renta de acogedor departamento con 2 terrazas ubicado en la exclusiva zona de Escandón ii Sección, en la alcaldía Miguel Hidalgo, Ciudad de México. Con 92 m2 de construcción y 30 m2 de terrazas: una de ellas es family room y la otra es una terraza abierta que cuenta con comedor de jardín. Este inmueble cuenta con 2 recámaras y 2 baños completos, perfecto para parejas o familias pequeñas que buscan comodidad y seguridad en su hogar. Además, dentro de sus amenidades, se destacan el salón de fiestas, lobby exterior, elevadores, seguridad privada las 24 horas y 2 cajones de estacionamiento completamente independientes. Además, el edificio tiene 7 espacios de estacionamiento para visitas. El departamento cuenta con algunos muebles incluyendo: refrigerador, centro de lavado, comedor exterior, litera y muebles del Family (opcional quitarlos) El mantenimiento está incluido en el precio de renta. La Colonia Escandón, ubicada en la alcaldía Miguel Hidalgo de la Ciudad de México, ha experimentado un resurgimiento en los últimos años, consolidándose como una zona atractiva para vivir. Su combinación de arquitectura clásica, calles arboladas y una creciente oferta de servicios, restaurantes y comercios, la han convertido en una gran opción para jóvenes profesionales y familias. Escandón destaca por su variedad de restaurantes, cafés, bares y comercios, lo que le ha ganado fama como un lugar con ambiente agradable y opciones para todos los gustos, además de su ubicación privilegiada pues el Condominio se encuentra caminando a tan solo 3 cuadras de la Colonia Condesa y Colonia Nápoles, las cuales son sede de agradables zonas de paseo Familiar o de pareja, conocidos restaurantes, cafeterías, zonas de festivales y actividades al aire libre pues dentro de la Colonia Nápoles cuenta con el Parque Nápoles, y en La Condesa se encuentre el Parque España y el Parque México ideal para paseos familiares y paseos con mascotas, además de que concentra un gran número de foros culturales. El Condominio se encuentra a una cuadra de Viaducto, y a 3 cuadras de Av Insurgentes Sur, Av Nuevo León y Av Benjamin Franklin. Además de la cercanía con las principales vías de accesos como Av. Patriotismo y Av. Revolución, que permiten una rápida conexión con otras zonas de la ciudad. Asimismo, la estación de metro Patriotismo se ubica a pocos minutos de distancia, facilitando el desplazamiento en transporte público para sus residentes. ¡No pierdas la oportunidad de vivir en este encantador departamento en una de las mejores zonas de la Ciudad de México!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-agrarismo-colonia-escandon-146932766.html,"MN 35,000","Agrarismo 207, Escandón II Sección, 11800, Miguel Hidalgo, México
Escandón II Sección, Miguel Hidalgo","120 m² lote, 2 rec., 2 baños, 2 estac.",Escandón II Sección
"Loft en dos niveles con patio privado. 60m2 habitables y patio privado de 20m2. Pb: Estancia amplia muy iluminada porque tiene un ventanal gigante hacia el patio y doble altura. Cocina italiana moderna con mucho espacio de guardado, abierta hacia la estancia. En P. A: Una recámara abierta hacia la estancia y un baño completo con ventilación natural. Cuenta además con un estacionamiento fijo que no se estorba con nadie. Edificio diseñado por el reconocido despacho de arquitectura Javier Sánchez (jsa) y ganador de la Bienal de Arquitectura en su año. El edificio aparece en miles de publicaciones de arquitectura por ser un inmueble innovador y único en su tipo. Cuenta con vigilancia las 24 hrs. No tiene elevador pero está en planta baja. Es el inmueble ideal para ser tu primer hogar. Contáctanos por whatsapp. Que no te lo ganen.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-escandon-loft-en-renta-doble-altura-1r-1b-1e-143357394.html,"MN 22,000","13 DE SEPTIEMBRE 42
Escandón II Sección, Miguel Hidalgo","80 m² lote, 1 rec., 1 baño, 1 estac.",Escandón II Sección
"Departamento con excelente ubicación con fácil acceso a principales avenidas de la ciudad como Patriotismo, Revolución, Periférico y Viaducto. Tiene 3 recámaras, principal con vestidor y baño completo, 2 baños, todas las recámaras con closet, sala-comedor con balcón, 2 estacionamientos independientes con eleva-autos, portero. Mantenimiento incluido. Si se permite mascota.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-colonia-escandon-147382084.html,"MN 24,000","Calle 12 de diciembre No. 12
Escandón II Sección, Miguel Hidalgo","80 m² lote, 3 rec., 2 baños, 2 estac.",Escandón II Sección
"Departamento con 104 m2 totales habitables 92 m2 cuenta con 2 recamaras completas la principal con baño y vestidor, Estancia sala - comedor en espacio continuo, cocina integral equipada, área de lavado integrado al departamento, 2 baños completos, 2 lugares de estacionamiento independiente, bodega de aproximadamente 2. 5m2. Se encuentra en el piso 4 el edificio cuenta con 11 departamentos, vigilancia 24 horas, elevador, cámaras de seguridad, acceso controlado y circuito cerrado. El precio no incluye gastos de escrituración es sujeto a cotizacion. Mantenimiento de $3, 000. 00",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-y-en-renta-en-colonia-escandon-145993503.html,"MN 35,000","DAVID HERRERA
Escandón II Sección, Miguel Hidalgo","104 m² lote, 2 rec., 2 baños, 2 estac.",Escandón II Sección
"Edificio con 4 años de antiguedad Y 11 departamentos en total. Cuenta con 96M2 habitables el departamento es muy iluminado Y ventilado, con 2 recamaras la principal con baño, vestidor Y balcon, recamara secundaria con closet, 3 baños completos, estancia sala comedor en espacio continuo con balcon amplio, cocina integral equipada con barra desayunadora, area de lavado integrado en el departamento, el roof comunica directo con el departamento. Con un roof garden privado de 70M2 con baño independiente, cuarto de visitas O de servicio, bodega Y adaptado con techo Y una terraza con muy buena vista de la ciudad, 2 lugares de estacionamientos fijos E independiente de 10M2. en total 176M2 totales. Los precios publicados no incluyen gastos de escrituracion. Mantenimiento de $3, 000 pesos",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-renta-o-en-venta-en-colonia-escandon-146716151.html,"MN 35,000","DAVID HERRERA
Escandón II Sección, Miguel Hidalgo","176 m² lote, 3 rec., 3 baños, 2 estac.",Escandón II Sección
"Ds. Se renta este departamento interioren planta baja. Cuenta con2 recámaras, 2 baños completos, zotehuela con espacio para lavadora, lavadero y tendido, 2 lugares de estacionamiento. El edificio cuenta con elevadores, personal de seguridad las 24 hrs x 7 dias a la semana. Ubicado en la Colonia Escandón ii Sección, a 160 metros del Viaducto, a 950 metros del Metro Patriotismo y a 1. 3km del Metro Tacubaya. Se renta semiamuebladoy cabría la posibilidad de rentarse sin muebles a consideración del propietario. El preciodel mantenimiento ($1, 750) y noestá incluído en el precio de la renta. Se podrían aceptar mascotas a consideración del propietario. Ed desarrollo no cuenta con amenidades. Requisitos: Comprobar ingresos con recibos de nómina o estados de cuenta bancarois de los últimos 3 meses, fiador con un bien raíz que esté libre de gravámen en la cdmx o un obligado solidario que también compruebe ingresos, y el pago de la póliza jurídica de $7, 700 anuales y un mes de depósito en garantía. (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-colonia-escandon.-4-146458772.html,"MN 27,250","mineria
Escandón II Sección, Miguel Hidalgo","94 m² lote, 2 rec., 2 baños, 2 estac.",Escandón II Sección
"Ref: 2 5 3 8 3 3. Moderno y funcional, departamento en renta está ubicado en una de las zonas con mayor demanda y excelente conectividad en la Ciudad de México, Escandón ii Sección, Miguel Hidalgo, Ciudad de México. Perfecto para quien busca comodidad, buena ubicación y un ambiente tranquilo pero con fácil acceso a centros de trabajo, servicios y entretenimiento. Este moderno y acogedor inmueble cuenta con 2 recamaras, 1 baño y 64 m2 de construcción, ideal para parejas o pequeñas familias que buscan un espacio cómodo y seguro para vivir. Con uso de suelo residencial, esta propiedad ofrece todas las comodidades necesarias para una vida confortable, como Caseta de vigilancia, estacionamiento, Puertas eléctricas, Closets, Cocina equipada, Sala y Comedor, Pet friendly, Intercomunicador, Armarios empotrados. Ubicación privilegiada: A unos pasos de Condesa, Nápoles y la zona corporativa, Cercano a centros comerciales, restaurantes, coworkings. Además, la zona cuenta con excelentes vías de acceso que facilitan la movilidad en la ciudad, como la Avenida Patriotismo y la estación de metro Patriotismo, a unos metros de Viaducto e Insurgentes Sur y estaciones de transporte público (Metro y Metrobús) que conecta con diferentes puntos de la ciudad. Con su ubicación estratégica y sus comodidades, este departamento es la opción perfecta para aquellos que buscan un espacio moderno, seguro y bien ubicado en la Ciudad de México. ¡No pierdas la oportunidad de vivir en este exclusivo lugar!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-escandon-miguel-hidalgo-147190203.html,"MN 17,000","Sindicalismo 110 , Escandón II Sección , 11800 Miguel Hidalgo, Ciudad de México, México
Escandón II Sección, Miguel Hidalgo","64 m² lote, 2 rec., 1 baño, 1 estac.",Escandón II Sección
"Excelente Departamento, 2 habitaciones con closet, sala comedor, estudio, cocina integral, 2 baños completos, 1 cuarto de lavado, 1 balcón, 1 estacionamiento y vigilancia 247",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-146888301.html,"MN 18,600","UNION
Escandón II Sección, Miguel Hidalgo","80 m² lote, 2 rec., 2 baños, 1 estac.",Escandón II Sección
"Por favor lee el anuncio en su totalidad antes de contactar. . Gracias. un cuarto amueblado en renta con alojamiento tranquilo y céntrico en Escandón Sección ii. El departmento es compartido con otras dos personas, un hombre y una mujer. Como se muestra en las fotos. El cuarto incluye televisor, cama, armario. Cocina, baño y sala compartidos con loS tors dos inquilinos. Lavadora en cuarto privado en la azotea. Hbo Max y Apple tv instaladas y activas en tv. Estacias temporales de preferencia. Ideal para estudiantes de posgrado, profesionales o actores, de provincia o extranjeros. A pasos de la Condesa, Roma Norte y Colonia del Valle. A 10 minutos en coche del Bosque de Chapultepec y Polanco. **Servicios, Internet y Mto incluido**",https://www.inmuebles24.com/propiedades/clasificado/alclappa-un-cuarto-amueblado-en-escandon-seccion-ii-147085058.html,"MN 10,000","Minería 96
Escandón II Sección, Miguel Hidalgo","9 m² lote, 1 baño",Escandón II Sección
