Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Depto con 135 m2 habitables, mas terraza amplia. con 2 recamaras, 2 baños, 1 estacionamiento, sala, comedor, cocina, area de lavado. super ubicado, frente al teatro libanes y club libanes amueblado, en 3 piso (sin elevador)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-colonia-florida-147433003.html,"MN 29,500","Barranca del Muerto 96
Florida, Alvaro Obregón","135 m² lote, 2 rec., 2 baños, 1 estac.",Florida
"Se renta departamento en la colonia Florida, tiene una excelente ubicación, a unas calles de Insurgentes y muy cerca del Club France. El edificio tiene vigilancia 24/7, cuenta con un elevador nuevo y el departamento se encuentra en el tercer nivel. Entrando al departamento se encuentra el área de sala-comedor que es muy iluminada y tiene espacio para poder hacer una tercera recámara. Cuenta con dos recámaras, un baño completo y medio baño para visitas. La cocina es amplia y tiene además un área de servicio y cuarto de servicio con baño completo que tiene acceso independiente. El departamento tiene asignado un cajón de estacionamiento de uso exclusivo y que es independiente y además el edificio cuenta con 4 lugares de estacionamiento para visitas. Fue remodelado recientemente y todo el departamento cuenta con luz indirecta",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-colonia-florida-147109135.html,"MN 39,000","Camelia 163
Florida, Alvaro Obregón","136 m² lote, 2 rec., 2 baños, 1 estac.",Florida
"Espacios inmobiliarios renta excelente departamento en la calle de Barranca del Muerto en la colonia Florida, a pasos de Insurgentes, muy iluminado, magnífica ubicación, 2do piso, 3 recámaras, 2 baños, cocina, sala, comedor, balcón, área de lavado, 2 estacionamientos, vigilancia 24 horas. Mantenimiento incluido en el precio de renta.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-calle-barranca-del-muerto-florida-61788622.html,"MN 26,500","Barranca del Muerto 140
Florida, Alvaro Obregón","130 m² lote, 3 rec., 2 baños, 2 estac.",Florida
"Este es un departamento en un nivel 3. Lleno de luz a todas horas. Sala y comedor amplios; cocina semi abierta. Recamara principal con terraza, comparte baño con la recámara secundaria. Además estudio con baño completo. Patio con lavandería. 1 coche. Vigilancia. Cerca de Viveros de Coyoacan. Ya incluye mantenimiento. No mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-florida-margaritas-143213808.html,"MN 31,200","Margaritas
Florida, Alvaro Obregón","110 m² lote, 2 rec., 2 baños, 1 estac.",Florida
"Renta. Ubicado sobre la calle principal de la Colonia Florida, este departamento en condominio de solo dos unidades ofrece espacios amplios, niveles separados y un diseño no convencional, ideal para quienes valoran versatilidad y ubicación. Pensado para un estilo de vida contemporáneo, este hogar distribuye sus espacios en tres niveles. Planta Baja — Zona Privada Principal. Recámara principal amplia con vestidor. Baño completo privado con jacuzzi. Estancia central con buena iluminación. Comedor. Cocina integral independiente. Medio baño de visitas. Vestíbulo de doble acceso: peatonal y desde estacionamiento. Espacio cerrado intermedio, adaptable como home office, sala de lectura, estudio de yoga. Patio privado de aprox. 40 m², con acceso exclusivo desde la recámara principal, ideal como jardín íntimo, zona verde o espacio de relajación tipo suite. Planta Alta — Zona Secundaria. 2 recámaras secundarias, cada una con baño completo y clóset. Área versátil entre recámaras (ideal como estudio o family room) Escalera de servicio. Nivel Superior — Área de Servicio. Área de lavado independiente con conexiones para lavadora. Espacio de tendido con buena ventilación. Este departamento ofrece una distribución no tradicional, que privilegia la privacidad, el silencio y la separación de ambientes. Ideal para: Ejecutivos o parejas que valoren independencia entre niveles. Personas que trabajan desde casa y desean espacios delimitados. Familias con hijos mayores o adolescentes. Residentes que aprecien un patio exclusivo y no compartido. &#x1f697; Estacionamiento y accesos. Estacionamiento techado para 2 autos. Entrada directa al departamento desde el garage sobre calle Moras. Acceso peatonal independiente. &#x1f4cd; Ubicación privilegiada. Salidas rápidas a Av. Insurgentes, Av. Universidad y Río Mixcoac. Zona residencial tranquila con excelente conectividad. Condiciones de renta. Renta mensual: $47, 000 mxn. Incluye: mantenimiento. Requisitos: 1 mes de renta. 1 mes de depósito. Aval con propiedad en cdmx y póliza jurídica. Comprobación de ingresos (3-1) Observaciones importantes. Inmueble en condominio de solo dos unidades | El patio es de uso privado, con una superficie aproximada | El jacuzzi se encuentra en el baño privado de la recámara principal | El inmueble se entrega sin mobiliario | Fotografías disponibles son representativas del estado actual. ¿Es para ti? Este inmueble no sigue una distribución tradicional, pero sí responde a necesidades reales de quienes valoran privacidad, amplitud y flexibilidad. Ideal para vivir, trabajar y descansar con espacios separados. Agenda tu visita y comprueba si este espacio se adapta a tu forma de vivir.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-tipo-duplex-con-patio-privado-en-146395993.html,"MN 47,000","Minerva
Florida, Alvaro Obregón","198 m² lote, 3 rec., 3 baños, 2 estac.",Florida
"Precioso departamento, remodelado, impecable, iluminado, con cortinas, exterior, sala y comedor, cocina integral con área de lavado, 2 recámaras la principal con baño completo, otro baño completo para recámara y estudio, linda terraza, elevador, seguridad 24 horas y con un lugar de estacionamiento. En renta incluye mantenimiento. EasyBroker id: eb-ls1419",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-florida-80661181.html,"MN 36,500","Camelia
Florida, Alvaro Obregón","143 m² lote, 2 rec., 2 baños, 1 estac.",Florida
"Departamento remodelado en quinto piso, con 143 m² interiores y un roof garden privado de 200 m², con acceso directo desde el interior del departamento. Al ingresar, se encuentra la sala-comedor con iluminación natural y conexión fluida hacia la cocina equipada y el área de lavado. Un pasillo distribuye las tres recámaras, todas con walk-in closet. La recámara principal y una de las recámaras secundarias tienen vista exterior y balcón privado. La tercera recámara cuenta con vista al interior del edificio. La recámara principal tiene baño completo; el segundo baño da servicio a las recámaras secundarias y el medio baño al área social. El departamento incluye dos lugares de estacionamiento (en batería), bodega privada y cuenta con elevador con acceso directo al piso. El edificio tiene seguridad 24 horas, gimnasio y salón de eventos. Se aceptan mascotas. 143 m² interiores. 200 m² de roof garden privado. 3 recámaras con walking closet. 2. 5 baños. Estacionamiento para 2 autos (en batería) Bodega privada. Antigüedad: 15 años. Remodelado recientemente. Elevador. Seguridad 24/7. Amenidades: gimnasio y salón de eventos. Pet friendly. Ubicación: San José Insurgentes, a una cuadra de Insurgentes Sur y muy cerca de Torre Manacar. Zona con excelente conectividad y servicios. Nota: Los muebles son montaje virtual. El departamento no incluye muebles",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-san-jose-insurgentes-roof-147065439.html,"MN 65,000","Plateros 16
San José Insurgentes, Benito Juárez","143 m² lote, 3 rec., 2 baños, 2 estac.",Florida
"Espectacular departamento de 235m2 en piso 15 con vista 180grados a San Angel) El departamento que se caracteriza por estar lleno de luz con amplísimos espacios y magnifica distribución consta de: •⁠ ⁠Estancia (sala-comedor) •⁠ ⁠Cocina Integral Abierta con barra desayunador. •⁠ ⁠Recámara principal con baño completo a doble tarja, closet y vestidor. •⁠ ⁠2 recámaras secundarias cada una con baño completo y closet. •⁠ ⁠½ Baño de visitas. •⁠ área para family room. •⁠ ⁠Area de lavado. •⁠ ⁠Cuarto de servicio con baño completo. •⁠ 3 Cajones de estacionamiento. El desarrollo que consta de dos torres de 17 pisos cada una con aprox. 72 depas por torre. En cuanto a amenidades contamos con: •⁠ Alberca techada con jacuzzi y área de vapor, sauna, regaderas y vestidores. •⁠ Gimnasio equipado con salón de spinning. •⁠ Salón de usos múltiples amueblado con bar. •⁠ Business center amuelado con internet. •⁠ ludoteca (adorable) •⁠ Area de juegos infantiles. •⁠ Jardín. •⁠ Area de asadores amueblada. •⁠ Area para mascotas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-de-lujo-las-flores-2020-con-147252866.html,"MN 70,000","Blvd adolfo lopez mateos 2020
San Ángel, Alvaro Obregón","235 m² lote, 3 rec., 3 baños, 3 estac.",Florida
"Renta departamento amueblado en el corazón de San Ángel, propio de conocedores que gusten del placer de la elegancia y el buen gusto diseñado en finas maderas, con acabados de lujo donde se combinan el arte y la comodidad, tiene una amplia estancia con vista al jardín de la Plaza de San Jacinto, la cocina es abierta, techos altos, baño con cancel de cristal templado, subiendo medio nivel encuentra la habitación con una recámara kings size, 2 armarios muy amplios, baño con cancel de cristal templado, cuenta con refrigerador y electrodomésticos. Incluye, luz, agua, gas e internet. Ganelo bajo de precio.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-san-angel-plaza-san-146275267.html,"MN 37,500","DR. GALVEZ 20 B
San Ángel, Alvaro Obregón","80 m² lote, 1 rec., 1 baño",Florida
"Hermoso y moderno departamento interior en renta en piso 22 con elegantes acabados. Parallelo es un edificio sustentable, con captación de aguas pluviales, equipos ahorradores y de bajo consumo. Iluminación led. Ductos de basura para reciclaje, etc. Con la mejor ubicación de la Ciudad, en la Col. Guadalupe Inn. Cerca tendrás transporte público, centros comerciales, escuelas, hospitales, restaurantes y clubs deportivos, vigilancia 24/7 y recepción. Consta de: Sala-comedor con amplio balcón de 7 m2 hasta la recámara. Cocina integral abierta con granito, horno de microondas incluido. Espacio de refrigerador bastante grande. Persianas de día y de noche. Iluminación con leds en todo el departamento. 1 Recámara bastante amplia con un closet enorme y persianas black out. Baño bastante amplio con canceles de vidrio. Área de lavado con conexiones listas. 1 cajón de estacionamiento que no estorba con nadie más. Ductos para la basura. Recepción y vigilancia 24/7. Sensores y aspersores de fuego. Con piso de amenidades: -Salón de adultos con barra y muy bien ambientado. -Área infantil con juegos. -Ludoteca. -Área de asadores. -Terraza. -Salón de usos múltiples. (Eventos 2, 200) -Fogatas. -Spa. -Jacuzzi. -Vapor. -Vestidores. y Gym. Todo de la mejor calidad! Pide al broker que te atienda que te envíe el video del departamento amueblado!! No se aceptan mascotas. mantenimiento incluido. - no asesores - * - requisitos: 1 Mes de Renta. 1 Mes de Depósito. -Póliza Jurídica 50-50 (aprox 4, 000 c/u) incluida investigación. (Con Aval u Obligado Solidario) (#est104-piso 5)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-1-recamara-en-guadalupe-inn-en-90148972.html,"MN 21,000","Insurgentes Sur 1831
Guadalupe Inn, Alvaro Obregón","51 m² lote, 1 rec., 1 baño, 1 estac.",Florida
"Departamento en renta en moderno y exclusivo desarrollo residencial ubicado en Guadalupe Inn. Es un espacio abierto, muy adecuado para jóvenes ejecutivos, personas solteras o parejas jóvenes sin hijos o adultos mayores que ya viven solos. Consta de: Una habitación con espacio para cama King size y closet. Un baño completo. Cocineta equipada con tarja fregadero, espacio para frigo bar, parrilla eléctrica y gabinetes. Área abierta Flex para una estancia-comedor o espacio abierto. Superficie 38 m² aprox. Amueblado. amenidades. Business Center. Cafetería. Librería. Terraza Grill. Gimnasio. Salón lounge. otras instalaciones. 4 niveles de estacionamientos con Valet Parking. Lavandería. Elegante lobby de acceso principal con seguridad 24 horas. Local comercial en planta baja. puntos de referencia. Centros culturales, comerciales y corporativos cercanos a Spazio Torre Inn: Centro Cultural y Teatro Helénico, Cafetería El Péndulo. San Ángel (Parque, Museos, Mercado, Restaurantes, etc) Plaza Inn (Nafinsa, cnsf, shcp, Bancos, Restaurantes, Tiendas, etc. ) Pabellón AltaVista (Cinemex, Restaurantes, Boutiques) Portal San Ángel (Sams, Walmart, Sears, Cinépolis, Bancos, Restaurantes, Boutiques, etc)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-guadalupe-inn-65908315.html,"MN 25,000","Av. Revolución 1470
Guadalupe Inn, Alvaro Obregón","38 m² lote, 1 rec., 1 baño",Florida
