Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento Amueblado en Renta Lago Zurich Gran ubicación inmediato a Polanco, Río San Joaquín, Ejército Nacional. Todos los servicios a la mano a menos de 10 minutos caminando Cerca de Corporativos, Centros Comerciales, Entretenimiento. Acabados de granito, y cerámico, cocina equipada abierta con barra de granito, excelente iluminación y temperatura, acogedor. Cuenta con área social abierta con balcón 2 habitaciones; una de ellas acondicionada como oficina 1 baño 2 estacionamientos Cuarto de lavado. Amenidades: Elevador, Roof Garden, area de oficinas Vigilancia 24 horas Incluye mantenimiento No se aceptan Mascotas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-lago-zurich-miguel-143679578.html,"MN 25,000","Lago Zurich 532
Francisco I Madero, Miguel Hidalgo","68 m² lote, 2 rec., 1 baño, 1 estac.",Francisco I Madero
"Departamento en venta o Renta en Miyana. Moderno y amplio departamento ubicado en Miyana, Torre Monarca. Ofrece amplios espacios en sus 170m², consta de 3 recámaras con cuarto de servicio, además cuenta con bonitas vistas e iluminación. Una oportunidad en una ubicación privilegiada. - Tipo de operación: Departamento en venta o renta sin muebles. - Ubicación: Av. Ejército Nacional Mexicano 769, Granada, Miguel Hidalgo, Ver datos Ciudad de México, cdmx. Características: · 3 recámaras con baño completo, principal con tina y doble lavabo. · Sala y comedor amplios. · Cocina integral. · Cuarto de tele con medio baño de visitas. · Cuarto de servicio con baño completo. · Área de lavado. · Clóset de blancos y anaqueles. · Estacionamientos: 3 cajones de estacionamiento. · Esquinero e iluminado con bonita vista. · Cerradura digital en entrada. · Película aislante de calor en todas las ventanas. · Instalación de filtro de agua para el consumo humano. · Incluye línea Blanca (Horno, refri, micro, centro de lavado) Normas: Mascotas: Permitidas. Se permite fumar en el departamento. Beneficios de seguridad: - Alta Seguridad 24/7 con rondines de seguridad constantes. - Acceso con biométricos y huella. - Acceso directo a Plaza Miyana. Amenidades: - Alberca con chapoteadero. - Asoleadero con camastros. - Gimnasio completo. - Salón de pilares. - Salón de bici y multifucional. - Spa con masaje, jacuzzi, lockers, regaderas, sauna y vapor. - Salón de belleza. - Ludoteca. - Sala de tareas / estudio. - Restaurante / cafetería. - Áreas verdes, terrazas y mesas cómodas. - Cancha de futból. - Salón de juegos (billar) - Estacionamientos para visitas. ubicación: El residencial se encuentra en el centro comercial Miyana. Servicios cercanos: - Plazas comerciales con servicios bancarios, telefonía, tiendas de ropa de moda y de lujo, restaurantes de todo tipo de variedad, cafés, entretenimiento (cine, museos, etc. ), gimnasios, salones de belleza, hospitales, corporativos, supermercados, colegios, entre otros. Esperamos su llamada con mucho gusto. *Somos expertos en la zona de Nuevo Polanco, contáctenos para preguntar sobre ésta y otras opciones de departamentos",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-renta-o-venta-en-miyana-nuevo-polanco-147077497.html,"MN 85,000","AVENIDA EJÉRCITO NACIONAL 769
Ampliación Granada, Miguel Hidalgo","170 m² lote, 3 rec., 3 baños, 3 estac.",Francisco I Madero
"Excelente departamento en Polanco a unos minutos de Teatro Telcel, Museos (Soumaya, Jumex), Acuario Inbursa, Centros Comerciales (Antara, Miyana, Pabellón Polanco), Gimnasios, a unas cuadras de Av. Rio San Joaquín, Hospitales, Supermercados (Costco Polanco, Chedraui). Departamento de 100 M2 distribuidos en sala, comedor, cocina abierta, 2 recámaras: la principal con baño y vestidor integrado, la segunda recámara y baño completo independiente que da servicio a esta y a visitas, 2 estacionamientos techados, bodega. Mantenimiento incluido 5, 500. 00. Se acepta mascota pequeña. El departamento se puede rentar amueblado o sólo con electrodomésticos. El precio de la renta incluyendo el mantenimiento. Amenidades: - Alberca techada y abierta. - Canchas de pádel, de tenis y de fútbol. - Salón de adultos. - Área de negocios. - Sky bar. - Vigilancia 24/7. Requisitos: -Contrato. -Un mes de depósito. -Un mes de renta. -Póliza Jurídica: 3 meses de ingresos, Ine, Curp, Situación Fiscal Actualizada, Comprobante de Domicilio, Aval con propiedad libre de gravamen en la Ciudad de México. Visítelo con previa cita! Gina A. G. (C. B. )",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-en-lago-andromaco-146867772.html,"MN 34,000","Lago Andromaco
Ampliación Granada, Miguel Hidalgo","99 m² lote, 2 rec., 2 baños, 2 estac.",Francisco I Madero
"Departamento de lujo en venta sin muebles o renta amueblado. Descubre este departamento de alto lujo en venta, con 221m², ofrece un diseño espacioso y comodidades excepcionales. Se encuentra situado en torre vip de Carso, Nuevo Polanco, Ampliación Granada, este departamento es una oportunidad para aquellos que buscan comodidad y estilo de vida contemporáneo. + Tipo de propiedad: Departamento en Venta o Renta de lujo. + Dirección: Blvd. Miguel de Cervantes Saavedra, 303, Ampliación Granada, Miguel Hidalgo, Ciudad de México, Características: - Área: 221m² - 2 recámaras amplias (posibilidad de hacer una tercera) - 3 baños completos. - 1 medio baño. - Cocina de lujo equipada con barra. - Sala y comedor amplios. - Bar con barra y sala. - Área de lavado. - Cuarto de servicio con baño completo. - 3 lugares de estacionamiento. + Normas: - Mascotas permitidas (¡Tu amigo peludo es bienvenido!) - No se permite fumar. El departamento está en Torre vip del conjunto residencial de plaza Carso con increíbles amenidades: - Servicio alta seguridad 24/7. - Portero y Concierge. - Gimnasio con equipos y pesas de alto entrenamiento. - Alberca techada y climatizada. - Jacuzzi. - Spa con vapor para H y M separados. - Biblioteca y Librería común. - Zona de Billar. - Estancia ( zona lounge para estar) ubicación: El residencial se encuentra sobre la calle Blvd Cervantes de Saavedra frente a plaza Antara, entre el parque lineal y la calle de cerrada ferrocarril de Cuernavaca. Calles importantes cercanas: Río San Joaquín, Av. Ejercito Nacional, Periférico, Palmas. Servicios cercanos: - Plazas comerciales con servicios bancarios, telefonía, tiendas de ropa de moda y de lujo, restaurantes de todo tipo de variedad, cafés, entretenimiento (cine, museos, etc. ), gimnasios, salones de belleza, hospitales, corporativos, supermercados, colegios, entre otros. Esperamos su llamada con mucho gusto. *Somos expertos en la zona de Carso, contáctenos para preguntar sobre ésta y otras opciones de departamentos.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-o-renta-en-torre-vip-plaza-carso-146122577.html,"USD 8,000","Blvd. Miguel de Cervantes Saavedra 303
Ampliación Granada, Miguel Hidalgo","221 m² lote, 2 rec., 3 baños, 3 estac.",Francisco I Madero
"Estrena departamento en quadrante neuchatel. no amueblado. si cuenta con refrigerador. horno de microondas. lavadora Y secadora. 96M2 habitables distribuido en: 2 recamaras, principal con vestidor Y baño completo Y secundaria con closet de piso A techo. cocina integral abierta con barra desayunadora. area de lavado. estancia sala comedor de buen tamaño. areas comunes: gimnasio equipado. alberca techada. ludoteca. salon de eventos. jardin de mascotas. lounge de jovenes. spa vapor jacuzzi. bar lounge. salon adultos. salon jovenes. jardines. seguridad 24/7. estacionamiento para visitas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-estrena-depto-en-quadrante-neuchatel-no-es-amueblado-147290262.html,"MN 44,900","QUADRANTE NEUCHATEL
Ampliación Granada, Miguel Hidalgo","96 m² lote, 2 rec., 2 baños, 2 estac.",Francisco I Madero
"Departamento en Renta en Torre Viena, cuenta con 2 habitaciones la principal con baño propio, 2 baños completos y 2 estacionamientos, el edificio ofrece seguridad 24 hrs, estacionamiento de visitas, alberca, gimnasio, salon de eventos, canchas de paddel, area de mascotas, salas de juntas, a unos pasos de plaza Carso, Antara y Miyana, supermercados, bancos, museos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-torre-viena-147171764.html,"MN 30,000","Lago Zurich 243
Ampliación Granada, Miguel Hidalgo","80 m² lote, 2 rec., 2 baños, 2 estac.",Francisco I Madero
"Rentaplazacarso. com. increíble departamento nuevo en la exclusiva torre V. I. P. De plaza carso. 220 M2. 2 recamaras con posibilidad de 3. Cada una con baño completo Y vestidor. Baño de visitas. Linda cocina importada de italia. Area de lavado. Cuarto de servicio. Amplias estancias. Espectaculares vistas al museo soumaya. Acabados de super lujo: porcelanatos italianos, luces lutron con domótica, persianas de poana negras automáticas con domótica, piso de madera aleman laminado. Enormes cristaleras en todas las estancias. Aire acondicionado. 3 cajones de estacionamiento. Completo conjunto de amenidades. Vigilancia 24 horas. Estacionamiento para visitas. Perfecta ubicación. El monto de la renta se actualizará al tipo de cambio del dólar.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso:-espectacular-departamento-en-la-torre-v.-146174716.html,"MN 143,000","MIGUEL DE CERVANTES SAAVEDRA 303
Ampliación Granada, Miguel Hidalgo","220 m² lote, 2 rec., 2 baños, 3 estac.",Francisco I Madero
"Departamento amueblado de 1 recámara en Plaza Carso ii: ¡tu nuevo hogar te espera! Descubre la comodidad y el lujo en este departamento amueblado de 1 recámara en el prestigioso Plaza Carso ii. Con 70. 58 m², este espacio está diseñado para ofrecerte el máximo confort y se entrega completamente equipado, listo para que te mudes. Detalles del Departamento. * 1 recámara. * 1 baño completo. * Sala (incluye un práctico sofá-cama matrimonial) * Comedor. * Cocina abierta. * Cuarto de lavado. * 1 cajón de estacionamiento. Amenidades Exclusivas. Vive una experiencia única con las amenidades de primer nivel que ofrece el complejo, ideales para tu bienestar y entretenimiento: * Recepción y business center. * Alberca techada. * Gimnasio (con área de baños, regaderas y vapor) * 2 canchas de pádel. * Jardín con juegos infantiles. * Terrazas y 2 salones de fiestas. * Ludoteca y salón de juegos (con mesa de billar, etc. ) * Motor lobby. * Vigilancia 24 horas. *Ubicación Privilegiada. El departamento se encuentra en Plaza Carso ii, en la dirección (Aquí va la dirección correcta). Disfruta de la conveniencia de vivir cerca de oficinas, centros comerciales, restaurantes y todo lo que la zona tiene para ofrecer. ¡No dejes pasar esta oportunidad! Contáctanos para agendar una visita y conocer tu próximo hogar.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-en-renta-departamento-carso-ampliacion-granada-147342741.html,"MN 39,000","Calle Lago Zurich
Ampliación Granada, Miguel Hidalgo","70 m² lote, 1 rec., 1 baño, 1 estac.",Francisco I Madero
"Departamento en Renta en Ventana Polanco con terraza, cuenta con 2 habitaciones la principal con baño y vestidor, 2 baños completos y 2 estacionamientos, el edificio incluye seguridad 24 hrs, estacionamiento de visitas, gimnasio, carril de nado, ludoteca, cancha de paddel, area de asadores, salon de eventos, jardin con juegos infantiles, a unos pasos de Plaza Carso, Antara y Miyana",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-con-terraza-147447766.html,"MN 34,000","Lago Zurich 168
Ampliación Granada, Miguel Hidalgo","90 m² lote, 2 rec., 2 baños, 2 estac.",Francisco I Madero
"Departamento 3 recámaras en renta sin muebles con línea blanca. + Tipo de propiedad: Departamento en renta sin muebles con línea blanca. + Dirección: Calle Lago Zurich 219, Ampliación Granada, Miguel Hidalgo, Ciudad de México, Ver datos. Características: · Metraje: 133m² · Sin muebles con línea blanca (refrigerador, centro de lavado, microondas y lavavajillas) · 3 recámaras. · Baños: 2 baños completos y medio de visitas. · Sala y comedor amplio. · Cocina integral con barra y lavavajillas. · Área de lavado. · Estacionamientos: Dos cajones de estacionamiento. · Bodega. El departamento está en Torre Renoir del conjunto residencial de plaza Carso con increíbles amenidades: - Seguridad 24/7. - Acceso con biométricos y huella. - Áreas verdes. - Gimnasio completamente equipado. - Alberca techada climatizada con Chapoteadero. - Spa con Jacuzzi, vapor y baños. - Salón de ejercicio. - Salón de juegos. - Business Center. - Ludoteca. - Salón de usos múltiples. servicios cercanos: - Plazas comerciales con servicios bancarios, telefonía, tiendas de ropa de moda y de lujo, restaurantes de todo tipo de variedad, cafés, entretenimiento (cine, museos, etc. ), gimnasios, salones de belleza, hospitales, corporativos, supermercados, colegios, entre otros. Esperamos su llamada con mucho gusto. *Somos expertos en la zona de Carso, contáctenos para preguntar sobre ésta y otras opciones de departamentos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-carso-nuevo-polanco-torre-147457309.html,"MN 52,000","Calle Lago Zurich 96
Ampliación Granada, Miguel Hidalgo","133 m² lote, 3 rec., 2 baños, 2 estac.",Francisco I Madero
