Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en 1er. Piso, 82 mts2, interior, estilo moderno, acabados de lujo, sala comedor, dos recámaras, 2 baños, cocina integral, cuarto de lavado. 2 lugares de estacionamiento vigilancia. Mantenimiento incluido. Inmejorable ubicación. EasyBroker id: eb-do4691",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-58293560.html,"MN 19,500","Riff
General Pedro María Anaya, Benito Juárez","82 m² lote, 2 rec., 2 baños, 2 estac.",General Pedro María Anaya
"Excelente departamento. Impecable. 3 recámaras, 2 baños, cocina integral, comedor, sala, área de lavado (Junto a la cocina), 1 estacionamiento fijo e independiente para auto pequeño, vigilancia 24 hrs. No se aceptan mascotas. Piso 2 sin elevador. Requisitos: - Fiador con inmueble u obligado solidario con comprobantes de ingresos. - Inestigaciones de buró de crédito y legal de arrendatario y fiador. - Póliza jurídica. Registro Público de Contratos de Adhesión de profeco, 6 octubre 2022, bajo el número Ver datos. El mobiliario y artículos decorativos mostrados en las fotografías no están incluidos. Aviso de Privacidad, quejas y sugerencias: www solarisinmobiliaria com",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-3-recamaras-en-general-anaya-144349551.html,"MN 19,500","Prolongación Uxmal 1074
General Pedro María Anaya, Benito Juárez","74 m² lote, 3 rec., 2 baños, 1 estac.",General Pedro María Anaya
"Bienvenido al mejor desarrollo en la zona: lujo - seguridad - garantías - acabados - ubicación - exclusividad. Con su distintivo estilo de ciudad y su cómoda localización; tu nuevo departamento! ! Es donde realmente puedes tenerlo todo. Lugares que marcan tendencia, restaurantes galardonados y de clase mundial, eventos deportivos de élite y una escena social que siempre es vibrante y excitante. &quot;Es lo que mereces para tu estilo de vida. &quot;Características: Departamento con acabados de lujo! ! 2 Recamaras. 2 Baños Completos. 1 Estacionamiento. Iluminación y ubicación inigualable. Contáctanos para conocer tu nuevo hogar. Será un placer atenderte! ! z o n a h o g a r e s. C o mte ayudamos A tramitar cualquier crédito hipotecario. bancario, infonavit, cofinavit, fovissste, alia2, etc. Llama Ahora! Tel: Ver datos. Whatsapp: Ver datos. z o n a h o g a r e s. C o mImágenes y textos son únicamente referencia. No deben interpretarse con fiel base de detalles finales en las residencias y desarrollo. El desarrollo se reserva el derecho de modificar y realizar cambios como juzgue correcto a su única y absoluta discreción. Representaciones verbales no contarán como modelo representante del desarrollador. *ajuste de precios sin previo aviso*z o n a h o g a r e s. C o m",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-2-recamaras-2-banos-1-147401459.html,"MN 22,000","Cercano Alberca Olimpica
General Pedro María Anaya, Benito Juárez","65 m² lote, 2 rec., 2 baños, 1 estac.",General Pedro María Anaya
Cómodo departamento totalmente amueblado de 67 mts2 con vista a la calle; en primer piso con servicio de conserje. Edificio ubicado en zona segura y sin estacionamiento (se puede dejar en la calle estacionado enfrente). No se aceptan mascotas y se usa gas estacionarioCuenta con: - 2 recámaras-? 1 baño completo-? 1 cocina integral-? 1 jaula de tendido-? 1 sala / comedor con balcón enrejado*Los servicios se pagan aparte*#supplyinmobiliaria#local#comercio#departamento#amueblado#renta#casa#venta#house#cdmx#edomex#inmuebles#mexico#departamentos#inmobiliarias#inmobiliaria#parati#bienesraices#propiedades#hogar#lifestyle#soluciones#depa#local#oficina#cocina#diseñodeinteriores#novedades#colonia,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-col.-gral.-anaya.-147310751.html,"MN 18,000","Carrillo Puerto 299, Col. General Anaya, Alcaldía Benito Juárez, Ciudad de México
General Pedro María Anaya, Benito Juárez","67 m² lote, 2 rec., 1 baño",General Pedro María Anaya
"Lindo departamento en condominio cerrado. Se encuentra en Planta Baja. Cuenta con dos recamaras con closets de madera, 1 baño completo, cocina integral en madera rústica, pisos laminados, muebles empotrados en madera blanca en la estancia, tiene área de lavado, un baño completo y mucha luz natural. No se aceptan mascotas. Está en perfecto estado, Cuenta con vigilancia 24 horas, dentro de un condominio cuidado, arbolado y con jardineras. Un lugar de estacionamiento. La cuota de mantenimiento está incluida en la rentaEl departamento se encuentra amueblado. Condiciones de renta: indispensable fiador con bien raíz libre de gravamen en la cdmx, el pago de la póliza jurídica y un mes de depósito. Ev/no",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-bruno-traven-col.-general-147357031.html,"MN 17,500","Departamento en Renta Amueblado Gral. Pedro María Anaya Calle Bruno Traven 18
General Pedro María Anaya, Benito Juárez","75 m² lote, 2 rec., 1 baño, 1 estac.",General Pedro María Anaya
"Town House en Renta en Torre Mitiakh. Disfruta el lujo y la comodidad de vivir en un exclusivo town house de 200 m2 dentro de la prestigiosa Torre Mitiakh. Amplios espacios, acabados de primer nivel y acceso a las amenidades más selectas. 3 recamaras. 3 baños y medio. cuarto de servicio con su baño completo. 2 lugares de estacionamiento. Renta: 77, 000 incluyendo mantenimiento. Se aceptan mascotas. Privacidad y seguridad. Estilo de vida único. Ubicación privilegiada. Ideal para quienes buscan exclusividad y confort en su día a día.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-townhouse-en-renta-en-torre-mitikah-147400553.html,"MN 66,000","Mítikah Torre Residencial
Xoco, Benito Juárez","200 m² lote, 3 rec., 3 baños, 2 estac.",General Pedro María Anaya
"• Mítikah Torre Residencial. • Venta. • $ 7, 300, 000 (us$390, 631. 40) • Renta amueblado. • $40, 000. 00 (us$2140. 45) • Mantenimiento incluido en la renta. • 79mts2. • 2 baños. • 1 cochera. • amenities. • Alberca. • Social Rooms. • Petzone. • Sauna y vapor. • Salón de eventos. • Gym. • Salón de Pilates. • Salón de spinning. • Ludotecas. • Seguridad. • Elevador",https://www.inmuebles24.com/propiedades/clasificado/veclapin-hermoso-loft-en-mitikah-torre-residencial-147403503.html,"MN 40,000","RIO CHURUBUSCO
Xoco, Benito Juárez","79 m² lote, 1 rec., 2 baños, 1 estac.",General Pedro María Anaya
"•Mítikah Torre Residencial. •Venta. •$9, 000, 000. •Renta con 1 cajón $40, 000. 00. •Renta con 2 cajones $42, 500. 00. •Mantenimiento incluido en la renta. •96mts2. •2 habitaciones. •2 baños. •2 cocheras. •1 bodega. •Piso 18. •Closet. •Cocina integral. •Diseño de interiores. •Aire acondicionado. amenities. •Alberca. •Social Rooms. •Petzone. •Sauna y vapor. •Salón de eventos. •Gym. •Salón de Pilates. •Salón de spinning. •Seguridad. •Elevador",https://www.inmuebles24.com/propiedades/clasificado/veclapin-hermoso-departamento-en-mitikah-torre-residencial-147433946.html,"MN 42,500","rio churubusco xoco
Xoco, Benito Juárez","96 m² lote, 2 rec., 2 baños, 2 estac.",General Pedro María Anaya
"Departamento de 2 habitaciones ubicado en piso 2 de la torre C. Cuenta con 2 baños y dos estacionamientos en sótano 6. Acepta una mascota pequeña. El condominio cuenta con más de 30 amenidades como son pista de hielo, canchas de pádel, tenis, futbol, basket, sala de cine, boliche, albercas y mucho más. Está disponible para habitarse de inmediato. Requisitos. Depósito, mes de renta, póliza jurídica con fiador u obligado solidario. Se firma contrato y pagarés.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-city-towers-park-grand-147223572.html,"MN 31,000","Av. México Coyoacán 321
Xoco, Benito Juárez","75 m² lote, 2 rec., 2 baños, 2 estac.",General Pedro María Anaya
"Mls #25-3222. Departamento en renta en Residencial Mitikah de 3 recamaras cada una con su baño. Cuenta con amenidades únicas y singulares vistas panorámicas al Sur de la Ciudad. Cuenta con área comercial, oficinas, servicios y espacios de recreación para sus residentes. Amenidades. Salón de eventos (con capacidad de hasta 260 personas) Sala de cine. Alberca. Ludoteca. Área de juegos infantiles. Family rooms para visitas. Game room. Spa y Sauna. Sky pool con carril de nado. Gimnasio. Lounge. Salón de adultos. Motor Lobby con cuarto y baño de choferes. Conexión con centro comercial y supermercado. Lobby con buzones de correo. Ballroom con con sala de estar, foyer, guarda ropa y recepción. Área para futbolito scorpion. Alberca infantil, pilates y yoga con vestidores. Juice Bar. Salón de spinning. Salón de poker. Cuenta con un Centro comercial con cine, restaurantes, boutiques triple aaa, Restaurantes, food court, gourmet y de mantel. Precio sujeto a cambio y sin previo aviso",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-mitikah-dg-25-3222-146492605.html,"MN 64,998","Mítikah Torre Residencial
Xoco, Benito Juárez","200 m² lote, 3 rec., 3 baños, 2 estac.",General Pedro María Anaya
"Características principales: Piso: 49. Superficie: 230m2 aprox. Recámaras: 3. Baños completo: 3. Vestidores: 1. Área de Lavandería: si. Cuarto de servicio con baño completo: si. Bodega: si. Estacionamientos: 2 techados e independientes. Edad: 5 años aprox. Elevador: si. Cuota de Mantenimiento: $10, 000 aprox. Estacionamiento de visitas: si. Vigilancia: 24 horas. descripción: distribución: VestÍbulo recibidor, cuarto de servicio con baño completo, área de lavanderÍa, medio baño de visitas, cocina equipada abierta, comedor, sala, recámara principal con vestidor y baño completo, 1a recámara secundaria con clóset y con 1 baño completo, 2a recámara secundaria con clóset y con 1 baño completo, área de tv y/o family room. Acabados: en baños: wc double flush, canceles de vidrio templado, porcelanatos en piso, granito negro mate en plancha. en cocina: plancha de corian blanco, piso de porcelanato, horno io mabe, estufa electríca y campana io mabe. En todo el depto: piso de ingeniería, sockets led y persianas enrollables. Amenidades: piso 24. amenidades para niños: ludoteca. canchita de futbol. juegos. ping pong. cine. alberca. amenidades para adultos: 4 salas sociales (se reservan mas de 7 personas son $700) lounge tea. piso 48. amenidades para adultos: bar. social room. alberca. jacuzzi. vapor sauna salón spa. salon de spinning. salon de box. salon de pilates. salon de yoga. pocker room. game room. piso 5. ludoteca. jardin con juegos para niños. piso 1. salon de eventos. desde 60 hasta 240 personas. renta desde $4000. limpieza desde $700. seguridad desde $1500. app buildinglink. equipo especial: Edificio inteligente. requisitos de arrendamiento: 1 mes de renta. 1 meses de depósito. 1 póliza jurídica de $28, 000. 00 (pagan mitad arrendatario Y mitad arrendador) investigación. ingresos netos mensuales de por lo menos $285, 000 comprobables. Fiador con bien raiz en cdmx. * la renta incluye la cuota de mantenimiento * aviso de privacidad: www. puntoazulbienesraices. com. los gastos E impuestos de escrituración Y otros cargos relacionados con crédito hipotecario no están incluidos en el costo de venta, así como tampoco el mobiliario, electrodomésticos Y arte que pudiera aparecer en fotografias. Datos de medidas exactas Y colindancias en escrituras. Todas las adquisiciones inmobiliarias son ad-corpus.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-espectacular-departamento-en-renta-en-mitikah-piso-49-146722598.html,"MN 95,000","MITIKAH
Xoco, Benito Juárez","230 m² lote, 3 rec., 3 baños, 2 estac.",General Pedro María Anaya
"Vive en lo más alto, vive la Experiencia de vivir en mitikah. Departamento para estrenar en renta con una vista espectacular a la ciudad. El departamento mide 202 m2. Tiene 3 recámaras cada una con baño completo. Cuarto de lavado y servicio. 2 lugares de estacionamiento. Bodega. Increíbles amenidades: Salón de eventos, ludoteca, gimnasio, sala de cine, teen lounge, área de juegos infantiles, club de playa, social room, common room, entry lobby, lobby lounge, skypool business center lounge. Renta en $72, 000 con mantenimiento incluido. Info y citas Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-mitikah-147298633.html,"MN 72,000","Xoco
Xoco, Benito Juárez","202 m² lote, 3 rec., 3 baños, 2 estac.",General Pedro María Anaya
"Renta de Departamento en Torre Mítikah, piso 20 con espectacular vista y ubicación privilegiada en zona residencial de gran prestigio en el corazón de la ciudad, Alcaldía Benito Juárez. Hospitales cercanos encontrarás el Hospital San Ángel Inn a unos pasos de la Torre, el Hospital General de México, así como el Hospital Infantil de México Federico Gómez, con atención de alta calidad. Se encuentra cerca de importantes avenidas como el Eje 7 Sur, Av. Universidad y Av. Coyoacán, el Metro Coyoacán lo que facilita el acceso a otros puntos de la ciudad. En cuanto a Universidades encontrarás Instituciones de renombre como la unam, la uvm, el itam, y el Colegio México, entre otros. El departamento cuenta con ventanales de piso a techo equipadas con persianas en sala comedor y recámaras para que puedas disfrutar de la espectacular vista a la ciudad, hermosa cocina integral, área de lavado, 2 recámaras 1 de ellas con vestidor y baño completo, el 2do baño da servicio al área social y a la 2da recámara, 2 lugares de estacionamiento, bodega. Encontrarás Amenidades como: Ludoteca, Ballroom, Game room, Alberca infantil y para adulto con carril de nado y jacuzzi, Sala de Cine, lobby, Common Room, Business Lounge, Social room, spa Sauna, Vapor, Terraza con juegos infantiles, Gimnasio, Spinning, Pilates, entre otros. Se encuentra un supermercado en el mismo Centro Comercial y una variedad de tiendas exclusivas de marca, así como también los mejores Restaurantes y comida rápida para tu comodidad. No dejes pasar esta gran oportunidad de vivir en una de las Construcciones más famosas y exclusivas por su tecnología y vanguardia de la Ciudad de México. Ven y conócelo ya ¡! El precio publicado no incluye iva. Para conocer nuestro aviso de privacidad consulta nuestra pagina oficial inmoo.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-con-espectacular-vista-en-torre-147281264.html,"MN 40,000","REAL DE MAYORAZGO
Xoco, Benito Juárez","90 m² lote, 2 rec., 2 baños, 2 estac.",General Pedro María Anaya
"Descripcion: caracteristicas principales: Superficie: 92M2 aprox. Recámaras: 2. Baños: 2. Estacionamientos: 2 techados. Bodega: 1. Edad: 2 años aprox. Cuota de mantenimiento: incluída en la renta. Características generales: Estacionamiento para visitas: si. Elevador: si. Vigilancia estricta: 24 Horas. Mascotas: 1 pequeña se puede aceptar. distribución: Pasillo distribuidor a cocina abierta, área de lavandería, sala y comedor, pasillo distribuidor, recámara principal con vestidor y baño completo, recámara secundaria con clóset y baño completo en pasillo. Acabados: Finos, mármoles, pisos de ingenieria, accesorios en baño, canceles de vidrio templado. Amenidades: piso 24. amenidades para niños: ludoteca. canchita de futbol. juegos. ping pong. cine. alberca. amenidades para adultos: 4 salas sociales (se reservan mas de 7 personas son 700) lounge tea. piso 48. amenidades para adultos: bar. social room. alberca. jacuzzi. vapor sauna salón spa. salon de spinning. salon de box. salon de pilates. salon de yoga. pocker room. game room. piso 5. ludoteca. jardin con juegos para niños. piso 1. salon de eventos. desde 60 hasta 240 personas. renta desde 4000. limpieza desde 700. seguridad desde 1500. app buildinglink. requisitos de arrendamiento: 1 mes de renta. 1 meses de depósito. 1 póliza jurídica de 16, 500 (pagan mitad arrendador Y arrendatario) investigación. ingresos netos mensuales de por lo menos 120, 000 comprobables. Fiador con bien raiz en cdmx. aviso de privacidad visita www. puntoazulbienesraices. com",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-torre-mitikah-piso-36-143031475.html,"MN 40,000","MITIKAH
Xoco, Benito Juárez","92 m² lote, 2 rec., 2 baños, 2 estac.",General Pedro María Anaya
"Vive en una de las zonas más modernas y seguras de la Ciudad de México, con acceso directo a Plaza Comercial mitikah, servicios cercanos y una ubicación inmejorable. Este departamento, moderno y recién remodelado, está listo para que lo estrenes y disfrutes de un estilo de vida único. Características del departamento: Sala y comedor con amplio ventanal que ilumina con luz natural. 1 recámara y 1 baño completo. Cocina equipada. 1 lugar de estacionamiento. Superficie optimizada y funcional. Mantenimiento: 3, 358 mxn. Amenidades de primer nivel: Alberca al aire libre con vista panorámica. Gimnasio con máquinas de última generación. Salón de eventos, asadores y ludoteca. Grand Kids Club y Pet Park. Grand Sports Bar y lavandería. Seguridad 24/7 con cámaras y personal de vigilancia",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-mitikah-colonia-xoco-147247056.html,"MN 25,400","Mítikah Torre Residencial
Xoco, Benito Juárez","70 m² lote, 1 rec., 1 baño, 1 estac.",General Pedro María Anaya
"Este departamento en renta se encuentra en Portales Sur. Cuenta con 60 m2, ideal para una vida cómoda. El interior ofrece sala, comedor, cocina integral y 2 recámaras con clóset. Tiene 1 baño completo y área de lavandería. Disfruta de 1 lugar de estacionamiento y la seguridad de cámaras de vigilancia. . Cuenta con servicios básicos. El edificio se ubica en una zona residencial tranquila, con fácil acceso a escuelas cercanas, centros comerciales, parques. Portales Sur es un barrio predominantemente residencial, con un ambiente familiar y tranquilo. Encontrarás varias opciones de transporte público, incluyendo estaciones de metro y paradas de autobús, facilitando el acceso a vialidades importantes. Hay escuelas de preescolar, primaria y secundaria en los alrededores, así como supermercados, tiendas de conveniencia y farmacias. Para el ocio, existen parques y restaurantes cercanos. La zona cuenta con hospitales y clínicas en caso de necesidad. Se percibe un buen nivel de seguridad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-2-recamaras-en-renta-portales-sur-147278061.html,"MN 17,000","Avenida Pirineos
Portales Sur, Benito Juárez","60 m² lote, 2 rec., 1 baño, 1 estac.",General Pedro María Anaya
"¡ para ver el video del dpto por favor pulsar en la sección de video. Increíble E inigualable panorámico súper amplio dpto sin amueblar en renta, dentro del lujoso, exclusivo, icónico, Y afamado condominio mitikah residencial. Se encuentra en el piso 59. Mascotas permitidas, listo para habitar, son 209m2. Contrato por un año forzoso, precio más mantenimiento (10, 500 pesos mensuales), garantía: póliza jurídica con obligado solidario O fiador con inmueble en cdmx libre de gravámenes. Situado en el panorámico piso 59, cuenta con: recámara principal con baño completo; dos recámaras secundarias cada una con su baño completo; cocina de granito con barra Y espacio para refrigerador Y lavavajillas; sala-estancia-comedor; baño de visitas; cuarto de lavado; cuarto se servicio con baño completo; tres lugares de estacionamiento; Y dos bodegas. Incluye persianas traslucidas Y blackout. El residencial cuenta con las más completas áreas comunes como: seguridad privada con circuito cerrado, lobby, acceso al centro comercial Y supermercado, salón de eventos para 300 personas, sala de cine, alberca, ludoteca, área de juegos infantiles, family rooms para visitas, game room, cine, spa, sauna Y vapor, skypool, gym, salón de spinning, salón de yoga, lounge Y salón de adultos. Contacto con santiago barroso al Ver datos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-inigualable-super-departamento-en-renta-sin-amueblar-147141484.html,"MN 70,000","Mitikah
Xoco, Benito Juárez","209 m² lote, 3 rec., 3 baños, 3 estac.",General Pedro María Anaya
