Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Polanco Carso departamento cocina abierta equipada con lavavajillas y microondas, área de lavado incluido con Centro de Lavado, cuarto de servicio con baño, espacio para un family, sala y comedor amplio, tres recámaras con baño, principal con vestidor, medio baño de visita, bodega y tres lugares de estacionamiento. Amenidades: Salón de eventos, business center, ludoteca, jardín con juegos, salón de. Juegos, gimnasio, alberca, jacuzzi, baños, vestidores con regaderas, sauna. Estacionamiento de visitas. A pasos de Museos, Centros Conerciales.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-carso-nuevo-polanco-departamento-torre-rodin-3-142656058.html,"MN 80,000","Lago Zurich 245
Granada, Miguel Hidalgo","237 m² lote, 3 rec., 3 baños, 3 estac.",Granada
"Descubre la combinación perfecta de lujo y comodidad en Miyana Residencial, uno de los desarrollos más exclusivos de la Ciudad de México. Diseñado por el renombrado Despacho de Arquitectos Legorreta & Legorreta, este proyecto ofrece solidez estructural, diseño vanguardista y una ubicación privilegiada en el corazón de Nuevo Polanco. Ubicación inmejorable: Muy cerca del Liceo Francés y la nueva Embajada de ee. uu. A pocas cuadras del Parque Lincoln, la exclusiva Av. Masaryk con boutiques de lujo y los mejores restaurantes de la ciudad. Rodeado de centros comerciales. Características del Departamento: Superficie: 116 m² con iluminación natural y vistas panorámicas. Sala – Comedor con cocina abierta y barra para desayunar. 2 Recámaras cada una con su baño privado; la principal con vestidor y baño. Family Room, Ideal para convivencia. Área de lavado. Amenidades Exclusivas: Seguridad 24/7 con acceso controlado. Restaurante privado para residentes. Alberca climatizada al aire libre y gimnasio con carril de nado contracorriente. Salón Inglés, Business Center y salones de eventos. Ludoteca, área para adolescentes y cancha de pasto sintético. Rooftop pet-friendly, ideal para amantes de las mascotas. Frente a Plaza Antara, con acceso inmediato a tiendas, cines vip, bares y cafeterías. A minutos de museos, teatros, parques y las mejores zonas de entretenimiento de la ciudad. Un espacio exclusivo para quienes buscan vivir con estilo o realizar una inversión rentable en una de las zonas más cotizadas de la Ciudad de México. Agenda tu cita hoy al 52 55 Ver datos y asegura tu lugar en Miyana. ¡No dejes pasar esta oportunidad!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-miyana-polanco-departamento-amueblado-de-2-recamaras-147384701.html,"MN 65,000","Av Ejército Nacional 679
Granada, Miguel Hidalgo","115 m² lote, 2 rec., 2 baños, 2 estac.",Granada
"Departamento en renta en ampliación granada. *disponible A partir del 30 de septiembre de 2025, se puede visitar los días miércoles de 10 A 3 pm* Hermoso departamento ubicado en Lago Zurich, Torre Agua, Ventana Polanco. Características: • Construcción de 105 m2. • Piso 8 - Departamento 804. • 2 recámaras. • 2 baños completos. • Terraza. • Sala. • Comedor. • Cocina. • 1 lugar de estacionamiento. • Vigilancia 24 hrs. • Mascotas permitidas. amenidades: • Alberca. • Jacuzzi. • Gimnasio. • Salon de usos múltiples. • Jardín. • Jardines. • Centro de negocios. • Canchas y paddle. Renta Mensual de $30, 000. 00 M. N",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-ampliacion-granada-147438800.html,"MN 30,000","Lago Zurich
Granada, Miguel Hidalgo","105 m² lote, 2 rec., 2 baños, 1 estac.",Granada
Renta en livix. departamento amueblado O sin amueblar. lago filt 7 col granada. Miguel hidalgo. A espaldas de el hospital español. A tres cuadras de carso. A 5 minutos de museo suomaya. re estrena. departamento en renta piso 5. 80 metros habitables. recámara principal con vestidor Y baño completo. cama quen size. closet de blancos. segunda recamara con closet. cama matrimonial. comparte baño con visitas. sala. comedor. área de lavado. con centro de lavado con lava secadora. Cocina integral con acabados de granito. 1 estacionamiento. edificio con cinco años de atiguedad. vigilancia las 24hrs cctv. seguridad privada. estacionamientos de visitas. camaras de circuito cerrado. renta Ver datos amueblado. amenidades. co -working. ludoteca. salón de usos múltiples. beer garden. gym. lobby. salón de adultos,https://www.inmuebles24.com/propiedades/clasificado/alclapin-livix-departamento-en-renta-amueblado-147377990.html,"MN 38,000","Calle Lago Filt 7
Granada, Miguel Hidalgo","80 m² lote, 2 rec., 2 baños, 1 estac.",Granada
"Departamento en Renta en Granada, Residencial Mirador Polanco. Exclusivo departamento en renta ubicado enGranada, a un lado dePolanco, una de las zonas másconvenientes de la Ciudad de México. Por solo$32, 000 pesos al mes, tendrás acceso no solo a un espacio impecable, sino también a un estilo de vida lleno de confort y modernidad. Con85 m2; perfectamente distribuidos, este hogar cuenta condos recámaras amplias, ideales para descansar o trabajar desde casa, ydos baños completosque ofrecen comodidad y privacidad para ti y tus seres queridos. La sala y el comedor se integran en un espacio abierto y luminoso, perfecto para convivir o relajarte. Además, lacocina completa y equipadahará que cada comida sea una experiencia práctica y sofisticada, mientras que el área de lavado integrada añade un toque extra de funcionalidad. Pero lo que realmente distingue este departamento son las amenidades que te esperan. El edificio Mirador Polanco eleva tu calidad de vida con espacios diseñados para disfrutar cada momento: unsalón de fiestaspara celebrar grandes ocasiones, unaludotecapara los pequeños, y unasala de cinedonde puedes desconectarte del mundo. Mantente activo y saludable en elgimnasio equipado, o impulsa tus proyectos profesionales en elsalón de negocioscon internet de alta velocidad disponible en todo el edificio. Puedes rentar este departamento amueblado o semiamueblado. La seguridad no será una preocupación, ya que el edificio cuenta convigilancia 24/7y sistemas modernos para garantizar tu tranquilidad. Además, el departamento incluyegas naturaly un mantenimiento de$2, 000 pesosya incluido en el costo de renta, permitiéndote disfrutar de todos estos beneficios sin preocupaciones adicionales. Si buscas un lugar donde la comodidad, la exclusividad y la ubicación se unan, este departamento es para ti. Hazlo tuyo y vive como siempre has soñadoen Mirador Polanco. Agenda tu visita hoy mismo. ¡No dejes que esta oportunidad se escape! (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-granada-4-145597292.html,"MN 32,000","Lago Bangueolo
Granada, Miguel Hidalgo","85 m² lote, 2 rec., 2 baños, 2 estac.",Granada
"¡¡departamento con increíble vista A la zona poniente!! Estilo moderno, excelente temperatura. espacios: • Sala- comedor• 3 recámaras- Todos con closet el principal con cambiador• 3 baños• Sala de tv- 3 lugares de estacionamientoacabados: Madera y mármol, granito en la cocina, tiene cortinas. áreas comunes: Gimnasio, spa, alberca, carril de nado, cancha de football, salón de adultos fiestas, jardín, terraza, ludoteca, área de mascotas, es un proyecto que tiene integrado y a la vez con privacidad, cines, supermercado, restaurantes, tiendas, bancos, estricta vigilancia. Mantenimiento $6, 500. 00 pesos incluido en la rentano se permiten mascotas. ¡¡conócelo, te va A encantar!! (pj/fj) denh2407_3Código EasyBroker: eb-ip5371Código gizp: gpeb-ip5371Aviso de Privacidad: Next Home, con domicilio en Av. Noche de Paz No. 49, Local 6 “A”, Colonia Granjas Navidad, Alcaldía Cuajimalpa, Ciudad de México Ver datos, México, es Responsable del tratamiento y uso de sus datos personales. Sus datos personales serán utilizados para las siguientes finalidades: Proveer los servicios solicitados y/o contratados. Responder a sus requerimientos de información, atención y servicio. Evaluar la calidad del servicio que le brindamos. Archivo de registros y expediente de la relación contractual para seguimiento de servicios futuros. Gestión Financiera, facturación y cobro. Dar cumplimiento a las obligaciones y compromisos que hemos contraído con Usted. Usted puede conocer nuestro Aviso de Privacidad integral en nuestra página web",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-miyana-polanco-147295645.html,"MN 72,500","Departamento Renta Miyana Polanco
Granada, Miguel Hidalgo","152 m² lote, 3 rec., 3 baños, 3 estac.",Granada
"Hermoso departamento en una de las mejores torres de Miyana con vista espectacular. - 115m2. - 2 recamaras. - 2 baños completos. - 1/2 baño. - 2 estacionamientos. Amenidades: - Lobby. - gym. - Carril de Nado. - Spinning. -Pilates. -Comedor. -Ludoteca. - Salón de tareas. - spa. - Cabina de Masajes. -Salón de Belleza. - Alberca y asoleadero. - Jardines. - Canchas de Futbol. -Área de juegos. -Salón de adultos. -Salón de Jóvenes. - Salón de usos multiples. - Roof Garden. -Plazas comerciales cercanas: Plaza Carso, Antara, Miyana, Pabellón Polanco. - Entretenimiento: Acuario Inbursa, Cinemex, Cinepolis, Teatro Telcel, Museo Jumex, Go-Karts, Play City. -Restaurantes: Starbucks, Santa Clara, Sonora Grill, La #20, Odeon, 20friends, Vapiano La Imperial, Loma Linda, carolo, la crepe, Sanborns, Nutrisa, Burger King, pf Changs, Food courts con multiples restaurantes, etc. Conócelo!!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-miyana-chapulin-147449242.html,"MN 55,000","Miyana
Granada, Miguel Hidalgo","115 m² lote, 2 rec., 2 baños, 2 estac.",Granada
"Rento increíble departamento con vista panorámica. Acabados de lujo. Aire acondicionado. Consta de una recámara. 2 baños completos. En la estancia hay un mueble con cama plegable para visitas. Cocina abierta muy moderna. Con barra para desayunar, Refrigerador con páneles ocultos. Área de lavado. Estudio. 1 lugar de estacionamiento. Edificio con áreas verdes, ludoteca, Lindos jardines, vigilancia 24 horas. Centro comercial, supermercado, bancos, Restaurantes y mucho más.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-penthouse-en-renta-en-polanco-147100587.html,"MN 33,000","Lago Alberto 320
Granada, Miguel Hidalgo","88 m² lote, 1 rec., 2 baños, 1 estac.",Granada
"Departamento en renta dentro del condominio Parques Polanco con vigilancia 24 horas, excelentes vías de acceso y una cómoda conexión a la plaza comercial donde hay supermercado y locales comerciales. Ubicado en el 7mo. Piso tiene: Sala-comedor con acceso a un balcón con vista panorámica a la Ciudad, cocina integral con barra, estufa, horno y campana, área de lavado con lavadero y conexión para lavadora y secadora, 2 recámaras con closets y persianas, 2 baños completos con canceles colocados. Excelente estado de conservación, iluminado y recién pintado. 2 cajones de estacionamiento techados y una bodega independiente. Amenidades: ludoteca, jardín de mascotas y áreas verdes en general. El precio de renta ya incluye mantenimiento. De preferencia sin mascotas o una muy pequeña.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-parques-polanco-granda-cdmx-147330258.html,"MN 35,000","Lago Alberto
Granada, Miguel Hidalgo","105 m² lote, 2 rec., 2 baños, 2 estac.",Granada
"Departamento en renta con un superficie de 62m2. Área abierta con cocina integral. 1 recámara con vestidor y 1 baño completo. Área de lavado. Electrodomésticos lavadora, Refrigerador y Microondas. 2 estacionamientos. Precio incluye mantenimiento. *disponible hasta 1 de marzo 2025. Amenities: gym, salón de eventos, salón de adultos, juegos para niños, roof garden común, área de mascotas, business center. Seguridad 24 x 7. 3 elevadores",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-livix-polanco-145334833.html,"MN 23,500","Lago Filt
Granada, Miguel Hidalgo","62 m² lote, 1 rec., 1 baño, 2 estac.",Granada
"Renta de departamento en livix. lago filt 7 amueblado. •80mts. •amueblado. •5to piso. •recámara con vestidor Y baño completo. •segunda recámara con clóset. •sala. •comedor. •2do baño completo. •cocina integral. •área de lavado. •1 estacionamiento. desarrollo livix. vigilancia las 24hrs. cámaras de circuito cerrado. estacionamientos de visitas. salon de eventos. gimnasio. ludoteca. área de mascotas. roof garden. áreas verdes. renta 38, 000 ya con mantenimiento incluido. citas 55 Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-en-livix-lago-filt-7-miguel-hidalgo-amueblado-2-147377634.html,"MN 38,000","Calle Lago Filt
Granada, Miguel Hidalgo","80 m² lote, 2 rec., 2 baños, 1 estac.",Granada
