Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Hermoso y moderno departamento interior en renta en piso 22 con elegantes acabados. Parallelo es un edificio sustentable, con captación de aguas pluviales, equipos ahorradores y de bajo consumo. Iluminación led. Ductos de basura para reciclaje, etc. Con la mejor ubicación de la Ciudad, en la Col. Guadalupe Inn. Cerca tendrás transporte público, centros comerciales, escuelas, hospitales, restaurantes y clubs deportivos, vigilancia 24/7 y recepción. Consta de: Sala-comedor con amplio balcón de 7 m2 hasta la recámara. Cocina integral abierta con granito, horno de microondas incluido. Espacio de refrigerador bastante grande. Persianas de día y de noche. Iluminación con leds en todo el departamento. 1 Recámara bastante amplia con un closet enorme y persianas black out. Baño bastante amplio con canceles de vidrio. Área de lavado con conexiones listas. 1 cajón de estacionamiento que no estorba con nadie más. Ductos para la basura. Recepción y vigilancia 24/7. Sensores y aspersores de fuego. Con piso de amenidades: -Salón de adultos con barra y muy bien ambientado. -Área infantil con juegos. -Ludoteca. -Área de asadores. -Terraza. -Salón de usos múltiples. (Eventos 2, 200) -Fogatas. -Spa. -Jacuzzi. -Vapor. -Vestidores. y Gym. Todo de la mejor calidad! Pide al broker que te atienda que te envíe el video del departamento amueblado!! No se aceptan mascotas. mantenimiento incluido. - no asesores - * - requisitos: 1 Mes de Renta. 1 Mes de Depósito. -Póliza Jurídica 50-50 (aprox 4, 000 c/u) incluida investigación. (Con Aval u Obligado Solidario) (#est104-piso 5)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-1-recamara-en-guadalupe-inn-en-90148972.html,"MN 21,000","Insurgentes Sur 1831
Guadalupe Inn, Alvaro Obregón","51 m² lote, 1 rec., 1 baño, 1 estac.",Guadalupe Inn
"Departamento en renta en moderno y exclusivo desarrollo residencial ubicado en Guadalupe Inn. Es un espacio abierto, muy adecuado para jóvenes ejecutivos, personas solteras o parejas jóvenes sin hijos o adultos mayores que ya viven solos. Consta de: Una habitación con espacio para cama King size y closet. Un baño completo. Cocineta equipada con tarja fregadero, espacio para frigo bar, parrilla eléctrica y gabinetes. Área abierta Flex para una estancia-comedor o espacio abierto. Superficie 38 m² aprox. Amueblado. amenidades. Business Center. Cafetería. Librería. Terraza Grill. Gimnasio. Salón lounge. otras instalaciones. 4 niveles de estacionamientos con Valet Parking. Lavandería. Elegante lobby de acceso principal con seguridad 24 horas. Local comercial en planta baja. puntos de referencia. Centros culturales, comerciales y corporativos cercanos a Spazio Torre Inn: Centro Cultural y Teatro Helénico, Cafetería El Péndulo. San Ángel (Parque, Museos, Mercado, Restaurantes, etc) Plaza Inn (Nafinsa, cnsf, shcp, Bancos, Restaurantes, Tiendas, etc. ) Pabellón AltaVista (Cinemex, Restaurantes, Boutiques) Portal San Ángel (Sams, Walmart, Sears, Cinépolis, Bancos, Restaurantes, Boutiques, etc)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-guadalupe-inn-65908315.html,"MN 25,000","Av. Revolución 1470
Guadalupe Inn, Alvaro Obregón","38 m² lote, 1 rec., 1 baño",Guadalupe Inn
"Excelente departamento bien ubicado, ideal persona sola, estudiante O empleado, muy bien ubicado, cerca portal san angel, amueblado, una recamara, baño, para verlo es previa cita",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-147424735.html,"MN 8,500","Ricardo Palmerín
Guadalupe Inn, Alvaro Obregón","30 m² lote, 1 rec., 1 baño",Guadalupe Inn
"Exclusivo departamento a estrenar en la prestigiosa Colonia Guadalupe Inn, una de las mejores zonas de la Ciudad de México, con vistas espectaculares y una ubicación privilegiada. Este departamento se distingue por su excelente distribución, abundante luz natural y orientación. La Cocina abierta de moderno diseño se integra con la estancia con impresionantes vistas panorámicas que puedes apreciar deste tu balcón. . El departamento cuenta con dos recámaras: la principal con walk-in clóset y baño completo; y la recámara secundaria con clóset y baño completo. Ubicado en el piso 14 de 15, en un edificio pisos que ofrece amenidades como Roof Top y gimnasio.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-excelente-departamento-a-estrenar-inigualable-145042539.html,"MN 28,000","Avenida Revolución 1386
Guadalupe Inn, Alvaro Obregón","85 m² lote, 2 rec., 2 baños, 1 estac.",Guadalupe Inn
"Muy bien ubicado y cerca de centros comerciales, bancos, escuelas etc. Le espera este hermoso departamento, estrenelo y disfrute de sus amenidades como jacuzzi, gimnasio muy bien equipado, ludoteca, área de juegos infantiles, salón de adultos, asadores con cocina y baño en el salón de usos múltiples. Cuenta con dos recámaras, la principal con baño y closet integrado en el baño, otro baño completo le da servicio a la segunda recámara, estancia para sala y comedor, cocina integral, cuarto de lavado, tiene balcón corrido en las dos recámaras y cocina y un lugar de estacionamiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-estrene-hermoso-departamento-con-amenidades-146717837.html,"MN 25,500","INSURGENTES SUR
Guadalupe Inn, Alvaro Obregón","75 m² lote, 2 rec., 1 estac.",Guadalupe Inn
"Loft en Renta en Av. Revolución con una superficie de 35m2 mas balcón amplio de 8 m2 ubicado en 9no. Piso exterior. habitación con closet, un baño completo, cocina integral, 1 estacionamiento techado, se entrega con persianas dobles, dos elevadores, cctv, vigilancia 24 horas, lobby con vigilancia, amenities, coworking, business center, gym en roof top y Sky Lounge, en sotano área de lavanderia estacionamiento para bicicletas, planta de luz. -Precio de Renta $18, 500. -Mantenimiento incluido. -Cel: 55 Ver datosWhatsApp oficina Ver datos. Loft for Rent on Av. Revolución with an area of 35m2 plus a large 8 m2 balcony located on 9th. Exterior floor. room with closet, a full bathroom, kitchen, 1 covered parking, comes with double blinds, two elevators, cctv, 24-hour surveillance, lobby with surveillance, amenities, coworking, business center, rooftop gym and Sky Lounge, basement laundry area, bicycle parking, power plant. -Rental Price $18, 500. -Maintenance included. -Cel: 55 Ver datos WhatsApp office Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-loft-con-amenities-y-balcon-vistas-panoramicas-y-145868752.html,"MN 18,500","avenida revolucion
Guadalupe Inn, Alvaro Obregón","45 m² lote, 1 rec., 1 baño, 1 estac.",Guadalupe Inn
"Departamento en renta ubicado en Guadalupe Inn. Cuenta con 2 recámaras y 2 baños. El interior ofrece sala, comedor y cocina integral. Disfruta de 85 m2 de superficie construida. En el exterior, cuenta con 1 lugar de estacionamiento y terraza, ideal para disfrutar al aire libre. El edificio ofrece amenidades como gimnasio y área de bbq. Además, cuenta con conserje y seguridad privada, así como acceso para personas con discapacidad y se aceptan mascotas. Disfruta de los servicios básicos de agua y luz. Guadalupe Inn es una colonia predominantemente residencial, con un ambiente tranquilo y familiar. Encontrarás escuelas cercanas, así como diversos comercios y servicios esenciales. La zona cuenta con buenas opciones de transporte público y vialidades importantes, facilitando el acceso a diferentes puntos de la ciudad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-2-recamaras-en-venta-o-renta-85-m-sup2--147390501.html,"MN 28,000","Avenida Revolución 1386
Guadalupe Inn, Alvaro Obregón","85 m² lote, 2 rec., 2 baños, 1 estac.",Guadalupe Inn
"No se aceptan mascotas. Se renta moderna suite amueblada en Torre Spazio Torre Inn. Elegante torre de acero y cristal de 18 niveles con un total de 68 suits tipo loft, con tecnología para el cuidado del medio ambiente. La suite cuenta con área flex (estancia/comedor/tv), un lindo balcón con vista a la ciudad donde podrás disfrutar de un ambiente diferente al aíre libre. Ubicación excelente, vigilancia 24/7, dos elevadores, lobby con cctv, asador con vista panorámica, oficina para juntas de trabajo, dos áreas para trabajar de manera remota, baño, área social room, business center y un gym en el piso 18 con una linda vista a la ciudad. El mantenimiento está incluido en la renta.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-suite-amueblada-90627613.html,"MN 20,000","Av. Revolución
Guadalupe Inn, Alvaro Obregón","50 m² lote, 1 rec., 1 baño, 1 estac.",Guadalupe Inn
"Departamento tipo Master Suite de 1 habitación, ubicada en Col. Guadalupe Inn cdmx. Consta de: 1 habitación con closet completamente amueblada, 1 baño, cocina abierta equipada con: estufa eléctrica, horno de microondas, frigobar y utensilios de cocina, 1 espacio de estacionamiento. La renta incluye, internet, cable de tv, blancos por una vez en recepción del departamento; roof garden equipado con asador y mobiliario. ¡Aceptamos a tu mascota! ¡Aceptamos a tu mascota por un fee mensual de $1500 pesos! (1 gato o perro únicamente) Con excelente ubicación, cercano a principales vialidades, supermercados, tiendas de conveniencia, vías de transporte público, a una calle de Museo Soumaya. Con Homie renta sin aval. Proceso 100% digital y diferentes formas de pago de tu renta, tú eliges. ¡Conoce ya este depa! Estás a pocos pasos de encontrar el hogar de tus sueños. Departamento de 62. 0 metros cuadrados cuenta con: - 1 habitación. - 1. 0 baño. - Se aceptan mascotas. - 1 lugar de estacionamiento. Características: - Amueblado. - Cuarto de lavado. - Cocina integral. Amenidades: - Seguridad. - Elevador. - Asador. Antigüedad: 3 años. . Número de habitantes recomendado: 2. Disponibilidad para mostrar: 08/julio/2024. Disponibilidad para habitar: 08/julio/2024. ¡Enamórate de tu vida en este departamento! # Homie Id: 9_1_4_0_3. Estos son los beneficios que tienes como inquilino al rentar tu nuevo hogar con nosotros: * No necesitas aval (sujeto a Términos y Condiciones). * Realiza el pago de tu renta mediante transferencia digital en nuestra plataforma o en efectivo en miles de locales disponibles. * Asistencia y conciliación con tu propietario. * Proceso sin burocracia, renta en cuestión de horas y sin trámites complicados. * Descuentos exclusivos en mudanzas, muebles y más. * Firma tu contrato de forma digital.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-de-1-habitacion-ubicada-en-143997056.html,"MN 42,000","Avenida de los Insurgentes Sur
Guadalupe Inn, Alvaro Obregón","62 m² lote, 1 rec., 1 baño, 1 estac.",Guadalupe Inn
"Departamento tipo Suite Ejecutiva de 1 habitación, ubicada en Col. Guadalupe Inn cdmx para máximo dos personas. Consta de: 1 habitación con closet completamente amueblada, 1 baño, cocina abierta equipada con: estufa eléctrica, horno de microondas, frigobar y utensilios de cocina, 1 espacio de estacionamiento. La renta incluye, internet, cable de tv, blancos por una vez en recepción del departamento; roof garden equipado con asador y mobiliario. ¡Aceptamos a tu mascota (1) gasto o perro por un fee de 1500 al mes! Con excelente ubicación, cercano a principales vialidades, supermercados, tiendas de conveniencia, vías de transporte público, a una calle de Museo Soumaya. Amenidades: Roof garden equipado con asador y gym. Con Homie renta sin aval. Proceso 100% digital y diferentes formas de pago de tu renta, tú eliges. ¡Conoce ya este depa! Estás a pocos pasos de encontrar el hogar de tus sueños. Departamento de 35. 0 metros cuadrados cuenta con: - 1 habitación. - 1. 0 baño. - Se aceptan mascotas. - 1 lugar de estacionamiento. Características: - Amueblado. - Cocina integral. Servicios: - Cable. - Internet/Teléfono. Amenidades: - Lobby. - Seguridad. - Elevador. - Asador. Antigüedad: 3 años. . Número de habitantes recomendado: 1. Disponibilidad para mostrar: 11/abril/2023. Disponibilidad para habitar: 11/abril/2023. ¡Enamórate de tu vida en este departamento! # Homie Id: 8_6_5_8_3. Estos son los beneficios que tienes como inquilino al rentar tu nuevo hogar con nosotros: * No necesitas aval (sujeto a Términos y Condiciones). * Realiza el pago de tu renta mediante transferencia digital en nuestra plataforma o en efectivo en miles de locales disponibles. * Asistencia y conciliación con tu propietario. * Proceso sin burocracia, renta en cuestión de horas y sin trámites complicados. * Descuentos exclusivos en mudanzas, muebles y más. * Firma tu contrato de forma digital.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-de-1-habitacion-ubicada-en-66654900.html,"MN 44,000","Avenida Insurgentes Sur
Guadalupe Inn, Alvaro Obregón","35 m² lote, 1 rec., 1 baño, 1 estac.",Guadalupe Inn
