Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Edificio construido con por el reconocido Arq. Teodoro González de León, la ubicación es ejemplar ya que se encuentra en una de las colonias más bonitas de la Ciudad de México. . Con vías de acceso muy rápidas y céntricas. El departamento cuenta con: Sala con un amplio balcón. Comedor. 2 habitaciones una recámara y la otra es estudio ( no se puede modificar) 2. 1 baños. 2 estacionamientos. Hermosa cocina abierta que te permite ver la vista que tiene el depto. Área de lavado. Nota: Solo se renta amueblado y totalmente equipado. No se aceptan mascotas. Ideal solo para una sola persona o pareja. Agenda tu cita",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-condesa-147437412.html,"MN 39,000","Avenida José Vasconcelos 300
Hipódromo Condesa, Cuauhtémoc","120 m² lote, 1 rec., 2 baños, 2 estac.",Hipódromo Condesa
"Tamaulipas | Hipódromo Condesa | cdmx. Vivir en la Condesa no es solo una ubicación, es un estilo de vida. Este departamento se encuentra sobre Tamaulipas, entre árboles, cafés, restaurantes, parques y arte. Una de las calles más bonitas de la zona. Un espacio ideal para quienes valoran un entorno auténtico, la estética limpia, los espacios cómodos y un ambiente sereno. Este es un departamento práctico y con buena vibra. En la Condesa todo es caminable. También hay conexión con las vías principales de la ciudad: Insurgentes, Circuito Interior, Metro y Metrobús. Características destacadas: - 1 recámara amplia con baño completo privado. - 1 baño completo para visitas. - Sala – Comedor – Cocina | Concepto abierto. - Lavadora. - 2 lugares de estacionamiento techados e independientes. - Vigilancia 24/7. *El departamento se renta con o sin muebles. *Precio amueblado mxn $45, 000.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-condesa-147076741.html,"MN 40,000","Tamaulipas
Hipódromo Condesa, Cuauhtémoc","115 m² lote, 1 rec., 2 baños, 2 estac.",Hipódromo Condesa
"59m2, Hipódromo Condesa, Precioso Departamento estilo Art Deco, completamente amueblado en un segundo nivel, techos altos, acabados de carpintería en madera de tzalam, duelas de madera de encino americano, porcelanatos españoles, herrajes y granitos de alta calidad. La propiedad cuenta con 1 recámara muy amplia y con un closet, la sala - comedor cuenta con una cocina abierta con lavasecadora. El desarrollo cuenta con vigilancia e interfon y esta muy bien ubicado pasos del Parque España y Parque México, todo lo puedes hacer caminando. Matenimiento no incluido 1, 800. 00.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-hipodromo-condesa-departamento-amueblado-en-renta-147265423.html,"MN 29,200","Fernando Montes de Oca
Hipódromo Condesa, Cuauhtémoc","59 m² lote, 1 rec., 1 baño",Hipódromo Condesa
"Venta Renta modernos departamentos Residencial taman Condesa amueblado y equipado a estrenar. Excelentes acabados. Acabados y diseño de lujo. Alta seguridad. Desarrollado por Arquitectoma, con mas de 35 años de experiencia en el mercado de lujo. Consta de cocina abierta con barra, sala comedor 2 recamaras con salida al balcón, 2 baños completos. 1 cajón de estacionamiento, 1 bodega. Desde 66. 11 m2 habitables 10. 53 m2 de balcón. Mantenimiento 3, 400. Venta desde 6. 763. 000. - Los precios difieren según m2 de cada unidad y su nivel. El mantenimiento también. Amenidades: gimnasio con maquinas Techno Gym, sala tipo lounge y we work, rooftop con fogatero y mesas, alberca con carril de nado, ludoteca y jardín. Los precios incluyen el equipamiento y mobiliario, no incluye blancos, accesorios de baño y accesorios de cocina. El contrato deberá ser por un año. El mantenimiento no esta incluido en el precio de renta",https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-renta-moderno-departamento-taman-condesa-147248205.html,"MN 38,000","Avenida Alfonso Reyes 53
Hipódromo Condesa, Cuauhtémoc","2000 m² lote, 2 rec., 2 baños, 2 estac.",Hipódromo Condesa
"Departamento en edificio de pocos departamentos, en la mejor calle de la condesa. A pocas cuadras de Parque México. 120 m2. Amplio balcón. Moderno. Sala, comedor, cocina abierta. Se puede poner linea blanca. 2 recámaras. 2 baños completos. Vestidor. Cuarto de lavado. Bodega. 1 estacionamiento. Seguridad. Vista verde. Costo de la renta 52, 000. Con mantenimiento incluido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-lujo-en-amsterdam-143878265.html,"MN 52,000","Ámsterdam
Hipódromo Condesa, Cuauhtémoc","120 m² lote, 2 rec., 2 baños, 1 estac.",Hipódromo Condesa
"El departamento: - Remodelado con acabados de lujo, aire acondicionado, terraza de 20 m2 (aproximadamente) con vista al Parque México. - 130 m2 (aproximadamente) habitables más 2 lugares de estacionamiento techado. - Amplia estancia con bar. - Cocina abierta con grandes alacenas y comedor de mármol el cual es parte del mobiliario que se diseñó especialmente para el departamento. - Medio baño de visitas. - 2 recámaras: la principal con vestidor, baño completo y salida a terraza; recámara secundaria con amplio closet y baño. - Estudio o 3er. Recámara. El edificio: - Con diseño minimalista, el cual cuenta con Roofgarden como área comun, elevador y estricta vigilancia 24 horas. Ubicación: - Entre Ave. México y Ámsterdam, vialidades como Ave. Nuevo León y Ave. Insurgentes Sur; en la hipodromo condesa, una de las mejores colonias para vivir en Ciudad de México por su historia, arquitectura, parques, camellones arbolados, restaurantes, bares, galerías de arte. En donde puedes andar en bicicleta, pasear a tus mascotas. Renta requisitos: - Fiador con bien raíz libre de gravamen en Ciudad de México. - Pago de la Póliza Jurídica de arrendamiento. - 1 depósito. - Pago de la renta del mes corriente. Consideraciones en la compra-venta: - Se aceptan formas de pago de recursos propios y/o crédito hipotecario de Instituciones bancarias y/o infonavit, en transferencia. - Considerar adicional en su presupuesto los Gastos de Escrituración que paga a la notaría que seleccione, aproximadamente van de un 6% a un 8% sobre el precio final de venta. - Si cuenta con un crédito hipotecario solicite a su Broker Hipotecario le explique todas las condiciones de su crédito (tasas, tiempo, gastos de apertura, etc. . ). Nuestro Aviso de Privacidad lo encuentra en nuestra página. se muestra con previa cita E identificación. Agende su cita en el 55 Ver datos.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-amueblado-terraza-en-parque-mexico-renta-145553445.html,"MN 80,000","Av Sonora 180
Hipódromo Condesa, Cuauhtémoc","150 m² lote, 3 rec., 2 baños, 2 estac.",Hipódromo Condesa
"Vivir en la Condesa es disfrutar de un estilo de vida único. Este departamento, ubicado sobre la AvenidaTamaulipas, te rodea de árboles, cafés, restaurantes, parques y arte urbano, en una de las zonas más bonitas y vibrantes de la ciudad. Su diseño práctico y atmósfera agradable lo convierten en un hogar perfecto para quienes valoran un entorno auténtico, espacios amplios y una estética limpia y serena. En la Condesa todo se vive a pie: mercados, panaderías, ciclovías y áreas verdes. Además, cuenta con fácil acceso a las principales vialidades y transporte público: Insurgentes, Circuito Interior, Metro y Metrobús. Distribución y características: - 1 recámara amplia con baño completo privado. - 1 baño completo adicional para visitas. - Sala – comedor – cocina en concepto abierto. - Area de lavado. - 2 lugares de estacionamiento independientes. - Vigilancia 24/7. - Departamento interior, sin ruídos de la calle. Condiciones de renta: - Con o sin muebles. - Precio amueblado: mxn 45, 000. -Fotos referenciales. -Precio sujeto a cambio sin previo aviso. Cw 25-2030",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-hipodromo-condesa-cw-25-145537316.html,"MN 40,000","Tamaulipas 115
Hipódromo Condesa, Cuauhtémoc","115 m² lote, 1 rec., 2 baños, 2 estac.",Hipódromo Condesa
"Departamento en renta en icon condesa. Departamento en renta en uno de los edificios más solicitados en Hipódromo Condesa. Piso 15 con increíble vista, El mantenimiento viene incluido en el precio de renta. Cuenta con dos habitaciones con closets, camas y persianas black out, dos baños con sensor de movimiento, estancia sala-comedor con persianas traslucidas, electrodomésticos, y dos estacionamientos techados. Sistema lutrón que permite enceder o apagar luces, bocinas desde el celular, balcón en sala, ventanales duo vent que aíslan el ruido. Cocina totalmente abierta con mármol en piso, estancia sala - comedor con piso madera de ingeniería, luz cálida y luz indirecta fría. Amenidades como: -Lobby. -Elevador. - Salón de eventos con terraza. - Gimnasio. - Business center. -Carril de nado. -Ludoteca. - Spa con vapor, sala de masajes y jacuzzi. -Roof top con increíble vista. -Asador. -Sky bar. -Seguridad 24 7. -Circuito cerrado. Ubicado en una zona con Hospitales, escuelas, supermercados, bancos y las mejores zonas para recreación.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-condesa-147193472.html,"MN 45,000","Chicontepec 57
Hipódromo Condesa, Cuauhtémoc","80 m² lote, 2 rec., 2 baños, 2 estac.",Hipódromo Condesa
"59m2, Hipódromo Condesa, Precioso Departamento estilo Art Deco en un segundo nivel, techos altos, acabados de carpintería en madera de tzalam, duelas de madera de encino americano, porcelanatos españoles, herrajes y granitos de alta calidad. La propiedad cuenta con 1 recámara muy amplia y con un closet, la sala - comedor cuenta con una cocina abierta con lavasecadora. El desarrollo cuenta con vigilancia e interfon y esta muy bien ubicado pasos del Parque España y Parque México, todo lo puedes hacer caminando. Matenimiento no incluido 1, 800. 00.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-hipodromo-condesa-departamento-en-renta-147265491.html,"MN 29,200","Fernando de Montes de Oca
Hipódromo Condesa, Cuauhtémoc","59 m² lote, 1 rec., 1 baño",Hipódromo Condesa
"último departamento en colonia Condesa. Las ubicaciones de Urbanista están pensadas para que vivas cerca de todo. Oficinas, restaurantes y entretenimiento a minutos de distancia. En una de las zonas más conectadas de la Ciudad de México a 5 minutos del Parque España y a tan solo unas cuadras de insurgentes. Sin aval, sin Fianza. Renta fácil en 24 horas. Amenidades incomparables, ven y conoce la diferencia de un edificio profesionalmente administrado. Crea memorias inigualables en los espacios: --bbq´S lounge terraza lounge, con asadores. --Equipados totalmente. --Pet friendly. --Internet de alta velocidad. --Amueblados, si así lo quieres. Precio más servicios. Departamentos tipo, Studio, una recamara y dos recamaras. ¡Contáctanos hoy mismo para conocer nuestra promoción del mes! *Las imágenes son ilustrativas y pueden variar. Departamento sujeto a disponibilidad. Consulta con tu Asesor de Ventas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-la-condesa-cdmx-143168883.html,"MN 26,400","Fernando Montes de Oca 47
Hipódromo Condesa, Cuauhtémoc","55 m² lote, 1 rec., 1 baño",Hipódromo Condesa
