Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Distribución: • Sala. • Comedor. • 3 Recámaras. • 2 Baños completos. • Cocina integral. • Área de lavado. • 1 lugar de estacionamiento para un auto pequeño. Características: • Superficie: 85 m2 con base a Avalúo. • Forma de Terreno: Regular. • Edad: 69 años aproximadamente. • Piso en el que se encuentra: 1piso. • Niveles Totales: 2. • Uso de suelo: Habitacional. • Se aceptan mascotas con previa autorización de propietario. Equipamiento del Departamento: • Gas estacionario independiente. • Lavadero. • Closet en recamaras. • Estufa. • Contrato cfe. Equipamiento Edificio: • Tinacos. • Escaleras. • Cisterna. Estatus del inmueble: • Inmueble Desocupado. • Inmueble Usado. Requisitos de arrendamiento: • Un mes de depósito en garantía. • La renta adelantada del mes corriente. • Póliza Jurídica dónde se solicita: Inquilino: Debe comprobar ingresos 3 veces el valor de la renta, tres últimos comprobantes de ingresos o estados de cuenta con un ingreso igual o superior a 3 veces el valor de la renta. Identificación actualizada, Constancia de Situación Fiscal actualizada, curp, Comprobante de domicilio, Acta de Nacimiento, Acta de Matrimonio en caso de estar casado por sociedad conyugal entregar documentación también del conyugue. • Obligado solidario o Fiador. Obligado Solidario: Debe comprobar ingresos 3 veces el valor de la renta, tres últimos comprobantes de ingresos o estados de cuenta con un ingreso igual o superior a 3 veces el valor de la renta. Identificación actualizada, Constancia de situación Fiscal actualizada, curp, Comprobante de domicilio, Acta de Nacimiento, Acta de Matrimonio en caso de estar casado por sociedad conyugal entregar documentación también del conyugue. • Fiador con propiedad libre de gravamen en la Ciudad de México. Debe presentar copia de escritura, últimas boletas de agua y predial. Constancia de Situación Fiscal actualizada. •Firma de contrato por un año con pagarés. Documentación con la que se cuenta: • Escritura Pública. • Boleta predial. Esta y otra información documental del inmueble disponible en oficina con previa cita. Servicios de la Zona: • Agua. • cfe. • Drenaje. • Servicios municipales. • Gas. • Transporte Publico. Vialidades y transporte público. • A 180 Mts de José Ma. Vértiz. • A 350 Mts de Eje Central Lázaro Cárdenas. • A 1 Km de la estación del Metro División del Norte. • A 400 Mts de Eugenia. • A 1 Km de Av. Universidad, Cuauhtémoc y División del Norte. Comercios cercanos. • A 1. 7 Kms de Selecto Chedraui Universidad. • A 1. 7 Kms de Pabellón Del Valle, Cinemex. • A 2. 8 Kms de Plaza Universidad. Parques. • A 950 Mts del Parque de los Venados. Entorno: • Habitacional",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-independencia-benito-juarez-147293100.html,"MN 18,000","Mitla
Independencia, Benito Juárez","85 m² lote, 3 rec., 2 baños, 1 estac.",Independencia
"Bonito departamento en desarrollo nuevo, totalmente amueblado y equipado, listo para habitarse. Consta de dos recámaras, la principal con vestidor y baño; sala, comedor, cocina abierta con barra de granito, terraza abierta y balcón. Tiene cuarto de lavado integrado y un estacionamiento. El edificio cuenta con roof garden común y vigilancia las 24 hrs",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-independencia-benito-juarez-146960692.html,"MN 25,000","RAFAEL MARTINEZ
Independencia, Benito Juárez","77 m² lote, 2 rec., 2 baños, 1 estac.",Independencia
"Departamento con excelente distribución en sus espacios, buena ventilacion en cada area, sistema inteligente en su iluminacion, puerta de acceso con cerradura digital. Acabado de lujo, cubierta de granito en la cocina con alacena en blaco brillante. Super catina con frigobar integrado. Caracteristicas: 1 recamara con balcon grande, closet con cajoneras, zapareto, baño completo y pantalla para proyector. 1 recamara con closet grande. 1 baño completo para segunda recamara y sala/comedor. Estacia grande para comedor y sala grande. Mueble de tv con luces integradas. Cocina abierta con barra desayunador en granito. Mueble despensero. Cantina con frigobar integrado. Closet de area de lavado. 2 espacios de estacionamiento. 1 Bodega grande de 9 m2. Gas Natural. Vigilancia 24 hras. Elevador desde estacionamiento. El precio incluye el mantenimiento. No se encuntra amueblado solo es representacion de los espacios. Agenda tu visita. wig: plOzhaf",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-benito-juarez-147109986.html,"MN 27,500","Zempoala 104
Independencia, Benito Juárez","107 m² lote, 2 rec., 2 baños, 2 estac.",Independencia
"19, 900 mantenimiento incluido. * acabados de lujo. * 75 m2. * 2 piso con Elevador. * 2 recámaras. * 2 baños con cancel de cristal templado. * Cocina integral. * Área de lavado. * Gas natural. * Cisterna. * Estacionamiento techado para 1 auto. * Puertas y closets italianos. * Bodega. * Lobby. * Seguridad 24 hrs. Con Circuito cerrado. Requisitos: ⁃ 1 renta de depósito. ⁃ 1 renta que corre. ⁃ Póliza con valor de 6, 926. ⁃ Se firman 11 pagarés por el valor de una renta. Documentos: -Identificación. -Buró de crédito. -Comprobantes de ingresos de los últimos 3 meses. (3 a 1)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-angel-urraza-esquina-con-monte-alban-147408827.html,"MN 19,900","Angel Urraza 1839
Independencia, Benito Juárez","75 m² lote, 2 rec., 2 baños, 1 estac.",Independencia
"Ref: 2 5 0 7 7 9. Tu espacio ideal en la ciudad: Departamento de 1 recámara en renta en Independencia, Benito JuárezEste moderno y exclusivo departamento de una recámara en renta está ubicado en la colonia Independencia, una de las zonas más bien conectadas y en constante crecimiento de Benito Juárez, Ciudad de México. Con 58 m² de construcción, este espacio es perfecto para quienes buscan comodidad, diseño funcional y una ubicación estratégica. Cuenta con: 1 recámara amplia. 1 baño completo y 1 medio baño ideal para visitas. Cocina equipada con acabados de lujo. Área de lavandería. Balcón privado. Closets y armarios empotrados. Piso laminado. Pet friendly. Seguridad privada, caseta de vigilancia e intercomunicador. Elevador y puertas eléctricas. Ideal para quienes desean vivir solos, en pareja o trabajar desde casa, sin renunciar al confort y la privacidad. Ubicación privilegiada: a unos pasos de Eje Central, Eje 6 Sur, Parque de los Venados, Plaza Universidad, restaurantes, supermercados y más. ¡Todo lo que necesitas a tu alcance! Requisitos: Firma de póliza jurídica. Investigación previa. 1 mes de renta como depósito. Obligado solidario o aval con propiedad en cdmx. Renta inicial: 16, 000. Agenda tu visita hoy mismo y haz de este espacio tu nuevo hogar en la ciudad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-col.-independencia-benito-146715411.html,"MN 16,000","Angel Urraza 199 , Independencia , 03630 Benito Juárez, Ciudad de México, México
Independencia, Benito Juárez","58 m² lote, 1 rec., 1 baño, 1 estac.",Independencia
"Asesora jennifer bolaños jb412. disponible A partir del 15 de julio. para venta 4, 200, 000. 00 mxn, aceptamos créditos imss Y foviste. Ubicado en el tercer piso de un edificio moderno, este departamento ofrece excelente iluminación natural, comodidad, y una ubicación privilegiada en la Colonia Independencia, Alcaldía Benito Juárez. Distribución y Comodidades. Superficie habitable: 67 m² balcón con vista abierta. 2 recámaras: Principal con baño completo privado. Habitación secundaria amplia y funcional. 2 baños completos. Cocina integral equipada. Sala-comedor con gran entrada de luz natural. 2 lugares de estacionamiento totalmente independientes (no se estorban) Bodega privada en el área de estacionamiento. Seguridad y Edificio. Seguridad 24/7. Elevador. Acceso con tarjeta magnética. Portón eléctrico con control remoto. Circuito cerrado de vigilancia. Edificio de 7 años de antigüedad. Ubicación y Conectividad. A 4 cuadras de Eje Central. A 6 cuadras de Calzada de Tlalpan. Cerca de Avenida Universidad. A 10 min caminando del Metro Nativitas. A 10 min caminando del Metrobús. Acceso rápido a vialidades principales. Servicios Cercanos. Supermercados: Walmart, Chedraui, Oxxo, y mercados locales. Restaurantes, cafés, farmacias y bancos. Escuelas, centros médicos y gimnasios a menos de 10 minutos. Parques y zonas verdes para caminar o hacer ejercicio",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-o-venta-benito-juarez-cdmx-147149639.html,"MN 17,900","Dirección no informada
Independencia, Benito Juárez","67 m² lote, 2 rec., 2 baños, 2 estac.",Independencia
"Bienvenido al mejor desarrollo en la zona: lujo - seguridad - garantías - acabados - ubicación - exclusividad. Con su distintivo estilo de ciudad y su cómoda localización; tu nuevo departamento! ! Es donde realmente puedes tenerlo todo. Lugares que marcan tendencia, restaurantes galardonados y de clase mundial, eventos deportivos de élite y una escena social que siempre es vibrante y excitante. &quot;Es lo que mereces para tu estilo de vida. &quot;Características: Departamento con acabados de lujo! ! 2 Recamaras. 2 Baños Completos. 1 Estacionamiento. Iluminación y ubicación inigualable. Contáctanos para conocer tu nuevo hogar. Será un placer atenderte! ! z o n a h o g a r e s. C o mte ayudamos A tramitar cualquier crédito hipotecario. bancario, infonavit, cofinavit, fovissste, alia2, etc. Llama Ahora! Tel: Ver datos. Whatsapp: Ver datos. z o n a h o g a r e s. C o mImágenes y textos son únicamente referencia. No deben interpretarse con fiel base de detalles finales en las residencias y desarrollo. El desarrollo se reserva el derecho de modificar y realizar cambios como juzgue correcto a su única y absoluta discreción. Representaciones verbales no contarán como modelo representante del desarrollador. *ajuste de precios sin previo aviso*z o n a h o g a r e s. C o m",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-2-recamaras-2-banos-1-147401513.html,"MN 22,000","Cercano Alberca Olimpica
Independencia, Benito Juárez","65 m² lote, 2 rec., 2 baños, 1 estac.",Independencia
"Ubicado sobre Av. Cuauhtémoc, entre Miguel Laurent y Pilares, a 9 min. Caminando del Parque de los Venados y a 7 min. Del Parque Pilares, de la tienda Soriana, a 10 min. De Plaza Universidad. Con una conectividad maravillosa, con el metrobus, estaciones de metro cercanas. Dentro del complejo Grand Tower del Valle, con amenidades, estricta vigilancia y comodidad para tu estilo de vida. Características destacadas: Piso 15 Elevador con acceso vía huella digitalSala - comedor con piso de porcelanato, ventanal de piso a techo y acceso al balcónCocina integral abierta, con barra desayunador con acabado en granitoÁrea de lavado a lado de la cocina, con ventilación natural Baño completo con cancel de vidrio templado 2 recámaras, la secundaria con acceso al balcón corrido que viene desde la estancia y clóset de piso a techoLa recámara principal con walking closet y baño completo2 estacionamientos uno atrás de otro, no se estorban con nadieTodo el departamento cuenta con persianascaracterísticas del complejo: Lobby, salas de negocios, salón lounge, salón de eventos, cine, ludoteca, sala de tareas, áreas verdes, juegos al aire libre, zona pet friendly, tienda de abarrotes, lavandería, arcade, boliche, alberca semi olímpica, carril de nado, snack, gimnasio, salón spinning, salón yoga, salón fitness, salón música (batería, piano, guitarra), salón teen, media chancha de basquet, jacuzzi, vestidores, asadores, fogateros, jardín, cancha de fútbol, golfito y sky cinema. Vigilancia 24 hrs. 2 elevadores por torre. El mantenimiento está incluido en la renta. Se aceptan mascotas pequeñas Requisitos: Póliza Jurídica, comprobación de ingresos 3 a 1 del precio de renta, fiador con bien raíz en la cdmx, un mes de depósito y el mes de renta que inicia. Ideal para vivir seguro, cómodo con todo lo que necesitas sin salir de casa. **nota: Los gastos generados por la contratación de la póliza jurídica, depósitos, servicios y mudanza no están incluidos en la renta. Para Aviso de Privacidad, quejas, sugerencias o aclaraciones comunícate a los teléfonos de la inmobiliaria o visítanos en Av. Revolución 1564 colonia San Ángel.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-grand-tower-del-valle-147373323.html,"MN 33,000","Cuauhtémoc 1146, Letrán Valle
Letrán Valle, Benito Juárez","80 m² lote, 2 rec., 2 baños, 2 estac.",Independencia
"Departamentos de 108mts con 2 recamaras Y un baño completo, sala comedor, cocina Y area de lavado, despensa amplia, semi amueblado (solo se renta con los muebles que tiene) cuenta con 2 lugares de estacionamiento, vigilancia 24 hrs, salon de usos multiples, gimnasio Y sala de coworking, mantenimiento incluido disponibilidad inmediata. Conocelo podemos concertar una cita al Ver datos con erika morales",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-semi-amueblado-en-renta-en-eje-central-lazaro-146378287.html,"MN 20,500","EJE CENTRAL LAZARO CARDENAS NO. 1130
San Simón Ticumac, Benito Juárez","108 m² lote, 2 rec., 1 baño, 2 estac.",Independencia
"Este espectacular penthouse a estrenar en la vibrante colonia Letrán Valle es la joya que estabas esperando, una combinación perfecta de diseño moderno, funcionalidad y una ubicación inmejorable. Aquí, la vida urbana se eleva a un nuevo nivel. Un Espacio Creado para Ti. Una cocina abierta con barra desayunadora, ideal para esos momentos de café matutino o para socializar mientras cocinas. Una sala y comedor que se extienden hacia un balcón social, creando un espacio perfecto para relajarse o entretener a tus invitados. Dos amplias recámaras, cada una con clóset de pared a pared. La recámara principal cuenta con un balcón privado, un pequeño oasis personal para disfrutar de la tranquilidad. Dos baños completos con acabados de alta calidad. Una terraza privada que es la verdadera protagonista: un espacio al aire libre con vistas panorámicas de la cdmx, ideal para asados, reuniones o simplemente para desconectar bajo el cielo de la ciudad. Todo en 135 m² totales con 74. 30 habitables, diseñado pensando en la calidad de vida y distribuidos de forma impecable. Ubicación Estratégica: El Corazón de Todo. Ubicado sobre División del Norte, este penthouse te conecta con lo mejor de la cdmx. Tendrás acceso rápido a colonias como Del Valle, Narvarte y Portales. Con las estaciones del Metro División del Norte y Zapata a solo unos pasos, y vías principales como Av. Universidad y Félix Cuevas, tu movilidad será incomparable. Todo lo que necesitas está a tu alcance: Vida cultural y recreación: Parques, la Casa de Cultura Letrán Valle y el Deportivo Gumersindo Romero. Gastronomía y compras: Una increíble oferta de restaurantes, tiendas especializadas y centros comerciales a pocos minutos. Servicios: Hospitales, supermercados y todos los servicios esenciales. Comodidad y Seguridad Garantizadas. La propiedad incluye un lugar de estacionamiento y vigilancia 24/7, para que tu única preocupación sea disfrutar. Además, tienes la opción de rentar semi-amueblado, facilitando tu mudanza. ¡Ah! Y tu mascota, es bienvenida. Este penthouse no es solo un departamento, es una oportunidad para vivir la vida que siempre has querido. Agenda una visita hoy mismo y conocelo! Descubre por qué este será tu próximo hogar.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta--gran-ubicacion-muy-iluminado-147086185.html,"MN 33,100","Avenida División del Norte 1245
Letrán Valle, Benito Juárez","134 m² lote, 2 rec., 2 baños, 1 estac.",Independencia
