Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en Renta Calle: Basiliso Romo Anguiano, Col. Industrial. Consta de 69M2, sala, comedor, cocina integral y 2 recamaras y 1 baño completo, cuenta con zotehuela. El departamento se encuentra en planta baja. No tiene estacionamiento. No se acepta mascotas. Requisitos: 1 mes de Renta, 1 mes de Deposito, Comprobación de ingresos, Obligado Solidario y Póliza Jurídica al 50%. Cerca de tiendas de autoservicio, escuelas, hospitales, tiendas departamentales, parques y vías de comunicación importantes: Insurgentes, Calz. Misterios, Calz. De Gpe. Y más.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-col.-industrial-gam.-147455946.html,"MN 12,500","Av. Ing. Basiliso Romo Anguiano 176
Industrial, Gustavo A. Madero","69 m² lote, 2 rec., 1 baño",Industrial
"Hermoso departamento para estrenar en renta en la col. Industrial, pegado a la col. Guadalupe Insurgentes. Muy bien ubicado, sobre Insurgentes Norte entre el metro metro Potrero y la Raza. Características generales. - 2 recámaras. - 2 baños completos. - cocina. - sala comedor. - Interfón. Áreas comunes. - Lobby-recepción. - Roof Garden. - Vigilancia 24/7. - Elevador. Ecotecnias. - Calentador solar (solo deptos. De los pisos superiores) - Recuperación de agua pluvial. - Botes de basura orgánico e inorgánico. - Iluminación con detectores de presencia. Requisitos. - 1 mes de renta por adelantado. - 1 mes de depósito en garantía. - Aval con bien raíz u obligado solidario. - Póliza de arrendamiento con costo de $3, 250. 00. - Formatos de Arrendamiento llenos y firmados. - Identificación oficial. - Comprobación de ingresos de 3 meses a la fecha. - En caso de aval con bien raíz, la escritura de la propiedad libre de gravamen y su boleta predial. Nota. . El precio de renta ya incluye el mantenimiento. *Por $500. 00 más un estacionamiento para Moto. Mayor información y citas comunícate con nosotros.",https://www.inmuebles24.com/propiedades/clasificado/alclapin--renta-y-estrena-depto.-cerca-metro-potrero-cdmx-146695288.html,"MN 14,000","Insurgentes Norte 1329
Industrial, Gustavo A. Madero","60 m² lote, 2 rec., 2 baños",Industrial
"Dpto. nuevo en Colonia Bondojito, de 50m2 aprox. Con 2 recamaras, 1 baño completo, sala-comedor, área de cocina con tarja de lavado, área de lavado en el inmueble, sin estacionamiento. Cercano a vías principales de comunicación y servicios de interes, escuelas, plazas, comercios locales, entre otros.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147141922.html,"MN 10,500","AV HENRY FORD
Industrial, Gustavo A. Madero","50 m² lote, 2 rec., 1 baño",Industrial
"Hermoso departamento para estrenar en renta en la col. Industrial, pegado a la col. Guadalupe Insurgentes. Muy bien ubicado, sobre Insurgentes Norte entre el metro metro Potrero y la Raza. Características generales. - 2 recámaras. - 2 baños completos. - cocina. - sala comedor. - Interfón. Áreas comunes. - Lobby-recepción. - Roof Garden. - Vigilancia 24/7. - Elevador. Ecotecnias. - Calentador solar (solo deptos. De los pisos superiores) - Recuperación de agua pluvial. - Botes de basura orgánico e inorgánico. - Iluminación con detectores de presencia. Requisitos. - 1 mes de renta por adelantado. - 1 mes de depósito en garantía. - Aval con bien raíz u obligado solidario. - Póliza de arrendamiento con costo de $3, 250. 00. - Formatos de Arrendamiento llenos y firmados. - Identificación oficial. - Comprobación de ingresos de 3 meses a la fecha. - En caso de aval con bien raíz, la escritura de la propiedad libre de gravamen y su boleta predial. Nota. . El precio de renta ya incluye el mantenimiento. * El cajón de estacionamiento es para Moto incluido en la renta* Mayor información y citas comunícate con nosotros.",https://www.inmuebles24.com/propiedades/clasificado/alclapin--renta-y-estrena-depto.-cerca-metro-potrero-cdmx-147026720.html,"MN 14,500","Insurgentes Norte 1329
Industrial, Gustavo A. Madero","60 m² lote, 2 rec., 2 baños, 1 estac.",Industrial
"Departamento ecónomico de una recámara, estancia, cocineta, baño, closet, sin estacionamiento, área de lavado en azotea. Cerca de Calz. Guadalupe. Máximo 2 personas, no se aceptan mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-1-recamara-por-calz.-guadalupe-147302878.html,"MN 6,200","Escuela Industrial No. 209
Industrial, Gustavo A. Madero","40 m² lote, 1 rec., 1 baño",Industrial
"Dpto. Con vista al exterior, de 80m2 aprox. En 4to nivel (sin elevador), con 3 recamaras con closet, 1 baño completo, sala-comedor, cocina integral, cuarto de lavado y jaula de tendido en azotea y 1 estacionamiento. Cercano a Av. Robles Domínguez, Calz de los Misterios y servicios de interés.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147297146.html,"MN 15,500","AV CRUZ AZUL
Industrial, Gustavo A. Madero","80 m² lote, 3 rec., 1 baño, 1 estac.",Industrial
"Ubicado al norte de la cdmx, una nueva opción de departamentos de lujo que cubren con todos los deseos de comodidad que has imaginado. La distribución está pensada en la optimización de sus espacios para la vida moderna. Edificio de lujo, comodidad y vanguardista para estrenar, con detalles que lo hacen verdaderamente único y exclusivo. -Tipo: Departamento. -Precio de Renta: $15, 000. 00 mxn. -Terreno: 58 m² -Construcción: 58m2. - Recámaras: 2. - Baños: 1. -Estacionamientos: 1. - Cocina: integral. -Tipo Terreno: regular. - Edo. Conservación: Excelente. - Uso de Suelo: habitacional. - Piso En Que Se Encuentra: 5. Calidad de la Construcción: Alta. amenidades: -salón de usos múltiples, -gimnasio, -salón de jóvenes. Requisitos de Arrendamiento: Llenar solicitud de arrendamiento y póliza jurídica. Un mes de renta de depósito, un mes de renta adelantada. Poliza juridica por $5, 000. 00 se adelantan $1, 000. 00 de investigación se liquida la póliza previa a la firma del contrato. Documentación (no negociables) Inquilino: (1) Identificación oficial vigente, (2) comprobantes de ingresos de los últimos tres meses a la fecha (recibos de nómina, declaraciones de impuestos, estados de cuenta bancarios) por un importe de 3 veces el valor de la renta, (3) carta laboral, (4) Reporte de Buró de Crédito Especial. (5) solicitud de arrendamiento requisada. Aval: (1) Copia de escritura de la Ciudad de México, completa con sello del rpp, libre de gravamen; (2) últimas boletas de predial y de agua; (3) comprobante de domicilio; (4) identificación oficial vigente, si es casado por bienes mancomunados también identificación del cónyuge. Procedimiento: Llenar formatos de oferta y solicitud. Cubrir el costo de la investigación. Se cuenta con tres días para entregar documentación. El contrato tiene duración de un año.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-en-renta-departamento-ayana-guadalupe-386-gustavo-a.-145905955.html,"MN 18,000","Ayanna Tepeyac Urbania Departamentos
Industrial, Gustavo A. Madero","58 m² lote, 2 rec., 1 baño, 1 estac.",Industrial
"Hermoso departamento completamente amueblado en renta a partir de principios de septiembre. Se encuentra ubicado a 3 cuadras del Metro Potrero y a 2 cuadras de Insurgentes. Centros comerciales a pie. Excelente opción para residentes médicos, se renta únicamente para 1 o máximo 2 personas, no se requiere de aval ni póliza jurídica. Cuenta con cocina completamente equipada, (incluye vajilla, licuadora, horno de microondas, utensilios), refrigerador. Dos recámaras, la principal con cama Queen Size colchón de calidad hotelera 5*, la secundaria 2 camas individuales (la secundaria comparte el acceso con la principal) Comedor 4 personas. Sala con tv. Escritorio de trabajo. 1. 5 baños. La renta solo incluye el mantenimiento e internet y un aseo completo, los demás servicios se pagan aparte. Área de lavado techada e independiente cuenta con lavadora Y secadora A gas. No se aceptan mascotas. no cuenta con estacionamiento",https://www.inmuebles24.com/propiedades/clasificado/alclappa-departamento-amueblado-cerca-potrero-145678273.html,"MN 16,300","Luxo
Industrial, Gustavo A. Madero","62 m² lote, 2 rec., 2 baños",Industrial
"Departamento económico con cocineta con tarja, recámara con baño, estancia, interior, gas de cilindro, zotehuela con lavadero, bien ubicado, se aceptan mascotas pequeñas. Cerca del Metro Basílica.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto.-en-calz.-guadalupe-627-65054096.html,"MN 6,500","Calz. de Guadalupe 627
Aragón la Villa, Gustavo A. Madero","45 m² lote, 1 rec., 1 baño",Industrial
"Hermoso departamento a estrenar cerca de la Basílica de Guadalupe. Ubicado en tercer nivel. con Roof Garden Privado y 1 estacionamiento independiente (capacidad para 1 coche) 2 recamaras. 2 baños completos. sala-comedor con area de lavado. ubicadisimo a 3 cuadras de la Villa. Se cuenta tambien con 1 roof garden de uso comun. 15, 500 mensuales. requisitos para la contratacion del inmueble. -no negociables- 1. - un deposito en garantía. 2. - un mes de renta adelantado. 3. - fiador: con bien raiz en la ciudad de mexico, libre de gravamen. 4. - gastos de investigación. _1, 500 cdmx 3, 000 edomex. 5. - poliza juridica",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-en-renta-cerca-de-la-villa-147290293.html,"MN 15,000","Cuauhtémoc 55
Aragón la Villa, Gustavo A. Madero","67 m² lote, 2 rec., 2 baños, 1 estac.",Industrial
