Título,Enlace,Precio,Dirección,Características,Colonia de Origen
Departamento nuevo A estrenar en la nueva torre de carso vistas del bosque. 54 M2: departamento tipo estudio de 1 recamara con amplio armario Y baño completo. Area de lavado. Linda cocina abierta. Impresionantes vistas. Enormes cristaleras que le dan mucha luz. Acabados de primera calidad. 1 cajon de estacionamiento. Completo conjunto de amenidades. Estacionamiento para visitas. Seguridad 24 horas. Mantenimiento incluido en la renta. Al lado del centro comercial toreo. Obligatoria poliza juridica.,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-cerca-de-irrigacion:-1-recamara-65825863.html,"MN 20,000","Avila Camacho
Irrigación, Miguel Hidalgo","54 m² lote, 1 rec., 1 baño, 1 estac.",Irrigación
"Vive en el corazón de Polanco, con la mejor ubicación, frente al Museo Soumaya, Plaza Carso, Centros Comerciales y escuelas. Este departamento amueblado tiene excelentes espacios y vistas. Se encuentra en Grand Polanco. Decorado con detalles de muy buen gusto y pisos de madera de ingeniería de la mejor calidad. Consta de 3 recámaras, la principal con walking closet, gran clóset y baño, una de las secundarias con gran clóset y baño y la tercera con clóset y baño compartido. Sala comedor de muy buen tamaño, cocina abierta con pantry y muy buenos espacios para guardar y área de trabajo, totalmente equipada con lavavajillas y refrigerador, además con centro de lavado nuevo. Tiene también baño de visitas, que comparte con la tercera recámara. El departamento cuenta con excelente orientación y vistas, además de calefacción hidrónica. Persianas de privacidad en área social y cocina y blackout (con riel que no permite paso de luz) y privacidad en las recámaras. Tiene 2 lugares de estacionamiento y Bodega. Excelentes amenities: Alberca, jacuzzi frío y caliente, gym, baños con vapor y sauna, Ludoteca, Salón de eventos, pista para coches infantiles, área de mascotas, área de spinning y de esparcimiento. Disponible para entrar ya! Conózcalo! Mantenimiento incluído en la renta",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-grand-polanco-147413572.html,"MN 57,000","Miguel de cervantes saavedra 380
Irrigación, Miguel Hidalgo","136 m² lote, 3 rec., 3 baños, 2 estac.",Irrigación
"Vive en este extraordinario departamento en Grand Polanco de 150m2 de construcción con una excelente distribución diseñada para tu comodidad, tres amplias recámaras, dos baños completos, uno de ellos en la recámara principal, la cual tiene un espectacular Walking close, sala-comedor, cocia integral, balcón, dos lugares de estacionamiento, cuarto servicio y de lavado. Amenidades: área de juegos infantiles, gym, alberca techada, asoleaderos, entre otros. Nota importante: toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos expresados refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales. El precio publicado no incluye el precio total de los impuestos y contribuciones por pagar, así como los gastos de escrituración. Sin embargo esta información le será entregada oportunamente antes de firmar el contrato de compraventa. Así como la posibilidad de pagar con crédito bancario o con recursos propios.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-renta-o-venta-en-grand-polanco.-146737602.html,"MN 50,000","Miguel de Cervantes #388
Irrigación, Miguel Hidalgo","150 m² lote, 3 rec., 2 baños, 2 estac.",Irrigación
"Loft de Alta Plusvalía en Zona Estratégica – ¡Vive con Estilo y Seguridad! Ubicado en una de las zonas con mayor crecimiento y demanda de la cdmx, este moderno loft ofrece una combinación perfecta de ubicación privilegiada, amenidades exclusivas y seguridad 24/7. A solo pasos de: - Selecto Chedraui, Costco, Plaza Carso. - Corporativos, hospitales, parques y restaurantes. - Museos y espacios de recreación. Conectividad inmejorable: - Acceso inmediato a Av. Río San Joaquín, Ejército Nacional y Periférico. Características del edificio: - Vigilancia 24/7. - Mantenimiento y limpieza de áreas comunes incluido en la renta. Amenidades premium: - Alberca climatizada. - Gimnasio equipado. - Ludoteca. - Salón de eventos. - Business center. Importante: No se aceptan mascotas y lo mejor, el mantenimiento esta incluido en la renta. Ideal para ejecutivos, parejas jóvenes o inversionistas que buscan plusvalía garantizada y estilo de vida urbano sin complicaciones. No dejes pasar la oportunidad, agenda tu cita",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-tipo-loft-grand-polanco-143760014.html,"MN 30,000","Bvld. Miguel de Cervantes Saavedra
Irrigación, Miguel Hidalgo","102 m² lote, 1 baño, 2 estac.",Irrigación
"Departamento amueblado en renta en Condominio Grand Polanco. Cuenta con 125 m2 distribuidos en; cocina integral, área de lavado con medio baño de visitas o servicio, sala/comedor con acceso a balcón, hermosa vista y buena temperatura. Dos recamaras, principal con vestidor y baño completo, segunda recamara con closet, baño completo compartido con área de visitas. Dos lugares de estacionamiento. Ubicación inmejorable, a poca distancia de centros comerciales, hospitales, restaurantes, museos. Áreas comunes: alberca semi-olimpica techada climatizada, alberca para niños, gimnasio, salón de eventos, zona para mascotas, vigilancia 24 hrs. Disponible 1 de noviembre, 2023.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-grand-polanco-2-recamaras-amueblado-62582706.html,"MN 38,000","Cervantes Saavedra No. 388
Irrigación, Miguel Hidalgo","125 m² lote, 2 rec., 2 baños, 2 estac.",Irrigación
"Departamento amueblado en renta en Residencial Grand Polanco. Cuenta con 100 m2 habitables distribuidos en; acceso, closet de blancos, cocina integral con barra desayunadora, área de lavado, sala/comedor con acceso a terraza privada de 20 hermosa vista del atardecer, piso alto. Dos recamaras; principal con vestidor y baño completo, segunda recamara con closet y baño completo. Dos estacionamientos y bodega. Amenidades: alberca semi olímpica techada climatizada, jacuzzi, chapoteadero para niños, gimnasio, ludoteca, salón para eventos, zona para mascotas, vigilancia 24 hrs. Super ubicación! A poca distancia de centros comerciales, restaurantes, museos, hospitales, vías de acceso, ¡y más! El departamento se renta sin muebles.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-grand-polanco-con-terraza-142687394.html,"MN 40,000","Cervantes Saavedra No. 380
Irrigación, Miguel Hidalgo","120 m² lote, 2 rec., 2 baños, 2 estac.",Irrigación
"""Se renta edificio ideal para oficinas corporativas en una de las mejores ubicaciones de la Ciudad de México. Características destacadas: ️ Superficie total: 1, 509 m² ️ Terreno: 649 m² | Construcción: 882 m² ️ 2 pisos funcionales y versátiles. ️ Estacionamiento privado en sótano. ️ 2 medios baños por piso. ️ Áreas prácticas: bodega, comedores y oficinas. Un espacio diseñado para optimizar el rendimiento de tu equipo y proyectar la mejor imagen corporativa. Ubicación premium para fácil acceso y comodidad. Contáctanos hoy mismo y asegura el lugar donde tus ideas crecerán. "" Clave interna: ersaag1276",https://www.inmuebles24.com/propiedades/clasificado/alclapin-edificio-corporativo-en-renta-ciudad-de-mexico-145371313.html,"MN 200,000","Miguel de Cervantes Saavedra
Irrigación, Miguel Hidalgo","869 m² lote, 5 estac.",Irrigación
"Cuentan con vestíbulo, sala comedor, cocina abierta, área de tv que también puede ser para home office, 2 recámaras, la principal con vestidor y baño completo, la otra recámara comparte baño completo con las visitas, área de lavado y balcón. 2 estacionamientos independientes, seguridad las 24 hrs. Para aviso de privacidad, quejas, sugerencias o aclaraciones visita, o escríbenos a Ver datos. Oficina Sur Ver datos y 6292. Los gastos de investigación y póliza jurídica no están incluidos en el costo de renta, así como el mobiliario, electrodomésticos y arte que se muestran en las fotografías.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-grand-polanco-departamento-frente-al-museo-soumaya-147284077.html,"MN 35,000","Boulevard Miguel de Cervantes Saavedra
Irrigación, Miguel Hidalgo","125 m² lote, 2 rec., 2 baños, 2 estac.",Irrigación
"¡¡bonito departamento ideal para ejecutivos!! Espacios: • Cocina integral• comedor• Cama matrimonial• Closet • Baño completoServicios: • Área para colocar equipo de lavadoacabados: Paredes lisas y madera, pisos de porcelanato, baño con loseta, puertas y closet de maderaMetraje habitable 40m²áreas comunes: Terraza comúnMantenimiento mensual incluido en la rentaUbicado: a unas cuadras de Calzada Legaria y Rio San Joaquín, muy cerca de zona comercial Existe un departamento mas con 2 recámaras con un costo de $18, 000 pesos en RentaEstimado Colega, sólo en esta propiedad no es posible compartir comisión. Gracias por su comprensión. (msa) denh3022Código EasyBroker: Código gizp: Aviso de Privacidad: Next Home, con domicilio en Av. Noche de Paz No. 49, Local 6 “A”, Colonia Granjas Navidad, Alcaldía Cuajimalpa, Ciudad de México Ver datos, México, es Responsable del tratamiento y uso de sus datos personales. Sus datos personales serán utilizados para las siguientes finalidades: Proveer los servicios solicitados y/o contratados. Responder a sus requerimientos de información, atención y servicio. Evaluar la calidad del servicio que le brindamos. Archivo de registros y expediente de la relación contractual para seguimiento de servicios futuros. Gestión Financiera, facturación y cobro. Dar cumplimiento a las obligaciones y compromisos que hemos contraído con Usted. Usted puede conocer nuestro Aviso de Privacidad integral en nuestra página web",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-irrigacion-146933345.html,"MN 15,500","Renta Departamento EN Irrigacion
Irrigación, Miguel Hidalgo","40 m² lote, 1 rec., 1 baño",Irrigación
"En la exclusiva zona de Irrigación, en el desarrollo Grand Polanco, se encuentra esta propiedad en renta con una superficie total de 136m2, totalmente amueblada. La propiedad cuenta con 3 recamaras, 3 baños completos y 2 plazas de aparcamiento. Construida en el año 2010, se encuentra en excelente estado de conservación. Entre las amenidades que ofrece el complejo se encuentran juegos infantiles, alberca, gimnasio, salón de eventos, ludoteca y closets. Con una ubicación privilegiada en Blvd. Miguel de Cervantes Saavedra, esta propiedad es ideal para quienes buscan comodidad y lujo en un solo lugar.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-grand-polanco:-departamento-en-renta-en-irrigacion-147208420.html,"MN 55,000","Blvd. Miguel de Cervantes Saavedra
Irrigación, Miguel Hidalgo","136 m² lote, 3 rec., 3 baños, 2 estac.",Irrigación
