Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en venta o renta ubicado en Jardines del Pedregal de San Ángel. Cuenta con 2 recámaras y 2 baños, ideal para familias o personas que buscan comodidad y espacio. El interior ofrece sala, comedor y cocina integral equipada. Disfruta de amenidades como área de lavandería y clósets. En el exterior, cuenta con terraza y 4 lugares de estacionamiento. Además, el conjunto ofrece caseta de guardia, gimnasio, piscina, área de eventos, cancha de tenis, salón de juegos infantiles y salón de usos múltiples. También cuenta con estacionamiento de visitas, acceso para discapacitados y espacio de co-working. El edificio cuenta con guardianía/seguridad privada, servicios básicos (agua/luz) e internet/wifi. Se aceptan mascotas. La zona es predominantemente residencial, tranquila y familiar. Cuenta con escuelas cercanas y fácil acceso a servicios esenciales. Jardines del Pedregal es una zona urbana consolidada, conocida por su seguridad y ambiente privado. La renta no incluye la cuota de mantenimiento",https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-o-renta-de-ph-con-roof-garden-privado-en-be-146383346.html,"MN 60,000","PERIFERICO SUR 3996
Jardines del Pedregal de San Ángel, Coyoacán","250 m² lote, 2 rec., 2 baños, 4 estac.",Jardines del Pedregal de San Ángel
"Disponible a partir del 1o de agosto. Este lindo departamento se localiza sobre Periférico Sur, en la Colonia Jardines del Pedregal. una de las mejores zonas de la Ciudad de México y cercano a vialidades importantes como Insurgentes, Tlalpan, Eje 10 y Av. Revolución. A tan solo unos pasos de tv Azteca, Plaza Perisur, Plaza Cuicuilco, Bosque de Tlalpan, Hospital de Pediatría, Universidad La Salle -campus Santa Teresa- Universidad Autónoma de México (unam) y cercano a Plaza Artz, Universidad Intercontinental (uic) y a minutos de la Carretera Federal a Cuernavaca. El departamento tiene una vista panorámica espectacular hacia el Bosque de Tlalpan (uno de los principales pulmones de la Ciudad), lo cual evita que se escuche el ruido del tráfico de Periférico. El edificio tiene seguridad 24 horas y una excelente administración. Cuenta con sala-comedor, cocina equipada, dos recámaras, un baño y medio, área de lavado, bodega y un lugar de estacionamiento compartido (en caso de requerir otro lugar, hay posibilidad de que se rente un segundo cajón de estacionamiento). Favor de comunicarse con la Lic. Susana Hernández al Ver datos para mayores informes y visitas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-jardines-del-pedregal-coyoacan.-147162391.html,"MN 18,300","Periférico Sur #4445, Esq. con Camino a Santa Teresa, Jardines del Pedregal, Séptimo Nivel.
Jardines del Pedregal de San Ángel, Coyoacán","87 m² lote, 2 rec., 1 baño, 1 estac.",Jardines del Pedregal de San Ángel
"Tu hogar a primera vista… Con proximidad a plaza Artz, plaza Santa. Teresa, tv Azteca escuelas Liceo Japonés, Aleman, La Salle. Piso alto, con vista a la reserva. Amenidades: -Alberca cubierta, con regaderas y vestidor. -Gimnasio equipado. -Spinning, spa. -Ludoteca. -Salón de eventos. -Salon de adultos. -Cancha de padel. -Sala. -Comedor. -Cocina abierta, con placa de granito. - 2 recamaras, la principal con vestidor. -2 baños completos. -Sala de tv. -Cuarto de lavado con espacio para lavadora y secadora. -Medio baño de servicio. -2 estacionamientos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-jardines-del-pedregal-be-grand-147442171.html,"MN 35,000","Anillo Periferico 3996
Jardines del Pedregal, Alvaro Obregón","136 m² lote, 2 rec., 2 baños, 2 estac.",Jardines del Pedregal de San Ángel
"¡Vive en el mejor Sky View de Be Grand Pedregal! Este espectacular departamento, completamente remodelado con acabados de lujo, te ofrece una experiencia única de confort y exclusividad. Con techos de doble altura y aire acondicionado en todo el departamento, cada espacio ha sido diseñado para tu bienestar. Características destacadas: Cocina italiana moderna con parrilla de inducción. 2 recámaras, la principal con walk-in closet y baño integrado. Recámara secundaria con closet y baño completo de visitas. Roof Garden privado con vista panorámica, ideal para disfrutar de momentos inolvidables. Cuarto de lavado para mayor comodidad. Las Mejores Amenidades: Cancha de pádel, gimnasio, spinning, ludoteca, alberca techada, terraza y salón de eventos. Cabina de masajes y más. ¡No pierdas la oportunidad de vivir en uno de los departamentos más exclusivos de Pedregal! Cuota de mantenimiento no incluida en la renta",https://www.inmuebles24.com/propiedades/clasificado/veclapin-renta-o-venta-de-ph-con-roof-garden-privado-en-be-146762155.html,"MN 60,000","Periferico Sur 3996
Jardines del Pedregal, Alvaro Obregón","250 m² lote, 2 rec., 2 baños, 4 estac.",Jardines del Pedregal de San Ángel
"Precioso departamento en renta de 154m2 habitables, consta de 3 recámaras, la principal con baño y vestidor, las otras 2 una con vestidor y otra con closet y baño compartido que también es de visitas, sala, comedor, cocina abierta, área de lavado, medio baño de servicio, 3 lugares de estacionamiento techados. Amenidades: alberca, gimnasio, ludoteca, cancha de paddle, sala de juntas, salón de adultos, spinning, sala de masajes, salón de usos múltiples.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-be-grand-pedregal-154-m-sup2--con-3-rec-3-147294931.html,"MN 38,000","Adolfo Ruiz Cortines 3996
Jardines del Pedregal, Alvaro Obregón","154 m² lote, 3 rec., 2 baños, 2 estac.",Jardines del Pedregal de San Ángel
"Departamento ubicado en col jardines del pedregal, magnifica ubicacion, piso 14, consta de amplia sala comedor con hermosa vista panoramica, grandes ventanales equipado con persianas modernas, tres recamaras la principal con vestidor Y baño integrado asi como la segunda con su baño integrado tambien, Y baño compartido que funge como de visitas, cuenta con cocina integral equipada, , practica isla, el cuarto de servicio con baño Y lavanderia estan integrados en el departamento, tres lugares de estacionamientos para auto mediano dos camionetas sin problema con instalacion para coche hibrido, . el edificio tiene 15 pisos dos departamentos por piso, este depto se encuentra en el piso 14, , estricta vigilancia privada con extremado control brindando A los condominos tranquilidad Y seguridad, las areas comunes incluyen alberca climatizada techada, roof gardn habilitado moderno, jadin Y corredor, salon de eventos con cocina industrial Y baños, estacionamiento S de. visitas, Y planta de luz de emergencia, la ubicacion es realmente previligiada, no pierdas la oportunidad de conocerlo porque lo rentaras, nivel residencial alto, 2 elevadores Y uno de servicio el costo de la renta es mas mantenimiento 5, 700-00 tema de mascota se prmite un perro pequeño maximo 10 kgs",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-torre-pedregal-coljardines-146384720.html,"MN 40,000","PERIFERICO SUR 3180
Jardines del Pedregal, Alvaro Obregón","280 m² lote, 3 rec., 3 baños, 3 estac.",Jardines del Pedregal de San Ángel
"Penthouse en Renta – Jardines del Pedregal, cdmx. Magnífico penthouse de 115 m² con diseño moderno y excelentes acabados, ubicado en una de las zonas más exclusivas del sur de la Ciudad de México. • 2 habitaciones, la principal con baño privado y vestidor. • Amplia estancia con gran iluminación natural. • Cocina integral equipada. • Área de lavado independiente. • Roof garden privado de 35 m², con medio baño y bodega, ideal para reuniones o disfrutar de la vista. • 2 cajones de estacionamiento fijos. • Elevador de acceso directo. Este penthouse combina confort, privacidad y estilo, en un edificio tranquilo y seguro. Su ubicación es inmejorable: a pocos minutos de Plaza Artz Pedregal, Perisur y los principales centros comerciales de San Jerónimo, con rápida conexión a Periférico Sur. Una gran oportunidad de vivir en el Pedregal con todas las comodidades que buscas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-tipo-ph-en-renta-jardines-del-pedregal-147353491.html,"MN 18,000","Maremoto 21
Jardines del Pedregal, Alvaro Obregón","115 m² lote, 2 rec., 2 baños, 2 estac.",Jardines del Pedregal de San Ángel
Venta/renta. 3 recámaras. Recamara principal con vestidor y baño. 2 Recamaras cada una con clóset y baño. 2 estacionamientos. Áreas social: Sala. Comedor. Cocina integral. Cuarto de Servicio. Área de lavado. Family Room. Jardín. Requisitos renta: Aval con bien raíz. Un mes de renta. Un mes de deposito. Póliza jurídica. mm desarrolladora E inmobiliaria,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-renta-venta-be-grand-iglesia-147370562.html,"MN 45,000","Iglesia 270
Jardines del Pedregal, Alvaro Obregón","170 m² lote, 3 rec., 3 baños, 2 estac.",Jardines del Pedregal de San Ángel
Nuevo ingreso! Ganalo! Ver datos. 00ya incluye mtto! Alaia pedregal. 210 M2. 3 recs con baño Y vestidor! Baño de visitas. enorme sala comedor. preciosa cocina. pisos de madera tsalam. cuarto de servicio Y area de lavado. 3 autos. amenidades: alberca chapoteadero hermoso jardin con pista para correr salon de fiestas. Vive en pedregal. Super ubicado. Ver datos,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-a-lado-del-restaurante-alaia-64042215.html,"MN 49,000","San Jeronimo
Jardines del Pedregal, Alvaro Obregón","210 m² lote, 3 rec., 3 baños, 3 estac.",Jardines del Pedregal de San Ángel
"El departamento cuenta con 130 metros cuadrados, dos habitaciones, dos baños completos, cuarto de televisión, cocina integral, área de lavado, dos lugares de estacionamiento. Vigilancia las 24 horas con circuito cerrado.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-hermoso-departamento-sin-muebles-en-calle-cerrada-146490566.html,"MN 28,000","Cerrada de terremoto 4
Jardines del Pedregal, Alvaro Obregón","130 m² lote, 3 baños, 2 estac.",Jardines del Pedregal de San Ángel
