Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Venta / renta ph con terraza privada (30mts). Muy iluminado, muy buena ubicación, a 2 cuadras de plaza loreto, muy cerca del Periférico (5 minutos), 193m2 habitables, más 30m2 terraza privada, amplia sala comedor, cocina abierta de buen tamaño, con cubierta de granito con extensa barra para desayunar y una pequeña bodega, la recámara principal tiene baño y vestidor, la segunda recámara con closet y baño afuera ( que da servicio a las visitas) en planta alta está tercera recámara con baño completo, roof privado con asador, no tiene cuarto de servicio, vista panorámica, cuarto de lavado en nivel superior, no tiene baño de visitas no tiene cuarto de servicio, No tiene bodega, (una pequeña en cocina) tres estacionamientos en fila, en nivel pb, excelentes acabados, listo para entrar. Área de lavado, pisos de duela y porcelanato, edificio pequeño de pocos vecinos, (15), con vigilancia 24/7, tiene salón de fiestas para 100 personas, listo para entrar! Se requiere pago de póliza jurídica Y fiador con propiedad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-o-renta-con-terraza-av-rio-147450107.html,"MN 35,000","Av. Rio Magdalena
La Otra Banda, Alvaro Obregón","193 m² lote, 3 rec., 3 baños, 3 estac.",La Otra Banda
"Espectaculares Departamentos ubicadisimos, hay diferentes tamaños desde 107m2 hasta 700, algunos con terrazas, cuarto de servicio y el mas grande con hermoso jardin, vigilancia las 24 hrs. Y servicio de valet. Acabados de lujo y vistas principalmente a C. U. , Hermoso roof garden enjardinado, amenities, como carril de nado, Gym, restaurante, servicio de hotel, terrazas etc. ,",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamentos-en-renta-145407257.html,"MN 54,000","San Jerónimo
La Otra Banda, Alvaro Obregón","83 m² lote, 2 rec., 2 baños, 1 estac.",La Otra Banda
"Venta o Renta Departamento en Av. San Jeronimo, super ubicado. 2 recámaras. 2 baños completos. 1 medio baño. Sala. Comedor. Cocina Integral. Area de lavado. Cuarto de servicio. 2 balcones. 9 pisos. Bodega. Amenidades: Gimnasio. Jardín para niños y mascotas. Salón de eventos. Terraza. no mascotas",https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-o-renta-departamento-en-san-jeronimo-145198622.html,"MN 33,000","avenida san jeronimo 122
La Otra Banda, Alvaro Obregón","140 m² lote, 2 rec., 2 baños, 2 estac.",La Otra Banda
"Departamento amueblado en renta be grand san angel. Vive la experiencia que ofrece Be Grand San Ángel, a pocos minutos de San Jerónimo, como referencia en frente del Hospital Genera. Ubicación: Calle Iglesia esq con Rio Magdalena, Col. San Ángel. 130m2 de superficie + 8m de balcón. 3 recámaras. (Principal con baño y vestidor, todas las recámaras cuentan con cama Queen) 2 baños (Recámara principal con baño, hay un tercer baño en el cuarto de servicio. ) 2 estacionamiento. Estancia 5. 5m x 4. 15m. Área de Lavado. Salón de Fiestas. gym. Alberca. Vigilancia 24hrs. Renta $35, 000. 00. wig: pkty6Xm",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-be-grand-san-angel-146938998.html,"MN 35,000","Calle Iglesia 270
Loreto y Campamento, Alvaro Obregón","138 m² lote, 3 rec., 3 baños, 2 estac.",La Otra Banda
"Exclusivos desarrollo ubicado en el corazón de las principales colonias residenciales del Sur de la ciudad. (Pedregal y San Ángel). Pedre cuenta con 110 departamentos desde 1 hasta 3 recámaras, todos con terraza y vistas espectaculares. 1 Torre de 14 niveles con 6 elevadores, 4 sótanos de estacionamiento, Gimnasio, Carril de Nado, Restaurante, Área de asadores y terraza común con vista de 360 a la ciudad. Además contamos con servicio exclusivo de Concierge. Este departamento de 2 niveles cuenta con un jardin de 144. 72m2",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-a-estrenar-en-el-pedregal-1001-66501818.html,"MN 54,000","Avenida San Jerónimo, 111
Loreto y Campamento, Alvaro Obregón","148 m² lote, 2 rec., 2 baños, 2 estac.",La Otra Banda
"Mls #26-337. Departamento en renta en residencial con estilo y vanguardia que te ofrece la tranquilidad, comodidad, dinamismo y la elegancia que buscas. El departamento sin mobiliario cuenta con una superficie de 149 m2, distribuidos en 120 m2 habitables y 29 m2 de terraza, mas dos lugares de estacionamiento ubicados en E1. El departamento en su interior cuenta con tres recamaras, la principal con baño privado y walking closet, mas un segundo bano para la segunda recamara y medio adicional para visitas. Lujosa cocina abierta con barra desayunador, área de lavado y un interior bien iluminado. El residencial está ubicado a sólo 10 minutos en coche de la unam y de Artz Pedregal, 15 minutos del tecnológico de monterrey Santa Fe y de Mixcoac, y a 20 minutos del bosque de Chapultepec y Paseo la Reforma.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-alvaro-obregon-colonia-147229128.html,"MN 27,750","Boulevard Adolfo Lopez Mateos
Progreso Tizapán, Alvaro Obregón","150 m² lote, 3 rec., 2 baños, 2 estac.",La Otra Banda
"Exclusivos desarrollo ubicado en el corazón de las principales colonias residenciales del Sur de la ciudad. (Pedregal y San Ángel). Pedre cuenta con 110 departamentos desde 1 hasta 3 recámaras, todos con terraza y vistas espectaculares. 1 Torre de 14 niveles con 6 elevadores, 4 sótanos de estacionamiento, Gimnasio, Carril de Nado, Restaurante, Área de asadores y terraza común con vista de 360° a la ciudad. Además contamos con servicio exclusivo de Concierge.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-a-estrenar-av-san-jeronimo-142865022.html,"MN 115,500","SAN JERONIMO, 111
Loreto y Campamento, Alvaro Obregón","319 m² lote, 3 rec., 3 baños",La Otra Banda
"Cercano al itam Y A televisa san ángel. En edificio de 4 niveles Y con roof garden común. Vigilancia las 24 horas. Construido hace 9 años. Elevador. A 4 minutos de periférico. Acceso al depa en el nivel 3. Muy iluminado y con bonita vista. Consta de estancia. 2 recámara. Persianas enrollables. 1 baño con luz y ventilación natural. Cocina equipada, semi abierta. Mueble auxiliar cocina. Amplia lavandería. Bodega (41). 1 lugar de estacionamiento fijo, a nivel piso (no camioneta, pues arriba tiene un eleva auto. Altura máxima 1. 58 m). Renta más cuota de mantenimiento de 1, 500 pesos. **Requiere póliza de servicios jurídicos con fiador** - no mascotas -",https://www.inmuebles24.com/propiedades/clasificado/alclapin-col.-progreso-tizapan.-renta-departamento-ideal-para-147363189.html,"MN 13,200","Lic. Francisco Benítez
Progreso Tizapán, Alvaro Obregón","60 m² lote, 2 rec., 1 baño, 1 estac.",La Otra Banda
"Hermoso departamento en renta en residencial con estilo y vanguardia que te ofrece la tranquilidad, comodidad, dinamismo y la elegancia que buscas. El departamento sin mobiliario cuenta con una superficie de 149 m2, distribuidos en 120 m2 habitables y 29 m2 de terraza, mas dos lugares de estacionamiento ubicados en E1. El departamento en su interior cuenta con tres recamaras, la principal con bano privado y walking closet, mas un segundo bano para la segunda recamara y medio adicional para visitas. Lujosa cocina abierta con barra desayunadora, área de lavado y un interior bien iluminado. El residencial está ubicado a sólo 10 minutos en coche de la unam y de Artz Pedregal, 15 minutos del tecnologico de monterrey Santa Fe y de Mixcoac, y a 20 minutos del bosque de Chapultepec y Paseo la Reforma.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-progreso-tizapan-147223025.html,"MN 27,750","Adolfo Lopez Mateos
Progreso Tizapán, Alvaro Obregón","149 m² lote, 3 rec., 2 baños, 2 estac.",La Otra Banda
"Mls #26-337. Residencial con estilo y vanguardia que te ofrece la tranquilidad, comodidad, dinamismo y la elegancia que buscas. El departamento sin mobiliario cuenta con una superficie de 149 m2, distribuidos en 120 m2 habitables y 29 m2 de terraza, mas dos lugares de estacionamiento ubicados en E1. El departamento en su interior cuenta con tres recamaras, la principal con bano privado y walking closet, mas un segundo bano para la segunda recamara y medio adicional para visitas. Lujosa cocina abierta con barra desayunadora, área de lavado y un interior bien iluminado. El residencial está ubicado a sólo 10 minutos en coche de la unam y de Artz Pedregal, 15 minutos del tecnologico de monterrey Santa Fe y de Mixcoac, y a 20 minutos del bosque de Chapultepec y Paseo la Reforma.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-progreso-tizapan-alvaro-147233674.html,"MN 27,750","Alvaro Obregón
Progreso Tizapán, Alvaro Obregón","148 m² lote, 3 rec., 2 baños, 2 estac.",La Otra Banda
