Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"En renta Penthouse al norte de Cuernavaca en La Pradera. En tercer nivel (sin elevador) Con vista panorámica. Dos recamaras Dos baños Cocina equipada con parrilla eléctrica y barra desayunadora con 2 bancos. Refrigerador y aparatos eléctricos. Estancia con pantalla y sillones. Recamara principal con closet, camas matrimonial y baño integrado. Segunda recamara con closet y cama matrimonial. Cuarto de lavado con lavadora. Penthouse con baño. Garaje dos autos (en batería), se acceda con portón eléctrico. Paneles solares que suministran luz y parrilla eléctrica, el agua está incluida en la renta. Renta mensual: $13, 500 Requisitos: Póliza jurídica Renta Depósito",https://www.inmuebles24.com/propiedades/clasificado/alclapin-la-pradera-penthouse-amueblado-cuernavaca-146936824.html,"MN 13,500","La Pradera
La Pradera, Cuernavaca","100 m² lote, 2 rec., 2 baños, 2 estac.",La Pradera
"Departamento en renta dentro de La Pradera, ubicado en la zona norte de Cuernavaca. Cuenta con amplios espacios interiores, áreas comunes con jardines y alberca, además de vigilancia 24 horas. Características: - Construcción: 103 m² - Total recámaras: 3. - Total baños: 2. - Sala y comedor. - Cocina. - Patio de servicio. - Estacionamiento para 2 autos. - Alberca. - Jardines amplios. - Estacionamiento para visitas. - Vigilancia 24 hrs",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-pradera-zona-norte-de-147344507.html,"MN 14,500","LA pradera, Cuernavaca, Morelos
La Pradera, Cuernavaca","103 m² lote, 3 rec., 2 baños, 2 estac.",La Pradera
"Impecable Departamento con Seguridad. Zona Norte. Colonia la Pradera. Consta de 3 recamaras con closet cada una, la principal con su baño completo, las otras dos comparten baño completo. Cocina, Sala / Comedor, área de lavado. Roof Garden del mismo departamento. Pet Friendly. Estacionamiento para dos autos. Ventanas con doble cristal para aislar el ruido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-impecable-con-roof-garden-146680587.html,"MN 13,500","Colonia La Pradera
La Pradera, Cuernavaca","100 m² lote, 3 rec., 2 baños, 2 estac.",La Pradera
"Departamento exclusivo Y seguro fracc quintas del bosque. Hermoso departamento en uno de los más exclusivos fraccionamientos al norte de la ciudad, cuenta con estricta seguridad, ademas de un equipo de guardias de seguridad al rededor de todo el fraccionamiento. Además cuenta con albercas con carril de nado, chapoteadero, jacuzzi, baños, casa club, cancha de tenis, paddle, gym, cafetería, área de juegos, elevador, todo esto en un entorno lleno de vegetación e imponentes árboles que crean una hermosa armonía visual para todos y cada unos de los inquilinos. C: 125 m2 T: 135 m2 + indivisos. 3 habitaciones (principal con balcón y baño) 2 baños completos. Sala comedor con terraza balcón muy amplio. Cocina equipada. Área de lavado. Elevador. 2 lugares de estacionamiento. Disponibilidad y precios sujetos a cambio sin previo aviso, las fotografías pueden llegan a variar, es por eso que consideramos imprescindible visitar el inmueble para garantizar la satisfacción con espacios y estado actual del mismo. En el caso de de operaciones de compraventa, la propiedad se venderá ad-corpus, con sus usos y servidumbres en el estado que actualmente se encuentran.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-quintas-del-bosque-64824984.html,"MN 21,000","QUINTAS DEL BOSQUE
La Pradera, Cuernavaca","135 m² lote, 3 rec., 2 baños, 2 estac.",La Pradera
"Departamento. 3 Recámaras, 3 clósets, sala-comedor, cocina integral, 2 baños. Gas estacionario, patio de servicio, estacionamiento 2 autos. Jardín y Alberca compartido. Sin mascotas. * precios Y disponibilidad sujetos A cambios sin previo aviso *",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-la-pradera-cuernavaca-crb-852-de-57914440.html,"MN 12,000","Dirección no informada
La Pradera, Cuernavaca","140 m² lote, 3 rec., 2 baños, 2 estac.",La Pradera
Casa con Alberca y Jardin. Estacionamiento para dos autos. Gas estacionario. El mantenimiento incluye jardín y alberca. Patio de servicio/lavado. Cocina s. Equipar. Closets,https://www.inmuebles24.com/propiedades/clasificado/alclappa-casa-en-la-pradera-147361833.html,"MN 7,000","Bajada de la Pradera
La Pradera, Cuernavaca","160 m² lote, 2 rec., 2 baños, 2 estac.",La Pradera
"Departamento amueblado en renta – Quintas del Bosque, Cuernavaca. $24, 500 mensuales (Póliza jurídica pagada por el inquilino) Departamento ubicado en el décimo piso, con una vista panorámica espectacular, dentro de un entorno natural y arbolado. Ideal para quienes buscan comodidad, seguridad y calidad de vida, en una de las zonas más tranquilas y exclusivas de Cuernavaca. Características del departamento: 3 recámaras. 2 baños completos. Estancia y comedor amplios. Cocina equipada. Totalmente amueblado. Elevador. Vista panorámica. Amenidades del condominio: Alberca climatizada. Jacuzzi. Gimnasio. Cancha de tenis. Salón de eventos. Vigilancia 24/7. Ubicación privilegiada: A solo 10 minutos del centro de Cuernavaca. A 5 minutos de la salida a cdmx. Para más información o agendar una visita, contáctanos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-quintas-del-bosque-147342730.html,"MN 24,500","av compositores cuernavaca
Tlaltenango, Cuernavaca","124 m² lote, 2 baños, 2 estac.",La Pradera
"Excelente departamento en Planta baja en Tlaltenango la mejor ubicación en zona norte cerca de la glorieta de Tlaltenango, en la perieria encuentras supermercados, escuelas plazas comerciales. Características generales: 2 habitaciones. 2 baños. Cocina equipada con barra desayunadora. Terraza. 2 cajones estacionamiento. Amenidades: Salón de usos múltiples. Vestidores. Alberca climatizada. Juegos infantiles. Gimnasio. Estacionamiento para visitas. Vigilancia 24 hrs. Elevador. Se solicita un mes de renta y un mes de depsosito aval con bien raiz. En la renta incluye el manteniemiento. No se aceptan mascotas! Se muestra bajo previa Cita!! Informes: Victoria Hernandez A. Celular 7Ver datos. Oficina 7Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-planta-baja-141549933.html,"MN 18,000","Zapata 117
Tlaltenango, Cuernavaca","90 m² lote, 2 rec., 2 baños, 2 estac.",La Pradera
"Cómodo y agradable departamento en renta en la zona norte de Cuernavaca. Estancia amplia, cocina equipada, 3 recámaras con clóset y persianas. 2 baños completos Area de lavado. 2 lugares de estacionamiento, vigilancia 24 horas. Alberca común. Ubicación: zona norte, cerca de la autopista, Avenida Emiliano Zapata, uaem, centro de Cuernavaca. Se requiere póliza jurídica de Garantirent. No se aceptan mascotas, contrato por un año.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-renta-en-cuernavaca-146819411.html,"MN 11,000","Tabachin 130
Tlaltenango, Cuernavaca","88 m² lote, 3 rec., 2 baños, 2 estac.",La Pradera
"Se renta departamento De Lujo, residencial san jerónimo. Se renta semi amueblado 24, 000 con mantenimiento incluido. mantenimiento ($3, 105) 125M2. 2 recamaras. área sala tv. 2 baños completos. 2 lugares estacionamiento. área de lavado. cocina equipada. hermosa vista. Lavavajillas. amenidades. salón de eventos. sala de chimenea al aire libre. alberca climatizada (paneles solares) jacuzzi. regadera área de alberca. baños en áreas comunes. vapor. salón de pilates/yoga. gimnasio. ludoteca. sala de tv/juegos. asador. vigilancia 24/7. ambiente familiar. No acepta mascota. Renta 24, 000 pesos semi amueblado. Se requiere póliza jurídica. No se aceptan mascotas. Venta 4, 300, 000",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-o-se-vende-departamento-de-lujo-en-residencial-143357901.html,"MN 24,000","Salto chico 200 col tlaltenango
Tlaltenango, Cuernavaca","125 m² lote, 2 rec., 2 baños, 2 estac.",La Pradera
