Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Amplio Departamento ubicado en planta baja, nuevo a estrenar, ubicado en una de las mejores calles de la zona, cuenta con magníficos espacios, buena iluminación, acabados de lujo, cocina abierta de diseño, jardín y patio, dos recamaras la principal con vestidor y baño, ubicado en planta baja, el edificio cuenta con elevador, vigilancia las 24 horas, Roofgarden común y dos lugares de estacionamiento con eleva auto",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-las-aguilas-144622844.html,"MN 35,000","las aguilas
Las Águilas, Alvaro Obregón","110 m² lote, 2 rec., 2 estac.",Las Águilas
"Departamento en renta en Calzada de Las Aguilas Álvaro Obregón, cdmx. Excelente departamento en condominio privado con vigilancia 24 horas en Calzada de Las Aguilas, con maravillosas vías de comunicación; a sólo 5 minutos de periférico y con todos los servicios que te interesan: escuelas, supermercados, bancos, plazas comerciales, etc. Consta de sala, comedor con ventanales, amplísima cocina integral con cubierta de granito, tres recámaras la principal con vestidor y baño privado. Pisos y closets de madera. Cuenta con un amplio cuarto de lavado y cuarto de servicio con baño. Gozarás de la tranquilidad y de increíbles áreas verdes en dónde podrás disfrutar en familia de los juegos infantiles, alberca con chapoteadero, cancha de squash, cancha de basket. Los estacionamientos son muy cómodos y de fácil acceso, son en línea y nadie te estorbara al aire libre. El precio incluye mantenimiento. Se entrega vacío. ¡Llama hoy y no dejes pasar esta oportunidad! “el precio publicado no incluyen los gastos notariales, comisiones Y contribuciones que se causen con motivo de la transmisión de la propiedad de que se trata”. •Los muebles que aparecen en la publicación son con fines ilustrativos y no están incluidos en el precio final de venta. •En venta los precios son de contado, en caso de utilizar algún crédito, el precio total se determinará en función de los montos variables de conceptos de crédito y gastos notariales que deben ser consultados con el especialista de cada institución financiera y notaría pública respectivamente. Aviso de privacidad. •Al recibir información de carácter personal por medio de este correo, se entiende que el titular de los datos personales ha otorgado su consentimiento expreso para utilizarlos en casos de identificación, contacto, atención, publicidad, facturación, cobranza, cotizaciones, intermediación inmobiliaria y contrataciones. Para mayor información sobre los términos y condiciones en que serán tratados sus datos personales, así como, los terceros con quienes compartimos su información personal y la forma en que podrá ejercer sus derechos arco y Revocación. Consulta nuestro aviso de privacidad en nuestra página web Luxury Habitat Real Estate México.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-calzada-de-las-aguilas-alvaro-147186558.html,"MN 32,000","Calzada de las Aguilas 493
Las Águilas, Alvaro Obregón","150 m² lote, 3 rec., 2 baños, 2 estac.",Las Águilas
"Excelente departamento tipo town house iluminado, ubicado en 2do. Nivel, sala-comedor, cocina integral abierta con plancha de granito, un lindo patio, medio baño, en 3er. Nivel 2 recámaras, 2 baños completos, roof garden privado con medio baño, bodega, 2 estacionamientos, roof garden común con asador, vigilancia las 24 hrs. Se permiten mascotas. En la renta se incluye el mantenimiento (5;500). Citas con Rebeca Bárcena 55Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-lindo-departamento-tipo-town-house-en-renta-en-las-147415373.html,"MN 33,500","Quetzal 30
Las Águilas, Alvaro Obregón","148 m² lote, 2 rec., 2 baños, 2 estac.",Las Águilas
"Ubicado sobre Calzada de las Águilas casi esquina con Calle Alfonso Caso Andrade. Ph distribuido en 3 niveles. En planta baja: estancia, comedor, cocina integral abierta, área de lavado, baño completo. Primer nivel: 2 recámaras con clóset cada una, estudio, baño completo. Segundo nivel: Rooftop privado de 120m2 con jacuzzi y medio baño. Cuenta con elevador y dos estacionamientos techados que solo se estorban entre si. Seguridad las 24 Hrs, mantenimiento incluido. Para aviso de privacidad, quejas, sugerencias o aclaraciones visita, o escríbenos a Ver datos. Oficina Sur Ver datos y 6292. Los gastos de investigación y póliza jurídica no están incluidos en el costo de renta, así como el mobiliario, electrodomésticos y arte que se muestran en las fotografías.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-ph-en-calzada-de-las-aguilas-147413389.html,"MN 26,500","Calzada de las Águilas
Las Águilas, Alvaro Obregón","240 m² lote, 2 rec., 2 baños, 2 estac.",Las Águilas
"S. 107m2, Las Águilas, Estrena Departamento con Terraza amueblado, date la oportunidad de conocer este divino departamento con increíble ubicación y excelentes espacios. Cuenta con una habitación amplia, cocina integral, un baño completo y un medio baño de visitas, cocina abierta y amplio espacio de estar con acceso a la terraza. Este departamento está totalmente redistribuido para ampliar los espacios y darle una mejor funcionalidad, es el único así en el edificio. Mantenimiento $3, 000. 00 incluido. ¡Ven a conocerlo!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-las-aguilas-departamento-con-terraza-en-renta-146733008.html,"MN 36,000","Blvr Adolfo Lopez Mateos
Las Águilas, Alvaro Obregón","107 m² lote, 1 rec., 1 baño, 2 estac.",Las Águilas
"Departamento con roof garden en Gutiérrez Zamora. Cuenta con sala comedor muy amplia, 2 recámaras con baño, cocina abierta y 2 lugares de estacionamiento. Tiene un Roof Garden de 96 m2 y 96 m2 habitables. Bodega y seguridad 24 hrs.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-con-roof-garden-en-gutierrez-zamora-145927968.html,"MN 34,000","Gutiérrez Zamora
Las Águilas, Alvaro Obregón","96 m² lote, 2 rec., 2 baños, 2 estac.",Las Águilas
"Departamento ph en perfecto estado, con roof garden muy agradable y también con opción a una tercera recámara. Cuenta con 2 recámaras, 2 baños, sala comedor, cuarto de T. V. 2 lugares de estacionamiento. (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-las-aguilas-4-147428226.html,"MN 26,000","Calzada de las Aguilas, Las Aguilas
Las Águilas, Alvaro Obregón","120 m² lote, 2 rec., 2 baños, 2 estac.",Las Águilas
"Es momento de que puedas adquirir este magnífico departamento remodelado, con una muy linda vista abierta, en un desarrollo super bien construido, es una torre de once niveles en un terreno de 7, 000m2 rodeado de jardín, una gran terraza para eventos y en la parte de atrás, bajando por los jardines, hay un área con alberca al aire libre climatizada, terraza, jardín, cancha de basketball, squash, baños y vestidores. Es un lugar magnífico para vivir, silencioso, seguro y la ubicación es la mejor, a un paso de av. De las torres, muy cerca del Periférico y Barranca del Muerto y fácil acceso a los puentes de Santa Fe, encuentras de todo: a una cuadra está la Iglesia, pequeñas tiendas y restaurantes, placitas comerciales, tiendas de autoservicio, centros comerciales, excelentes escuelas y un gran parque para poder caminar con tus mascotas o hacer ejercicio. El departamento está en piso 9, tiene una amplia estancia, muy bonita cocina integral casi nueva, lavandería y cuarto de servicio con baño integrados, tres recámaras, dos baños completos, pisos de madera natural y tiene dos lugares de estacionamiento fijos que no se estorban con vecinos. Incluso en la cuota de mantenimiento, está incluido el que te laven tus coches! Es un condominio que se conserva impecable y que se le han hecho actualizaciones, los elevadores son nuevos y la ubicación es inmejorable! Conócelo, seguro te va a encantar! Agenda tu cita, que con mucho gusto te atenderemos. Los gastos, impuestos y honorarios derivados de la escrituración del inmueble “no” están incluidos en el precio de venta, así como cargos que se pudieran generar relacionados con créditos hipotecarios. El mobiliario, equipo, electrodomésticos, cuadros, obra de arte o automóviles que pudieran aparecer en las fotografías de nuestra publicidad, “no” se incluyen en el precio del inmueble. Para aviso de privacidad, quejas, aclaraciones o sugerencias, visita nuestra página",https://www.inmuebles24.com/propiedades/clasificado/veclapin-excelente-departamento-impecable-en-venta-en-las-145887302.html,"MN 32,000","Calz de las Águilas
Las Águilas, Alvaro Obregón","143 m² lote, 3 rec., 2 baños, 2 estac.",Las Águilas
"Buen departamento, bien iluminado. 90 m2 habitables más 60 m2 de roof garden. Consta de sala, comedor, cocina integral abierta, área de lavado. Tres recamaras la principal con baño y closet. Las otras dos recamaras con closet y comparten baño entre ellas y con el área social. El roof garden cuenta con medio baño y una bodega. Dos lugares de estacionamientos techados, bodega. Vigilancia 24/7. La renta es más mantenimiento de $ 3, 500. 00 la dueña solicita póliza jurídica con Renta Segura, el monto es de $6, 160. 00, se necesita aval con bienes inmuebles en la cdmx y pagarés.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-las-aguilas-147281915.html,"MN 22,000","Aguilas
Las Águilas, Alvaro Obregón","150 m² lote, 3 rec., 2 baños, 2 estac.",Las Águilas
"Opción con o sin muebles. Departamento muy iluminado, muy bien decorado, amueblado y equipado. El departamento cuenta con dos recámaras, la principal con baño y clóset, la secundaria con clóset y comparte baño completo con visitas, cocina abierta con refrigerador y microondas y lavadora de vajilla. También cuenta con un mini Split y lavadora y secadora. Área de lavado y 2 estacionamientos. Piso 3. Deptos por piso 5 total 18",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-depto-calle-gutierrez-zamora-las-aguilas-145350879.html,"MN 23,000","Gutiérrez Zamora
Las Águilas, Alvaro Obregón","68 m² lote, 2 rec., 2 baños, 2 estac.",Las Águilas
