Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Un espacio excepcional y exclusivo en un condominio privado en Lomas Altas sumergido en el bosque con espacios, alturas, vistas y privacidad absoluta. Casi 800m2 de un espacio icónico hecho por el arquitecto Gustavo Valdez quien se destaca por su estilo industrial y único. Su concepto es recuperar objetos viejos y reutilizarlos, reciclando las antigüedades en objetos funcionales como mesas, lámparas, sillas y puertas. Es un artista que transforma desechos industriales en obras de arte. Tenemos 4 recamaras con personalidad y baño que se vuelven una escultura. Un familly que se convierte en cine, una sala, comedor y bar que se integra a la increíble cocina en el momento que quieras. Es un loft gigante con áreas definidas y llenas de piezas, artículos y obras de arte para ver, disfrutar y utilizar logrando un estilo de vida de onda, industrial, newyorkino cool y elegante. Un deck espectacular rodeado de diferentes texturas y colores de naturaleza que llenan de energía y armonía el ambiente y los momentos. Es una terraza que recorre desde la sala hasta la recamara principal teniendo acceso directo de todos los diferentes espacios de la casa a ella, inmersa en el bosque y metida entre platas salvajes y arboles frondosos. Este departamento es un espectáculo visual. EasyBroker id: eb-kx9342",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-lomas-altas-141-64535353.html,"USD 14,000","Paseo de Lomas Altas
Lomas Altas, Miguel Hidalgo","697 m² lote, 4 rec., 4 baños, 6 estac.",Lomas Altas
"Hermoso departamento tipo Loft, un espacio que tiene todo lo que necesitas para un descanso agradable, incluso para quienes trabajan Home Office contamos con áreas verdes que bien pueden disfrtuarse para trabajar, leer, o simplemente relajarse. El departamento esta listo para habitarse, cuenta con un área de habitación con vestidor, baño, sala y área de cocina. El departamento es interior no se percibe el ruido alguno, es ideal para una persona o pareja. El precio de renta incluye pago de agua y mantenimiento",https://www.inmuebles24.com/propiedades/clasificado/alclapin-loft-en-renta-147287138.html,"MN 28,500","Av. Paseo de la Reforma. Lomas Altas
Lomas Altas, Miguel Hidalgo","80 m² lote, 1 rec., 1 baño, 1 estac.",Lomas Altas
"Amueblado Y equipado, calle tranquila con vista al bosque de chapultepec, ideal para tener cerca el trabajo en: santa fe, bosques, lomas, polanco, condesa. En privada con vigilancia, costo de caseta incluido. No se aceptan mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-lomas-altas-con-81428006.html,"MN 20,000","PRIVADA DE ROSALEDA 80b
Lomas Altas, Miguel Hidalgo","80 m² lote, 2 rec., 1 baño, 1 estac.",Lomas Altas
"Elevador al piso, super seguridad, 500M, 2 pisos, 4 recamaras con baño Y vestidor, despcho, desayunador, family, closet de blancos, sala, comedor, , 2 cuartos de servicio, lavandería, 3 estacionamientos techados Y 1 al aire libre. 9 deptos en total. En area comun: alberca, gym Y jardín enorme. mantenimiento incluido de 21, 000.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-de-4-recamaras-en-lomas-altas-64656020.html,"USD 6,500","REFORMA
Lomas Altas, Miguel Hidalgo","500 m² lote, 4 rec., 4 baños, 4 estac.",Lomas Altas
"Este departamento en renta se ubica en la colonia Lomas Altas, dentro de la alcaldía Miguel Hidalgo. El departamento cuenta con 1 recamara, 1 baño, y una superficie total de 70 m2. Construido en el año 2000. Incluye cuarto de lavado y cabe mencionar que el departamento no dispone de estacionamiento. La ubicación es ideal para aquellos que buscan comodidad y accesibilidad en una de las zonas más exclusivas de la Ciudad de México. ¡No dejes pasar esta oportunidad de vivir en un lugar con excelente ubicación y todas las comodidades necesarias para tu día a día!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-lomas-altas-147355200.html,"MN 16,000","Avenida Constituyentes 800
Lomas Altas, Miguel Hidalgo","70 m² lote, 1 rec., 1 baño",Lomas Altas
Renta departamento de 74M2 totales. 65M2 habitables. 9 M2 balcon. completamente equipado Y amueblado. 2 recamaras. 2 baños completos. cocina abierta. 1 estacionamiento. roof garden comun. gran vista. piso 8. balcon. guardia. roof garden comun. la renta incluye: mantenimiento,https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-lomas-altas-141990332.html,"MN 35,000","PALACIO DE ESCORIAL 20, LOMAS ALTAS
Lomas Altas, Miguel Hidalgo","74 m² lote, 2 rec., 2 baños, 1 estac.",Lomas Altas
"Esta propiedad cuenta con una superficie total de 150 metros cuadrados y distribuida en una sola planta, cuenta con 2 recamaras, 3 baños completos, cocina integral, cuarto de lavado, cuarto de Tv, y terraza. Entre sus servicios amenidades destacan, gimnasio, jardin y ludoteca, Cuenta con seguridad 24 horas, estacionamiento techado, circuito cerrado y cisterna. Además, su excelente orientación al noroeste permite disfrutar de luz natural durante todo el día. La propiedad se encuentra en excelentes condiciones y cuenta con todos los servicios necesarios para una vida cómoda y segura. Los precios pueden variar sin previo aviso, no incluye gastos notariales ni avaluos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-paseo-de-la-reforma-2742:-departamento-en-renta-en-146408539.html,"MN 50,000","Avenida Paseo de la Reforma 2700
Lomas Altas, Miguel Hidalgo","150 m² lote, 2 rec., 3 baños, 2 estac.",Lomas Altas
"Lujoso departamento ubicado en paseo de la reforma, frente A la entrada de bosques de las lomas, con una espectacular vista. amplios espacios como en la cocina, comedor, sala, family Y recamaras. - 3 recamaras. - 4 baños (el pricipal con jacuzzi) - 6 lugares de estacionamiento. (2 en pb Y 4 en sotano) - medio baño visitas. - vestidores. - vestibulo. - family. - salon de fiestas. - business center. - cancha de tenis. - alberca. - gym. - jardin. ** el pago podrá realizarse con recursos propios O con crédito hipotecario de cualquier institución, pública O privada, sujeto A la negociación que lleguen las partes de la compraventa Y A las políticas de la institución correspondiente. ** en las operaciones de crédito el costo total se determinará en función de los montos variables de conceptos de crédito Y gastos notariales.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-venta-y-renta-col.-lomas-altas-143923708.html,"MN 140,000","Av. Paseo de la Reforma
Lomas Altas, Miguel Hidalgo","440 m² lote, 3 rec., 4 baños, 6 estac.",Lomas Altas
"Pentgarden en renta $15, 500 us. En paseo de la reforma, lomas altas. Miguel hidalgo. Us$ 3, 300, 000 En venta. Us$ 15, 500 En renta. 4 recámaras. 4 baños. 670 m² de construcción. 6 estacionamientos. Mantenimiento: $21, 500 mxn. 130 m2 jardín. 1 Family. Oficina. Cocina grande. 2 cuartos de servicio. Amenidades: Cancha de paddel. Cancha de Tennis. Gimnasio. Salon de usos múltiples. **En una doble privada. **paneles solares. En caso de renta el contrato mínimo es de 2 años. Jardín. Cocina. Cuarto de servicio. Fraccionamiento privado. Área de juegos infantiles. Gimnasio. Salón de usos múltiples. (amtnz) mande datos correo número telefónico le contactamos Y enviamos informacion Y fotos O presentación A su correo….. Ver datos cel Y wathsapp",https://www.inmuebles24.com/propiedades/clasificado/alclapin-pentgarden-en-renta-$15-500-us.-en-paseo-de-la-146526537.html,"USD 15,500","Lomas Altas Miguel Hidalgo
Lomas Altas, Miguel Hidalgo","670 m² lote, 4 rec., 4 baños, 6 estac.",Lomas Altas
"Con amplios espacios excelente estado de conservacion, iluminacion natural 240M2 de construccion Y con hermoso jardin de 250M2 con vista A la cañada. Amplia sala Y comedor, 2 recamaras amplias con closets Y la recamara principal con vestidor Y baño completo. Un family room, patio interno, cava, cocina con cuarto de alacena Y cuarto de lavado, con patio interno, 2 lugares de estacionamiento. Amplio jardin plano con entrada independiente Y con vista espectacular al bosque, adicionalmente amplia area verde con acceso, con hermosa vista A la cañada se admiten mascotas incluye vigilancia Y jardineria",https://www.inmuebles24.com/propiedades/clasificado/alclappa-se-renta-hermoso-dpto-duplex-planta-baja-en-privada-146084394.html,"MN 40,000","Cda. Rosaleda
Lomas Altas, Miguel Hidalgo","480 m² lote, 2 rec., 2 baños, 2 estac.",Lomas Altas
