Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento dentro de una casa, con entrada completamente independiente. Está amueblado y equipado y cuenta con las siguientes características: - Cocineta. - Estancia. - Baño completo. - Amplia y luminosa recámara. - Un lugar de estacionamiento. El departamento es ideal para una persona sola o una pareja. Vigilancia las 24 horas y los servicios de agua, luz, gas e internet están incluidos en la renta. ¡Listo para habitar! *No se aceptan mascotas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-las-aguilas-lomas-de-axiomiatla-145325477.html,"MN 16,000","Aquiles 129
Lomas Axomiatla, Alvaro Obregón","75 m² lote, 1 rec., 1 baño, 1 estac.",Lomas Axomiatla
"Lindo departamento, con hermosa vista al parque Axomiatla, muy ubicado todo cerca, frente a plaza comercial Axomiatla, ( Oxxo, Starbucks, bbva, Restaurantes, y otros pequeños negocios, a una cuadra de la escuela Ameyalli, Harlequin, Club Axomiatla, Walmart, a 5 minutos de la supervía, a 10 minutos del centro comercial Santa Fe, y corporativos, y Universidades como la Ibero, Tec de Monterrey, el departamento cuenta con 1 recámara, 1 baño completo, sala/estancia, cocina integral, ideal para una persona o una pareja, cuenta con un lugar de estacionamiento mediano, con posibilidad de estacionamiento adicional, sobre la banqueta para un automóvil pequeño o mediano, la renta mensual incluye agua, gas y electricidad y cuota de mantenimiento del condominio, no incluye servicio de internet ni servicio de limpieza. Requisitos: llenar solicitud, cump0lir con requisitos y tener referencias, trámite de arrendamiento seguro a través de póliza Jurídica, y hacer el pago de la póliza, pago de un mes de depósito y el primer mes de renta, firma de contrato y firma del reglamento del condominio. Mayores informes Liliana Ver datos y Andrés Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-pequeno-cerca-santa-fe-1-recamara-146858971.html,"MN 15,000","Agamenón
Lomas Axomiatla, Alvaro Obregón","50 m² lote, 1 rec., 1 baño, 1 estac.",Lomas Axomiatla
"Condominio Agatha Monolith, es uno de los Desarrollos en Desierto de los Leones, con acceso fácil y rápido hacia Santa Fe y periférico. Muy cercano a centros comerciales, parques, escuelas y plaza comercial. Está, muy cerca de la universidad anahuac del Sur. Super vía. Sus amenidades son: Gimnasio, ludoteca, jardines, área de asadores, salón de eventos, un agradable lobby, para recibir a tus visitas. Zona pet. Vigilancia 24/7. El departamento es amplio con un metraje de, son 118. 85 m2. Se encuentra en primer nivel, se distribuyen en área social con balcón, una moderna y equipada cocina abierta. Son tres Habitaciones, vestidor. 3 baños. Luz y ventilación natural en todo el departamento. 3 lugares de estacionamiento se encuentras a un costado del otro, son espacios únicos, no se estorban con nadie. en la renta. No incluye mantenimiento",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-monolith-147395352.html,"MN 30,000","Calzada Desierto de los Leones 5547
Alcantarilla, Alvaro Obregón","118 m² lote, 3 rec., 3 baños, 3 estac.",Lomas Axomiatla
"Departamento amueblado en renta en alvaro obregon. Villa Verdún, Álvaro Obregón. $11, 000 incluido Agua, Luz y Gas. Tipo loft. 50m2. 1 Baño completo. 1 Lugar de estacionamiento. El internet se contrata a tu preferencia. No se aceptan mascotas. Agenda tu cita! .",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-alvaro-obregon-146680172.html,"MN 11,000","Lafayette 43, Villa Verdún, Álvaro Obregón, 01810 Ciudad de México, CDMX
Villa Verdún, Alvaro Obregón","50 m² lote, 1 rec., 1 baño, 1 estac.",Lomas Axomiatla
"Amplio y moderno departamento de 82. 93 m², con balcón privado, dos recamaras, la principal con waking closet, amplia área de lavandería, 2 estacionamientos grandes y bodega. El edificio cuenta con dos elevadores y escaleras de emergencia. Renta mensual: $25, 000. Distribución interior: Dos recámaras. Dos baños completos. Sala comedor con doble altura. Cocina abierta. Cuarto de lavado. Persianas automáticas. Sistema de audio integrado. Amenidades del condominio: Vigilancia 24/7. Salón de eventos. Gimnasio. Ludoteca y juegos infantiles. Área de mascotas. Zona de lectura al aire libre. Área de asadores. Ubicación privilegiada al sur-poniente de la cdmx, a solo 15 minutos de Santa Fe y del Periférico (altura Televisa). Cerca de colegios, bancos, restaurantes, panaderías, La Comer y Walmart Express. Llamanos en exclusiva en agt",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-con-amenidades-en-alvaro-obregon-147215434.html,"MN 24,500","Desierto de los Leones
Alcantarilla, Alvaro Obregón","84 m² lote, 2 rec., 2 baños, 2 estac.",Lomas Axomiatla
"Ubicado en Villa Verdun, fraccionamiento cerrado con caseta de vigilancia. Se encuentra a 5 minutos de Santa Fe y a 1 minuto de los puentes de los Poetas en la calle de Reims No. 112, primer piso, exterior. Amplio departamento. Muy iluminado. 100 m2 habitables más estacionamientos y cuenta con: Sala, comedor, Cocina social abierta con mesadas de granito, isla con cuatro bancos. Área de lavado, dos recamaras, la principal con baño integrado. Segundo baño completo. Pisos de porcelanato en estancia y loseta imitación madera en recamaras. Encortinado. Dos lugares de estacionamientos techados e independientes. Vigilancia 24 horas. La renta incluye cuota de mantenimiento, así como el consumo que se tenga de agua, luz y gas. Le podemos dar factura fiscal por el arrendamiento. Requisitos: -Mes de depósito-Mes de renta adelantada-Aval con propiedad libre de gravámenes en cdmx-Pagar la mitad de una póliza de arrendamiento, la otra mitad la pagará el propietario. -Llenar una solicitud de arrendamiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-reims-mant.-incl.-factura-fiscal.-147375725.html,"MN 19,500","Reims 112
Villa Verdún, Alvaro Obregón","100 m² lote, 2 rec., 2 baños, 2 estac.",Lomas Axomiatla
"Ref: 2 4 8 9 8 4. Excelente Departamento en renta, es tipo duplex y cuenta con amenidades en el fraccionamiento esta exclusiva propiedad en Villa Verdún, Álvaro Obregón, Ciudad de México! Este impresionante lugar que se renta son 4 las recámaras amplias que cuenta baño cada recamara, cada una con su propio baño completo, lo que garantiza privacidad y comodidad para toda la familia. Con una construcción de 210 m2 y acabados de lujo, esta propiedad ofrece un ambiente de elegancia y confort que sin duda te hará sentir en casa desde el primer momento. , esta dirigido a familias, estudiantes o ejecutivos que estudien o trabajen en la zona. Cuenta con estacionamento enfrente del inmueble o sobre la calle la cual es muy tranquila y vigilada. Además de sus impresionantes características interiores, este departamento en renta en Villa Verdún también cuenta con areas comunes de juegos infantiles, salón de fiestas, jardín, área de eventos y seguridad privada, para que puedas disfrutar al máximo de tus momentos de recreación y tranquilidad. Con una vista privilegiada al parque, esta propiedad es perfecta para aquellos que buscan vivir en un entorno natural y seguro en medio de la ciudad. Villa Verdún, en Álvaro Obregón, ofrece una ubicación privilegiada con acceso a zonas de interés cercanas como el Centro Comercial Santa Fe, el Parque La Mexicana y el Hospital Ángeles del Pedregal. , plaza Axiomiatla, restaurantes cercanos, esta cerca la Anahuac del sur, Tec de Monterey y westhills, Ibero, Las principales vías de acceso incluyen Periférico Sur, Prolongación Paseo de la Reforma y Avenida Toluca, que te conectan de forma rápida y sencilla con el resto de la ciudad. ¡No dejes pasar esta oportunidad única de vivir en una de las mejores zonas de la Ciudad de México! Los requisitos para poder rentar este inmueble son: Identificacion oficial, comprobante de domicilio, investigacion con la persona moral con la que se trabaje, comprobante de ingresos, reporte oficial de buro de credito, constancia de situacion fiscal, renta del mes corriente y deposito.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-en-villa-verdun-146386663.html,"MN 35,000","Aviñon 80 , Villa Verdún , 01810 Álvaro Obregón, Ciudad de México, México
Villa Verdún, Alvaro Obregón","210 m² lote, 4 rec., 4 baños",Lomas Axomiatla
"Cómodo y lindo departamento en renta, 85m2 de construcción, 2 amplias recámaras, 2 baños completos, 2 lugares de estacionamiento, cuarto de lavado. Balcones en la sala y en una de las recámaras, edificio con elevador y vigilancia 24/7. Cerca de escuelas, comercios y otros servicios.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-hermoso-departamento-147230380.html,"MN 22,000","Desierto de los Leones 5497 - 15
Alcantarilla, Alvaro Obregón","85 m² lote, 2 rec., 2 estac.",Lomas Axomiatla
"Para estrenar. Este es un loft/ cuarto grande dentro de una casa, con entrada independiente. Amueblado o semi amueblado. Una recamara y 1 coche.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-villa-verdun-lafayette-145519356.html,"MN 10,000","Lafayette
Villa Verdún, Alvaro Obregón","70 m² lote, 1 rec., 1 baño, 1 estac.",Lomas Axomiatla
"Departamento en renta en Monolith, exclusivo desarrollo con excelentes amenidades y estricta vigilancia 24/7. Ubicado a un costado del centro comercial Grand San Francisco, muy cerca de la Supervía Poniente, del Colegio Edron y de la Universidad Anahuac del Sur. Como nuevo, con excelentes acabados, muy iluminado y con increíbles vistas. El departamento cuenta con tres amplias recámaras, la principal con walk in closet, tres baños completos, sala de tv, estancia, cocina abierta, área de lavado y dos lugares de estacionamiento techados, completamente independientes. Equipado con persianas eléctricas, sistema de sonido inteligente y canceles de cristal templado en baños, El desarrollo cuenta con estricta vigilancia 24/7, lobby, salón de usos múltiples, gimnasio, ludoteca, área de juegos infantiles y área de asadores. + Requisitos: Póliza Jurídica, fiador u obligado solidario, un mes de depósito (mascotas sólo con doble depósito) , primer mes de renta por adelantado a la firma del contrato. + La renta no incluye la cuota de mantenimiento de $4. 400 pesos. + No mascotas. (sólo con doble depósito) *El precio no incluye: gastos notariales, impuestos, derechos, honorarios, gastos derivados en caso de financiamiento, ni tasas de interés. Tampoco incluye mobiliario, artículos decorativos, ni electrodomésticos. ** Las medidas son ilustrativas y deben de corroborarse con los respectivos títulos de propiedad y/o las boletas predial. La presente información no representa una oferta pública por lo que toda transacción debe de hacerse de forma personal de acuerdo a las prácticas comerciales de la inmobiliaria y para poder ser válida requiere de la autorización expresa de los propietarios de los inmuebles.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-monolith-147049745.html,"MN 24,500","Desierto de los Leones al 5547
Alcantarilla, Alvaro Obregón","116 m² lote, 3 rec., 3 baños, 2 estac.",Lomas Axomiatla
"Departamento en Planta Baja – Ideal para una persona. Características principales: - Superficie de 60 m² - 1 recámara muy amplia. - 1 baño completo. - Sala, comedor y cocina. - 1 estacionamiento. - Ubicado en planta baja. - Mantenimiento incluido. - Servicios de agua, luz y gas prorrateados entre los habitantes del desarrollo. Requisitos: - Identificación Oficial. - Comprobantes de ingresos de los 3 últimos meses (Recibos de nómina o en su caso Estados de Cuenta Bancarios. ) - Referencias personales o laborales. - Carta membretada de la empresa en que labora que mencione puesto que desempeña, antigüedad y sueldo percibido firmada por recursos humanos. - Obligado solidario o Fiador. - 1 mes de depósito. - Contrato por un año con póliza jurídica con valor de $3, 100. 00. - Proceso de aprobación: 4 a 5 días. - Máximo 1 persona. - No se aceptan mascotas. Perfil ideal: - Estudiante o profesionista que trabaje en Santa Fe. Con Dakay, cada paso en tu renta está en buenas manos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-para-1-persona-en-villa-147438681.html,"MN 10,000","RENTA DEPARTAMENTO AMNUEBLADO PARA 1 PERSONA EN VILLA VERDUN ALVARO OBREGON
Villa Verdún, Alvaro Obregón","60 m² lote, 1 rec., 1 baño, 1 estac.",Lomas Axomiatla
