Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Ubicada en una zona residencial tranquila, con acceso rápido a vías principales y rodeada de áreas verdes, servicios y comercios. Puntos de interés cercanos: 3 min en auto a Calz. De las Águilas y Av. Centenario. 5 min al Parque Ecológico Tarango. 6 min al Centro Comercial Portal San Ángel y supermercados. 10 min a Universidad Anáhuac y Colegio Británico (The Edron Academy) 15 min a Santa Fe y Parque La Mexicana. 20–25 min a Periférico Sur, San Ángel e Interlomas. Características y amenidades. Bodega. Azador. Jardín privado. Seguridad 24/7. Cocina con alacena. Recámaras con vestidor y baño. Jardín. Asador. Paneles solares. Estacionamiento techado. Con conexión directa a Av. De los Poetas, Prol. Centenario y Calz. De las Águilas, facilitando la movilidad hacia Santa Fe, San Ángel y otras zonas estratégicas de la ciudad. Ideal para quienes buscan un hogar con espacios amplios, buena ubicación y tranquilidad, sin alejarse de la ciudad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-casa-en-lomas-de-las-aguilas-146948055.html,"MN 68,000","De Las Grullas
Lomas de las Aguilas, Alvaro Obregón","600 m² lote, 5 rec., 10 baños, 5 estac.",Lomas de las Águilas
"Precioso departamento, parte alta de desierto, cerca del cruce con av. Toluca. Sin muebles, fotos solo para referencia, sala comedor, balcón con vista arbolada, cocina abierta, cuarto de lavado integrado. Dos recámaras, una con balcón, la principal con baño integrado. Un baño completo más que da servicio A la otra recámara Y A las visitas. 2 lugares de estacionamiento amplios, no se estorban con vecinos. Conjunto muy agradable, no tiene amenidades, elevador, seguridad 24 horas. Cerca de plaza comercial, tiendas, farmacias, etc. No lejos de santa fe Y cercano A la supervía poniente para ir hacia el sur. Escuelas de prestigio en la zona. Cuenta con: centro de lavado, mueble en la sala para colocar pantalla Y otro mueble en la recámara para colocar pantalla. Póliza de arrendamiento con fiador.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-desierto-parte-alta.-moderno-bonita-146367632.html,"MN 24,000","CAMINO AL DESIERTO DE LOS LEONES 5497
Tetelpan, Alvaro Obregón","90 m² lote, 2 rec., 2 baños, 2 estac.",Lomas de las Águilas
"Departamento en renta semi amueblado sobre Desierto de los Leones, cerca de Televisa San Ángel, a 2 km de Periférico y a 2km de la supervía. El depa mide 72m² habitables, cuenta con una gran altura de 2. 90 m de piso a techo: Distribución: 2 recámaras2 baños2 cajones de estacionamientoSala ComedorCocinaÁrea de lavadoSemi amueblado:: Amenidades: :Vigilancia 24 hrs, cctv, Lobby, Gym, Ludoteca y Jardín Central. ¡Agenda tu cita!:: Requisito s:: 1 mes de renta y 1 mes de depósitoFiador u obligado solidario y póliza jurídicaComprobantes de ingresos y referencias personales",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-tetelpan-alvaro-obregon-semi-147456545.html,"MN 18,500","Departamento en Renta en Calzada Desierto de los Leones 4426
Tetelpan, Alvaro Obregón","72 m² lote, 2 rec., 2 baños, 2 estac.",Lomas de las Águilas
"En renta excelente departamento remodelado, muy amplio, con mucha luz, excelentes acabados!, por el colegio edron, cerca del colegio de policia!. Gran fraccionamiento con grandes areas verdes, espacio para fiestas Y estacionamiento para visitas!. Cuenta con 110 M2 de construccion, hermosa cocina integral, amplia estancia, area de tv O estudio, 2 recamaras, la pricipal con woking closet Y baño, la segunda recamara con closet Y baño que se comparte con las visitas, area de lavado Y cuarto de servicio con baño, 2 lugares de estacionamiento. Vigilancia 24 hrs. La renta incluye el mantenimiento!!. No se aceptan mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-colonia-tetelpan-en-alvaro-147210137.html,"MN 21,000","Calzada Desierto de los Leones 5906
Tetelpan, Alvaro Obregón","110 m² lote, 2 rec., 2 baños, 2 estac.",Lomas de las Águilas
"Sobre avenida Desierto de los Leones pasando Rancho San Francisco cerca de Santa Fe, rento departamento remoedelado de 150m2 en dos niveles, con sala-comedor hermosas vistas, amplia cocina con espacio para centro de lavado, una recamara en Planta Baja con baño completo, terraza y en planta Alta, 2 recamaras, la principal con baño, vestidor y terraza, la segunda recamara con closet. En la parte de arriba un pequeño estudio con hermosas vistas, ideal para ""Home Office"", un lugar de estacionamiento. En la renta incluye el mantenimiento",https://www.inmuebles24.com/propiedades/clasificado/alclapin-cerca-de-santa-fe-sobre-calzada-de-desierto-de-los-65917297.html,"MN 16,000","Deseierto de los Leones 6569
Tetelpan, Alvaro Obregón","150 m² lote, 3 rec., 2 baños, 1 estac.",Lomas de las Águilas
"Departamento con balcón, preciosa vista arbolada. La vista da al jardín común. Estancia, cocina abierta, cuarto de lavado integrado, 2 recámaras, la principal con baño Y vestidor. Seguridad privada 24 horas, salón de fiestas, jardín común con juegos, gimnasio, salón de adultos, ludoteca, elevador. Excelente mantenimiento del conjunto. Renta con mantenimiento incluido. No se aceptan mascotas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-con-balcon-desierto-de-los-leones-147063422.html,"MN 21,000","Calzada al Desierto de los Leones 5300
Tetelpan, Alvaro Obregón","90 m² lote, 2 rec., 2 baños, 2 estac.",Lomas de las Águilas
"Espectacular departamento en dos niveles en residencial Sahara, tres recamaras, tres baños, cuarto de tv, cuarto de servicio o estudio, dos balcones, roof garden propio de 119m2. Mantenimiento incluido en la renta. Salón de fiestas, salón de usos múltiples, seguridad 24/7.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-renta-o-venta-departamento-en-desierto-de-los-leones-144889267.html,"MN 35,000","Calzada Desierto de Los Leones 5438
Tetelpan, Alvaro Obregón","238 m² lote, 3 rec., 3 baños, 3 estac.",Lomas de las Águilas
"Excelente departamento ubicado en el Conjunto Galaxia San Ángel, en el Condominio ""D"", pudiendo llegar a él por Camino al Desierto de los Leones o por Calzada de las Águilas. Mide 64 m2 y está ubicado en quinto nivel. Cuenta con elevador. Consta de 2 recámaras con closet, sala, comedor, baño, cocina integral y zotehuela. Cuenta con un lugar de estacionamiento fijo. Seguridad las 24 horas del día contando con doble caseta de vigilancia. Lugar para guardar bicis en área común. La torre cuenta con elevador y pequeñas áreas verdes. Se encuentra en buen estado de conservación y las áreas comunes cuentan con buen mantenimiento. Excelente ubicación a menos de 10 minutos del periférico, cerca de Altavista y Televisa San Ángel e itam, a 5 minutos de Walmart Las Águilas. Importantes vías de comunicación cercanas. Cuota de mantenimiento mensual de $1, 100. 00 M. N. Y renta de $13, 000. 00 M. N. Visítalo, ¡te gustará!. Informes con Teresa Chávez al Ver datos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-2-recamaras-en-galaxia-san-angel-147210749.html,"MN 13,000","Real de Minas 4375B
Tetelpan, Alvaro Obregón","64 m² lote, 2 rec., 1 baño, 1 estac.",Lomas de las Águilas
"Departamento muy iluminado. Muy bonito diseño, muy funcional. Sala comedor, balcón, cocina abierta, cuarto de lavado. 1 recámara, estudio (podría ser rec. Pequeña con cama individual) Y 2 baños completos. 2 lugares de estacionamiento. Muy buenos acabados. Vidrios anti-ruido. Vigilancia 24 horas. Precio incluye el mantenimiento de $2, 700. 00. Fiador Y póliza de arrendamiento.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-desierto-esquina-av-toluca-55818819.html,"MN 19,000","DESIERTO DE LOS LEONES 5497
Tetelpan, Alvaro Obregón","82 m² lote, 1 rec., 2 baños, 2 estac.",Lomas de las Águilas
"Excelente departamento, con acabados de primera, iluminado, 2 recamaras, 2 estacionamientos, 2 baños, 1 bodega. Amenidades: Salón de fiestas, gimnasio ludoteca. Excelente oportunidad. Cerca de centro comercial, iglesia, bancos, escuelas, supermercado y restaurantes. Cerca de acceso a supervía. Renta más mantenimiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-tetelpan-146029218.html,"MN 19,500","DESIERTO DE LOS LEONES
Tetelpan, Alvaro Obregón","106 m² lote, 2 rec., 2 baños, 2 estac.",Lomas de las Águilas
"El edificio se ubica en la parte alta de Desierto de los Leones, en una zona boscosa con vista hacia la Supervía en dirección a Santa Fe. El departamento se encuentra en el nivel -3 con respecto a la calle, ya que el desarrollo está construido sobre una barranca. Cuenta con dos recámaras, dos baños completos, cocina integral, sala-comedor, dos balcones, cuarto de lavado y una bodega. Incluye dos lugares de estacionamiento que se colocan en línea. La orientación es noroeste. Se permite una mascota. La cuota de mantenimiento está incluida en el monto de la renta. Para aviso de privacidad, quejas, sugerencias o aclaraciones visita, o escríbenos a Ver datos. Oficina Pte. Ver datos. Los gastos de investigación y póliza jurídica no están incluidos en el costo de renta, así como el mobiliario, electrodomésticos y arte que se muestran en las fotografías.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-desierto-de-los-leones-departamento-en-renta-147232939.html,"MN 22,000","Desierto de los Leones
Tetelpan, Alvaro Obregón","73 m² lote, 2 rec., 2 baños, 2 estac.",Lomas de las Águilas
"Vive con estilo en este moderno loft tipo estudio totalmente amueblado, ubicado en una de las zonas más conectadas de Álvaro Obregón. Cuenta con una recámara abierta, un baño completo, sala acogedora y diseño funcional que aprovecha al máximo cada espacio. Ideal para personas solteras o parejas que buscan comodidad, seguridad y buena ubicación. Acceso controlado y ambiente tranquilo. No cuenta con estacionamiento, pero está muy bien ubicado. ¿Te interesa? ¡Agenda tu visita y conócelo hoy mismo! En 1, 2 Km se encuentra el Walmart Express, También a 750 m el parque Villa Verdún, y en 1, 4 Km La universidadUnipol. Jessica Ruiz Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-tipo-loft-para-una-o-dos-personas-146480864.html,"MN 10,800","Priv de los Cedros 75
Tetelpan, Alvaro Obregón","50 m² lote, 1 rec., 1 baño",Lomas de las Águilas
"Departamento 150 m2 en renta en Desierto de los Leones. • Moderno. • Estancia Luminosa. • Excelente ventilación natural. • Elevador. • Cocina integral. • 3 recamaras. • 2 baños. • 2 estacionamientos. • Cuarto de servicio y Area de lavado. • Seguridad 24 horas. • Mascotas permitidas. Renta: $ 26, 000 M. N. Mantenimiento Incluido. ¡ Síguenos!. Somos líderes en asesoría inmobiliaria con ¡verdadero valor agregado!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-desierto-de-los-leones-146902828.html,"MN 26,000","TETELPAN
Tetelpan, Alvaro Obregón","150 m² lote, 3 rec., 2 baños, 2 estac.",Lomas de las Águilas
Excelente departamento en renta de 2 recamaras,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-tetelpan-147408950.html,"MN 31,000","Calzada Desierto de los Leones al 4300
Tetelpan, Alvaro Obregón","130 m² lote, 2 rec., 2 baños, 2 estac.",Lomas de las Águilas
