Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! IapVer datospropiedad ficticia..",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-lomas-de-tarango-con-alberca-147201087.html,"MN 5,000","Av Centenario 300
Lomas de Tarango, Alvaro Obregón","1 rec., 1 baño",Lomas de Tarango
"Cuenta con estancia - comedor, cocina con cubierta de granito, 2 recámaras, la principal con baño completo y closet, la recámara secundaria con closet y baño completo que comparte con el área social, balcón de 8. 32m. , 2 estacionamientos cubiertos. Se acepta mascota pequeña y educada. Amenidades: Roof garden con asadores y fogateros, cine, salón de eventos, cancha de padel, área para mascotas, gimnasio, carril de nado, crossfit, spinning. Mantenimiento incluido en el costo de la renta. Para aviso de privacidad, quejas, sugerencias o aclaraciones visita, o escríbenos a Ver datos. Oficina Sur Ver datos y 6292. Los gastos de investigación y póliza jurídica no están incluidos en el costo de renta, así como el mobiliario, electrodomésticos y arte que se muestran en las fotografías.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-a-estrenar-en-grand-tower-146393737.html,"MN 22,500","Prolongación 5 de Mayo
Lomas de Tarango, Alvaro Obregón","69 m² lote, 2 rec., 2 baños, 2 estac.",Lomas de Tarango
"Departamento con vista al jardín, ubicado en piso 12. Distribución: Sala, comedor, cocina con cubierta de granito, 3 recámaras, la principal con baño completo y closet, la recámaras secundarias con closet y baño completo que comparten con el área social, balcón de 17. 66m2. 2 estacionamientos cubiertos independientes, seguridad 24hrs. Mantenimiento incluido. Para aviso de privacidad, quejas, sugerencias o aclaraciones visita, o escríbenos a Ver datos. Oficina Sur Ver datos y 6292. Los gastos de investigación y póliza jurídica no están incluidos en el costo de renta, así como el mobiliario, electrodomésticos y arte que se muestran en las fotografías.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-grand-tower-centenario-departamento-de-3-recamaras-en-147280512.html,"MN 30,000","Prolongación 5 de Mayo
Lomas de Tarango, Alvaro Obregón","90 m² lote, 3 rec., 2 baños, 2 estac.",Lomas de Tarango
"Departamento con vista al jardín, ubicado en piso 5. Distribución: Sala, comedor, cocina con cubierta de granito, 2 recámaras, la principal con baño completo y closet, la recámara secundaria con closet y baño completo que comparte con el área social, balcón de 12. 65m2. 2 Estacionamientos cubiertos e independientes con instalación para coche eléctrico, seguridad 24hrs. Mantenimiento incluido. Para aviso de privacidad, quejas, sugerencias o aclaraciones visita, o escríbenos a Ver datos. Oficina Sur Ver datos y 6292. Los gastos de investigación y póliza jurídica no están incluidos en el costo de renta, así como el mobiliario, electrodomésticos y arte que se muestran en las fotografías.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-para-estrenar-en-grand-tower-147275686.html,"MN 22,000","Prolongación 5 de Mayo
Lomas de Tarango, Alvaro Obregón","64 m² lote, 2 rec., 2 baños, 2 estac.",Lomas de Tarango
"Residential & Amenities a 10 min santa fe. Departamento inteligente, boiler de paso, amueblado y balcón. Amplia estancia sala comedor y pasillo. Muy iluminados y temperatura ideal. Excelentes vistas en escuadra. Cocina equipada con barra desayunador de granito, estufa, horno y campana de extracción. Buena ventilación. Área de lavado. Con todas estas amenidades: salón de eventos, Lounge con terraza, lounge, salón inglés, cine, cancha de paddle, golfito, sky park con lounges, alberca adultos, alberca infantil, gym, salon yoga, salon crossfit, spinning, vapor, sauna, billar, salas lounge para eventos o co working space, área de perritos, asadores y fogateros. Estética, lavandería y mini súper. Nail spa. Cerca De Super Mercado (Centro comercial Portal centenario), Transporte, Gasolinera, Cinepolis, Escuelas y bancos. Principales Avenidas: Centenario, Av. De Los Poetas, Las Águilas, A 15 minutos de Periférico y Revolución. A 20 minutos de Santa Fe.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-pent-house-inteligente-amueblado-con-mas-de-10-147264665.html,"MN 30,000","Prolongación 5 de Mayo
Lomas de Tarango, Alvaro Obregón","68 m² lote, 2 rec., 2 baños, 1 estac.",Lomas de Tarango
"Ubicación Privilegiada: Grand Town Centenario te ofrece una ubicación estratégica con fácil acceso a vialidades importantes, centros comerciales, escuelas y todos los servicios que necesitas. Vive en una zona de alta plusvalía. Requisitos: -29, 000. - (Incluye Mantenimiento) -1. 5 Renta de depósito + la corriente. -Aval u obligado solidario. -Comprobante de Ingresos y estados de cuenta bacarios. -Buró de crédito. -Identificación. -Máximo 4 personas. -No se admiten mascotas",https://www.inmuebles24.com/propiedades/clasificado/alclappa-departamento-renta-grand-town-centenario-146606393.html,"MN 29,000","Prolongación 5 de Mayo
Lomas de Tarango, Alvaro Obregón","108 m² lote, 3 rec., 2 baños, 2 estac.",Lomas de Tarango
"Este departamento cuenta con una distribución funcional y un estilo moderno, con acabados que combinan tonos oscuros con paredes claras y pisos de madera laminada o baldosas claras, creando un ambiente contemporáneo y acogedor. * **Recámara principal: ** Presenta un ambiente cálido con una pared decorativa en tono terracota. Cuenta con una cama grande con cabecera oscura y ropa de cama estampada en tonos neutros. A un lado de la cama hay un buró con una lámpara y un teléfono, y un espejo de cuerpo completo que amplía el espacio. Un clóset con puertas corredizas oscuras ofrece amplio almacenamiento. * **Segunda recámara (o recámara juvenil/de invitados): ** Equipada con una litera de metal en color oscuro, lo que maximiza el espacio. Dispone de un mueble de almacenamiento oscuro con cajones y estantes, donde se encuentra un televisor y diversos aparatos electrónicos. Una ventana grande permite la entrada de luz natural, y el piso es de madera laminada clara. Se observa un andador médico plegado, lo que sugiere adaptabilidad del espacio. * **Baños: ** Predominan los tonos claros en las paredes y el piso. Cuenta con un lavabo moderno sobre un mueble oscuro con cajones, un espejo grande y un botiquín con puertas de espejo. El inodoro es de color blanco y hay una toalla colgada en un toallero de barra. La puerta de acceso es oscura, contrastando con las paredes claras. * **Cocina: ** De diseño abierto, con gabinetes superiores e inferiores en tonos oscuros y blancos, y una campana extractora de acero inoxidable. Cuenta con una estufa moderna y un refrigerador de dos puertas también de acero inoxidable. Una isla central con cubierta de granito claro sirve como barra desayunadora, acompañada de dos bancos altos con asientos negros. Una ventana amplia ofrece vistas al exterior y permite la entrada de mucha luz. El piso es de baldosas claras. * **Comedor: ** Ubicado junto a un gran ventanal que ofrece vistas a edificios circundantes, lo que proporciona abundante luz natural. Cuenta con una mesa de comedor de cristal con base oscura y sillas a juego con asientos negros. Una credenza oscura se encuentra bajo un cuadro abstracto con tonos rojos y negros, que añade un toque artístico al espacio. * **Sala de estar: ** Caracterizada por una pared principal en tono terracota que aporta calidez. Un sofá seccional grande en color chocolate con cojines claros invita al descanso. Una mesa de centro de cristal con base oscura es el punto focal. Una lámpara de pie moderna con pantalla amarilla ilumina el área. Otro cuadro abstracto, con motivos florales en tonos vibrantes, decora la pared principal. El piso es de baldosas claras, similar al comedor. Departamento amueblado con un estilo contemporáneo y funcional, ideal para una vida cómoda y moderna, cuenta con vigilancia las 24 horas del día, estacionamiento para dos vehículos y portón eléctrico. En una de las colonias más seguras y mejor comunicadas de la Ciudad de México, a pocos metros de Periférico Sur, Avenida Revolución, Barranca del Muerto y Circuito Interior. Requisitos de contratación. 1) Un mes como renta corriente. 2) Un mes como depósito en garantía. 3) Contratación de póliza jurídica. 4) Aval u obligado solidario. 5) Documentación típica. Ideal para profesionales o familias que buscan confort, estilo y ubicación estratégica en la Ciudad de México sin complicaciones para amueblar un espacio. ¡Una oportunidad para vivir con comodidad y diseño!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-2-recamaras-2-147197481.html,"MN 23,500","Tiburcio Sánchez De la Barquera
Merced Gómez, Benito Juárez","105 m² lote, 2 rec., 2 baños, 2 estac.",Lomas de Tarango
"Departamento en renta, como nuevo, muy buenos acabados y excelente ubicación, calle tranquila, cerca de centros comerciales, teatros, etc. , a una cuadra de de periférico sur y barranca del muerto. Unicamente 9 departamentos, interior, vigilancia 24 horas, estacionamiento para dos autos. Cuenta con estancia muy amplia, con la posibilidad de tener área de tv o estudio, baño completo para la segunda recamara que también puede ser de visitas y cocina abierta y cuarto de lavado integrado. La recamara principal con vestidor y baño la segunda recamara con closet. bodega y estacionamiento para dos autos. La renta incluye mantenimiento de $3000. Citas a partir de julio disponible para ocupar agosto 2025. El monto publicado no incluye comisiones, gastos de investigación, póliza jurídica o gastos de mediación. Los datos proporcionados por clientes o interesados serán tratados conforme a lo establecido en la ley federal de protección de datos personales""",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-merced-gomez-a-una-cuadra-de-146853659.html,"MN 27,000","TIBURCIO SANCHEZ DE LA BARQUERA 76
Merced Gómez, Benito Juárez","110 m² lote, 2 rec., 2 baños, 2 estac.",Lomas de Tarango
"Asesor leticia larios ll12. Departamento en Renta, Col. Merced Gómez, Benito Juárez. Habitables 65mts, Depto. Interior. 1 Recamaras, Sala Comedor, amplios ventanales. Cocina abierta, barra de granito. Cuarto de lavado. 1 cajones de estacionamiento en sótano. cctv cerrado vigilancia 24/7. amenidades. gym Equipado. Salón de eventos. Roof Garden Común. 2 elevadores. Leticia Larios. Siempre en busca de la mejor. Opción para ti…",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-merced-gomez-benito-juarez-146782835.html,"MN 19,800","Merced Gómez
Merced Gómez, Benito Juárez","70 m² lote, 1 rec., 1 baño, 1 estac.",Lomas de Tarango
"Departamento en renta colonia merced benito juarez citas A partir del 1 de agosto. Departamento en Renta 19, 800 Mxn incluye mantenimiento, ubicado en la Colonia Merced Gómez, con una superficie de 71m2. Cuenta con excelente ubicación cercano a Portal San Ángel. Ideal para profesionales que vienen y trabajan en la Ciudad de México o para parejas. Este departamento cuenta con excelente iluminación, se encuentra en el piso 1 con ubicación interior. Se acepta mascota. *Mantenimiento incluido* Características: ►1 recámaras. ►1 baño completo. ►Cocina integral abierta con tope de granito. ►Sala-comedor amplios. ►Cuarto de lavado. ►1 cajón de estacionamiento cubierto. Algunas amenidades. ►Roof Garden común con asadore. ►Salón de eventos. ►Gimnasio. ►Caseta de Vigilancia 24 horas cctv. ►2 elevadores. ►El condominio dispone de recepción. Requisitos. Aval con finca raíz en la ciudad de México. 1 mes de depósito. 1 mes de renta. 1/2 mes de renta si trae mascota. (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-colonia-merced-benito-juarez-147249258.html,"MN 19,800","TIBURCIO SÁNCHEZ DE LA BARQUERA
Merced Gómez, Benito Juárez","71 m² lote, 1 rec., 1 baño, 1 estac.",Lomas de Tarango
