Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en Renta en la colonia Merced Balbuena, a 2 cuadras de Lorenzo Boturini, Colindando con avenidas como Fray Servando y Av. Del Taller. Cerca de Parque de los Periodistas, Portal Centro, Mercado Sonora y Centro Cultural Carraza entre otros. Departamento de 60 m2 que consta de 1 Recamara, 1 Baño, Cocineta y Estancia.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-romero-de-valle-merced-146329710.html,"MN 8,500","ROMERO DE VALLE COL MERCED BALBUEN
Merced Balbuena, Venustiano Carranza","49 m² lote, 1 rec., 1 baño",Merced Balbuena
"¡Descubre el departamento de tus sueños! En Puerta Alameda. Este elegante espacio de 86 m² ofrece un ambiente acogedor y sofisticado. Con 2 recámaras y 2 baños, es perfecto para quienes buscan comodidad y estilo. Los acabados de lujo y el mobiliario cuidadosamente seleccionado crean un ambiente moderno y funcional. Características destacadas: - Espacios amplios y luminosos: La sala y comedor cuentan con un diseño abierto que maximiza la luz natural. - Cocina integral: Perfecta para los amantes de la gastronomía. - Amenidades exclusivas: Disfruta de la alberca, gimnasio, y salón de fiestas. - Seguridad y comodidad: Seguridad 24 horas, circuito cerrado, y estacionamiento techado. - Áreas recreativas: Jardín, área de juegos infantiles, y terraza para relajarte. - Servicios adicionales: Centro de negocios, bodega, y patio de lavado. Frente a la Alameda Central, a 100 metros del Palacio de Bellas Artes, inmediato a la Calle de Madero que es la zona peatonal mas transitada de la cdmx y 5 calles de Av Paseo De La Reforma. Este departamento es más que un lugar para vivir, es un estilo de vida. ¡No dejes pasar esta oportunidad única! wig: pjopwE0",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-colonia-centro-147421254.html,"MN 26,000","Revillagigedo 18
Centro , Cuauhtémoc","89 m² lote, 2 rec., 2 baños, 2 estac.",Merced Balbuena
"Departamento amueblado ubicado en el centro de la cdmx. Super cómodo y bastante amplio. Cuenta con dos camas Queen Size, un baño completo, sala de estar. Incluye: Horno de microondas, vajilla, parrilla eléctrica, Smart Tv y WiFi incluido. El acceso a los departamentos es a través de una clave única que se dará al momento que llegues, así que ten en cuenta que no debes perder esa clave o pasársela a un desconocido. Estadía mínima de un mes. Vigilancia las 24hrs",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-el-centro-de-la-cdmx-146299506.html,"MN 30,000","Juarez, Centro, Cuauhtémoc, Cdmx al 100
Centro , Cuauhtémoc","59 m² lote, 2 rec., 1 baño",Merced Balbuena
"Rento departamento nuevo, 65M2, 1er piso, 2 recamaras, 1 baño, sala-comedor, cocineta, area de zotehuela, elevador, 1 lugar de estacionamiento, la renta incluye cuota de mantenimiento. Requisitos solicitados: un mes de depósito, renta adelantada, comprobante de ingresos de los 3 ultimos meses, aval con bien raiz libre de gravamen (ciudad de méxico Y/O estado de méxico), poliza juridica anual $7, 500. 00",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-departamento-colonia-centro-area-8-alcaldia-145570614.html,"MN 15,700","NEZAHUALCOYOTL NO. 65
Centro , Cuauhtémoc","65 m² lote, 2 rec., 1 baño, 1 estac.",Merced Balbuena
"La mejor ubicación en el centro de la ciudad de mexico, A media cuadra de la alameda, de bellas artes, rodeado de restaurantes, comercio Y cultura. Departamento totalmente amueblado Y equipado, cuenta con sala, comedor, recamara principal con baño, recamara secundaria Y baño secundario, un cajón de estacionamiento. El edificio cuenta con estricta vigilancia, alberca, gimnasio, pista para correr, salón de eventos, ludoteca, terrazas al aire libre, salas interiores, bussines, tienda Y tintoreria. La renta incluye mantenimiento, mascotas previa autorización, enviar foto.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-2-recamaras-2-banos-67022632.html,"MN 26,000","REVILLAGIGEDO 18
Centro , Cuauhtémoc","74 m² lote, 2 rec., 22 estac.",Merced Balbuena
"Bienvenido a tu futuro hogar, donde la vida urbana se encuentra con la comodidad. Este encantador Loft, situado en una de las zonas más históricas y tradicionales de la Ciudad de México, es mucho más que un lugar para vivir; es toda una experiencia. Loft a estrenar en séptimo piso, interior con elevador. Estancia amplia muy iluminada. Cocina abierta equipada con refrigerador y horno de microondas. Baño completo. Cuenta con área de lavado integrada y con lava secadora. Sin estacionamiento, y en los alrededores se cuenta con pensiones y estacionamientos. El departamento está equipado con persianas enrollables. El edificio cuenta con seguridad las 24hrs. Y cámaras de vigilancia. El mantenimiento está incluido en la renta. Se localiza en el histórico edificio Porrúa, el cual tendrá la librería y un restaurante gourmet, próximamente. Sobre Av. Juárez, frente a la histórica Alameda Central. Las avenidas Reforma, Lázaro Cárdenas y Balderas, los metros Hidalgo y Bellas Artes y el metrobús Hidalgo a unos pasos. Para ofrecerle un servicio más eficiente, agradeceríamos nos contacte directamente por teléfono o whatsapp, y en caso de ser de su interés coordinar una cita o ampliar información.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-loft-frente-alameda-central-col.-centro-146330757.html,"MN 18,000","Avenida Juárez 56
Centro , Cuauhtémoc","38 m² lote, 1 rec., 1 baño",Merced Balbuena
"Cómodo, ventilado y luminoso departamento en el Edificio Ex - Hotel San Carlos. Techos altos, espacio amplio. Pisos de madera, ventanas de pvc doble vidrio, cocina integral, cancel de vidrio y closet. Edificio íntegramente remodelado, ecológico, en la zona segura y recuperada del centro. Roof top común sobre Madero y Bolívar. Cicloestacionamiento. 3 ventanas exteriores a la famosa Casa Borda y al nuevo Hotel Histórico Central, 2 ventanas interiores, domo de luz, roof top común y seguridad privada 24hrs. Muy agradable edificio para vivir, buena comunidad. Mantenimiento incluido - Sin estacionamiento. Posibilidad de pension vehicular en las inmediaciones.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-edificio-historico-sobre-62685595.html,"MN 18,000","Bolívar 23
Centro , Cuauhtémoc","70 m² lote, 1 rec., 1 baño",Merced Balbuena
"Departamento amueblado ubicado en el centro de la cdmx. Super cómodo y bastante amplio. Cuenta con dos camas Queen Size, un baño completo, sala de estar. Incluye: Horno de microondas, vajilla, parrilla eléctrica, Smart Tv y WiFi incluido. El acceso a los departamentos es a través de una clave única que se dará al momento que llegues, así que ten en cuenta que no debes perder esa clave o pasársela a un desconocido. Estadía mínima de un mes. Vigilancia las 24hrs",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-centro-146299502.html,"MN 35,000","Avenida Juarez al 100
Centro , Cuauhtémoc","60 m² lote, 1 rec., 1 baño",Merced Balbuena
"Departamento exterior en Renta en República de Uruguay en el Centro Histórico de la cdmx. 51 metros de construcción. Área de estancia y comedor amplia e iluminada, estancia con persianas. Cocina abierta y área de lavado. Recamara con closet amplio y persianas. Baño. Se encuentra en un piso 6 con elevador. Seguridad 24 horas. Disponible a partir del 1 de Agosto, actualmente se esta pintando.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-en-renta-r.-uruguay-1-147084839.html,"MN 16,000","República de Uruguay 35
Centro , Cuauhtémoc","51 m² lote, 1 rec., 1 baño",Merced Balbuena
"Descubre este encantador departamento en renta, donde la comodidad y funcionalidad se unen en un espacio de 70 m². Con 2 recámaras y 1 baño, es perfecto para una vida práctica y acogedora. Características destacadas: - Cocina integral: Con acabados en madera y electrodomésticos esenciales, ideal para tus momentos culinarios. - Seguridad y tranquilidad: Caseta de guardia, portero, seguridad 24 horas y sistema contra incendios para tu total tranquilidad. - Amenidades exclusivas: Disfruta de un gimnasio, salón de fiestas y salón de usos múltiples para tus eventos y actividades. - Comodidades adicionales: Elevador, patio de lavado, calentador de agua y tanque de gas estacionario para tu conveniencia. - Estacionamiento techado: Protege tu vehículo de las inclemencias del tiempo. Este departamento es la opción ideal para quienes valoran la seguridad y el confort en su hogar. ¡No dejes pasar esta oportunidad! wig: pUpNex5",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-centro-147421325.html,"MN 16,500","Calle Artículo 123
Centro , Cuauhtémoc","70 m² lote, 2 rec., 1 baño",Merced Balbuena
"Lindo y cómodo departamento amueblado de 65 m² con persianas y electrodomésticos, con excelente ubicación en el corazón de la Ciudad de México, ideal para ejecutivos, parejas o inversionistas. ¡Listo para habitar! Incluye mantenimiento. Seguridad 24/7, Para tu seguridad, el acceso al edificio está controlado y restringido mediante tarjeta, con vigilancia las 24 horas del día. 65 m² de superficie. 2 recámaras con clóset. 1 baño completo. Estancia sala-comedor. Cocina integral abierta totalmente equipada. Área de lavado. Elevador en el edificio. 1 lugar de estacionamiento. Ubicación privilegiada: - A solo una cuadra de la Alameda Central. - Muy cerca de Bellas Artes, Museo Franz Mayer, Av. Juárez y Reforma. - Zona con alto flujo turístico, cultural y comercial. - Acceso inmediato a transporte público (Metro, Metrobús y Ecobici) Requisitos: - Un mes de renta. - Un mes de depósito. - Póliza jurídica",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-en-el-centro-147191382.html,"MN 20,000","Humboldt
Centro , Cuauhtémoc","65 m² lote, 2 rec., 1 baño, 1 estac.",Merced Balbuena
"Acogedor departamento en uno de los edificios más emblemáticos del centro de la ciudad de México, con un diseño moderno y funcional, aún costado de la Alameda central y Bellas Artes; con increíbles amenidades se encuentra este acogedor y cómodo departamento, de una recamara, un baño y un estacionamiento. Vista al jardín interior, excelente iluminación y ventilación natural.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-o-renta-departamento-revillagigedo-centro-146283486.html,"MN 18,000","Revillagigedo 18
Centro , Cuauhtémoc","56 m² lote, 1 rec., 1 baño, 1 estac.",Merced Balbuena
"Departamento nuevo de 1 recámara totalmente amueblado y con servicios incluidos. precio regular 17, 500, solo por poco tiempo precio especial de 12, 500 (en contrato de 6 A 12 meses) *Aplican restricciones. descripción. - Departamento de 1 recámara, totalmente amueblado sala, comedor y cocina propios. - Cuenta también con estufa eléctrica, refrigerador y tv. - La renta incluye agua, internet, electricidad, vigilancia 24 horas y también incluye mantenimiento. - La recepción del inmueble es un lobby muy grande y cómodo. - El inmueble cuenta con vigilante de seguridad 24 horas y cámaras grabando 365 días del año. - Lugar muy cómodo, amplio, seguro y agradable. - Se aceptan mascotas con costo extra (Exclusivamente perros de razas pequeñas de hasta 5kg 1, 500 mxn adicionales al mes) - No se cuenta con estacionamiento, pero cerca del inmueble hay pensiones. - El inmueble cuenta con elevador. requisitos. 1 mes de renta. 1 mes de depósito. Identificación oficial vigente. 2 estados de cuenta. 2 Referencias personales de familiares o amistades. Firma de contrato. Vías de acceso. Paseo de la Reforma y Eje Central Lázaro Cárdenas a la altura del metro Garibaldi. * Las fotografìas pueden variar dependiendo del inventario de habitaciones disponible. * Precios y disponibilidad sujetos a cambios sin previo aviso",https://www.inmuebles24.com/propiedades/clasificado/alclapin-dep-1-rec-equipado-amueblado-y-servicios-incluidos-144303382.html,"MN 12,500","Ecuador 10, Cuautemoc, CDMX
Centro , Cuauhtémoc","55 m² lote, 1 rec., 1 baño",Merced Balbuena
