Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"¡Estrena Departamento de Lujo en el Corazón de Nuevo San Ángel! The Park Torre Humboldt. Precio: 22, 000. Características: Superficie: 40m² Baños: 1. Estacionamientos: 1. Piso 14. Descripción: Loft en renta, concebido para aprovechar al máximo su ubicación. Este desarrollo se encuentra rodeado de parques, escuelas, centros comerciales, hospitales y bancos, convirtiéndolo en un espacio perfecto para todo tipo de familia. Detalles del loft: Altura libre: 3 m. Cocina integral: con cubierta de granito. Sala y comedor. Sistema de doble vidrio en ventanas: para confort térmico y acústico. Vigilancia: las 24 horas. cctv. Amenidades: - Gimnasio. - Business Center. - Salón de eventos. - Carril de nado. - Kids Club. - Spa. - Sky Pool. - Sky Bar con área Lounge. - Teppanyaki. - Grill. - Pet Zone. - Acabados de alta calidad: Mármol en la cocina y baños. Madera de ingeniería en sala, comedor y recámaras. ¡Aprovecha esta gran oportunidad de estrenar departamento en el corredor del Nuevo San Ángel! Agenda tu visita hoy mismo y descubre el hogar que siempre soñaste.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-nuevo-con-amenidades-en-venta-146914573.html,"MN 22,000","Blvd. Adolfo López Mateos 1753
Merced Gómez, Alvaro Obregón","40 m² lote, 1 rec., 1 baño, 1 estac.",Merced Gómez
Departamento en renta en Merced Gómez. Características generales: 1 Recámara. 1 Baño. 43m2. 1 cajon de estacionamiento. (Mantenimiento incluido) Amenidades de lujo: gym. Alberca. Terraza. Asador. Salón de Juegos para niños,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-merced-gomez-147323832.html,"MN 19,900","Blvd. Adolfo López Mateos
Merced Gómez, Alvaro Obregón","43 m² lote, 1 rec., 1 baño, 1 estac.",Merced Gómez
"Bello y funcional departamento, ubicado en una de las mejores calles, dentro de la icónica Colonia Merced Gómez colondante con la Colonia San José Insurgentes. Cerca de Avenida Revolución y Periférico Sur. Centros comerciales, cines, tiendas y restaurantes a breves distancias. Es una calle muy bonita. El edificio cuenta con vigilancia, puerta eléctrica y un gran espacio abierto para eventos con baños y barra de servicio. El lindo departamento con acabados de lujo, piso de madera de ingenieria en estancia, amplia cocina abierta con barra de granito y un área de servicio anexa de excelente tamaño. La recámara principal con walking clóset y baño y tiene salida a un balcópn exterior de muy buen tamaño. , las otras dos recámaras con clóset y comparten baño con visitas, una de ellas también con salida al balcón. Cuenta con dos estacionamientos que no se estorban entre si y una bodega de excelente tamaño para almacenar o inclusive guardar bicicletas o juguetes por su gran tamaño. Es un gran departamento para vivir. Citas al 55 Ver datos @gmail. com. El precio de venta del inmueble es más gastos de escrituración (derechos, impuestos, honorarios, avalúos) que serán calculados por la notaria al formalizar la operación. El operaciones de crédito, el monto de escrituración se determinará en función del monto o montos de crédito. Se encuentran a disposición del cliente los documentos necesarios para la venta del inmueble. El inmueble se transmitirá libre de gravamen. Precio sujeto A cambio sin previo aviso",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-merced-gomez.-san-jose-insurgentes.-144947839.html,"MN 28,500","TIBURCIO SANCHEZ DE LA BARQUERA
Merced Gómez, Alvaro Obregón","111 m² lote, 3 rec., 2 baños, 2 estac.",Merced Gómez
"Espectacular Loft en The Park Exterior Balcón Amenidades Gym Alberca. Ubicado en Miguel Ocaranza 92, Álvaro Obregón Cdmx. Acabados de super Lujo. Cocina integral. 1 baño muy bonito. 1 cajón de estacionamiento. Vigilancia 24hrs. El loft lo podemos amueblar por un costo adicional. No es nada ruidoso ya que esta ubicado hacia la calle Miguel Ocaranza y. tiene excelente Cancelaría. Es un loft totalmente abierto. Solo el baño es la única habitación pero si el cliente lo pide podríamos hacer una habitación cerrada con muro y puerta. Una habitación abierta o cerrada, actualmente el área es totalmente abierta pero se puede cerrar ponemos muro y puerta. Piso 14. Loft. Mascotas si. Cocina Integral. Clósets. Amenidades. Disfruta de las amenidades seleccionadas para este vanguardista desarrollo: Pet Zone. Business Center. Gimnasio. Carril de Nado. Spa. Sky Bar con área Lounge. Kids Club. Salón de Eventos. Sky Pool. Teppanyaki y Grill. Ven a conocerlo!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-espectacular-loft-en-the-park-exterior-balcon-146530745.html,"MN 21,000","Miguel Ocaranza
Merced Gómez, Alvaro Obregón","55 m² lote, 1 rec., 1 baño, 1 estac.",Merced Gómez
"Departamento a estrenar en The Park, ubicado sobre Blvd. Adolfo Lopez Mateos (Periférico), cerca de Barranca del Muerto, Av. Revolución y Metro Barranca del Muerto. Se encuentra en 11 piso, cuenta con elevador. Cuenta con pequeña estancia sala-comedor con salida a balcón, 2 recamaras con closet (la recamara secundaria es pequeña ideal para cama individual o matrimonial) balcón corrido que conecta a las dos recamaras con excelente vista, 2 baños completos y 1 lugar de estacionamiento fijo. El condominio cuenta con vigilancia 24 horas y amenidades como gimnasio, ludoteca, área de mascotas, alberca panóramica, roof garden compartido y área de asadores. Se acepta mascota pequeña. La renta ya incluye mantenimiento. Citas: (55) Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-the-park-cerca-de-barranca-147028672.html,"MN 24,500","Blvd. Adolfo López Mateos 1753
Merced Gómez, Alvaro Obregón","65 m² lote, 2 rec., 2 baños, 1 estac.",Merced Gómez
"Un Exclusivo Desarrollo, conformado por 42 departamentos, en el corredor del Nuevo San Angel. Disfruta de espacios diseñados para ti y tu familiacon Amenidades comoGimnasioSalón de EventosKids ClubSky PoolSky Garden, con área Lounge y GrillPet ZoneDepartamento con Balcón ExteriorExcelentes AcabadosDepartamento tipo loftBalcón con vista a la albercaCocina integral con cubierta de granito, sala, comedor, vigilancia las 24 horas, cctv, 1 lugar de estacionamiento, altura libre de 3 m, sistema de doble vidrio en ventanas para brindarte confort térmico y acústico. loft1 Baño1 EstacionamientosÁrea de LavadoMantenimiento incluidoVigilancia las 24 hrs",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-merced-gomez-alvaro-obregon-147456234.html,"MN 16,000","Merced Gómez, Álvaro Obregón
Merced Gómez, Alvaro Obregón","50 m² lote, 1 baño, 1 estac.",Merced Gómez
"¡Bienvenido a tu nuevo hogar! Este loft es una joya moderna ideal para 1 sola persona que busca comodidad y estilo. Con 35 m² de construcción, cuenta con estancia, 1 baño completo con cancel, 1 closet muy funcional, estufa y horno, persianas con malla solar y black out, balcón privado de 2m2 y 1 cajón de estacionamiento compartido, 6o piso, shut de basura para no tener que bajarla hasta el contenedor del sótano. Detalles y amenidades que destacan: - Espacios al aire libre: Pet zone, terraza con una hermosa vista panorámica y una barra de mármol con fregadero, horno para pizzas y asador para disfrutar en familia o con los amigos. - Ocio y relajación: Alberca, jacuzzis, camastros y gimnasio para mantenerte activ@ y relajad@. - Seguridad y comodidad: Seguridad 24 horas, circuito cerrado y estacionamiento techado. - Cocina y confort: Cocina integral con varios espacios para almacenar lo necesario y cuenta con boiler para gozar de agua caliente. - Accesibilidad: Elevador y facilidades para adultos mayores. Se acepta 1 mascota pequeña. Este departamento no solo es un lugar para vivir, ¡es un estilo de vida! Requisitos: -depósito en garantía. -renta del mes por iniciar. -póliza jurídica (50% dueño y 50% inquilino) -fiador con propiedad en la cdmx. wig: pleok5u",https://www.inmuebles24.com/propiedades/clasificado/veclapin-loft-en-renta-y-venta-periferico-sur-totalmente-147051371.html,"MN 16,500","Boulevard Adolfo López Mateos 1753
Merced Gómez, Alvaro Obregón","35 m² lote, 1 rec., 1 baño, 1 estac.",Merced Gómez
"¡Bienvenido a tu nuevo hogar! Este loft es una joya moderna ideal para 1 sola persona que busca comodidad y estilo. Con 40 m² de construcción, cuenta con estancia, 1 baño completo, 2 closets muy funcionales, cama tamaño matrimonial con base y cabecera (todo nuevo), buró, lámpara de noche, barra movible que puede servir para comer o trabajar, refrigerador, lava secadora, estufa y horno, persianas con malla solar y black out, repisas en la estancia, wallpanel con un espejo grande en la entrada, balcón privado y 1 cajón de estacionamiento independiente, 7o piso, shut de basura para no tener que bajarla hasta el contenedor del sótano. Detalles y amenidades que destacan: - Espacios al aire libre: Pet zone, terraza con una hermosa vista panorámica y una barra de mármol con fregadero, horno para pizzas y asador para disfrutar en familia o con los amigos. - Ocio y relajación: Alberca, jacuzzis, camastros y gimnasio para mantenerte activ@ y relajad@. - Seguridad y comodidad: Seguridad 24 horas, circuito cerrado y estacionamiento techado. - Cocina y confort: Cocina equipada, semi amueblado y calentador de agua para tu comodidad. - Accesibilidad: Elevador y facilidades para adultos mayores. Se acepta 1 mascota pequeña. Este departamento no solo es un lugar para vivir, ¡es un estilo de vida! Requisitos: -depósito en garantía. -renta del mes por iniciar. -póliza jurídica (50% dueño y 50% inquilino) -fiador con propiedad en la cdmx. wig: pYwvpiP",https://www.inmuebles24.com/propiedades/clasificado/alclapin-loft-en-renta-periferico-sur-semi-amueblado-nuevo-147046502.html,"MN 18,500","Boulevard Adolfo López Mateos 1753
Merced Gómez, Alvaro Obregón","40 m² lote, 1 rec., 1 baño, 1 estac.",Merced Gómez
"Departamento en excelente estado de conservación, ubicado en una zona estratégica de la cdmx. 2 recámaras. 1 baño completo. 1 cajón de estacionamiento. Balcón y área de lavado. Con ubicación privilegiada, muy cerca de Barranca del Muerto y Periférico, atrás de Sanborns Barranca del muerto, rodeado de parques, servicios y con múltiples vías de acceso. ¡Contáctanos para más información o agendar una visita!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-alvaro-obregon-merced-gomez-147324714.html,"MN 20,000","Miguel Ocaranza 98
Merced Gómez, Alvaro Obregón","60 m² lote, 2 rec., 1 baño, 1 estac.",Merced Gómez
"Departamento ubicado en el piso 3 sin elevador, en el edificio son 7 departamentos, Cuenta con 3 recamaras con 2 baños completos sala comedor y cocina. Dos recamaras comparten el baño, cuenta con piso laminado y loseta, cuenta con un lugar de estacionamiento compartido. Cuenta con excelentes vías de acceso como barranca del muerto, periférico. Av. Molinos de Rosas Cerca del centro comercial Walmart Plateros así como el centro comercial Portal las Flores, las tres recamaras cuentan con camas, closet, televisores.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-merced-gomez-146608091.html,"MN 22,000","Coyoacan 15, col. Merced Gómez
Merced Gómez, Alvaro Obregón","104 m² lote, 3 rec., 2 baños, 1 estac.",Merced Gómez
