Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en venta Y renta en excelente estado de conservación, se encuentra en la Colonia Mixcoac en la calle de Giotto. Tiene 80 m2 habitables, cuenta con estancia y comedor, dos recámaras, dos baños completos, es interior, no cuenta con elevador, está en un segundo nivel y cuenta con tres estacionamientos, independientes, en la azotea cuenta con roof garden y asador para tus reuniones familiares, tiene área de lavado y jaula de tendido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-venta-renta-giotto-mixcoac-146703909.html,"MN 20,000","GIOTTO 52
Mixcoac, Benito Juárez","80 m² lote, 2 rec., 2 baños, 3 estac.",Mixcoac
"Departamento exterior ubicado en un segundo piso de un edificio de sólo 3 niveles. Muy cerca de la Universidad Panamericana. Consta de dos recámaras, área de tv o home office, dos baños completos, amplia estancia, cocina abierta con barra, área de lavado, dos cajones de estacionamiento techados que no se estorban con ningún vecino y dos balcones, uno en la estancia y otro en la recámara principal. A pesar de ser un edificio bajo, cuenta con elevador. Las cortinas que se ven en las fotos fueron cambiadas por persianas. Vigilancia durante el día y cámaras de videovigilancia cctv. Mantenimiento incluido en el precio de renta.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-con-dos-balcones-muy-iluminado-143574228.html,"MN 25,800","Poussin 40
Mixcoac, Benito Juárez","120 m² lote, 2 rec., 2 baños, 2 estac.",Mixcoac
"Es un departamento exterior con 95m2 muy iluminado en cuarto piso con elevador cuenta con dos recamaras la principal con su baño dos baños cocina equipada área de lavado junto a la cocina sala comedor con una excelente distribución cuenta con dos lugares de estacionamiento fijos no estorba a nadie área de contenedor para la basura vigilancia las 24 horas el edificio cuenta con roft Garden y gym, el mantenimiento esta incluido en la renta. Requisitos un deposito una renta adelanta un fiador el pago de una póliza legal no mascotas. Informes únicamente Whatsapp",https://www.inmuebles24.com/propiedades/clasificado/alclapin-mixcoac-dos-recamaras-147142744.html,"MN 22,000","Leonardo Da Vinci 129
Mixcoac, Benito Juárez","84 m² lote, 2 rec., 2 baños, 2 estac.",Mixcoac
"Rento precioso departamento, con preciosa vista al jardín, sin vecinos de un lado, la distribucion del departamento es excelente y cuenta con mucha luz, se entrega con persianas. Cuenta con asador, jardín, ludoeca, business center, area social, gimnasio, jaccuzi. Excelente ubicación y vias de acceso.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-precioso-departamento-enquentro-mixcoac-147009494.html,"MN 30,000","Av. Patriotismo 883
Mixcoac, Benito Juárez","88 m² lote, 2 rec., 2 baños, 2 estac.",Mixcoac
"Excelente departamento en renta con inmejorable ubicación casi esquina periferico. Dos recámaras, estancia-comedor con excelente iluminación, cocina, un estudio, un baño, segundo nivel, exterior y un estacionamiento. Edificio de 20 departamentos, gas estacionario. Disponible a partir del 17 de septiembre. Requisitos: Con o Sin fiador con bien raíz en la cdmx, cobertura jurídica, pago de depósito en garantía una vez aprobada la solicitud y pago de la primera renta a la firma del Contrato. No se cobrará ninguna cantidad, sino hasta después de haber aceptado su solicitud, debiendo hacer el pago únicamente en la cuenta bancaria de ac rentas, S. C.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-mixcoac-147426363.html,"MN 16,275","Giotto 70
Mixcoac, Benito Juárez","70 m² lote, 2 rec., 1 baño, 1 estac.",Mixcoac
"Departamento tipo loft en calle valencia no. 9 esquina con av. Insurgentes sur cuenta con cama queen, mesa con 4 sillas, sofa, cocina integral totalmente equipada, television, baño, el edificio cuenta con un area con lavadora Y secadora, vigilancia 24/7 elevador, la renta incluye luz, agua, gas, internet, mantenimiento, el cambio de sabanas Y toallas una vez por semana, no aceptamos mascotas, no pedimos aval,",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-y-equipado-enfrenta-de-147111585.html,"MN 18,500","Valencia NO 9 Esquina AV. Insurgentes
Insurgentes Mixcoac, Benito Juárez","28 m² lote, 1 rec., 1 baño",Mixcoac
"Espectacular departamento en renta en una excelente ubicación. disponible hasta el 15 de septiembre, agenda cita para esas fechas. caracteristicas: $36, 000 renta ya con mantenimiento. 120m2. 3 recamaras (recamara principal con vestidor Y ambas recamaras con closet) 2 baños completos (uno en recamara principal Y uno en recamara principal) sala-comedor bastante amplio con vista al jardin interior. cocina equipada. área de lavdo. 2 lugares de estacionamiento. Amenidades: Gimnasio, alberca, chapoteadero, jacuzzi, asadores, cuenta con una casa club divina de muy buen gusto con cafetería, ludoteca, spa, business center, área de estar, salón de jóvenes y adultos con barra, terraza de fiestas con entrada independiente a los edificios. Recepción cálida, jardines lindos, salitas de estar y mesas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-espectacular-departamento-en-renta-en-el-desarrollo-144360710.html,"MN 36,000","AV. PATRIOTISMO 883
Insurgentes Mixcoac, Benito Juárez","154 m² lote, 3 rec., 2 baños, 2 estac.",Mixcoac
"Departamento remodelado en quinto piso, con 143 m² interiores y un roof garden privado de 200 m², con acceso directo desde el interior del departamento. Al ingresar, se encuentra la sala-comedor con iluminación natural y conexión fluida hacia la cocina equipada y el área de lavado. Un pasillo distribuye las tres recámaras, todas con walk-in closet. La recámara principal y una de las recámaras secundarias tienen vista exterior y balcón privado. La tercera recámara cuenta con vista al interior del edificio. La recámara principal tiene baño completo; el segundo baño da servicio a las recámaras secundarias y el medio baño al área social. El departamento incluye dos lugares de estacionamiento (en batería), bodega privada y cuenta con elevador con acceso directo al piso. El edificio tiene seguridad 24 horas, gimnasio y salón de eventos. Se aceptan mascotas. 143 m² interiores. 200 m² de roof garden privado. 3 recámaras con walking closet. 2. 5 baños. Estacionamiento para 2 autos (en batería) Bodega privada. Antigüedad: 15 años. Remodelado recientemente. Elevador. Seguridad 24/7. Amenidades: gimnasio y salón de eventos. Pet friendly. Ubicación: San José Insurgentes, a una cuadra de Insurgentes Sur y muy cerca de Torre Manacar. Zona con excelente conectividad y servicios. Nota: Los muebles son montaje virtual. El departamento no incluye muebles",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-san-jose-insurgentes-roof-147065439.html,"MN 65,000","Plateros 16
San José Insurgentes, Benito Juárez","143 m² lote, 3 rec., 2 baños, 2 estac.",Mixcoac
"Departamento muy iluminado con preciosa vista. frente al liverpool de insurgentes 4o piso exterior. amplia sala, comedor con balcón. cocina integral nueva. 2 recámaras amplias con balcón. 1 baño. no tiene estacionamiento. servicios incluidos: luz, agua, gas, internet",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-amueblado-61480545.html,"MN 30,000","Valencia 9
Insurgentes Mixcoac, Benito Juárez","94 m² lote, 2 rec., 1 baño",Mixcoac
"Vive a un paso del corredor Insurgentes, a 3 mins de la Universidad Panamericana y disfruta de la maravilla de irte caminando a todos lados! Este exclusivo, amplio y luminoso departamento seminuevo de 104 m2 habitables, cuenta con un estupendo balcón de casi 5 m2 y magníficas vistas panorámicas de toda la ciudad. Ubicado en un piso 19 de 24, dentro de Enquentro, exclusivo desarrollo único en México que une la elegancia clásica con un estilo moderno. Consta de espaciosa estancia con sala/comedor, 3 cómodas recámaras, la principal con vestidor y baño integrado más 2 recámaras secundarias con clóset que comparten baño entre sí y con el área social. Cuenta con una hermosa cocina integral equipada con barras de granito, cuarto de lavado y 2 estacionamientos techados y designados. Ubicación privilegiada frente a una pintoresca plaza en una zona tradicional de la ciudad, pero a la vez de las principales vías rápidas de la zona. Mantenimiento incluido y con excelentes amenidades como son: amplias áreas verdes, terrazas y roof garden en la casa club; alberca techada y jacuzzi; gimnasio y salón de spinning; baños, vestidores, spa y área de masaje; precioso vestíbulo de acceso; vigilancia 24/7, cctv y sistemas de detección de humos y contra incendios. Aprovecha esta súper oportunidad. Llama hoy mismo y agenda un tour, que no te lo ganen! Expert estate. Live just a stone's throw from the Insurgentes corridor, 3 minutes from Panamerican University, and enjoy the wonder of walking everywhere! This exclusive, spacious, and bright like-new 104 m2 living space apartment, features a wonderful balcony of almost 5 m2 and magnificent panoramic views of the entire city. Located on the 19th of 24 floors, in Enquentro, exclusive development unique in Mexico, that combines classic elegance with a modern style. It consists of a spacious living/dining room, 3 comfortable bedrooms, the master with a walk-in closet and en-suite bathroom, plus 2 secondary bedrooms with closets that share a bathroom with the social area. It features a beautiful fitted kitchen with granite countertops, a laundry room, and 2 designated covered parking spaces. This prime location faces a picturesque plaza in a traditional part of the city, yet is also close to the main expressways. Maintenance is included and the building offers excellent amenities such as: large green areas, terraces, and a roof garden at the clubhouse; an indoor pool and jacuzzi; a gym and spinning room; Bathrooms, changing rooms, a spa and massage area; a beautiful entrance hall; 24/7 security, cctv, and smoke and fire detection systems. Take advantage of this fantastic opportunity. Call today and schedule a tour; don't miss it out! Expert estate",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-insurgentes-mixcoac-con-balcon-y-147368941.html,"MN 45,000","GOYA
Insurgentes Mixcoac, Benito Juárez","109 m² lote, 3 rec., 2 baños, 2 estac.",Mixcoac
