Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en renta amueblado, Condominio frontera polanco, con excelente ubicación, a unos pasos del metro Rio San Joaquín, Piso 7, con elevador, con 100m2, Roof Garden privado de 100m2, cocina integral con área de lavado, 2 recámaras con closets y 2 baños completos, con 2 lugares de estacionamiento independientes, con bodega. Amenidades: Ludoteca, Gimnasio, Sala de juntas y Salón de eventos. Seguridad privada 24 x7. El precio de renta incluye el costo de mantenimiento. Se aceptan mascotas. Toda la información y medidas son aproximadas y deberán ratificarse con la documentación correspondiente y no compromete a Grupo 1nmobiliario bap. Fotografías no vinculantes ni contractuales.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-con-roof-garden-privado-147275696.html,"MN 30,000","Lago Hielmar 44
Modelo Pensil, Miguel Hidalgo","100 m² lote, 2 rec., 2 baños, 2 estac.",Modelo Pensil
"En el nuevo y exclusivo condominio Frontera Polanco es el momento de re-estrenar un extraordinario departamento ubicadisimo saliendo del etro Río San Joaquín, Nuevo Polanco, Cortinas claro oscuro Gabin Eclisse tela española valentin color grey se acepta mascota pequeña con foto previa. (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-en-la-colonia-anahuac-pensil-147175589.html,"MN 20,500","LAGO HIELMAR
Modelo Pensil, Miguel Hidalgo","65 m² lote, 2 rec., 2 baños, 1 estac.",Modelo Pensil
"Bello departamento ubicado en Plaza Carso, Torre Rodin, Amueblado y Equipado, excelente distribucion, Inmediato a Polanco, Reforma, Periférico, Ejercito Nacional, Circuito Interior, Lomas de Chapultepec, los mejores Centros Comerciales y Corporativos, Estilo Contemporáneo, impecable, precioso departamento, excelente distribución finos acabados en madera, mármol, granito y cerámico, cocina integral abierta con barra de granito, muy iluminado, hermosa vista, amplia área social, cocina integral abierta, 02 recamaras, 02 baños, 02 estacionamientos, closets empotrados, en la recamara principal precioso y amplio vestidor, Cuarto de Lavado. Amenidades: alberca, gimnasio, salón de eventos, ludoteca, canchas de tenis, jardin, sala de juntas, Acceso directo a el centro comercial Plaza Carso. Vigilancia estricta las 24 horas. Cerca de Antara, supermercados, cines, las mejores tiendas y restaurantes. Excelente zona, céntrica y con acceso a múltiples servicios, comercios, entretenimiento y vías rápidas, acceso controlado. Excelente ubicación inmediato al restaurantes con acceso a múltiples servicios, comercios y lugares públicos, así como a una gran oferta cultural, caminando o en auto. Todos los servicios a la mano. A menos de 10 minutos (caminando): cafés, teatros, cines, club deportivo, farmacias, restaurante/bar, bancos, gasolinera, vigilancia, spa, salones y peluquerías, regalos, agencias automotrices, etc. Cerca de Corporativos, las mejores escuelas y Universidades. Una de las zonas con mayor tradición, historia y plusvalía de la Ciudad de México, segura, y con excelentes opciones para pasear y disfrutar con la familia o amigos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso-2-recamaras-amueblado-acceso-directo-al-53189023.html,"MN 60,000","Lago Zurich 245
Ampliación Granada, Miguel Hidalgo","115 m² lote, 2 rec., 2 baños, 2 estac.",Modelo Pensil
"Departamento 3 recámaras en renta sin muebles con línea blanca. + Tipo de propiedad: Departamento en renta sin muebles con línea blanca. + Dirección: Calle Lago Zurich 219, Ampliación Granada, Miguel Hidalgo, Ciudad de México, Ver datos. Características: · Metraje: 133m² · Sin muebles con línea blanca (refrigerador, centro de lavado, microondas y lavavajillas) · 3 recámaras. · Baños: 2 baños completos y medio de visitas. · Sala y comedor amplio. · Cocina integral con barra y lavavajillas. · Área de lavado. · Estacionamientos: Dos cajones de estacionamiento. · Bodega. El departamento está en Torre Renoir del conjunto residencial de plaza Carso con increíbles amenidades: - Seguridad 24/7. - Acceso con biométricos y huella. - Áreas verdes. - Gimnasio completamente equipado. - Alberca techada climatizada con Chapoteadero. - Spa con Jacuzzi, vapor y baños. - Salón de ejercicio. - Salón de juegos. - Business Center. - Ludoteca. - Salón de usos múltiples. servicios cercanos: - Plazas comerciales con servicios bancarios, telefonía, tiendas de ropa de moda y de lujo, restaurantes de todo tipo de variedad, cafés, entretenimiento (cine, museos, etc. ), gimnasios, salones de belleza, hospitales, corporativos, supermercados, colegios, entre otros. Esperamos su llamada con mucho gusto. *Somos expertos en la zona de Carso, contáctenos para preguntar sobre ésta y otras opciones de departamentos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-carso-nuevo-polanco-torre-147457309.html,"MN 52,000","Calle Lago Zurich 96
Ampliación Granada, Miguel Hidalgo","133 m² lote, 3 rec., 2 baños, 2 estac.",Modelo Pensil
"Departamento en renta sin muebles. Disfruta del espacio y el estilo en este departamento de 131m² en Residencial Carso, Polanco, Torre Moliere. Este amplio departamento está ubicado en una de las áreas más dinámicas y bien conectadas de la ciudad. Un lugar ideal para quienes valoran el confort, la elegancia y un estilo de vida activo y cosmopolita. + Tipo de operación: Departamento en renta sin muebles. + Ubicación: Torre Moliere, Carso, Nuevo Polanco. Características: · Metraje: 132m2. · Recámaras: 2 recámaras, principal con vestidor. · Baños: 2 baños completos y medio de visitas. · Cocina integral. · Sala y comedor amplios. · Medio baño de visitas. · Área de Lavado. · 2 cajones de estacionamiento. · Bonita vista. + Normas: - No se permite fumar. El departamento está en Torre Moliere del conjunto residencial de plaza Carso con increíbles amenidades: - Alta Seguridad 24/7. - Portero y Concierge. - Acceso con biométricos y huella dactilar. - Gimnasio con equipos y pesas de alto entrenamiento. - Alberca y chapoteadero. - Spa con vapor y baños. - Terraza. - Salón de juegos para adultos. - Centro de negocios. - Sala de juntas. - Ludoteca. - Salón de usos múltiples. - Estacionamiento de visitas. ubicación: El residencial se encuentra sobre la calle Blvd Cervantes de Saavedra frente a plaza Antara, entre el parque lineal y la calle de cerrada ferrocarril de Cuernavaca. Calles importantes cercanas: Río San Joaquín, Av. Ejercito Nacional, Periférico, Palmas. Servicios cercanos: - Plazas comerciales con servicios bancarios, telefonía, tiendas de ropa de moda y de lujo, restaurantes de todo tipo de variedad, cafés, entretenimiento (cine, museos, etc. ), gimnasios, salones de belleza, hospitales, corporativos, supermercados, colegios, entre otros. Esperamos su llamada con mucho gusto. *Somos expertos en la zona de Carso, contáctenos para preguntar sobre ésta y otras opciones de departamentos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-carso-nuevo-polanco-y-granada-146609931.html,"MN 52,000","Miguel Cervantes Saavedra 255
Ampliación Granada, Miguel Hidalgo","132 m² lote, 2 rec., 2 baños, 2 estac.",Modelo Pensil
Rentaplazacarso. com. departamento completamente amueblado Y equipado muy lindo. 75 M2. 1 recamara con baño completo Y vestidor. Area de lavado. Acabados de alta calidad. Amplias cristaleras. Muy luminoso. 1 cajon de estacionamiento. Vigilancia 24 horas. Estacionamiento para visitas. Completo conjunto de amenidades. Torre muy tranquila Y segura. Todos los servicios alrededor. Ubicacion inmejorable. Mantenimiento incluido en la renta. Solo se renta para periodos de larga estancia.,https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso:-amueblado-de-1-recamara-143737561.html,"MN 40,000","FERROCARRIL DE CUERNAVACA 779
Ampliación Granada, Miguel Hidalgo","75 m² lote, 1 rec., 1 estac.",Modelo Pensil
Rentaplazacarso. com. departamento en renta de 60 M2 completamente amueblado Y equipado. 1 recamara muy espaciosa con amplio armario. Baño completo con dos puertas para dar servicio como baño de visitas Y baño recamara principal. Linda cocina abierta. Bonita sala con enormes cristaleras que le dan mucha luz. Area de lavado. Acabados de primera calidad. 1 cajon de estacionamiento. Completo conjunto de amenidades. Vigilancia 24 horas. Estacionamiento para visitas. Torre muy bien ubicada con todos los servicios alrededor. Mantenimiento incluido en la renta. Periodo minimo de renta un año.,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-plaza-carso:-1-recamara-90642294.html,"MN 38,000","LAGO ZURICH 96
Ampliación Granada, Miguel Hidalgo","60 m² lote, 1 baño, 1 estac.",Modelo Pensil
"Departamento amueblado de 1 recámara en Plaza Carso ii: ¡tu nuevo hogar te espera! Descubre la comodidad y el lujo en este departamento amueblado de 1 recámara en el prestigioso Plaza Carso ii. Con 70. 58 m², este espacio está diseñado para ofrecerte el máximo confort y se entrega completamente equipado, listo para que te mudes. Detalles del Departamento. * 1 recámara. * 1 baño completo. * Sala (incluye un práctico sofá-cama matrimonial) * Comedor. * Cocina abierta. * Cuarto de lavado. * 1 cajón de estacionamiento. Amenidades Exclusivas. Vive una experiencia única con las amenidades de primer nivel que ofrece el complejo, ideales para tu bienestar y entretenimiento: * Recepción y business center. * Alberca techada. * Gimnasio (con área de baños, regaderas y vapor) * 2 canchas de pádel. * Jardín con juegos infantiles. * Terrazas y 2 salones de fiestas. * Ludoteca y salón de juegos (con mesa de billar, etc. ) * Motor lobby. * Vigilancia 24 horas. *Ubicación Privilegiada. El departamento se encuentra en Plaza Carso ii, en la dirección (Aquí va la dirección correcta). Disfruta de la conveniencia de vivir cerca de oficinas, centros comerciales, restaurantes y todo lo que la zona tiene para ofrecer. ¡No dejes pasar esta oportunidad! Contáctanos para agendar una visita y conocer tu próximo hogar.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-en-renta-departamento-carso-ampliacion-granada-147342741.html,"MN 39,000","Calle Lago Zurich
Ampliación Granada, Miguel Hidalgo","70 m² lote, 1 rec., 1 baño, 1 estac.",Modelo Pensil
Rentaplazacarso. com. departamento completamente amueblado Y equipado. Muebles preciosos Y modernos. 70 M2. 1 recamara con baño completo Y vestidor. Estancias muy espaciosas. Area de lavado. Acabados de alta calidad. Amplias cristaleras. Muy luminoso. 1 cajon de estacionamiento. Vigilancia 24 horas. Estacionamiento para visitas. Amplio conjunto de amenidades. Torre muy tranquila Y segura. Acceso directo al centro comercial. Todos los servicios alrededor. Ubicacion inmejorable. Mantenimiento incluido en la renta. *La orientación y las vistas pueden variar*,https://www.inmuebles24.com/propiedades/clasificado/alclapin-plaza-carso:-amueblado-de-1-recamara-muy-lindo-59672722.html,"MN 39,000","LAGO ZURICH 219
Ampliación Granada, Miguel Hidalgo","70 m² lote, 1 rec., 1 baño, 1 estac.",Modelo Pensil
"Departamento en renta amueblado en Cuadrante Neuchatel, cuenta con 1 habitacion, 1 baño completo y estacionamiento, el edificio incluye seguridad 24 hrs, estacionamiento de visitas, gimnasio, alberca con jacuzzi, salon de eventos, lounge bar, ludoteca, a unos pasos de plaza Carso, Antara, Miyana, supermercados, bancos, restaurantes, museos, teatro",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-amueblado-en-cuadrante-neuchatel-146798318.html,"MN 37,000","lago andromaco 55
Ampliación Granada, Miguel Hidalgo","70 m² lote, 1 rec., 1 baño, 1 estac.",Modelo Pensil
