Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"En renta excelente Departamento muy bien ubicado a pasos del Metro Xola, Av. Tlalpan, Plutarco, Av. Xola, Parques, Cafeterías, iglesia, Mercado. Edificio de 20 años de antigüedad, buen mantenimiento, elevador, Estacionamiento fijo sin estorbarse, ubicado en piso 4 con excelente iluminación natural, 3 recámaras con closet, la principal con baño, y otro baño que da servicio a las otras dos recámaras y el área social, 70m2 muy bien distribuidos con amplia e iluminada sala comedor, cocina integral en concepto abierto, área de lavado con instalación para lavadora. La renta incluye mantenimiento!!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-en-renta-departamento-col.-moderna-alc.-benito-juarez-147380877.html,"MN 18,000","Rubén Darío 97
Moderna, Benito Juárez","70 m² lote, 3 rec., 2 baños, 1 estac.",Moderna
"Departamento de 60 M2 aprox, con sala, comedor, cocina, cuarto de lavado, baño, 2 recamaras, Y cajon de estacionamiento. Vigilancia, salon de usos multiples, ubicacion estrategica, parques, mercados Y plazas cercanas. No acepta mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147154423.html,"MN 12,000","CALZ. TLALPAN
Moderna, Benito Juárez","60 m² lote, 2 rec., 1 baño, 1 estac.",Moderna
"Excelente departamento. Cuenta con tres recámaras, dos baños, sala, comedor, cocina, area de lavado, un lugar de estacionamiento. El edificio cuenta con Gym, roof garden común y vigilancia las 24hrs. , planta de luz en areas comunes. Excelente ubicación. No se aceptan obligado solidario ni pólizas. . Requisitos: 1 mes de renta para depósito. El mes de renta que corre. Un fiador con bien raiz en cdmx, libre de gravamen. Comprobante de ingresos. 1, 500 de investigación",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-ubicado-en-tlalpan-colonia-63799788.html,"MN 15,500","Tlalpan #680
Moderna, Benito Juárez","70 m² lote, 3 rec., 3 baños, 1 estac.",Moderna
"Funcional y bien ubicado, este departamento de 65 m² ofrece una excelente opción para quienes buscan comodidad, seguridad y conectividad en la zona centro-sur de la Ciudad de México. Características: 1 recámara con clóset. 1 baño completo. Estancia con excelente iluminación natural. Cocina equipada. Área de servicio independiente. 1 lugar de estacionamiento. Elevador. Seguridad 24 horas. Ubicado a solo una cuadra del Metro Xola y con acceso inmediato a importantes vialidades como Eje Central y Viaducto, este departamento permite una movilidad ágil hacia cualquier punto de la ciudad. Ideal para profesionistas, parejas o personas que valoran la practicidad sin sacrificar confort. Disponible para entrega inmediata. Agende su visita.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-excelente-ubicacion-78732085.html,"MN 14,000","Calzada de Tlalpan
Moderna, Benito Juárez","65 m² lote, 1 rec., 1 baño, 1 estac.",Moderna
"Con excelente ubicación en la Colonia Moderna, se encuentra a dos cuadras de calzada de Tlalpan, estacion del metro y metrobus Xola, vias de acceso principales y facilidad de transporte publico. La recámara se encuentra en planta baja, se renta amueblada y equipada como se ve en las fotos. El espacio cuenta con 2 baños completos de uso compartido para 4 recamaras. Area de cocina y comedor, de uso comun para el servicio de las 4 recamaras. Servicios incluidos: agua, luz, gas e internet. El edificio cuenta con las siguientes areas de uso comun: Roof garden equipado con asador, mesas, sillas y un baño completo. Elevador y Circuito cerrado en areas comunes. Lavadero y jaulas de tendido en azotea. Restricciones: Para 1 persona. Se permiten 2 personas con costo adicional de $1, 000. No se permiten mascotas. No cuenta con area para colocar lavadora, ni estacionamiento. Requisitos: Comprobar ingresos (3 veces el precio de renta=$19, 500) 1 Mes Deposito. 1 Mes Renta que inicia. Poliza juridica de $3, 900 pago 100% arrendatario. Ven a conocerla, te encantara! Para informes y citas por favor comunicarse con Verónica Rincones al Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-recamara-amueblada-en-colonia-moderna-143601825.html,"MN 7,000","Amado Nervo
Moderna, Benito Juárez","12 m² lote, 1 rec., 1 baño",Moderna
"Lindo depa, ubicado en una de las torres remodelado del Centro de la Ciudad de México. Con una vista increíble hacia el horizonte de la cdmx, ubicado en el piso 13, con amenidades. * 60 m2 de construcción. * Cocina. * 1 baño completo. * 1 estacionamientos independiente. * Persianas traslucidas en estancia. * Persianas black out en recámaras. * Piso 13 de 16. * 2 Elevadores. * Vigilancia las 24 hrs. * Circuito cerrado de tv. Cuota de mantenimiento incluida en la renta. Amenidades: gim, salón de eventos. Citas con anticipación. Requisitos: 1 mes de deposito. 1 mes de renta. Fiador con bien inmueble libre de gravamen. Comprobar ingresos por lo menos 3 a 1",https://www.inmuebles24.com/propiedades/clasificado/alclapin-super-depa-en-calzada-de-tlalpan-147240488.html,"MN 16,000","Calzada de Tlalpan 550
Moderna, Benito Juárez","60 m² lote, 2 rec., 1 baño, 1 estac.",Moderna
"-Este edificio es en una joya escondida en el corazón de Ciudad de México. -Calidad excepcional que se ajusta a tu presupuesto en un vecindario seguro como la Alcaldía Benito Juárez. -Todo tipo de comercios al alcance de tu mano. -Variedad de opciones en el edificio, desde 44 hasta 55m2. -Variedad de opciones en el edificio, desde $2, 390, 000. -No cuenta con estacionamiento",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-centricos-venta-en-la-benito-juarez-143516017.html,"MN 22,000","obrero mundial 736
Álamos, Benito Juárez","52 m² lote, 2 rec.",Moderna
"Espectacular departamento de 87. 5m2 en la alcadia benito juarez. cuenta con: 2 recamaras con su closet, 2 baños completos. sala comedor. cocina equipada. area de lavado. 2 balcones. 2 cajones de estacionamiento independientes. 1 bodega. 1 roof garden privado de 79. 5m2. caseta de vigilancia las 24hrs. Y elevador",https://www.inmuebles24.com/propiedades/clasificado/alclapin-espectacular-departamento-en-renta-en-la-alcaldia-66275391.html,"MN 23,000","CADIZ
Álamos, Benito Juárez","85 m² lote, 2 rec., 2 estac.",Moderna
"CaracterísticasDepartamento - Loft en Renta ideal para pareja o una sola persona, que quieran vivir a unos minutos del centro de la Ciudad de México, esta en recien remodelado y muy cerca del metro Villa de Cortes, en la Alcaldía Benito Juárez. Planta Baja – Exterior con 40 m2. Distribuidos en Estancia- Cocina puede incluir refrigerador es opcional, 1 recámara, 1 baño completo, cuarto de lavado con lavadora incluida y bodega, no cuenta con estacionamiento, petfrendy, mantenimiento, servicios de agua y luz incluidos; se encuentra a media cuadra de un parque y sobre una calle de cafecitos y restaurantes. Zona Entre los ejes 4 (Xola) y 5 (Eugenia) ; a 4 cuadras de Calzada de Tlalpan a la altura del Metro Villa de Cortes dirección Centro Histórico que en metro se encuentra a 15 min de distrancia. Requisitos1 mes renta corriente, 1 mes de depósito, Fiador con propiedad/ Obligado solidario. Póliza de Rentas (costo $3, 850. 00) , Investigación con valor de 3, 250 pesos [consultar precio si fueran más de 3 personas a investigar]. Del pago inicial de investigación se tomarán a cuenta $2, 250 pesos del costo total de la póliza. Nota: si la investigación no sale positiva, o cancela no será reembolsable. clave md",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-iztaccihuatl-147369173.html,"MN 12,000","Javier Sorondo 260 Iztaccihuatl, Ciudad de México Ciudad de México 03520
Iztaccihuatl, Benito Juárez","40 m² lote, 1 rec., 1 baño",Moderna
"*leer informacion* ** ** requisitos: fiador con propiedad en cdmx, pago de poliza juridica, renta Y deposito. 60M2. 2 recamaras con closet, 1 baño completo, sala comedor, cocina integral con area de lavado. * mas, 800 mantenimiento. *1 estacionamiento, no fijo. *jaula de tendido. *seguridad. *elevador. *1 er piso. *exterior. *1 mascota pequeña (1) *A 2 calles del metro viaducto. llamanos agendar cita Y envios listado de requisitos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-en-renta-calle-aragon-col-alamos-metro-viaducto-146802629.html,"MN 14,800","ARAGON #
Álamos, Benito Juárez","60 m² lote, 2 rec., 1 baño, 1 estac.",Moderna
