Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Se renta departamento en primer nivel interior, de 52 M2, desarrollado en 2 recmaras, sala, comedor, cocina equipada, area de lavado integrado, recien remodelado, excelente ubicacion, vias de acceso principal congreso de la union Y viaducto",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147408914.html,"MN 8,000","HIDALGO
Nueva Santa Anita, Iztacalco","52 m² lote, 2 rec., 1 baño",Nueva Santa Anita
"Bonito Departamento en primer piso exterior. Muy Iluminado. A estrenar!! 60 mts2. loft. terraza. Recamara. Clóset. Estancia comedor. Cocina. Barra. Sala. Baño completo. Incluye muebles sala, barra, cocina equipada, refrigerador, cama, pantalla hd. Los servicios van incluidos, agua, luz y gas. Además del internet. Comunicarse con Julio Pérez. Ver datos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-amueblado-viaducto-tlalpan-exterior-loft-66825281.html,"MN 12,000","Sta Anita 230
Viaducto Piedad, Iztacalco","60 m² lote, 1 rec., 1 baño",Nueva Santa Anita
"Departamento en Renta. $15, 500. Viaducto Río Piedad, Tlalpan. 72m2. 2 Recamaras. 2 Baños. Balcón. 1 Estacionamiento. Se acepta solo 1 (una) mascota pequeña.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-tlalpan-143516774.html,"MN 15,500","Viad. Río de la Piedad 256, Asturias
Asturias, Cuauhtémoc","67 m² lote, 2 rec., 2 baños, 1 estac.",Nueva Santa Anita
"En renta excelente Departamento muy bien ubicado a pasos del Metro Xola, Av. Tlalpan, Plutarco, Av. Xola, Parques, Cafeterías, iglesia, Mercado. Edificio de 20 años de antigüedad, buen mantenimiento, elevador, Estacionamiento fijo sin estorbarse, ubicado en piso 4 con excelente iluminación natural, 3 recámaras con closet, la principal con baño, y otro baño que da servicio a las otras dos recámaras y el área social, 70m2 muy bien distribuidos con amplia e iluminada sala comedor, cocina integral en concepto abierto, área de lavado con instalación para lavadora. La renta incluye mantenimiento!!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-en-renta-departamento-col.-moderna-alc.-benito-juarez-147380877.html,"MN 18,000","Rubén Darío 97
Moderna, Benito Juárez","70 m² lote, 3 rec., 2 baños, 1 estac.",Nueva Santa Anita
"Exceente ubicacion departamento muy iluminado dentro de efificio de solo 8 deptos. Muy tranquilo; compuesto por 2 recamaras grandes con closet, estanci-comedor, cocina integral, baño completo con canceleria, area de lavado integrada Y jaula de tendido en azotea, cuenta con un lugar de estacionameinto,, no se aceptan mascotas, para mayores informes Y citas comuniquese al Ver datos sr. Roberto vela",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-en-viaducto-piedad-147251781.html,"MN 14,000","Sur 73 4349
Viaducto Piedad, Iztacalco","20 m² lote, 2 rec., 1 baño, 1 estac.",Nueva Santa Anita
"La alcaldía Cuauhtémoc te ofrece un departamento para tu familia con 80m2, 2 recamaras, 2 baños completos, área de sala comedor, cocina integral, sin lugar de estacionamiento, 4to piso sin elevador. Amueblado. Contáctanos para conocer más sobre el departamento",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-col.-asturias-cuauhtemoc-146653406.html,"MN 18,000","José Sotero
Asturias, Cuauhtémoc","80 m² lote, 2 rec., 2 baños",Nueva Santa Anita
"Pequeño departamento ubicado a media cuadra de Viaducto Río de la Piedad y La Coruña, a unas cuadras de Calz. De Tlalpan (metro Viaducto). Se encuentra en 3 piso, sin elevador. Cuenta con estancia sala-comedor, cocina integral, 1 recamara con closet, espacio para vestidor, 1 baño completo y no cuenta con estacionamiento. No niños y no mascotas. Citas: (55) Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-pequeno-departamento-en-renta-en-col.-viaducto-piedad-147424344.html,"MN 10,500","Marcos Carrillo 276
Viaducto Piedad, Iztacalco","62 m² lote, 1 rec., 1 baño",Nueva Santa Anita
"Iluminado y funcional departamento exterior con excelente ubicación, ideal para quienes buscan comodidad, seguridad y conectividad en la Cdmx. Este inmueble cuenta con: 3 recámaras todas con closet. 2 baños completos. Sala- comedor con balcón. Cocina abierta con diseño funcional. 1 cajón de estacionamiento independiente. Elevador y vigilancia las 24 / 7 para tu tranquilidad. Amenidades para disfrutar con tu familia. Cuenta con área de asadores, salón de usos múltiples. Ludoteca, perfecto para los pequeños del hogar. El departamentos es exterior, lo que lo hace iluminado y ventilado. Se encuentra en edificio moderno, seguro y bien administrado, con acceso controlado, servicio y limpieza de áreas comunes en óptimas condiciones. Conectividad inmejorable: Inmueble ubicado entre las estaciones de metro Jamaica, La Viga, San Antonio y Chabacano. A 2 calles de Viaducto Río de la Piedad, a 1 calle de Av del Taller. Agenda tu visita y conócelo, esta puede ser la oportunidad que estabas buscando. Para conocer este departamento es exclusivamente al telefono publicado.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-artes-graficas-145996479.html,"MN 17,900","Calzada la Viga 200
Sevilla, Venustiano Carranza","69 m² lote, 3 rec., 2 baños, 1 estac.",Nueva Santa Anita
"Funcional y bien ubicado, este departamento de 65 m² ofrece una excelente opción para quienes buscan comodidad, seguridad y conectividad en la zona centro-sur de la Ciudad de México. Características: 1 recámara con clóset. 1 baño completo. Estancia con excelente iluminación natural. Cocina equipada. Área de servicio independiente. 1 lugar de estacionamiento. Elevador. Seguridad 24 horas. Ubicado a solo una cuadra del Metro Xola y con acceso inmediato a importantes vialidades como Eje Central y Viaducto, este departamento permite una movilidad ágil hacia cualquier punto de la ciudad. Ideal para profesionistas, parejas o personas que valoran la practicidad sin sacrificar confort. Disponible para entrega inmediata. Agende su visita.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-excelente-ubicacion-78732085.html,"MN 14,000","Calzada de Tlalpan
Moderna, Benito Juárez","65 m² lote, 1 rec., 1 baño, 1 estac.",Nueva Santa Anita
"Departamento de 60 M2 aprox, con sala, comedor, cocina, cuarto de lavado, baño, 2 recamaras, Y cajon de estacionamiento. Vigilancia, salon de usos multiples, ubicacion estrategica, parques, mercados Y plazas cercanas. No acepta mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147154423.html,"MN 12,000","CALZ. TLALPAN
Moderna, Benito Juárez","60 m² lote, 2 rec., 1 baño, 1 estac.",Nueva Santa Anita
