Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Centrico Departamento, excelente ubicación, Col. Obrera, Jose T. Cuellar esquina Manuel Othon, entre Isabel la Catolica y 5 de Febrero, a una cuadra del metro San Antonio Abad, consta de una recamara, estancia, cocina y baño, sin estacionamiento, no se aceptan mascotas, ideal para recién casados, Renta 5, 950. 00 Se muestra los martes de 3 a 4 con opción de sabados y domingos por la tarde confirmando su cita al cel. Ver datos-52 con la Sra. Heremita.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-bonito-departamento-51618417.html,"MN 5,950","JOSE T. CUELLAR 95
Obrera, Cuauhtémoc","35 m² lote, 1 rec., 1 baño",Obrera
"Depto seminuevo, iluminado, ventilado, muy bien ubicado, ambiente familiar, sin ruidos, listo para habitarse, seguridad 24 hrs a 10 metros del eje central lazaro cardenas y a un lado de la estación del metro doctores de la linea 8 del metro, centros comerciales, farmacias, colegios, transporte publico.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-la-obrera-144440439.html,"MN 12,000","fernando de alba ixtlilxochitl
Obrera, Cuauhtémoc","50 m² lote, 2 rec., 1 baño, 1 estac.",Obrera
"Departamento en renta con roof garden privado en la colonia Obrera ubicada en la alcaldía Cuauhtémoc muy cerca del Centro histórico de la Ciudad de México. El departamento se encuentra en 7. º nivel y consta de 68. 92 m2. •Estancia sala - comedor. •Cocina integral. •2 Recamaras con closet (La principal con baño completo) •2 Baños completos. •Área de lavado integrada con instalaciones para lavadora. •1 lugar de estacionamiento (ubicado en eleva auto) • Roof Graden Privado con superficie de 43. 95 m2. (Incluye: Tarja con lavabo, Asador, 4 Sillas, 2 Bancas, 2 Mesas de cristal y una mesa multifuncional para fogata. ) El condominio cuenta con seguridad y vigilancia las 24 Horas. -Lobby. -Zona de estar exterior. -Área de juegos infantiles. Vías de comunicación cercanas tales como; Eje central Lázaro Cárdenas, San Antonio Abad, Fray Servando Teresa de Mier, Av. Insurgentes Sur y Viad. Pdte. Miguel Alemán Valdés. • A 5 minutos del Metro Obrera. • A 5 minutos del Parque Lázaro Cárdenas. • Bancos y Plazas comerciales cercanas. *no se aceptan mascotas. *requisitos* * Póliza jurídica de $7, 900. 00. * Comprobante de ingresos que reflejen 3 veces el valor de la renta (Vía nomina o estados de cuenta) * Aval con propiedad en cdmx u obligado solidario con comprobante de ingresos. *1 mes de renta, más 1 mes de depósito. ¡agenda tu cita ahora mismo! Nova Hogar Bienes Raíces",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-con-roof-garden-privado-en-la-147297312.html,"MN 23,000","Manuel M. Flores 6
Obrera, Cuauhtémoc","69 m² lote, 2 rec., 2 baños, 1 estac.",Obrera
"Departamento en renta en isabel la católica, superficie 87. 05 M2, 3 recámaras, 1 baño completo, sala comedor, cocina (sin estufa), jaula de tendido. El departamento se encuentra en el piso 3, no cuenta con elevador, ni estacionamiento. . Renta ya incluye mantenimiento. Fiador en cdmx Ó edo mexico U obligado solidario con póliza jurídica.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-en-renta-en-isabel-la-catolica-col-obrera-147224125.html,"MN 17,000","Isabel La Católica 215
Obrera, Cuauhtémoc","87 m² lote, 3 rec., 1 baño",Obrera
Asesor avelina hernandez ah2. Renta de departamento amueblado con excelente ubicación. 2 recamaras. 1 baño. area de lavado. 2 estacionamientos eleva autos. bodega. roof garden compartido,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-colonia-obrera-147231977.html,"MN 18,000","Dirección no informada
Obrera, Cuauhtémoc","55 m² lote, 2 rec., 1 baño, 2 estac.",Obrera
"Precioso departamento, acogedor, sumamente céntrico excelente ubicación, exterior, amueblado con exquisito gusto, cuenta con una excelente cocina equipada, con azulejo, barra de formaica, tipo desayunador con bancos, área de sala, equipada con confortables sillones, Pantalla de 52 pulgadas, cuenta con balcones en la estancia y recámara principal con balcón, cama matrimonial, 2a recámara cuenta con camas gemelas, baño completo con azulejo y cancel, área de lavabo, tipo closet, cajón de estacionamiento, cuenta con 3 bodegas, edificio con elevador, Roof Garden general con asador y baño, salón de usos múltiples, puedes adquirirlo, requisitos no requieres fiador, Póliza jurídica Gánalo bancos comercios, Cerca de la panadería La Esperanza",https://www.inmuebles24.com/propiedades/clasificado/alclapin-mf-departamento-amueblado-cerca-metro-centro-medico-144986845.html,"MN 15,950","SAN ANTONIO 199
Obrera, Cuauhtémoc","48 m² lote, 2 rec., 1 baño, 1 estac.",Obrera
"Ref: 2 3 5 1 9 6. ¡No pierdas la oportunidad de vivir en este acogedor departamento en renta ubicado en la colonia Obrera, en la alcaldía Cuauhtémoc, Ciudad de México! Con una construcción de 62 m2, este inmueble cuenta con 2 recámaras amplias, perfectas para una pareja o persona sola sin niños o para aquellos que buscan una mayor comodidad. Además, dispone de 1 baño completo, ideal para satisfacer las necesidades diarias de sus residentes. Para persona sola O pareja ; sin niños:: "" ni mascotas. no tiene cajon de estacionamiento. , La ubicación de este departamento es inmejorable, ya que se encuentra en una zona de uso de suelo residencial, lo que garantiza un entorno tranquilo y seguro para quienes decidan habitar en él. Asimismo, está cerca de importantes zonas de interés como el Centro Histórico, donde podrás disfrutar de una amplia variedad de restaurantes, teatros, museos y centros de entretenimiento. También podrás encontrar hospitales, escuelas y parques en las cercanías, lo que facilitará tu día a día. En cuanto a las vías de acceso, este departamento en renta se ubica cerca de importantes avenidas como Calzada de Tlalpan y Eje Central, lo que te permitirá desplazarte fácilmente por la ciudad. Además, cuenta con acceso a estaciones de metro así como a ciclovías, lo que te brindará diversas opciones de transporte para moverte con comodidad. ¡No dejes pasar esta oportunidad y agenda una visita hoy mismo!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-obrera-calle-fernando-144793430.html,"MN 10,500","FERNANDO RAMIREZ 55 , Obrera , 06800 Cuauhtémoc, Ciudad de México, México
Obrera, Cuauhtémoc","62 m² lote, 2 rec., 1 baño",Obrera
"Departamento de 60 m2 + 20 m2 de terraza privada, totalmente amueblado, ubicado a una cuadra del Metro San Antonio Abad, a 15 min caminando del Centro Histórico y a 30 min caminando del Jardín Pushkin, Roma Norte, El departamento cuenta con: 1 recamara /1 baño / 1 baño de visitas /2 Terrazas privadas / Área de estudio/ Doble altura / Área de lavado / Cocina abierta / 1 Estacionamiento / Lugar para bicicleta. Que no te lo ganen. Visítalo!! ** No se aceptan mascotas. Sahi. Pagos generales: • Mensuales. 1. Gas. $300. 00 mensual aprox. (dependerá del consumo) 2. Internet. $349. 00 mensual fijo. • Bimestrales. 1. Luz depto. $150. 00 - $170. 00 bimestral aprox. (dependerá del consumo) 2. Luz edificio. $100. 00 bimestral aprox. 3. Agua. El recibo se divide entre número de inquilinos del edificio. (dependerá del consumo). Bimestral. Requisitos para el arrendamiento: -Identificación Oficial. -Un mes de deposito. -Un mes de renta Inicial. -Comprobar ingresos mensuales mínimo de $50, 000. 00 (pueden ser mancomunados) -Pago de póliza jurídica con valor de $6, 500. 00 (ya no se requiere aval).",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-hermoso-departamento-amueblado-de-1-recamara-en-147457306.html,"MN 17,500","Calle Manuel Gutiérrez Nájera 118
Obrera, Cuauhtémoc","80 m² lote, 1 rec., 1 baño, 1 estac.",Obrera
"Departamento en renta con roof garden privado en la colonia Obrera ubicada en la alcaldía Cuauhtémoc muy cerca del Centro histórico de la Ciudad de México. El departamento se encuentra en 7. º nivel y consta de 68. 92 m2. •Estancia sala - comedor. •Cocina integral. •2 Recamaras con closet (La principal con baño completo) •2 Baños completos. •Área de lavado integrada con instalaciones para lavadora. •1 lugar de estacionamiento (ubicado en eleva auto) • Roof Graden Privado con superficie de 43. 95 m2. (Incluye: Tarja con lavabo, Asador, 4 Sillas, 2 Bancas, 2 Mesas de cristal y una mesa multifuncional para fogata. ) El condominio cuenta con seguridad y vigilancia las 24 Horas. -Lobby. -Zona de estar exterior. -Área de juegos infantiles. Vías de comunicación cercanas tales como; Eje central Lázaro Cárdenas, San Antonio Abad, Fray Servando Teresa de Mier, Av. Insurgentes Sur y Viad. Pdte. Miguel Alemán Valdés. • A 5 minutos del Metro Obrera. • A 5 minutos del Parque Lázaro Cárdenas. • Bancos y Plazas comerciales cercanas. *no se aceptan mascota. *requisitos* * Póliza jurídica de $7, 900. 00. * Comprobante de ingresos que reflejen 3 veces el valor de la renta (Vía nomina o estados de cuenta) * Aval con propiedad en cdmx u obligado solidario con comprobante de ingresos. *1 mes de renta, más 1 mes de depósito. ¡agenda tu cita ahora mismo! Nova Hogar Bienes Raíces",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-con-roof-garden-exclusivo-en-la-146514082.html,"MN 25,000","Manuel M. Flores
Obrera, Cuauhtémoc","69 m² lote, 2 rec., 2 baños, 1 estac.",Obrera
"[arr] id houm: Ver datos. Entérate de todos los beneficios al rentar con Houm: • No te pedimos aval. • Asistencia e intermediación con el propietario. • Firma tu contrato online. • Renta sin burocracia, papeleos y mucho más rápido. • Difiere tu depósito en hasta 6 meses sin interés. Departamento en renta, ubicado en la colonia Obrera, con una superficie construida de 80. 00 m² y superficie total de 80. 00 m². Sus principales características son: • Sin amueblar. • 2 recámaras. • 2 baños. • No Admite mascotas. • 1 estacionamiento. • Año de construcción: 2010. Si rentas con nosotros, te brindamos asesoría personalizada durante todo el proceso. Importante: • Se deben demostrar ingresos de 3 veces el valor de la renta. • En caso de que tus ingresos no lleguen a 3 veces el valor de la renta, estos pueden ser la suma de las personas que vivirán en la propiedad. • Te invitamos a agendar una visita a esta propiedad: esta puede ser presencial o vía streaming, desde la comodidad de tu hogar. • Y lo mejor. Sin aval. Más que una corredora, somos Houm. *Aplican T&C",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-obrera-con-2-recamaras-id:.-146846788.html,"MN 23,000","Lucas Alamán
Obrera, Cuauhtémoc","80 m² lote, 2 rec., 2 baños, 1 estac.",Obrera
"Departamento en renta ameblado, cuenta con 48 M2, exterior con balcón, antigüedad 5 años. A unos pasos del Metro Chabacano línea 2 Azul, atencion medicos cerca del Centro Médico, Parque Delta, Avenidas importantes, Viaducto, Isabel la Católica, Eje 3 Sur José Peón Contreras, av. Cuauhtémoc Dr Vértiz. Dirección San Antonio Abad 199. Col. Obrera. Alcaldía Cuauhtemoc. Departamento se ubica en el 4to piso, dos recámaras con clósets, cocina integral, un baño, área de lavado, cajón de estacionamiento, una bodega, Roof Garden general con asador y baño. Salón de usos múltiples, elevador, vigilancia las 24 horas. Remodelaciones adicionales en diseño, se puede apreciar en fotografías, bancos, restaurantes, comercios y mercado. No mascotas. no más de dos o matrimonio con un hijo. renta 16, 000. 00",https://www.inmuebles24.com/propiedades/clasificado/alclapin-mf-departamento-en-renta-amueblado-colonia-obrera-147312005.html,"MN 16,000","San Antonio Abad 199
Obrera, Cuauhtémoc","48 m² lote, 2 rec., 1 baño, 1 estac.",Obrera
"Vive en la comodidad de este funcional depa ubicado en el sexto piso de un edificio moderno en la Colonia Obrera. Con 58 m2 bien distribuidos, cuenta con 2 habitaciones, 1 baño completo, cocina integral y área de lavado, ideal para quienes buscan practicidad y buena ubicación. El espacio incluye muebles clave como cama, comedor, sillón, refrigerador, lavadora y escritorio, perfectos para una mudanza ligera. El departamento tiene un cajón de estacionamiento privado (cajón 19 en el sótano), y acepta mascotas pequeñas, haciendo que tu estilo de vida sea aún más cómodo. Se encuentra muy cerca de vialidades importantes que conectan con el resto de la ciudad, facilitando tu movilidad diaria. Agenda tu visita ahora y asegura tu nuevo hogar en una de las zonas con mayor conectividad de la cdmx. Con Homie renta sin aval. Proceso 100% digital. Tú eliges cómo pagar la renta a través de diferentes formas de pago. ¡Conoce ya este depa e independízate de las tareas de rentar! Departamento de 58. 0 metros cuadrados cuenta con: - 2 habitaciones. - 1. 0 baño. - Se aceptan mascotas. - 1 lugar de estacionamiento. Características: - Cuarto de lavado. - Cocina integral. Antigüedad: 17 años. . Número de habitantes recomendado: 4. Disponibilidad para mostrar: 21/agosto/2025. Disponibilidad para habitar: 21/agosto/2025. ¡Enamórate de tu vida en este departamento! # Homie Id: 9_5_0_6_4. Estos son los beneficios que tienes como inquilino al rentar tu nuevo hogar con nosotros: * No necesitas aval (sujeto a Términos y Condiciones). * Realiza el pago de tu renta mediante transferencia digital en nuestra plataforma o en efectivo en miles de locales disponibles. * Asistencia y conciliación con tu propietario. * Proceso sin burocracia, renta en cuestión de horas y sin trámites complicados. * Descuentos exclusivos en mudanzas, muebles y más. * Firma tu contrato de forma digital.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-colonia-obrera-95064-147287718.html,"MN 13,000","Calle 5 de Febrero
Obrera, Cuauhtémoc","58 m² lote, 2 rec., 1 baño, 1 estac.",Obrera
"Precioso departamento tipo loft, amueblado y equipado, con servicio de internet, y T. V por cable gratuitos, ubicadísimos, cerca de. importantes vías de comunicación y transporte público, con increíbles áreas. de esparcimiento, roof garden con palapa, parrilla y mesas, cuenta con gimnasio, lavandería, cámaras de circuito cerrado de. vigilancia. Todo a un súper precio de renta. No se aceptan niños, ni mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-precioso-loft-145053296.html,"MN 6,700","Gutiérrez Nájera
Obrera, Cuauhtémoc",1 m² lote,Obrera
"Rento Departamento super ubicado cerca de metro Obrera, Lazaro Cardenas y Chabacano, cerca de eje central Lazaro Cardenas, a 10 minutos de la Condesa y La Roma en metro, tiene una recamara un baño completo cocina, incluye luz, agua, internet, gas, mantenimiento",https://www.inmuebles24.com/propiedades/clasificado/alclappa-departamento-col-obrera-ideal-para-pareja-146062900.html,"MN 8,500","Juan A Mateos 7 Bis
Obrera, Cuauhtémoc","30 m² lote, 1 rec., 1 baño",Obrera
