Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"¡Descubre tu Nuevo Hogar en la Tranquila y Céntrica Colonia Olímpica, Coyoacán! Esta espectacular casa en renta amueblada o sin amueblar te ofrece un estilo de vida único, con una combinación perfecta de amplitud, luminosidad y excelentes acabados en todos sus rincones. Ubicada en una zona privilegiada de Coyoacán, disfrutarás de la tranquilidad de un entorno residencial, sin alejarte de la comodidad y accesibilidad de la vida urbana. Características Destacadas de la Propiedad: Diseño Moderno y Funcional: Diseñada en desniveles y con techo de doble altura, esta casa ofrece un ambiente contemporáneo y elegante que te hará sentir en un verdadero oasis urbano. Espacios Amplios y Versátiles: Con sala, comedor, desayunador, alacena, cuarto de tv y un acogedor jardín privado de 200 m2, tendrás todo el espacio que necesitas para vivir y disfrutar en familia. Recámaras Espaciosas y Cómodas: La casa cuenta con 3 recámaras, cada una con su propio baño completo y aire acondicionado, brindándote el máximo confort y privacidad. Áreas de Servicio Completas: Además de las áreas sociales, la propiedad incluye un despacho, cuarto de servicio con baño completo, cuarto de lavandería y una práctica bodega, garantizando que todas tus necesidades estén cubiertas. Jardín Privado: Disfruta de momentos de relajación al aire libre en el amplio jardín privado, un oasis verde que te brindará paz y tranquilidad en medio de la ciudad. No pierdas la oportunidad de vivir en esta espectacular casa cerca de Gran Sur y de la unam: tendrás acceso a una amplia variedad de tiendas, restaurantes, cines y entretenimiento para toda la familia. Disfruta de una experiencia de compras y diversión sin igual sin tener que ir muy lejos de tu hogar. Contáctanos hoy mismo para programar una visita y descubrir todas las maravillas que este hogar tiene para ofrecerte. ¡Te esperamos para ayudarte a encontrar tu lugar ideal!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-casa-en-renta-en-col-pedregal-de-carrasco-cerca-de-145666935.html,"MN 59,000","Amsterdan
Pedregal de Carrasco, Coyoacán","305 m² lote, 3 rec., 4 baños, 2 estac.",Pedregal de Carrasco
"Descubre este espectacular departamento en la Torre B de Gran Alto Pedregal, una de las zonas residenciales más exclusivas al sur de la cdmx. Características del departamento: • 3 amplias recámaras. • 2 baños completos. • Cuarto de servicio completo. • Sala y comedor con gran iluminación natural. • 2 terrazas de gran tamaño ideales para relajarte o recibir invitados. Amenidades de primer nivel: • Alberca climatizada. • Gimnasio totalmente equipado. • Salón de eventos. • Valet parking. • Seguridad 24/7. • Áreas verdes y espacios recreativos. • ¡Y muchas otras comodidades pensadas para ti! Ubicación privilegiada: A pasos de las principales vialidades del sur de la ciudad y con acceso inmediato a la autopista urbana. ¡Conéctate fácilmente con toda la ciudad mientras disfrutas de tranquilidad y confort! ¿Quieres conocerlo sin salir de casa? Haz una visita virtual 360° directamente desde este anuncio y recorre cada rincón como si ya estuvieras ahí. Contáctanos para más información o para agendar una visita presencial. ¡Tu nuevo hogar te está esperando!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-bgrand-alto-pedregal-departamento-cerca-de-perisur-67074911.html,"MN 35,500","periferico 5146
Pedregal de Carrasco, Coyoacán","150 m² lote, 3 rec., 2 baños, 2 estac.",Pedregal de Carrasco
"Excelente departamento con inmejorable ubicación y vista panorámica, que consta de vestíbulo de acceso, cocina integral con cubierta de granito e isla desayunador, área de lavado, estancia comedor con balcón, recámara principal con vestidor, baño integrado y mueble empotrado para pantalla grande, recámara 2 con clóset, un baño completo. Acabados de lujo superiores a los entregados por el constructor. Cuenta con 2 lugares de estacionamiento fijos e independientes y estacionamiento para visitas. . El edificio cuenta con vigilancia 24 hrs. Y grandes amenidades en las áreas comunes, amplios jardines, alberca, gym, área para mascotas, área de juegos infantiles, business center, salones para fiestas y eventos, y spa.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-pedregal-de-carrasco-en-be-145727118.html,"MN 34,000","Periférico Sur
Pedregal de Carrasco, Coyoacán","107 m² lote, 2 rec., 2 baños, 2 estac.",Pedregal de Carrasco
"Inmobiliaria asbi propone en renta: Departamento de 80 m2 (primer piso, exterior) - 3 habitaciones. - 1 baño. - sala comedor. - cocina integral. - área de lavado. - 1 estacionamiento. - vigilancia 24 horas. Citas con 24 horas de anticipación.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-3-habitaciones-1-bano-y-1-147312122.html,"MN 16,000","Rinconada de Los Poetas
Pedregal de Carrasco, Coyoacán","80 m² lote, 3 rec., 1 baño, 1 estac.",Pedregal de Carrasco
"Hermoso penthouse en 3 niveles en Be Grand Alto Pedregal. Excelente ubicación sobre Anillo Periférico. Blvrd. Adolfo López Mateos. Cuenta con 3 recámaras con baño completo cada una, sala de Tv, cocina, amplia área para sala y comedor con medio baño y terraza, 1 cuarto de servicio con baño completo, área de blancos, 2 cajones de estacionamiento frente a elevadores, y Roof Garden Privado de 120 metros con increíbles vistas a distintos puntos de la ciudad. En las áreas comunes cuenta con seguridad privada 24/7, alberca con área de regaderas y vapor, spa, gimnasio, sala de juegos infantil, juniors club, sports bar, salón de eventos, racks de bicicletas, área de yoga, business center, estancias comunes y área privada para penthouses. Mantenimiento: 10, 000 mensuales, ya incluidos en la renta.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-penthouse-en-be-grand-alto-pedregal-147182922.html,"MN 58,000","ANILLO PERIFÉRICO
Pedregal de Carrasco, Coyoacán","354 m² lote, 3 rec., 3 baños, 2 estac.",Pedregal de Carrasco
"Ubicado en Pedregal de Carrasco, este departamento en renta ofrece comodidad y seguridad. Cuenta con 2 recámaras y 2 baños, ideal para familias pequeñas o parejas. El interior ofrece una distribución funcional con sala, comedor y cocina. Disfruta de una cocina integral equipada y clósets en las recámaras para un almacenamiento óptimo. En el exterior, relájate en la terraza privada. El edificio ofrece amenidades como caseta de guardia, gimnasio, área de eventos, seguridad privada, estacionamiento de visitas, jacuzzi, salón de juegos infantiles, salón de usos múltiples y espacio de co-working. Además, cuenta con servicios básicos como agua y luz. Pedregal de Carrasco es una zona residencial tranquila y familiar, con fácil acceso a importantes vialidades y opciones de transporte público. Encontrarás escuelas de todos los niveles en los alrededores, así como supermercados, tiendas de conveniencia, farmacias y bancos. Para el ocio, hay parques, centros deportivos, restaurantes y cafeterías cercanos. La zona cuenta con hospitales y clínicas en las proximidades, y se percibe como un lugar seguro con vigilancia. El ambiente es de vida de barrio, donde los vecinos interactúan. Esta zona es especialmente atractiva por su tranquilidad y su conexión con la naturaleza. **visitas A partir de septiembre 2025**",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-colonia-pedregal-de-carrasco-147295220.html,"MN 22,000","Avenida del Imán
Pedregal de Carrasco, Coyoacán","70 m² lote, 2 rec., 2 baños, 1 estac.",Pedregal de Carrasco
"Se renta departamento. Con excelente ubicación, acceso directo a Periférico Sur. El departamento cuenta con: 123 metros de construcción. 3 recámaras. 2 baños completos. 2 lugares de estacionamiento. Estancia sala comedor muy iluminada. Cocina integral.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-departamento-en-be-grand-alto-pedregal-145841911.html,"MN 31,000","Boulevard Adolfo López Mateos, Pedregal de Carrasco, Coyoacán
Pedregal de Carrasco, Coyoacán","123 m² lote, 3 rec., 2 baños, 2 estac.",Pedregal de Carrasco
"Asesor elizabeth alvarado ea23. Se renta departamento a 3 minutos de Ciudad Universitaria. Sobre Av. Del Imán, a unos minutos de Periférico Sur e Insurgentes. Cerca de Gran Sur y Perisur. Ubicado en un 3er. Piso. Consta de: sala, comedor, cocina integral con barra, dos recamaras, baño y 1 estacionamiento. Mantenimiento incluido! Contrato forzoso por un año. No se aceptan mascotas. Requisitos: -1 mes de renta. -1 mes de depósito. -identificación oficial. -Comprobantes de ingresos de los 3 últimos meses. -Fiador con bien raíz en la Ciudad de México u. -Obligado Solidario que compruebe ingresos por el de 3 veces el valor de la renta. -Identificación oficial. -Comprobante de domicilio. -Pago del 50% de la Póliza Jurídica",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-en-pedregal-de-carrasco-147410087.html,"MN 12,000","Pedregal de Carrasco
Pedregal de Carrasco, Coyoacán","45 m² lote, 2 rec., 1 baño, 1 estac.",Pedregal de Carrasco
"Departamento exterior de 64 mts2 de construcción y terraza de 7 mts2. Estancia comedor. Cocina integral con cubierta de granito y barra desayunador. 2 baños completos. Uno dentro de la Recamara Principal. 2 recamaras con closet. Área de lavado integrada con conexión para lavadora. 1 lugar de estacionamiento compartido (S3 E6 No. 154). Gas natural. Interfono. Elevador. Cisterna. Circuito cerrado y vigilancia privada. 9 años de antigüedad. Amenidades: Salón de usos múltiples, gimnasio, ludoteca, área de juegos infantiles, jardín común, roof garden con 3 jacuzzies con vista 360°. Se renta sin muebles",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-a-la-renta-pedregal-de-carrasco-147362845.html,"MN 18,000","Periferico Sur (Av. del Iman No. 1) 5550 - B 702
Pedregal de Carrasco, Coyoacán","64 m² lote, 2 rec., 2 baños, 1 estac.",Pedregal de Carrasco
"Vive con estilo en este hermoso departamento en renta de 3 recámaras. La principal cuenta con walk-in closet y baño privado; las recámaras secundarias tienen clósets amplios y comparten un baño completo. La cocina abierta se integra perfectamente con la sala-comedor y un cómodo family room. Además, incluye área de lavado, una bodega de 8 m² y 2 cajones de estacionamiento amplios, independientes y sin estorbarse entre sí. Ubicado en un desarrollo ecológicamente sustentable, pensado para quienes buscan calidad de vida, confort y espacios al aire libre. Disfruta una planta de amenidades de primer nivel: ‍Alberca. Gimnasio. Sala de yoga. Spa. Kids Club. Salón de eventos. Sports Bar. Business Center. Área para mascotas. Jardines. Todo esto sobre Periférico Sur, en una ubicación privilegiada, rodeado de lo mejor: supermercados, centros comerciales, hospitales, escuelas, universidades, oficinas y corporativos.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-be-grand-alto-pedregal-depto-de-3-recamaras-bodega-147186048.html,"MN 29,500","Anillo Perif. Blvd. Adolfo López Mateos 5146
Pedregal de Carrasco, Coyoacán","130 m² lote, 3 rec., 2 baños, 2 estac.",Pedregal de Carrasco
