Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Espectacular departamento ubicado en una de las calles más tranquilas de Polanco. Cuenta con espacios amplios y con buena iluminación natural. Este departamento se entregaría amueblado y listo para ocupar cuenta con: Sala comedor con doble altura y amplios ventanales. 3 recámaras; la principal con amplio vestidor, la secundaria y principal con su propia terraza, la tercera y secundaria comparten baño. Family amplio con su propia terraza y jacuzzi. 2. 5 baños. Cocina cerrada con refrigerador y horno. Área de lavado. Cuarto y baño de servicio. 3 cajones de estacionamiento independientes. Bodega amplia. Además, cuenta con salón de usos múltiples para pasar el tiempo con amigos y familiares, gimnasio equipado y elevador nuevo. Excelente administración y vigilancia 24 horas y cctv. Interesados contactar en día y horario abierto.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-exterior-con-terrazas-en-146911081.html,"MN 135,000","ANATOLE FRANCE 341
Polanco III Sección, Polanco","370 m² lote, 3 rec., 2 baños, 3 estac.",Polanco III Sección
"Departamento en renta a unos pasos de Masaryk, con 168 m² en una sola planta, este cómodo y funcional departamento cuenta con sala-comedor, 3 recámaras (una con opción a cuarto de servicio con baño), 2 baños completos (uno con tina de hidromasaje), estudio de tv, área de lavado y balcón con vista. Incluye 2 cajones de estacionamiento y bodega privada. Ubicado en una de las zonas más exclusivas de la cdmx. Clave interna: ersrts1150",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-en-polanco-a-pasos-de-masaryk-146891642.html,"MN 70,000","Edgar Allan Poe
Polanco III Sección, Polanco","169 m² lote, 2 rec., 2 baños, 2 estac.",Polanco III Sección
"¡Tu Nuevo Hogar de Lujo en Polanco te Espera! Ubicado en el prestigioso Piso 6 de Enrique Ibsen 33, en la codiciada zona de Polanco iii Sección, este espacioso departamento de 290 metros cuadrados te ofrece una vida de confort y exclusividad en una de las mejores colonias de la Ciudad de México. Disfruta de amplios espacios distribuidos en 3 recámaras y 2 baños completos, perfectos para la vida familiar o para quienes buscan espacio y privacidad. La cocina es generosa, ideal para los amantes de la gastronomía, y además cuenta con un cuarto de servicio con baño completo y un área de lavado independiente para tu mayor comodidad. Imagina tus mañanas disfrutando del aire fresco desde tu balcón privado, o la tranquilidad de saber que cuentas con 2 estacionamientos exclusivos y un elevador que te lleva directamente a tu puerta. ¡No dejes pasar esta increíble oportunidad! Contáctanos hoy mismo para agendar una visita y hacer de este espectacular departamento tu nuevo hogar.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-en-renta-departamento-enrique-ibsen-polanco-iii-146860831.html,"MN 70,000","ENRIQUE IBSEN
Polanco III Sección, Polanco","290 m² lote, 3 rec., 2 baños, 2 estac.",Polanco III Sección
"Hermoso departamento ubicado en la tercera sección de Polanco, con 300 metros habitables distribuidos de la siguiente manera: tres habitaciones con baño completo y vestidor cada una, amplia estancia muy iluminada, gran cocina integral, medio baño de visitas, cuarto de servicio y tres lugares de estacionamiento. La ubicación privilegiada en Polanco ofrece cercanía a servicios, restaurantes, parques, y un entorno tranquilo y exclusivo. Los acabados de lujo y la distribución funcional aseguran una experiencia de confort y estilo en una de las zonas más exclusivas de la Ciudad de México. Venta: 1, 500, 000. Renta: 80, 000. Clave interna: ersshc0199. Notas importantes: El precio reflejado en la publicidad no considera gastos de escrituración ni impuestos o cualquier otro gasto que genere la compra del Inmueble. Las Imágenes, acabados vistas y detalles estéticos son ilustrativos. Consulte con nuestros asesores para detalles sobre planos, distribuciones y lista de acabados. Precio y disponibilidad sujetos a cambio sin previo aviso. Verifique con nuestros asesores la información actualizada. Las medidas son aproximadas, deben corroborarse con títulos de propiedad y/o boletas prediales. El proceso de compraventa se realiza ante notario público. Esta publicación no es una oferta pública. Toda transacción requiere autorización expresa de los propietarios y debe realizarse de acuerdo con nuestras prácticas comerciales. Operaciones de crédito: El precio total varía según montos de crédito y gastos notariales. Consulte para más detalles. Métodos de pago: El pago podrá realizarse con recursos propios o con crédito hipotecario de cualquier institución, pública o privada, sujeto a la negociación que lleguen las partes de la compraventa y a las políticas de la institución correspondiente. Consulta nuestro aviso de privacidad en nuestra pagina web. S",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-y-renta-polanco-145958536.html,"MN 70,000","Goldsmith
Polanco III Sección, Polanco","300 m² lote, 3 rec., 3 baños, 3 estac.",Polanco III Sección
"Excelente departamento amplio, amueblado y super iluminado en Polanquito, ideal para caminar a todos lados! Con 200m2 de superficie y agradable balcón con vista arbolada, tiene gran sala y comedor, cocina integral con alacena, área de tv, 2 recamaras, 2 baños completos, lavandería y cuarto de servicio. 1 estacionamiento. Elevador, vigilancia 24 hrs, roof garden común y salón de fiestas, ideal para vivir en el corazón de Polanquito, cerca de Parque Lincoln, restaurantes, tiendas, etc. 55, 000 pesos con mantenimiento incluido // Informes y citas al Ver datos. Las mejores opciones en Polanco y zonas cercanas, llámenos y con gusto le atenderemos!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-amueblado-y-con-balcon-cerca-de-147431753.html,"MN 55,000","Enrique Ibsen
Polanco III Sección, Polanco","200 m² lote, 2 rec., 2 baños, 1 estac.",Polanco III Sección
"¡totalmente amueblado Y equipado!. ¡listo para vivir! ¡lujo, confort, iluminado, privacidad, la mejor ubicación, seguridad las 24 hrs. , excelentes acabados Y el mejor roof garden! Increíble desarrollo de solo 8 departamentos, un departamento por piso; con entrada directa del elevador, a sólo unos pasos del Parque Lincoln y Masaryk. Cuenta con 2 lugares de estacionamiento. , Vive en la mejor ubicación de Polanco, sin problemas de tráfico, certificado en seguridad, cuenta con un precioso ""Roof Garden"" con jacuzzi. Incluye cuarto de servicio muy amplio totalmente equipado e independiente, ¡Te encantará!. La zona mas bonita de Polanco a dos calles. Renta con mantenimiento incluido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-amueblado-en-goldsmith-polanco-62201375.html,"MN 72,500","GOLDSMITH 39, POLANCO III SECCION
Polanco III Sección, Polanco","160 m² lote, 2 rec., 2 baños, 2 estac.",Polanco III Sección
"Estupendo departamento super iluminado y con amplios espacios en Polanco, cerca del Liceo y Palacio de hIerro, sin muebles solo con electrodomésticos! 200m2, gran sala comedor muy amplia, antecomedor, cocina integral con área de lavado, 3 recamaras con closets, 2 baños completos. 2 lugares de estacionamiento. Muy iluminado, vigilancia 24 hrs, disponible 10 de agosto, Ubicado con todos los servicios caminando, Antara, Liceo, Palacio de Hierro, tiendas, restaurantes, ideal! 55, 000 pesos con mantenimiento incluido / Informes y citas al Ver datos. Llámenos y con gusto le atenderemos!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-estupendo-departamento-amplio-y-super-iluminado-cerca-147378869.html,"MN 55,000","Platon
Polanco III Sección, Polanco","200 m² lote, 3 rec., 2 baños, 2 estac.",Polanco III Sección
"Departamento amueblado en planta baja, interior, distribuido en dos niveles. -180 m2. Planta baja: - Estancia super amplia y acogedora. - Comedor amplio. - Cocina integral con antecomedor. - Medio baño de visitas. - Cuarto de servicio con baño completo. - Área de lavado. Planta alta: - Family room. - Recámara principal con vestidor y baño completo. - Segunda recámara con clóset. - Baño completo. - Un lugar de estacionamiento (Se estorba con un vecino, el portero mueve los autos) Edificio ubicado en una calle tranquila y arbolada, con vigilancia 24/7 y elevador. Excelente ubicación entre Emilio Castelar y Carlos Dickens, a una cuadra de corredor comercial Masaryk, a dos cuadras del Parque Lincoln y Parque Líbano. Info y citas: Oficina 55 Ver datos. WhatsApp: 55 Ver datos o 55 Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-enrique-ibsen-polanco-146681259.html,"MN 50,000","Enrique Ibsen
Polanco III Sección, Polanco","180 m² lote, 2 rec., 2 baños, 1 estac.",Polanco III Sección
"Calle Goldsmith, Polanco – Depto. 502. disponible A partir del 1o de octubre. Se puede ver el día que gusten! Ubicado en una de las calles más exclusivas de Polanco, este elegante departamento ofrece amplitud, comodidad y acabados de alta calidad. Características principales: Superficie: 205 m² 3 recámaras. 3 baños completos y 1 medio baño. Balcón. Cocina italiana con cubierta de granito. 1 lugar de estacionamiento. Se renta amueblado o sin amueblar (mismo precio) Precio de renta: Renta mensual: $84, 000 mxn. Mantenimiento: $5, 000 mxn. Total mensual: $89, 000 mxn a negociar. Ubicación privilegiada: A pasos de parques, restaurantes, supermercados y las principales vías de acceso como Presidente Masaryk, Reforma y Periférico. Ideal para quienes buscan lujo, ubicación y estilo de vida en el corazón de Polanco. Para más información o para agendar una visita, no dudes en contactarnos. (*las fotos de esta publicacion son similares al departamento actual. )",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-lujo-en-renta-disp.-1o-de-octubre-146838798.html,"MN 84,000","goldsmith
Polanco III Sección, Polanco","205 m² lote, 3 rec., 3 baños, 1 estac.",Polanco III Sección
"Hermosa csa en renta o venta ubicacada en acueductocuenta con area verdes¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! ¡esta propiedad no esta A la venta, es ficticia (no existe)! IhoVer datospropiedad ficticia..",https://www.inmuebles24.com/propiedades/clasificado/alclapin-casa-en-calle-acueducto-en-venta-147425486.html,"MN 70,000","Acueducto
Polanco III Sección, Polanco","247 m² lote, 3 rec., 2 baños, 1 estac.",Polanco III Sección
"Departamento Amueblado de Lujo en Renta en Polanco. Edgar Allan Poe Ver datos, 000 mxn/mes Aproximadamente 159 m² 3 Recámaras 3. 5 Baños 2 Estacionamientos Totalmente Amueblado. Este espacioso y elegante departamento ofrece 159 m² de espacio habitable bien distribuido, diseñado para el confort y lujo. Ubicado en la prestigiosa calle Edgar Allan Poe en el corazón de Polanco, es ideal para familias, profesionales o cualquier persona que busque un hogar estiloso y listo para habitar. La propiedad cuenta con 3 recámaras. La recámara principal incluye un baño privado y un amplio vestidor, mientras que las otras dos recámaras comparten un baño completo. También hay un medio baño adicional para visitas. Las áreas de sala y comedor de concepto abierto están bañadas por luz natural, creando un ambiente cálido y. acogedor. La cocina moderna está equipada con acabados y electrodomésticos de alta gama, y el departamento se entrega completamente amueblado, incluyendo vajilla, cristalería y utensilios, listo para ocupar. Entre las características adicionales se incluyen un área de lavado, cuarto de servicio con baño completo y acceso a las amenidades premium del edificio, como gimnasio, salón de eventos y seguridad privada las 24 horas. Se incluyen dos lugares de estacionamiento privados. Situado en una de las ubicaciones más exclusivas de Polanco, el edificio está a solo unos pasos de restaurantes de alta gama, boutiques de diseñadores, parques y lugares de entretenimiento. Esta es la opción perfecta para aquellos que buscan un hogar lujoso y totalmente equipado en uno de los vecindarios más deseables de la Ciudad de México.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-polanco-edgar-allan-147351262.html,"MN 130,000","Edgar Allan Poe 327
Polanco III Sección, Polanco","159 m² lote, 3 rec., 3 baños, 2 estac.",Polanco III Sección
"Departamento amueblado con excelente ubicación entre Masaryk y Parque Lincoln. Este elegante departamento ofrece una combinación ideal de diseño contemporáneo, privacidad y confort, en una de las zonas más exclusivas de Polanco. Amueblado y listo para habitar, es perfecto para quienes buscan vivir con estilo y funcionalidad a pasos de todo. Superficie: 150 m² Recámaras: 2; la principal con walk-in closet y aire acondicionado, la secundaria con clóset. Baños: 2 completos. Amenidades destacadas: Sala-comedor amplia con excelente iluminación, cocina integral abierta y equipada. Extras: Cuarto de servicio con área de lavado. Estacionamiento: 2 lugares. Seguridad: Vigilancia 24/7. Edificio: Exclusivo, con pocos departamentos. Clave interna: ersrts7864. Agenda tu visita y vive en el corazón de Polanco, con todo el confort que mereces.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-amueblado-junto-a-parque-lincoln-146520160.html,"MN 87,000","Calderón de la Barca
Polanco III Sección, Polanco","150 m² lote, 2 rec., 2 baños, 2 estac.",Polanco III Sección
"Estupendo departamento remodelado en calle tranquila de Polanco, vacio o semiamueblado y listo para ocupar! 200m2 habitables, gran estancia con un comedor grande, cocina integral equipada con electrodomésticos, family room abierto con baño completo. 2 grandes recamaras cada una con baño y la principal con sala y doble vestidor. Lavandería y cuarto de servicio con baño integrados al departamento. 2 estacionamientos fijos, pequeña bodega, estricta vigilancia 24 hrs. Muy iluminado y silencioso por ser interior. Ubicado a solo 3 calles de Parque Lincoln, tiendas, supermercados y vías de comunicación! 65, 000 con mantenimiento incluido / Informes y citas al Ver datos. Llámenos y con gusto le atenderemos!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-estupendo-departamento-remodelado-amplio-con-o-sin-146502333.html,"MN 65,000","temistocles
Polanco III Sección, Polanco","200 m² lote, 2 rec., 3 baños, 2 estac.",Polanco III Sección
"Se renta loft con balcón en Polanco con muy buena distribución, iluminación y cálido. En primer piso de edificio de 3 niveles, cuenta con 1 lugar de estacionamiento techado con portón eléctrico, vigilancia 24 horas y cámaras de vigilancia en el edificio. A media cuadra de Palacio de Hiero y Plaza Antara. No se aceptan mascotas. En este departamento no se comparte comisión para Brokers.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-loft-con-balcon-calle-platon-polanco-65393706.html,"MN 22,000","Platón
Polanco III Sección, Polanco","70 m² lote, 1 rec., 1 baño, 1 estac.",Polanco III Sección
"Departamento amueblado en calle tranquila. -A media calle: Miyana, Antara y Plaza Carso. -Techos con buena altura. -Iluminación natural. -Ventilación en todo el depto. •190 m2 (exterior) •Estancia. •Comedor. •Baño de visitas. •Balcón amplio en todo el depto. •Cocina abierta c/ barra de granito. •Área de lavado. •Área de servicio c/ baño. •3 Recámaras amplias c/baño. •2 closets y 1 vestidor. •2 estacionamientos fijos. •Seguridad 24 Hrs. •cctv. Incluido el mantenimiento. Disponible a partir del 01 agosto",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-polanco-146697924.html,"MN 65,000","Goldsmith
Polanco III Sección, Polanco","190 m² lote, 3 rec., 3 baños, 2 estac.",Polanco III Sección
"Estupendo departamento super amplio e iluminado, con balcón y agradable vista! 240m2, gran sala comedor con balcón a la calle, cocina integral con área para antecomedor. Family room, 3 recamaras cada una con grandes closets y la principal con baño, 2. 5 baños. Lavandería y cuarto de servicio con baño integrados, 2 lugares de estacionamiento ( en fila de 3), estricta vigilancia 24 hrs, elevador. $65, 000 pesos con mantenimiento incluido / Informes y citas al Ver datos. // Las mejores opciones en Polanco y zonas cercanas, llámenos y con gusto le atenderemos!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-muy-amplio-e-iluminado-en-146673465.html,"MN 65,000","Homero
Polanco III Sección, Polanco","240 m² lote, 3 rec., 2 baños, 2 estac.",Polanco III Sección
