Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Moderno dúplex en edificio de solo 5 años, con espacios muy iluminados, vista arbolada y acceso directo por elevador. Disponible a partir del 1 de septiembre. Superficie total: 179. 61 m² (pb 82. 93 m² pa 82. 93 m² balcones de 7. 7 m² y 6. 05 m²) - 2 recámaras y estudio/oficina/sala de tv. - 2. 5 baños. - Cuarto de servicio con baño completo. - Cocina equipada con refrigerador. - Lavadora y secadora incluidas. - 2 balcones. - 2 lugares de estacionamiento (núm. 37 y 38 en sótano -4, independientes. Acceso al sotano 4 mediante eleva-autos. - Pet friendly. - Vigilancia 24/7. - Mantenimiento incluido. Un departamento amplio, cómodo y funcional en una de las mejores ubicaciones de Polanco. Requisitos para la renta: Poliza juridica.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-2-recamaras-en-av-arquimedes-polanco-iv-147357976.html,"MN 80,000","Calle Arquímedes 145
Polanco IV Sección, Polanco","179 m² lote, 2 rec., 2 baños, 2 estac.",Polanco IV Sección
"Departamento de Lujo en Venta y Renta, Campos Elíseos, Polanco. Vistas Insuperables al Bosque de Chapultepec. En el corazón de Polanco, sobre la prestigiada avenida Campos Elíseos, se encuentra este exclusivo departamento en el piso 26, un refugio de lujo con espectaculares vistas abiertas hacia el verde infinito del Bosque de Chapultepec. Desde el momento en que cruzas la puerta principal, el espacio transmite una sensación de elegancia atemporal. Los acabados de alta gama, la amplitud de los espacios y la luz natural que inunda cada rincón convierten este departamento en un verdadero oasis en el cielo de la ciudad. Cada detalle ha sido cuidadosamente seleccionado para ofrecer la máxima calidad: maderas finas, mármoles importados y sistemas de confort de última generación integrados de forma discreta. Los amplios ventanales no solo enmarcan vistas privilegiadas, sino que convierten al paisaje en parte esencial del diseño interior. Ubicado a solo una cuadra del encantador Parque Lincoln y rodeado de los restaurantes más reconocidos, boutiques exclusivas y centros de negocios de alto nivel, este hogar ofrece un balance perfecto entre la serenidad natural y la vibrante vida urbana de Polanco. El edificio, uno de los más distinguidos de la zona, brinda a sus residentes servicios y espacios que elevan cada aspecto del día a día, todo dentro de un ambiente de máxima seguridad, privacidad y confort. Vivir aquí es más que habitar un departamento: es acceder a un estilo de vida reservado para quienes buscan lo mejor, en la mejor ubicación de México. Déjate sorprender por la experiencia de vivir en las alturas de Campos Elíseos.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-de-lujo-en-venta-y-renta-polanco-vistas-146322117.html,"USD 15,000","campos eliseos
Polanco IV Sección, Polanco","443 m² lote, 2 rec., 2 baños, 5 estac.",Polanco IV Sección
"Ubicado en Polanco vi Sección, muy cerca de la Plaza Uruguay, se encuentra este amplio departamento de 220 m2 con balcón, distribuido en ampia Sala Comedor con área para Family, amplia cocina, antecomedor. Recámara principal con vestidor y baño privado y dos recamaras con closet que comparten baño que tiene tina. Cuarto de servicio con baño completo y área de lavandería integrado al departamento. 2 lugares de estacionamiento. Vigilancia 24 horas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-polanco-cerca-de-la-plaza-uruguay-departamento-con-147098553.html,"MN 60,000","Lamartine
Polanco IV Sección, Polanco","220 m² lote, 3 rec., 2 baños, 2 estac.",Polanco IV Sección
"Exclusivo edificio de tan solo 6 departamentos. Ubicado en la iv sección entre Homero y Ejército Nacional, con todos los servicios a pie, en una de las mejores zonas, iluminado, techos altos, vistas verdes al frente, balcones delanteros y traseros a los ancho del departamento. 150m2 de construcción. 3 recámaras, la principal con vestidor, secundarias con closet, todas con salida a balcón. 2 baños completos. Área de sala y comedor con salida a balcón. Baño de visitas. Cocina integral con electrodomésticos. Cuarto de servicio con centro de lavado incluido. Bodega grande. 2 cajones de estacionamiento separados. Elevador. Vigilancia 24/7. 68, 000 incluye mantenimiento. Requiere pago de póliza jurídica fiador con bien raíz en Cdmx u obligado solidario.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-con-vistas-verdes-y-balcones-en-renta-147415245.html,"MN 68,000","Aristóteles
Polanco IV Sección, Polanco","160 m² lote, 3 rec., 2 baños, 2 estac.",Polanco IV Sección
"Disfruta de un espacio amplio y moderno en una de las colonias más exclusivas de la Ciudad de México. Ideal para ejecutivos y familias que buscan seguridad, confort y vivir en una zona con la mejor oferta gastronómica, cultural y de entretenimiento de la cdmx. Características principales: • 166 m² de construcción. • 2 recámaras (la principal con vestidor y baño completo) • 2. 5 baños. • Estancia amplia con sala y comedor. • Cocina integral equipada. • 2 lugares de estacionamiento. • 1 bodega privada. • Seguridad 24/7 y acceso controlado. Ubicación privilegiada. • Sobre una avenida principal de Polanco, con excelente conectividad. • A minutos de Av. Presidente Masaryk, Ejército Nacional y Periférico. • Cercano a Plaza Carso, Antara, Miyana y los mejores restaurantes. • Hospitales: Hospital Español y Ángeles Polanco. • Parques: Parque Lincoln y Campo Marte.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-sin-amueblar-en-polanco-v-147359469.html,"MN 62,000","Petrarca 328
Polanco IV Sección, Polanco","166 m² lote, 2 rec., 2 baños, 2 estac.",Polanco IV Sección
"* disponible 15 de septiembre * 190 m2 + 3 recámaras + 2 baños + 1 medio baño + 2 estacionamientos + gym + roof garden común + seguridad 24/7. En el corazón de Polanco, una de las zonas más exclusivas y vibrantes de la Ciudad de México, se renta este departamento de lujo en un edificio moderno de menos de 5 años de antigüedad. Ubicado en una calle tranquila, frente a áreas arboladas y contra esquina de la Embajada de España, goza de una ubicación inmejorable rodeada de parques como el Lincoln y el América, una oferta gastronómica de primer nivel, centros comerciales, boutiques internacionales y algunos de los mejores colegios y escuelas de la ciudad. El departamento ofrece 190 m² con una terraza continua que conecta la sala, el comedor y recámaras, brindando vistas verdes y una excelente entrada de luz natural en todos los espacios. La estancia cuenta con cocina abierta, perfecta para integrarse con el área social, y acceso directo al balcón que recorre la fachada. Además, dispone de un family room que puede adaptarse como sala de tv, oficina o estudio. Tiene 3 recámaras; la principal con vestidor, baño privado y salida al balcón, mientras que las otras recámaras comparten un baño pero también cuentan con acceso al balcón con vistas verdes. El departamento cuenta con 2 baños y medio, además de un cuarto de servicio con baño completo. Además, cuenta con dos lugares de estacionamiento, y se aceptan mascotas. El edificio destaca por sus amenidades de primer nivel, seguridad 24/7 y un ambiente residencial exclusivo. El precio de renta incluye el mantenimiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta.-polanco-147290703.html,"MN 80,000","Horacio 631
Polanco IV Sección, Polanco","190 m² lote, 3 rec., 3 baños, 2 estac.",Polanco IV Sección
"Rento precioso departamento cerca de Parque Lincoln, muy amplio e iluminado. Son 3 recámaras, cada una con vestidor y baño, estancia muy amplia, cuarto de servicio grande, y cuarto de lavado, cocina cerrada, todo súper amplio. Espacio para Family room. Pisos de mármol en la estancia y madera muy fina en recámaras. Bodega, 3 lugares de estacionamiento. El edificio tiene amenidades: alberca, gimnasio, juegos infantiles. Vigilancia 24 hrs. Precio de renta más mantenimiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-polanco-147250418.html,"MN 80,000","Calle Lord Byron
Polanco IV Sección, Polanco","310 m² lote, 3 rec., 3 baños, 3 estac.",Polanco IV Sección
"El departamento ubicado en la prestigiosa zona de Polanco, se presenta completamente amueblado y equipado con todo lo que necesitas para una estancia cómoda y agradable. Con una amplia superficie de 250 metros cuadrados, el departamento cuenta con una habitación que ofrecen el ambiente perfecto para relajarte y descansar después de un largo día de trabajo. Además, el departamento cuenta con un baño completo y un baño de visitas, lo que permite una mayor comodidad y privacidad para ti y tus invitados. La cocina está totalmente equipada con electrodomésticos modernos, utensilios de cocina y vajilla, lo que te permitirá preparar deliciosas comidas en la comodidad de tu hogar. La terraza del departamento es perfecta para aquellos que disfrutan cocinar al aire libre, ya que cuenta con una zona especialmente diseñada para preparar guisados. Aquí podrás disfrutar de momentos agradables al aire libre mientras cocinas y compartes con tus amigos y familiares. El departamento también cuenta con dos lugares de estacionamiento para que puedas guardar tu vehículo de forma segura y cómoda. Y, para tu tranquilidad, cuenta con servicio de vigilancia las 24 horas del día, lo que te permitirá sentirte seguro y protegido en todo momento. EasyBroker id: eb-pm2941. EasyBroker Clave interna: ersrts2941",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-y-equipado-en-renta-en-polanco-142698904.html,"MN 85,000","Galileo
Polanco IV Sección, Polanco","250 m² lote, 1 rec., 1 baño, 2 estac.",Polanco IV Sección
"Un Departamento Por Piso, Edificio de 8 Niveles. Piso 7. 300 M2. Departamento Amueblado Y Equipado Totalmente. Entrada Directa Del Elevador al Departamento. •3 Recamaras, •2 1/2 Baños, •Estancia Sala-Comedor. •Sala de Tv, •Desayunador, •Cocina Integral Equipada, •Cuarto de Servicio Con Baño, •Cuarto de Lavado Y Planchado, Con Lavadora Y Secadora. •4 Cajones de Estacionamiento. Vigilancia Las 24 Hrs. Cámaras De Circuito Cerrado. Muy Buena Ubicación, Cerca De Importantes Centros Comerciales, Centros de Negocios, a Pasos Del Hospital Español, Escuelas. Importantes Vías De Comunicación, Metro Polanco.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-lujoso-departamento-totalmente-amueblado-en-147438091.html,"MN 150,000","ARQUIMIDES
Polanco IV Sección, Polanco","300 m² lote, 3 rec., 2 baños, 4 estac.",Polanco IV Sección
"Garden House Amueblado en Renta en Zona Exclusiva de PolancoCuenta con jardín de 105 m2, el precio de renta incluye mantenimiento y arreglo del jardín. eb-te5626",https://www.inmuebles24.com/propiedades/clasificado/alclapin-garden-house-amueblado-en-renta-en-polanco-iv-seccion-147409021.html,"MN 79,000","Eugenio Sue 122
Polanco IV Sección, Polanco","240 m² lote, 3 rec., 3 baños, 1 estac.",Polanco IV Sección
