Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Hermoso departamento 2o nivel muy bien ubicado cerca avenida rio churubusco, Y municipio libre, excelente condominio con seguridad privada, cuenta con 2 recamaras, 2 bañoscompletos, cocina equipada un estacionamiento, elevador, area de negocios. Incluye mantenimiento",https://www.inmuebles24.com/propiedades/clasificado/alclapin-en-renta-andres-molina-enriquez-av-de-las-torres-59239792.html,"MN 16,500","ANDRES MOLINA ENRIQUEZ AV DE LAS TORRES
San Andrés Tetepilco, Iztapalapa","70 m² lote, 2 rec., 2 baños, 1 estac.",San Andrés Tetepilco
"Departamento en planta baja de 1 recámara amplia, cocina amplia, sala-comedor, baño y área de lavado. No acepta mascotas. Cerca de vialidades importantes como Eje 6 Sur Pie de la Cuesta, Av. Andrés Molina E, Av. Emilio Carranza y Plutarco E. Calles. Cercano a metros Nativitas y Portales (Línea 2)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147310676.html,"MN 7,200","ALFAJAYUCAN
San Andrés Tetepilco, Iztapalapa","30 m² lote, 1 rec., 1 baño",San Andrés Tetepilco
"Departamento de 2 habitaciones, 1 baño, sala comedor, cocina, area de lavado integrada al departamento, se encuentra en primer nivel, 1 lugar de estacionamiento. El condominio cuenta con vigilancia las 24 hrs, acceso controlado, áreas comunes con juegos al aire libre, cerca de vialidades importantes",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147454835.html,"MN 10,200","PORTO ALEGRE
San Andrés Tetepilco, Iztapalapa","68 m² lote, 2 rec., 1 baño, 1 estac.",San Andrés Tetepilco
"Moderno Y comodo departamento remodelado totalmente ubicado en planta baja, en edificio de solo dos departamentos. Muy iluminado ideal para home office. - amplia estancia con vista A terraza O patio. - cocina integral abierta con barra. - agradable patio O terraza con area para lavanderia. - pasillo distribuidor. - recamara con closet. - estudio O segunda recamara con closet. . Baño con regadera con cancel cristal templado. - un estacionamiento. excelente comunicacion, todos los medios de transporte Y servicio, rapidas vias de acceso, eje 6 angel urraza, tlalpan, plutarco elias calles. todos los medios de transporte Y servicios. informes Y citas: leticia esparza. celular Ver datos. oficina Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-reforma-iztaccihuatl-renta-departamento-80-m.-con-90797755.html,"MN 15,000","CALZ. DE LA VIGA
Reforma Iztaccihuatl Sur, Iztacalco","77 m² lote, 2 rec., 1 baño, 1 estac.",San Andrés Tetepilco
"¡Descubre tu nuevo hogar! Este departamento en renta es la opción perfecta para quienes buscan comodidad y estilo en un solo lugar. Con 70 m² de construcción, ofrece un espacio bien distribuido con 3 recámaras y 1 baño, ideal para tu familia o compartir con roomies. Características destacadas: - Cocina integral: Equipada y moderna, lista para que prepares tus platillos favoritos. - Espacios amplios y luminosos: Las habitaciones cuentan con ventanas que permiten la entrada de luz natural. - Acabados elegantes: Pisos de cerámica que aportan un toque sofisticado. - Amenidades prácticas: Patio de lavado, calentador de agua, tinaco y tanque de gas estacionario, todo pensado para tu comodidad. - Estacionamiento: Un lugar seguro para tu auto. Este departamento es más que un lugar para vivir, es un espacio donde crearás momentos inolvidables. ¡No dejes pasar esta oportunidad y hazlo tuyo! Wig: ppjoW6W",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-reforma-iztaccihuatl-147421364.html,"MN 16,000","Playa Pie de la Cuesta
Reforma Iztaccihuatl Sur, Iztacalco","70 m² lote, 3 rec., 1 baño, 1 estac.",San Andrés Tetepilco
"Lindo departamento en renta 80 metros distribuidos en dos piso en la planta baja se encuentra estancia, medio baño, cocina integral, área de lavado, terreza, en primer piso dos recámaras con closet, dos baños completos, balcón en ambas recámaras, un lugar de estacionamiento compartido, el departamento se encuentra en primer piso exterior, costo de renta 20, 000 mas 1, 500 de mantenimiento. El departamento se encuentra en perfectas condiciones A estrenar, la ubicación es inigualable A dos calles del metro portales Y A tres calles del metro ermita, zona segura Y comercial. Informes Y citas al Ver datos con ivonne farfan",https://www.inmuebles24.com/propiedades/clasificado/alclapin-lindo-departamento-en-portales-nuevo-147413015.html,"MN 20,000","Miravalle
Portales Oriente, Benito Juárez","80 m² lote, 2 rec., 2 baños, 1 estac.",San Andrés Tetepilco
"Departamento muy iluminado con una excelente ubicación. Consta de 64 m2 habitables más 62 m2 de rg privado, 2 recámaras, 2 baños y 1 lugar de estacionamiento en línea de 2. Área de lavado integrada. En el edificio se cuenta con vigilancia 24 horas, está ubicado en 5to. Piso con elevador. Muy cerca de todos los medios de transporte: a 2 cuadras del metro Portales, muy cerca de Plutarco E. Calles. Restricciones: no mascotas. Requisitos: 1 mes de renta + 1 mes de depósito + Fiador con propiedad libre de gravamen + Póliza jurídica $4, 505",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-portales-oriente-147200452.html,"MN 17,500","Miraflores 415
Portales Oriente, Benito Juárez","64 m² lote, 2 rec., 2 baños, 1 estac.",San Andrés Tetepilco
"¡Comodidad, ubicación y practicidad en un solo lugar! Este acogedor departamento de aproximadamente 70 m², ubicado en el piso 2 de un edificio con elevador, en la tranquila y céntrica Colonia Albert, es ideal para quienes buscan vivir con estilo y funcionalidad. 2 recámaras con excelente iluminación 2 baños completos Cuarto de servicio (ideal como bodega o área de lavado) 1 cajón de estacionamiento Elevador en el edificio Mantenimiento mensual: $1, 500 Disponible para habitar a partir del 15 de agosto Ubicado en una zona estratégica con acceso a avenidas principales, transporte público, parques y todos los servicios. ¡Agenda tu cita y conoce tu próximo hogar!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-colonia-albert-benito-juarez-146960019.html,"MN 17,500","Benito Juárez
Albert, Benito Juárez","70 m² lote, 2 rec., 2 baños, 1 estac.",San Andrés Tetepilco
"Excelente departamento interior muy iluminado, en el primer piso, con elevador, seminuevo, con canceles de cristal templado en los. baños, cubiertas de granito en la cocina y en los dos baños. Un cajón de estacionamiento solo para auto chico. Muy céntrico a una cuadra del viaducto Tlalpan, excelentes vías de comunicación. Requisitos: Una renta de deposito. La renta del mes que vaya corriendo. Fiador con bien inmueble en Ciudad de México ó en Naucalpan, Huixquilucan, Tlalnepantla, Atizapán y Querétaro. Ingresos que demuestren el 3 a 1 del valor de la renta con recibos de nomina o estados de cuenta bancarios.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-elisa-departamento-en-renta-146760983.html,"MN 15,300","Elisa 241
Del Carmen, Benito Juárez","70 m² lote, 2 rec., 2 baños, 1 estac.",San Andrés Tetepilco
"Estrena departamento ubicado en Col. Portales Oriente, consta de estancia, cocina equipada abierta, área de lavado, 2 recámaras con clóset, clóset de blancos, dos baños completos (uno en la recámara principal), excelentes acabados, con roof garden privado, interfón, seguridad privada, elevador, un lugar de estacionamiento. Cerca de centros comerciales, restaurantes y parques, en una zona con diferentes vías de comunicación, a dos calles de Calz. Tlalpan (metro Portales), muy cerca Av. Plutarco Elías Calles, División del Norte, Eje Central, Eje 7 Sur Municipio Libre. Ven a conocerlo, apártalo y estrénalo! - El precio de renta incluye mantenimiento de $1, 200. - Acepta mascota pequeña. - Requisitos de Arrendamiento: Una renta adelantada, un depósito, fiador con bien raíz libre de gravamen, pago de póliza jurídica por $6, 650.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-portales-oriente-146485978.html,"MN 24,000","Suiza 32
Portales Oriente, Benito Juárez","111 m² lote, 2 rec., 2 baños, 1 estac.",San Andrés Tetepilco
