Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Casa nueva, ubicada en en el pueblo de San Bartolo Ameyalco. (Por Rancho San Francisco). Casita moderna construida en 3 niveles. Consta de planta baja con estancia sala comedor, con cocina con espacio para un antecomedor, subiendo en primer piso tiene una habitación amplia, closet y un baño completo y en latercera planta, tiene el roof garden privado, con área para lavado. Estacionamiento para un automovil",https://www.inmuebles24.com/propiedades/clasificado/alclapin-casa-de-lujo-en-renta-de-una-habitacion-roof-garden-147352473.html,"MN 13,500","Avenida Hidalgo 14
San Bartolo Ameyalco, Alvaro Obregón","90 m² lote, 1 rec., 1 baño, 1 estac.",San Bartolo Ameyalco
"Este depa esta en la torre B, tiene una excelente terraza (15 metros) de muy buen tamaño con vistas verdes, lindisimos pisos de madera y cocina abierta. Las recamaras tienen grandes ventanales, les entra mucha luz, cada una con su baño, la principal con vestidor. Ademas área de lavandería. Excelentes áreas comunes: alberca, gimnasio, salón de adolescentes y de fiestas, pista para correr, ludoteka, etc. Ya incluye mantenimiento. No bodega. EasyBroker: eb-jh7089",https://www.inmuebles24.com/propiedades/clasificado/alclapin-santa-fe-3-cumbres-79343578.html,"MN 49,000","Av. de los Poetas 89
San Bartolo Ameyalco, Alvaro Obregón","200 m² lote, 3 rec., 3 baños, 2 estac.",San Bartolo Ameyalco
"Se renta espectacular departamento con vista al bosque. 240 mts habitables. 15 mts terraza. 2445total. 3 Amplias Recamaras con baño Y vestidor cada una. Sala con vista espectacular al bosque. Comedor con terraza. Cocina. Estudio. Sala de tv. 3 estacionamientos. 1 bodega. Cuarto de servicio. Elevador directo al departamento. Acabados: pisos en madera de ingeniera, mármol, granito, calefacción, canceles, closet etc. Amenidades: un bosque de 6 hectareas con una casa club ""el castillo de Artigas donde se encuentra: alberca, gym, spa, restaurante, bar, biblioteca kids club, teens club, cancha de tenis, area de mascotas, salon de eventos. seguridad 24/7.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-bosque-6060-alvaro-obregon-rancho-san-147297959.html,"MN 65,000","Bosque
San Bartolo Ameyalco, Alvaro Obregón","253 m² lote, 3 rec., 4 baños, 3 estac.",San Bartolo Ameyalco
"*Bonita habitación de 20m2 con baño propio, ubicada dentro de una acogedora casa. El espacio ofrece privacidad y comodidad, ideal para 1 persona que busca un lugar tranquilo para descansar. Ubicada cerca de la Supervía Poniente, en San Bartolo Ameyalco, ofrece una combinación de tranquilidad y accesibilidad, ideal para quienes buscan un espacio confortable y bien conectado en la ciudad. A 5 minutos del tec de Monterrey, para desplazarte a la zona corporativa y escolar más importante de la ciudad. No Incluye Estacionamiento. *no se aceptan mascotas. La renta incluye: agua, luz, gas e internet y cocina compartida. El estudio se encuentra en una casa. Disponible para inicio de contrato 1 de mayo de 2025",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-habitacion-en-san-bartolo-ameyalco-144549693.html,"MN 7,500","Aguatitla 33, San Bartolo Ameyalco
San Bartolo Ameyalco, Alvaro Obregón","20 m² lote, 1 rec., 1 baño",San Bartolo Ameyalco
"Ubicada en una pequeña, arbolada privada de casas y departamentos, en la calle Hidalgo, en el pueblo de San Bartolo Ameyalco. (A solo 700m de Rancho San Francisco). Pequeña casita en renta distribuida en dos plantas, planta baja con estancia y cocina, en la planta alta se encuentra la recamara con un baño completo. Tiene espacio para poner la lavadora, estacionamiento para un auto.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-casita-estudio-de-una-habitacion-62788581.html,"MN 10,000","Hidalgo 14, san Bartolo Ameyalco
San Bartolo Ameyalco, Alvaro Obregón","55 m² lote, 1 rec., 1 baño, 1 estac.",San Bartolo Ameyalco
"Departamento en el exclusivo fraccionamiento Bosques de Santa Fe ubicado en desarrollo con amenidades como gran jardín, salón eventos y alberca, cancha padle y acceso directo al club sin necesidad de ir en automóvil. Elevador directo a recibidor, sala y family con acceso a terraza, comedor, estudio/sala de tv, baño visitas, cocina integral, 3 recámaras con vestidor y baño cada una, 2 habitaciones servicio, lavandería. 6 Cajones estacionamiento. 1 bodega. 1 Departamento por piso, excelente orientación y visas verdes.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-venta-y-renta-col.-bosques-de-santa-fe-146427717.html,"USD 8,500","Bosques de Santa Fe
San Mateo Tlaltenango, Cuajimalpa de Morelos","460 m² lote, 3 rec., 3 baños, 6 estac.",San Bartolo Ameyalco
"Excelente Departamento con acabados finos en piso alto Torres del Parque en el exclusivo fraccionamiento Club de Golf Bosques de Santa Fe. Vigilancia extrema 24/7 amenidades campo golf, canchas tenis, padle, fútbol, parque, restaurantes, cafetería, mucho más. Departamento con sala comedor con acceso a terraza con espléndida vista verde y orientación, family, cocina integral equipo Wolf, Subzero, baño visitas, 4 recámaras, lavandería, habitación servicio con baño, patio. 6 cajones estacionamiento. Acabados en pisos madera y mármol, calefacción hidrónica, filtración agua, iluminación, sonido y cortinas domótica. Amenidades del edificio: salón eventos, gym. Parque con juegos infantiles, pista jogging, bancas, jardín mascotas, etc. Rena Amueblado o sin Amueblar 10, 000 us",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-amueblado-venta-y-renta-club-de-golf-147204422.html,"USD 10,000","Club de Golf Bosques de Santa Fe
San Mateo Tlaltenango, Cuajimalpa de Morelos","460 m² lote, 4 rec., 3 baños, 6 estac.",San Bartolo Ameyalco
"Departamento amueblado en renta en alvaro obregon. Villa Verdún, Álvaro Obregón. $11, 000 incluido Agua, Luz y Gas. Tipo loft. 50m2. 1 Baño completo. 1 Lugar de estacionamiento. El internet se contrata a tu preferencia. No se aceptan mascotas. Agenda tu cita! .",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-alvaro-obregon-146680172.html,"MN 11,000","Lafayette 43, Villa Verdún, Álvaro Obregón, 01810 Ciudad de México, CDMX
Villa Verdún, Alvaro Obregón","50 m² lote, 1 rec., 1 baño, 1 estac.",San Bartolo Ameyalco
"Ubicado en Villa Verdun, fraccionamiento cerrado con caseta de vigilancia. Se encuentra a 5 minutos de Santa Fe y a 1 minuto de los puentes de los Poetas en la calle de Reims No. 112, primer piso, exterior. Amplio departamento. Muy iluminado. 100 m2 habitables más estacionamientos y cuenta con: Sala, comedor, Cocina social abierta con mesadas de granito, isla con cuatro bancos. Área de lavado, dos recamaras, la principal con baño integrado. Segundo baño completo. Pisos de porcelanato en estancia y loseta imitación madera en recamaras. Encortinado. Dos lugares de estacionamientos techados e independientes. Vigilancia 24 horas. La renta incluye cuota de mantenimiento, así como el consumo que se tenga de agua, luz y gas. Le podemos dar factura fiscal por el arrendamiento. Requisitos: -Mes de depósito-Mes de renta adelantada-Aval con propiedad libre de gravámenes en cdmx-Pagar la mitad de una póliza de arrendamiento, la otra mitad la pagará el propietario. -Llenar una solicitud de arrendamiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-reims-mant.-incl.-factura-fiscal.-147375725.html,"MN 19,500","Reims 112
Villa Verdún, Alvaro Obregón","100 m² lote, 2 rec., 2 baños, 2 estac.",San Bartolo Ameyalco
"Espectacular departamento dentro del club golf santa fe ""villas de la cañada"" en edificio chico de 5 niveles, acabados de lujo, iluminado, vistas verdes. amplia recamara principal con vestidor Y 2 baños, otras 2 recamaras C/U con baño Y vestidor, agradable terraza, estancia, sala, despacho, comedor, ante-comedor, cocina, cuarto de servicio, 6 cajones de estacionamiento, 1 bodega. áreas comunes salón de usos múltiples Y gimnasio en el propio edificio, incluye acción al campo de golf con casa club. Atención inmediata Ver datos 98",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-renta-club-de-golf-bosques-de-147359856.html,"USD 15,000","Fraccionamiento Club de Golf Bosques de Santa Fe
San Mateo Tlaltenango, Cuajimalpa de Morelos","549 m² lote, 3 rec., 3 baños, 6 estac.",San Bartolo Ameyalco
"Departamento en renta en piso 6, Residencial Cittá San Jerónimo, al sur de la Ciudad de México, a un lado de la Universidad Anáhuac del Sur y con acceso inmediato a Santa Fe, San Jerónimo y vías principales. Cuenta con 2 recámaras; la principal con baño completo y walking closet, 2 baños con cancelería de cristal templado, cocina integral abierta con barra de granito, sala-comedor con excelente iluminación natural, y vista al jardin central, área de lavado y 2 lugares de estacionamiento techados. El desarrollo ofrece seguridad 24/7 y una amplia gama de amenidades: alberca climatizada, jacuzzi, gimnasio, sauna, vapor, jogging track, salón de fiestas con jardín, salones para adultos y jóvenes, ludoteca, área de mascotas, asadores, jardines, elevadores y estacionamiento para visitas. Una excelente opción para quienes buscan vivir con confort, plusvalía y cercanía a servicios, escuelas, hospitales, parques y centros comerciales.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-citta-san-jeronimo-alvaro-147356681.html,"MN 21,000","Av. de las Torres 805
Torres de Potrero, Alvaro Obregón","78 m² lote, 2 rec., 2 baños, 2 estac.",San Bartolo Ameyalco
