Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento ubicado en la calle 1er Andador Alcanfores a media cuadra de Av. De las Águilas, muy cerca de restaurantes, cafeterías y tiendas de conveniencia. Tercer piso, sin elevador, exterior, muy iluminado, 65m2 habitables mas dos lugares de estacionamiento. Cuenta con 2 recámaras, la principal con baño integrado, encortinadas con BlackOut, segundo baño completo, Cocina social abierta con barra, área de lavado integrada al departamento, pisos laminados en estancia y recámaras, loseta en cocina, baños. Roof Garden Privado de 65m2 en el 4to piso, el cual cuenta con: Medio baño de visitas, Asador construido con mesas de trabajo y tarja, bodega, vista abierta a la ciudad, pisos de loseta y se encuentra semitechado. Por reglamento del edificio, solo se acepta que cada departamento tenga un máximo de 1 mascota de tamaño pequeño. Portón eléctrico, conserje de lunes a sábado de 8am a 5pmRequisitos: -Mes de deposito-Mes de renta adelantada. -Aval con propiedad libre de gravámenes en cdmx. -Pagar la mitad de una póliza de arrendamiento, la otra mitad la pagara el propietario. -Llenar una solicitud de arrendamiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-roof-garden-privado-mant.-incluido.-147276862.html,"MN 17,000","1er Andador Alcanfores 142
San Clemente Sur, Alvaro Obregón","130 m² lote, 2 rec., 2 baños, 2 estac.",San Clemente Sur
"Superficie Habitable: 80. 74 m² Balcón: 11. 26 m² Magnífico departamento en la Colonia Ampliación Las Águilas. Excelente proyecto que ofrece espacios funcionales, iluminados y con excelentes acabados. Cuenta con estancia, balcón, closet de blancos y baño completo. Magnífica cocina integral. Dos recámaras, la principal con closet, baño completo y salida al balcón. El departamento tiene un área de lavado integrada de excelente tamaño, dos lugares de estacionamiento sin estorbarse con vecinos y bodega en área de estacionamientos. Inmejorables conexiones a vías rápidas como Periférico, Desierto de los Leones, Calzada Las Águilas, Super Vía Santa Fé, Rómulo O’Farril, Alta Tensión. El edificio cuenta con elevador, circuito cerrado de cámaras y vigilancia 24 horas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-en-renta-en-ampliacion-las-147382056.html,"MN 16,500","Calle Colina 97
Ampliación las Águilas, Alvaro Obregón","92 m² lote, 2 rec., 2 baños, 2 estac.",San Clemente Sur
"Departamento en renta semi amueblado sobre Desierto de los Leones, cerca de Televisa San Ángel, a 2 km de Periférico y a 2km de la supervía. El depa mide 72m² habitables, cuenta con una gran altura de 2. 90 m de piso a techo: Distribución: 2 recámaras2 baños2 cajones de estacionamientoSala ComedorCocinaÁrea de lavadoSemi amueblado:: Amenidades: :Vigilancia 24 hrs, cctv, Lobby, Gym, Ludoteca y Jardín Central. ¡Agenda tu cita!:: Requisito s:: 1 mes de renta y 1 mes de depósitoFiador u obligado solidario y póliza jurídicaComprobantes de ingresos y referencias personales",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-tetelpan-alvaro-obregon-semi-147456545.html,"MN 18,500","Departamento en Renta en Calzada Desierto de los Leones 4426
Tetelpan, Alvaro Obregón","72 m² lote, 2 rec., 2 baños, 2 estac.",San Clemente Sur
"Precioso departamento, parte alta de desierto, cerca del cruce con av. Toluca. Sin muebles, fotos solo para referencia, sala comedor, balcón con vista arbolada, cocina abierta, cuarto de lavado integrado. Dos recámaras, una con balcón, la principal con baño integrado. Un baño completo más que da servicio A la otra recámara Y A las visitas. 2 lugares de estacionamiento amplios, no se estorban con vecinos. Conjunto muy agradable, no tiene amenidades, elevador, seguridad 24 horas. Cerca de plaza comercial, tiendas, farmacias, etc. No lejos de santa fe Y cercano A la supervía poniente para ir hacia el sur. Escuelas de prestigio en la zona. Cuenta con: centro de lavado, mueble en la sala para colocar pantalla Y otro mueble en la recámara para colocar pantalla. Póliza de arrendamiento con fiador.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-desierto-parte-alta.-moderno-bonita-146367632.html,"MN 24,000","CAMINO AL DESIERTO DE LOS LEONES 5497
Tetelpan, Alvaro Obregón","90 m² lote, 2 rec., 2 baños, 2 estac.",San Clemente Sur
"En renta excelente departamento remodelado, muy amplio, con mucha luz, excelentes acabados!, por el colegio edron, cerca del colegio de policia!. Gran fraccionamiento con grandes areas verdes, espacio para fiestas Y estacionamiento para visitas!. Cuenta con 110 M2 de construccion, hermosa cocina integral, amplia estancia, area de tv O estudio, 2 recamaras, la pricipal con woking closet Y baño, la segunda recamara con closet Y baño que se comparte con las visitas, area de lavado Y cuarto de servicio con baño, 2 lugares de estacionamiento. Vigilancia 24 hrs. La renta incluye el mantenimiento!!. No se aceptan mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-colonia-tetelpan-en-alvaro-147210137.html,"MN 21,000","Calzada Desierto de los Leones 5906
Tetelpan, Alvaro Obregón","110 m² lote, 2 rec., 2 baños, 2 estac.",San Clemente Sur
"Sobre avenida Desierto de los Leones pasando Rancho San Francisco cerca de Santa Fe, rento departamento remoedelado de 150m2 en dos niveles, con sala-comedor hermosas vistas, amplia cocina con espacio para centro de lavado, una recamara en Planta Baja con baño completo, terraza y en planta Alta, 2 recamaras, la principal con baño, vestidor y terraza, la segunda recamara con closet. En la parte de arriba un pequeño estudio con hermosas vistas, ideal para ""Home Office"", un lugar de estacionamiento. En la renta incluye el mantenimiento",https://www.inmuebles24.com/propiedades/clasificado/alclapin-cerca-de-santa-fe-sobre-calzada-de-desierto-de-los-65917297.html,"MN 16,000","Deseierto de los Leones 6569
Tetelpan, Alvaro Obregón","150 m² lote, 3 rec., 2 baños, 1 estac.",San Clemente Sur
"Espectacular departamento en dos niveles en residencial Sahara, tres recamaras, tres baños, cuarto de tv, cuarto de servicio o estudio, dos balcones, roof garden propio de 119m2. Mantenimiento incluido en la renta. Salón de fiestas, salón de usos múltiples, seguridad 24/7.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-renta-o-venta-departamento-en-desierto-de-los-leones-144889267.html,"MN 35,000","Calzada Desierto de Los Leones 5438
Tetelpan, Alvaro Obregón","238 m² lote, 3 rec., 3 baños, 3 estac.",San Clemente Sur
"Departamento con balcón, preciosa vista arbolada. La vista da al jardín común. Estancia, cocina abierta, cuarto de lavado integrado, 2 recámaras, la principal con baño Y vestidor. Seguridad privada 24 horas, salón de fiestas, jardín común con juegos, gimnasio, salón de adultos, ludoteca, elevador. Excelente mantenimiento del conjunto. Renta con mantenimiento incluido. No se aceptan mascotas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-con-balcon-desierto-de-los-leones-147063422.html,"MN 21,000","Calzada al Desierto de los Leones 5300
Tetelpan, Alvaro Obregón","90 m² lote, 2 rec., 2 baños, 2 estac.",San Clemente Sur
"Excelente departamento ubicado en el Conjunto Galaxia San Ángel, en el Condominio ""D"", pudiendo llegar a él por Camino al Desierto de los Leones o por Calzada de las Águilas. Mide 64 m2 y está ubicado en quinto nivel. Cuenta con elevador. Consta de 2 recámaras con closet, sala, comedor, baño, cocina integral y zotehuela. Cuenta con un lugar de estacionamiento fijo. Seguridad las 24 horas del día contando con doble caseta de vigilancia. Lugar para guardar bicis en área común. La torre cuenta con elevador y pequeñas áreas verdes. Se encuentra en buen estado de conservación y las áreas comunes cuentan con buen mantenimiento. Excelente ubicación a menos de 10 minutos del periférico, cerca de Altavista y Televisa San Ángel e itam, a 5 minutos de Walmart Las Águilas. Importantes vías de comunicación cercanas. Cuota de mantenimiento mensual de $1, 100. 00 M. N. Y renta de $13, 000. 00 M. N. Visítalo, ¡te gustará!. Informes con Teresa Chávez al Ver datos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-2-recamaras-en-galaxia-san-angel-147210749.html,"MN 13,000","Real de Minas 4375B
Tetelpan, Alvaro Obregón","64 m² lote, 2 rec., 1 baño, 1 estac.",San Clemente Sur
"Departamento muy iluminado. Muy bonito diseño, muy funcional. Sala comedor, balcón, cocina abierta, cuarto de lavado. 1 recámara, estudio (podría ser rec. Pequeña con cama individual) Y 2 baños completos. 2 lugares de estacionamiento. Muy buenos acabados. Vidrios anti-ruido. Vigilancia 24 horas. Precio incluye el mantenimiento de $2, 700. 00. Fiador Y póliza de arrendamiento.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-desierto-esquina-av-toluca-55818819.html,"MN 19,000","DESIERTO DE LOS LEONES 5497
Tetelpan, Alvaro Obregón","82 m² lote, 1 rec., 2 baños, 2 estac.",San Clemente Sur
