Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en Renta – San Jerónimo (100 m²) ? A un lado de la pastelería La Casita | Muy cerca de la Bandera¡Amplio, cómodo y con excelente ubicación! Este departamento de 100 m² se encuentra en una de las zonas más prácticas del sur de la ciudad, a solo unos pasos de la Bandera de San Jerónimo y justo junto a la pastelería La Casita. Características: 2 recámaras con buena iluminación2 baños completos1 lugar de estacionamientoSala-comedor ampliaCocina integralÁrea de lavadoExcelente conectividad a Periférico Sur, supermercados, escuelas, transporte público y zonas comerciales.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-san-jeronimo-lidice-147136415.html,"MN 24,000","San Jerónimo Lidice
San Jerónimo Lídice, La Magdalena Contreras","100 m² lote, 2 rec., 2 baños, 1 estac.",San Jerónimo Lídice
"Ph en san jeronimo lidice. Departamento con magnifica vista, excelente iluminación natural, ubicado en el séptimo piso, Cuenta con tres recámaras con baños completos cada una, un walking-closet, una con tina de baño, una de las recámaras se localiza en el segundo nivel y cuenta con terraza amplia, estancia, sala comedor, cocina integral, cuarto de lavado con baño completo y patio, bodega, estacionamientos, con dos elevadores y vigilancia las 24 horas. Se localiza entre las avenidas principales como anillo periférico y Av. Contreras. El monto de la renta no incluye el mantenimiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-blvd.-adolfo-ruiz-cortines-2775-depto.-ph2-146012747.html,"MN 34,100","BLVD. ADOLFO RUIZ CORTINES, 2775
San Jerónimo Lídice, La Magdalena Contreras","232 m² lote, 3 rec., 4 baños, 2 estac.",San Jerónimo Lídice
"Amplio departamento exterior en Av. San Bernabé en la parte baja. Cuenta con 120m2. Muy iluminado. Estancia sala - comedor con balcón. Cocina con barra de granito. Área de lavado. 2 recamaras con baño y vestidor cada una, medio baño de visitas. 2 estacionamientos. Bodega. Estacionamiento de visitas. Areas comunes: Salón de eventos, Lindo jardín de 300m2 aprox. Vigilancia 24/7. Mantenimiento incluido",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-av-san-bernabe-146602655.html,"MN 32,000","Av San Bernabe 147
San Jerónimo Lídice, La Magdalena Contreras","120 m² lote, 2 rec., 2 baños, 2 estac.",San Jerónimo Lídice
"Se renta casa de 80m2, más 85m2 de jardines. Sala comedor, cocina, una recámara grande y una pequeña, un baño completo y un lugar de estacionamiento es tipo fraccionamiento con 5 casas, zona muy tranquila. Se aceptan mascotas. Mes de renta, mes de depósito y póliza jurídica.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-casa-en-renta-col.-san-jeronimo-lidice.-147259900.html,"MN 16,000","Magnolia 26
San Jerónimo Lídice, La Magdalena Contreras","165 m² lote, 2 rec., 1 baño, 1 estac.",San Jerónimo Lídice
"Departamento en renta ubicado en San Jerónimo Lídice. Cuenta con 3 recámaras, ideal para familias o roomies. El interior ofrece sala, comedor y cocina integral equipada. Disfruta de 2 baños completos y prácticos clósets en las recámaras. En el exterior, cuenta con 2 lugares de estacionamiento independientes y estacionamiento para visitas. El edificio ofrece caseta de guardia y seguridad privada para tu tranquilidad. La zona de San Jerónimo Lídice es principalmente residencial, con un ambiente tranquilo y familiar. Encontrarás escuelas cercanas, así como servicios básicos como supermercados y farmacias. El transporte público es accesible, con diversas opciones de autobuses y vialidades importantes que facilitan la movilidad. La zona también ofrece áreas verdes y parques para actividades recreativas, así como restaurantes y comercios locales. La seguridad es un aspecto valorado en este barrio, con vigilancia y un ambiente vecinal.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-3-recamaras-en-renta-san-jeronimo-147272008.html,"MN 22,000","Av. Contreras
San Jerónimo Lídice, La Magdalena Contreras","90 m² lote, 3 rec., 2 baños, 2 estac.",San Jerónimo Lídice
"Departamento de 63m2 a dos cuadras de la Escuela Superior de Guerra en San Jerónimo Lídice, cuenta con estancia comedor, cocineta, baño, esta arriba del garaje de la casa principal, tiene unas magnificas vistas del jardín y se encuentra en una cerrada con acceso controlado por lo cual es una zona muy tranquila, vale la pena rentar en ese lugar ya que cuenta con tiendas de barrio a tres cuadras, Banco a cuadra y medio y a media cuadra de la super via.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-magdalena-contreras-66181323.html,"MN 15,000","Cerrada de Escuela Superior de Guerra 81
San Jerónimo Lídice, La Magdalena Contreras","63 m² lote, 1 rec., 1 baño, 2 estac.",San Jerónimo Lídice
"Departamento en renta ubicado en San Jerónimo Lídice. Cuenta con sala, comedor y cocina integral. Dispone de 3 recámaras con clóset y 1 baño completo, además de 1 medio baño. Todo el departamento tiene persianas. En el exterior, goza de 2 lugares de estacionamiento. El edificio ofrece caseta de guardia y seguridad privada, así como estacionamiento de visitas. Además, cuenta con área de lavandería e internet/wifi, y todos los servicios básicos (agua/luz) están incluidos. San Jerónimo Lídice es una zona predominantemente residencial, con un ambiente tranquilo y familiar. Cuenta con diversas opciones de transporte público, incluyendo acceso a avenidas principales. Encontrarás escuelas de nivel básico y medio superior en los alrededores, así como supermercados, tiendas de conveniencia y farmacias. Para el ocio, hay parques y restaurantes cercanos. La zona se percibe como segura y ofrece un ambiente de vida de barrio, ideal para familias y profesionales que buscan tranquilidad y cercanía a servicios.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-3-recamaras-en-renta-san-jeronimo-147349869.html,"MN 20,000","Av. Contreras
San Jerónimo Lídice, La Magdalena Contreras","90 m² lote, 3 rec., 1 baño, 2 estac.",San Jerónimo Lídice
"Espacio moderno, amplio y versátil dentro de la plaza comercial. Este exclusivo departamento en 2 niveles ofrece 165m2 de construcción ideal para quienes buscan comodidad funcionalidad y una excelente ubicación en el Sur de la Ciudad. Características principales: -2 Niveles con excelente distribución. -2 Recámaras con opción a una 3ra recamara o estudio. -2 Baños completos. -1/2 Baño visitas. -4 cajones de estacionamiento. -1 Bodega amplia. Gran iluminación natural y muy abundante gracias a que tiene ventanales amplios. Ubicado dentro de Plaza comercial con todos los servicios al alcance: Starbucks, Gimnasios, Salones de belleza, vigilancia 24/7 y Sistema de Seguridad con accesos controlado. Ubicación privilegiada en San Jerónimo a unos pasos de Periférico y con excelente conexión hacia Pedregal, AltaVista, San Ángel y Santa Fe.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-parte-baja-de-san-jeronimo-147398487.html,"MN 40,000","Av. San Jerónimo 819
San Jerónimo Lídice, La Magdalena Contreras","165 m² lote, 2 rec., 2 baños, 4 estac.",San Jerónimo Lídice
"Date el gusto de vivir en la parte alta de una plaza que lo tiene todo: Gimnasio, cafés, restaurantes y cercano a vías de comunicación. Este impecable departamento cuenta con 2 amplias recámaras, tres baños completos, cocina de concepto abierto, una gran despensa, cuarto de servicio, área de lavado, sala, comedor. Una gran terraza con todo lo necesario para disfrutar con la familia y amigos. Dos lugares de estacionamiento y vigilancia 24/7. No pierdas la oportunidad de conocerlo.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-magnifico-departamento-en-pasaje-san-jeronimo.-147205813.html,"MN 46,000","Av. San Jerónimo 819
San Jerónimo Lídice, La Magdalena Contreras","168 m² lote, 2 rec., 3 baños, 2 estac.",San Jerónimo Lídice
"Exclusivos desarrollo ubicado en el corazón de las principales colonias residenciales del Sur de la ciudad. (Pedregal y San Ángel). Pedre cuenta con 110 departamentos desde 1 hasta 3 recámaras, todos con terraza y vistas espectaculares. 1 Torre de 14 niveles con 6 elevadores, 4 sótanos de estacionamiento, Gimnasio, Carril de Nado, Restaurante, Área de asadores y terraza común con vista de 360° a la ciudad. Además contamos con servicio exclusivo de Concierge.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-a-estrenar-av-san-jeronimo-142865376.html,"MN 74,000","Avenida San Jerónimo, 111
San Jerónimo Lídice, La Magdalena Contreras","227 m² lote, 3 rec., 3 baños, 2 estac.",San Jerónimo Lídice
