Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Viva en un concepto integral de confort y modernidad. Desarrollo de 2 edificios de uso mixto: centro comercial, museo del automóvil y uso habitacional. Ubicado sobre Av. División del Norte, a unos minutos de grandes vialidades como Calzada de Tlalpan, Av. Miguel Ángel de Quevedo y Periférico Sur, lo que le permite una excelente movilidad en la zona. El Departamento consta de 2 recámaras, la principal con baño al interior y walking closet y la segunda con baño en pasillo. Cuenta con una estancia luminosa, cocina abierta, área de lavado y 2 lugares de estacionamiento exclusivos para el departamento. Vigilancia las 24hrs. Con cámaras y personal de seguridad. El edificio cuenta las siguientes amenidades: Ludoteca, Salón de usos múltiples, área de asador, área con juegos infantiles, club social, business center, lavandería. Con la comodidad de un centro comercial con restaurantes y un club con alberca y gimnasio, con descuento para residentes.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-yama-punta-museo-coyoacan-146856361.html,"MN 21,000","Av. División del Norte 3572
San Pablo Tepetlapa, Coyoacán","80 m² lote, 2 rec., 2 baños, 2 estac.",San Pablo Tepetlapa
"Renta departamento! Yama punta museo de 2 recamaras, 78M2, 2 baños completos, area de lavado, 2 estacionamientos, incluye bodega de 5M2, piso 7, la renta incluye mantenimiento, se aceptan mascotas. inormes Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-de-2-recamaras-78-m-sup2--en-yama-147386186.html,"MN 21,000","AV DIVISION DEL NORTE 3572
San Pablo Tepetlapa, Coyoacán","78 m² lote, 2 rec., 2 baños, 2 estac.",San Pablo Tepetlapa
"Ref: 2 5 4 5 4 5. En renta este hermoso departamento en San Pablo Tepetlapa, Coyoacán, Ciudad de México. Con una ubicación privilegiada, este inmueble cuenta con 1 recámara, 1 baño y 51 m2 de construcción, ideal para una persona o una pareja que busca comodidad y lujo en su estilo de vida. Con un diseño moderno y acabados de alta calidad, este departamento ofrece una experiencia única de vivienda. Además, este exclusivo desarrollo residencial cuenta con una variedad de amenidades que harán que cada día se sienta como unas vacaciones. En planta baja área comercial con restaurante, servicios, hasta n gimnasio totalmente equipado con alberca, esto con precio especial para inquilinos de la Torre Puna Museo. Además, se tiene una área de juegos infantiles y un asador para reuniones familiares y con amigos. También cuenta con un salón de fiestas, área de lavandería, elevadores, área de eventos, sistema de ventilación, closets, extractor de olores, cocina equipada, sala y comedor, pet friendly, intercomunicador, roof garden, espacio de co-working, completamente amueblado y seguridad privada las 24 horas. En las cercanías de este departamento, se pueden encontrar zonas de interés como el Centro Comercial Perisur, el Parque Nacional Fuentes Brotantes y el Museo Universitario de Arte Contemporáneo (muac), que ofrecen diversas opciones de entretenimiento, gastronomía y cultura. Además, las principales vías de acceso incluyen la Avenida Insurgentes Sur, el Metro Universidad y diversas ciclovías que hacen de este lugar una ubicación conveniente y conectada con el resto de la ciudad. No pierdas la oportunidad de estrenar y vivir en este exclusivo departamento en una de las zonas más atractivas de la Ciudad de México.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-amueblado-en-yama-punta-museo-147100101.html,"MN 17,000","División del norte 3572 , San Pablo Tepetlapa , 04620 Coyoacán, Ciudad de México, México
San Pablo Tepetlapa, Coyoacán","51 m² lote, 1 rec., 1 baño, 2 estac.",San Pablo Tepetlapa
"Excelente departamento ubicado en el Condominio “Yama Punto Museo”cerca de todos los servicios común parques, escuelas, centros comerciales, servicios financieros, avenidas principales etcétera. Consta de: Dos recámaras, Sala comedor, cocina equipada, dos baños completos, dos cajones de estacionamiento. El condominio cuenta con super amenidades como: área de juego para niños al aire libre, salones de eventos, tres salones de juegos, Área de lavado para uso del condominio con lavadoras y secadoras y demás amenidades. Gimnasio y restaurante. En la planta baja del condominio se encuentra el museo del automóvil, único en su categoría",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-147190874.html,"MN 18,000","Av división del norte 3572 San Pablo Tepetlapa Coyoacán CDMX
San Pablo Tepetlapa, Coyoacán","200 m² lote, 2 rec., 2 baños, 2 estac.",San Pablo Tepetlapa
"Cómodo Departamento en Renta – Cuarto pisoAmplio y bien iluminado, cuenta con: - 3 recámaras con closets en excelente estado. - 1 baño completo. - Sala comedor. - Cocina. - Espacio de lavado. - 1 cajón de estacionamiento techado. El edificio cuenta con área común y contenedores de basura exteriores. Condiciones de renta: - Contrato mínimo por 1 año. - Mes de renta corriente. - Mes de depósito en garantía. - Póliza jurídica (solicita investigación y obligado solidario/fiador). - No se admiten niños ni mascotas. Conócenos, somos creadores de hogares. Costo de renta: $13, 500. 00 mxn, mantenimiento incluido, no incluye servicios. *Los muebles mostrados en imágenes o recorridos no están incluidos en el arrendamiento. Precio y condiciones sujetos a cambios sin previo aviso.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-san-pablo-tepetlapa-coyoacan-147398330.html,"MN 13,500","Hidalgo 191. Col. San Pablo Tepetlapa, Alcaldía Coyoacán.
San Pablo Tepetlapa, Coyoacán","74 m² lote, 3 rec., 1 baño, 1 estac.",San Pablo Tepetlapa
"Disfruta de la seguridad y comodidad de vivir en Coyoacán, rodeado de comercios, escuelas, restaurantes y todo lo que necesites en un ambiente con amenidades para toda la familia. Departamento con 2 habitaciones, 2 baños, cocina integral, sala comedor y 2 estacionamientos.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-vive-en-coyoacan-en-un-ambiente-seguro-147306384.html,"MN 22,000","Avenida División del Norte 3572
San Pablo Tepetlapa, Coyoacán","69 m² lote, 2 rec., 2 baños, 2 estac.",San Pablo Tepetlapa
"Cómodo Departamento en Renta – Segundo pisoAmplio y bien iluminado, cuenta con: - 2 recámaras con closets en excelente estado. - 1 baño completo con área de regadera y cancel de cristal templado. - Sala comedor y espacio adicional ideal para tv u oficina. - Cocina integral de diseño. - Espacio de lavado. - 1 cajón de estacionamiento techado. El edificio cuenta con cámaras de seguridad en los cubos de escalera y contenedores de basura exteriores. Condiciones de renta: - Contrato mínimo por 1 año. - Mes de renta corriente. - Mes de depósito en garantía. - Póliza jurídica (solicita investigación y obligado solidario/fiador). - No se admiten niños ni mascotas. Conócenos, somos creadores de hogares. Costo de renta: $12, 500. 00 mxn, mantenimiento incluido, no incluye servicios. *Los muebles mostrados en imágenes o recorridos no están incluidos en el arrendamiento. Precio y condiciones sujetos a cambios sin previo aviso.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-san-pablo-tepetlapa-coyoacan-147396285.html,"MN 12,500","Hidalgo 191 Col San Pablo Tepetlapa. Alcaldía Coyoacán. CP. 04620.
San Pablo Tepetlapa, Coyoacán","74 m² lote, 2 rec., 1 baño, 1 estac.",San Pablo Tepetlapa
"Departamento en renta, Colonia Adolfo Ruiz Cortinez, Itzcuina. Distribución: Estancia. Cocina integral. 2 recamaras. 2 baños completo. 1 estacionamiento. Características: Superficie 70 m2. Terraza 25 m2. Forma de terreno regular. Edad: 1 años aprox. Piso en el que se encuentra 4. Niveles totales 5 niveles. Uso de suelo habitacional. Equipamiento del departamento: Instalación para tanque de gas lp estacionario. Calentador de agua. Lavadero. Closet en 2 recamaras. Contrato cfe. Equipamiento edificio: Tinacos. Vigilancia. Estatus de Inmueble: Inmueble nuevo. Inmueble deshabitado. Condiciones de Arrendamiento: - Un depósito en garantía. - Una renta adelantada. -Contrato con póliza jurídica mínimo 1 año. Póliza Jurídica dónde se solicita: - Tres últimos comprobantes de ingresos con un ingreso igual o superior a 3 veces el valor de la renta (3 últimos recibos de nómina, estados de cuenta o pagos de impuestos) - Fiador con propiedad libre de gravamen de la cdmx (copia de escritura, últimas boletas de agua y predial) Si no hay fiador, se pide Obligado solidario (mismos requisitos que el inquilino, ingresos igual o superior a 3 veces a el valor de la renta) - Constancia de situación fiscal actualizada. - Identificaciones oficiales de inquilino, fiador u obligado solidario. - Firma de contrato por un año con pagarés. Documentación con la que se cuenta: Copia de escritura pública. Boleta predial y agua. cfe. Esta o cualquier otra información documental del Inmueble está disponible en la Oficina previa Cita. Servicios de zona: Agua sacmex, cfe, drenaje, transporte público, servicios de municipio. Vialidades: Av del Imán, Av Aztecas, Av Calzada de Tlalpan. A 2. 1km de unam, a 2. 9 de Estadio Azteca.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-colonia-adolfo-ruiz-cortinez-147394108.html,"MN 14,900","Itzcuina
Adolfo Ruiz Cortines, Coyoacán","70 m² lote, 2 rec., 2 baños, 1 estac.",San Pablo Tepetlapa
"¡Únete como roomie y disfruta de este cuarto en este increíble departamento ubicado en una zona privilegiada de Coyoacán! A solo unos pasos del Museo Anahuacalli de Diego Rivera y del Club Deportivo Asturiano, con fácil acceso a las principales vías como División del Norte y Tlalpan. El departamento cuenta con circuito cerrado y cámaras de vigilancia para tu seguridad y tranquilidad. Además, el precio de renta incluye todos los servicios necesarios para tu comodidad incluidos en el precio de renta: luz, agua, internet y gas. En cuanto a las comodidades del departamento, tendrás a tu disposición: ventiladores de techo, estufa, fregadero, un baño compartido, utensilios de cocina, cuarto de lavado, zotehuela y lavadero. Todo lo necesario para hacer de este espacio tu hogar (habitación 12m2 y total del departamento 57m2). No se aceptan mascotas. No pierdas la oportunidad de vivir en este acogedora recamara en departamento compartido. ¡Contáctanos para más información y agenda una visita hoy mismo! Con Homie renta sin aval. Proceso 100% digital y diferentes formas de pago de tu renta, tú eliges. ¡Conoce ya esta habitación! Estás a pocos pasos de encontrar el hogar de tus sueños. Departamento de 57. 0 metros cuadrados cuenta con: - 1 habitación. - 1. 0 baño. Características: - Amueblado. - Cuarto de lavado. - Cuarto de servicio. Servicios: - Luz. - Gas. - Agua. - Cable. - Internet/Teléfono. Antigüedad: 11 años. . Número de habitantes recomendado: 1. Disponibilidad para mostrar: 27/agosto/2025. Disponibilidad para habitar: 27/agosto/2025. ¡Enamórate de tu vida en este departamento! # Homie Id: 4_3_0_2_2. Estos son los beneficios que tienes como inquilino al rentar tu nuevo hogar con nosotros: * No necesitas aval (sujeto a Términos y Condiciones). * Realiza el pago de tu renta mediante transferencia digital en nuestra plataforma o en efectivo en miles de locales disponibles. * Asistencia y conciliación con tu propietario. * Proceso sin burocracia, renta en cuestión de horas y sin trámites complicados. * Descuentos exclusivos en mudanzas, muebles y más. * Firma tu contrato de forma digital.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-habitacion-en-renta-para-roomies-en-adolfo-ruiz-143069646.html,"MN 5,000","Tetla
Adolfo Ruiz Cortines, Coyoacán","57 m² lote, 1 rec., 1 baño",San Pablo Tepetlapa
"Se renta cómodo y bien ubicado departamento en Adolfo Ruíz Cortínez, Ciudad de México. Ideal para familias pequeñas o parejas que buscan un hogar funcional y seguro. Características del inmueble: 2 habitaciones. 1 baño completo. Cocina integral. Área de lavado. Balcón. 2 bodegas en el mismo 4to piso. 1 lugar de estacionamiento. Se acepta una mascota pequeña. Amenidades del conjunto: Cisterna. Seguridad 24/7. Ubicado en una zona con fácil acceso a transporte público, escuelas, comercios y vialidades principales. Con Homie renta sin aval. Proceso 100% digital y diferentes formas de pago de tu renta, tú eliges. ¡Conoce ya este depa! Estás a pocos pasos de encontrar el hogar de tus sueños. Departamento de 60. 2 metros cuadrados cuenta con: - 2 habitaciones. - 1. 0 baño. - Se aceptan mascotas. - 1 lugar de estacionamiento. Características: - Balcón. - Cuarto de lavado. - Cocina integral. Amenidades: - Seguridad. - Cisterna. Antigüedad: Por estrenar. Número de habitantes recomendado: 4. Disponibilidad para mostrar: 02/septiembre/2025. Disponibilidad para habitar: 02/septiembre/2025. ¡Enamórate de tu vida en este departamento! # Homie Id: 6_2_8_7_5. Estos son los beneficios que tienes como inquilino al rentar tu nuevo hogar con nosotros: * No necesitas aval (sujeto a Términos y Condiciones). * Realiza el pago de tu renta mediante transferencia digital en nuestra plataforma o en efectivo en miles de locales disponibles. * Asistencia y conciliación con tu propietario. * Proceso sin burocracia, renta en cuestión de horas y sin trámites complicados. * Descuentos exclusivos en mudanzas, muebles y más. * Firma tu contrato de forma digital.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-adolfo-ruiz-cortinez-ciudad-60874807.html,"MN 14,000","Iztaccihuatl
Adolfo Ruiz Cortines, Coyoacán","60 m² lote, 2 rec., 1 baño, 1 estac.",San Pablo Tepetlapa
