Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamentos de 108mts con 2 recamaras Y un baño completo, sala comedor, cocina Y area de lavado, despensa amplia, semi amueblado (solo se renta con los muebles que tiene) cuenta con 2 lugares de estacionamiento, vigilancia 24 hrs, salon de usos multiples, gimnasio Y sala de coworking, mantenimiento incluido disponibilidad inmediata. Conocelo podemos concertar una cita al Ver datos con erika morales",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-semi-amueblado-en-renta-en-eje-central-lazaro-146378287.html,"MN 20,500","EJE CENTRAL LAZARO CARDENAS NO. 1130
San Simón Ticumac, Benito Juárez","108 m² lote, 2 rec., 1 baño, 2 estac.",San Simón Ticumac
"Espacios Inmobiliarios renta excelente departamento de 65 m2 para estrenar sobre la Calzada de Tlalpan, en la colonia San Simón Ticumac. Muy iluminado, magnífica ubicación, se encuentra en un segundo piso, es exterior y cuenta con balcón en las recámaras. Cuenta con sala, comedor, cocina semi abierta, 1 baño completo, vigilancia las 24 horas. Mantenimiento incluido en el precio de renta.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-para-estrenar-en-calzada-de-tlalpan-147146215.html,"MN 16,500","Calzada de Tlalpan 1159
San Simón Ticumac, Benito Juárez","65 m² lote, 2 rec., 1 baño",San Simón Ticumac
"Listo para entrar cerca del metro portales, con vigilancia las 24 horas, planta baja, con pequeño patio trasero, tres recamaras ( es un estudio pero por el tamaño puede utilizarse para una tercer recamara), las dos recamaras con closet, la principal con baño completo y un baño completo extra, amplia estancia comedor, cocina integral en excelentes condiciones, area de lavado amplio, cuenta con cajon de estacionamiento. Se rentara rápido pueden contactarme por correo o whatsapp Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-portales-a-5-minutos-del-metro-listo-para-habitarse-147437582.html,"MN 18,500","Calzada Santa Cruz
San Simón Ticumac, Benito Juárez","76 m² lote, 3 rec., 2 baños, 1 estac.",San Simón Ticumac
"Bienvenido al mejor desarrollo en la zona: lujo - seguridad - garantías - acabados - ubicación - exclusividad. Con su distintivo estilo de ciudad y su cómoda localización; tu nuevo departamento! ! Es donde realmente puedes tenerlo todo. Lugares que marcan tendencia, restaurantes galardonados y de clase mundial, eventos deportivos de élite y una escena social que siempre es vibrante y excitante. &quot;Es lo que mereces para tu estilo de vida. &quot;Características: Departamento con acabados de lujo! ! 2 Recamaras. 2 Baños Completos. 1 Estacionamiento. Iluminación y ubicación inigualable. Contáctanos para conocer tu nuevo hogar. Será un placer atenderte! ! z o n a h o g a r e s. C o mte ayudamos A tramitar cualquier crédito hipotecario. bancario, infonavit, cofinavit, fovissste, alia2, etc. Llama Ahora! Tel: Ver datos. Whatsapp: Ver datos. z o n a h o g a r e s. C o mImágenes y textos son únicamente referencia. No deben interpretarse con fiel base de detalles finales en las residencias y desarrollo. El desarrollo se reserva el derecho de modificar y realizar cambios como juzgue correcto a su única y absoluta discreción. Representaciones verbales no contarán como modelo representante del desarrollador. *ajuste de precios sin previo aviso*z o n a h o g a r e s. C o m",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-2-recamaras-2-banos-1-147401555.html,"MN 22,000","Cercano Alberca Olimpica
San Simón Ticumac, Benito Juárez","65 m² lote, 2 rec., 2 baños, 1 estac.",San Simón Ticumac
"Amplio departamento con excelente ubicación con superficie de 112 m², consta de 3 recamaras, 3 baños, sala, comerdor, cocina equipada, cuarto de servicio, area de lavado, y 1 lugar de estacionamineto, además el edificio cuenta con 2 elevadores.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-departamendo-en-condominio-145144698.html,"MN 20,000","Calzada de Tlalpan 1171
San Simón Ticumac, Benito Juárez","112 m² lote, 3 rec., 3 baños, 1 estac.",San Simón Ticumac
"Distribución: • Sala. • Comedor. • 3 Recámaras. • 2 Baños completos. • Cocina integral. • Área de lavado. • 1 lugar de estacionamiento para un auto pequeño. Características: • Superficie: 85 m2 con base a Avalúo. • Forma de Terreno: Regular. • Edad: 69 años aproximadamente. • Piso en el que se encuentra: 1piso. • Niveles Totales: 2. • Uso de suelo: Habitacional. • Se aceptan mascotas con previa autorización de propietario. Equipamiento del Departamento: • Gas estacionario independiente. • Lavadero. • Closet en recamaras. • Estufa. • Contrato cfe. Equipamiento Edificio: • Tinacos. • Escaleras. • Cisterna. Estatus del inmueble: • Inmueble Desocupado. • Inmueble Usado. Requisitos de arrendamiento: • Un mes de depósito en garantía. • La renta adelantada del mes corriente. • Póliza Jurídica dónde se solicita: Inquilino: Debe comprobar ingresos 3 veces el valor de la renta, tres últimos comprobantes de ingresos o estados de cuenta con un ingreso igual o superior a 3 veces el valor de la renta. Identificación actualizada, Constancia de Situación Fiscal actualizada, curp, Comprobante de domicilio, Acta de Nacimiento, Acta de Matrimonio en caso de estar casado por sociedad conyugal entregar documentación también del conyugue. • Obligado solidario o Fiador. Obligado Solidario: Debe comprobar ingresos 3 veces el valor de la renta, tres últimos comprobantes de ingresos o estados de cuenta con un ingreso igual o superior a 3 veces el valor de la renta. Identificación actualizada, Constancia de situación Fiscal actualizada, curp, Comprobante de domicilio, Acta de Nacimiento, Acta de Matrimonio en caso de estar casado por sociedad conyugal entregar documentación también del conyugue. • Fiador con propiedad libre de gravamen en la Ciudad de México. Debe presentar copia de escritura, últimas boletas de agua y predial. Constancia de Situación Fiscal actualizada. •Firma de contrato por un año con pagarés. Documentación con la que se cuenta: • Escritura Pública. • Boleta predial. Esta y otra información documental del inmueble disponible en oficina con previa cita. Servicios de la Zona: • Agua. • cfe. • Drenaje. • Servicios municipales. • Gas. • Transporte Publico. Vialidades y transporte público. • A 180 Mts de José Ma. Vértiz. • A 350 Mts de Eje Central Lázaro Cárdenas. • A 1 Km de la estación del Metro División del Norte. • A 400 Mts de Eugenia. • A 1 Km de Av. Universidad, Cuauhtémoc y División del Norte. Comercios cercanos. • A 1. 7 Kms de Selecto Chedraui Universidad. • A 1. 7 Kms de Pabellón Del Valle, Cinemex. • A 2. 8 Kms de Plaza Universidad. Parques. • A 950 Mts del Parque de los Venados. Entorno: • Habitacional",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-independencia-benito-juarez-147293100.html,"MN 18,000","Mitla
Independencia, Benito Juárez","85 m² lote, 3 rec., 2 baños, 1 estac.",San Simón Ticumac
"Este departamento en renta se ubica en Portales Norte. Cuenta con 3 recámaras y 2 baños completos, además de un medio baño para visitas. La distribución incluye sala, comedor y una cocina integral equipada. Tiene área de lavandería. Disfruta de 1 lugar de estacionamiento. Se aceptan mascotas. Portales Norte es una zona predominantemente residencial y tranquila, ideal para familias. Encontrarás escuelas cercanas, así como supermercados y tiendas de conveniencia. El transporte público es accesible, con estaciones de Metro y Metrobús en las cercanías. La zona ofrece un ambiente de barrio, con parques y espacios para recreación. La seguridad es buena, lo que la convierte en una excelente opción para vivir. Requisitos: identificación oficial vgente, comprobante de ingresos de los tres últimos meses, fiador U obligado solidario, dos meses de depósito, un mes de renta, no póliza jurídica. Solicitud de arrendamiento. 1, 500. 00 M. N. Para verificación de datos. Contacto: rosalía cervantes. cel 55Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-departamento-portales-norte-147384130.html,"MN 18,500","Alhambra 218
Portales Norte, Benito Juárez","110 m² lote, 3 rec., 2 baños, 1 estac.",San Simón Ticumac
"Mtto gratis primer año | roof privado directo | 2 niveles con 140 m2 total. W A: 55. 67. 03. 86. 51. • 2 recámaras (principal con baño completo privado). • 3 baños completos en total. • Cocina integral. • Sala – Comedor iluminados y con excelente distribución y balcón en sala. • Roof Garden privado baño completo y clóset de blancos. • Cuarto de lavado y bodega privada. • 2 lugares de estacionamiento con elevador independiente. Entrada independiente por el departamento o directo a roof garden. Extras: Acabados modernos. Privacidad y seguridad. A 1 cuadras del parque de los venados. Calle tranquila. Varios comercios como Oxxo y restaurantes al rededor. Departamento a estrenar. Renta mensual: $30, 000 mxn -mantenimiento incluido el primer año- requisitos. Mes de renta. Mes de depósito. Obligado solidario o Fiador con bien inmueble en cdmx. Comprobación de Ingresos. Poliza jurídica. Reporte de Buró de crédito",https://www.inmuebles24.com/propiedades/clasificado/alclappa-penthouse-2-niveles-roof-garden-privado-mtto-147300312.html,"MN 30,000","Bulgaria 142
Portales Norte, Benito Juárez","140 m² lote, 2 rec., 3 baños, 2 estac.",San Simón Ticumac
"Departamento con excelente distribución en sus espacios, buena ventilacion en cada area, sistema inteligente en su iluminacion, puerta de acceso con cerradura digital. Acabado de lujo, cubierta de granito en la cocina con alacena en blaco brillante. Super catina con frigobar integrado. Caracteristicas: 1 recamara con balcon grande, closet con cajoneras, zapareto, baño completo y pantalla para proyector. 1 recamara con closet grande. 1 baño completo para segunda recamara y sala/comedor. Estacia grande para comedor y sala grande. Mueble de tv con luces integradas. Cocina abierta con barra desayunador en granito. Mueble despensero. Cantina con frigobar integrado. Closet de area de lavado. 2 espacios de estacionamiento. 1 Bodega grande de 9 m2. Gas Natural. Vigilancia 24 hras. Elevador desde estacionamiento. El precio incluye el mantenimiento. No se encuntra amueblado solo es representacion de los espacios. Agenda tu visita. wig: plOzhaf",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-benito-juarez-147109986.html,"MN 27,500","Zempoala 104
Independencia, Benito Juárez","107 m² lote, 2 rec., 2 baños, 2 estac.",San Simón Ticumac
"Departamento muy iluminado con una excelente ubicación. Consta de 64 m2 habitables más 62 m2 de rg privado, 2 recámaras, 2 baños y 1 lugar de estacionamiento en línea de 2. Área de lavado integrada. En el edificio se cuenta con vigilancia 24 horas, está ubicado en 5to. Piso con elevador. Muy cerca de todos los medios de transporte: a 2 cuadras del metro Portales, muy cerca de Plutarco E. Calles. Restricciones: no mascotas. Requisitos: 1 mes de renta + 1 mes de depósito + Fiador con propiedad libre de gravamen + Póliza jurídica $4, 505",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-portales-oriente-147200452.html,"MN 17,500","Miraflores 415
Portales Oriente, Benito Juárez","64 m² lote, 2 rec., 2 baños, 1 estac.",San Simón Ticumac
"Recién remodelado departamento exterior en primer piso sin elevador, super iluminado en estupenda ubicación, muy cerca del metro portales Y con todos los servcios al rededor, ubicado en segundo piso sin elevador. distribuido en 80 M2 tiene sala comedor con balcon Y ventanales de piso A techo, cocina con espacio para refrigerador grande, dos recámaras Y un baño compartido, espacio para centro de lavado. no tiene lugar de estacionamiento. EasyBroker id: eb-lh0602. no se aceptan mascotas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-portales-norte-64872545.html,"MN 15,000","CALZADA DE TLALPAN 1314
Portales Norte, Benito Juárez","80 m² lote, 2 rec., 1 baño",San Simón Ticumac
"19, 900 mantenimiento incluido. * acabados de lujo. * 75 m2. * 2 piso con Elevador. * 2 recámaras. * 2 baños con cancel de cristal templado. * Cocina integral. * Área de lavado. * Gas natural. * Cisterna. * Estacionamiento techado para 1 auto. * Puertas y closets italianos. * Bodega. * Lobby. * Seguridad 24 hrs. Con Circuito cerrado. Requisitos: ⁃ 1 renta de depósito. ⁃ 1 renta que corre. ⁃ Póliza con valor de 6, 926. ⁃ Se firman 11 pagarés por el valor de una renta. Documentos: -Identificación. -Buró de crédito. -Comprobantes de ingresos de los últimos 3 meses. (3 a 1)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-angel-urraza-esquina-con-monte-alban-147408827.html,"MN 19,900","Angel Urraza 1839
Independencia, Benito Juárez","75 m² lote, 2 rec., 2 baños, 1 estac.",San Simón Ticumac
"Este increíble inmueble se encuentra en el 91 de Río Churubusco, piso 3, ofreciendo comodidad y estilo en cada rincón. Edificio con vigilancia 24 horas, cctv en todo el edificio, con elevador y rooftop común. El equipamiento consiste entre otros de: camas, escritorios para home office, sala, comedor, refrigerador, centro de lavado, internet, tv, persianas blackout eléctricas y translúcidas manuales. Chapa de acceso electrónica al departamento. Se incluye con el pago de la renta: mantenimiento mensual del condominio. Se pagan adicionalmente a la renta mensual los recibos de consumos: luz, gas e internet. *Como requisito se debe realizar investigación y contratación de póliza jurídica. * Todas las imágenes mostradas en este anuncio son para fines ilustrativos, el resultado final puede variar. Es importante hacer una visita al inmueble para conocer características y/o acabados.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-portales-norte-146883870.html,"MN 30,000","Av. Río Churubusco 91
Portales Norte, Benito Juárez","108 m² lote, 3 rec., 2 baños, 2 estac.",San Simón Ticumac
"Excelente departamento interior muy iluminado, en el primer piso, con elevador, seminuevo, con canceles de cristal templado en los. baños, cubiertas de granito en la cocina y en los dos baños. Un cajón de estacionamiento solo para auto chico. Muy céntrico a una cuadra del viaducto Tlalpan, excelentes vías de comunicación. Requisitos: Una renta de deposito. La renta del mes que vaya corriendo. Fiador con bien inmueble en Ciudad de México ó en Naucalpan, Huixquilucan, Tlalnepantla, Atizapán y Querétaro. Ingresos que demuestren el 3 a 1 del valor de la renta con recibos de nomina o estados de cuenta bancarios.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-elisa-departamento-en-renta-146760983.html,"MN 15,300","Elisa 241
Del Carmen, Benito Juárez","70 m² lote, 2 rec., 2 baños, 1 estac.",San Simón Ticumac
"Departamento exterior, con excelente iluminación y ventilación. Con superficie de 160m2, distribuidos en: Sala y comedor amplios. Cocina integral. Cuarto de lavado. La estancia/sala cuenta con balcón. 2 baños completos, uno dentro de la recámara ppal. 2 recamaras, ambas con closet. 1 estudio. 1 lugar de estacionamiento fijo e independiente.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-en-renta-a-una-calle-de-eje-147394425.html,"MN 16,000","Avenida Víctor Hugo 134
Portales Norte, Benito Juárez","160 m² lote, 2 rec., 2 baños, 1 estac.",San Simón Ticumac
"Lindo departamento en renta 80 metros distribuidos en dos piso en la planta baja se encuentra estancia, medio baño, cocina integral, área de lavado, terreza, en primer piso dos recámaras con closet, dos baños completos, balcón en ambas recámaras, un lugar de estacionamiento compartido, el departamento se encuentra en primer piso exterior, costo de renta 20, 000 mas 1, 500 de mantenimiento. El departamento se encuentra en perfectas condiciones A estrenar, la ubicación es inigualable A dos calles del metro portales Y A tres calles del metro ermita, zona segura Y comercial. Informes Y citas al Ver datos con ivonne farfan",https://www.inmuebles24.com/propiedades/clasificado/alclapin-lindo-departamento-en-portales-nuevo-147413015.html,"MN 20,000","Miravalle
Portales Oriente, Benito Juárez","80 m² lote, 2 rec., 2 baños, 1 estac.",San Simón Ticumac
"Recién remodelado departamento exterior super iluminado en estupenda ubicación, muy cerca del metro portales Y con todos los servcios al rededor, ubicado en primer piso sin elevador. distribuido en 80 M2 tiene sala comedor, cocina abierta, dos recámaras Y un baño compartido, espacio para centro de lavado, terraza con lavadero. no tiene lugar de estacionamiento. No se aceptan mascotas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-portales-142349416.html,"MN 15,000","CALZADA DE TLALPAN 1314
Portales Norte, Benito Juárez","80 m² lote, 2 rec., 1 baño",San Simón Ticumac
