Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento ph en Renta en Residencial Enmarca Del Valle en Santa Cruz Atoyac. *mantenimiento incluido* Se localiza sobre Municipio Libre, a unos pasos de la Alcaldía Benito Juárez, Parque de los Venados y la estación del metro, así como el metrobús de Santa Cruz Atoyac. Consta de 108 m2, de los cuales son 68 m2 habitables y 40 m2 de roof garden privado. - 2 recámaras con closets. - 2 baños completos. - 2 estacionamientos techados sin estorbar y área de bicicletas. - estancia para sala y comedor. - Cocina abierta con barra. - Área de lavado. - Linda vista exterior. - Balcón. - 1 bodega. Amenidades exclusivas para residentes como gimnasio, áreas verdes, salón de fiestas y juegos infantiles. ¡Agende su cita!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-ph-en-renta-en-santa-cruz-atoyac-147136048.html,"MN 28,000","Municipio Libre - Torre A PH -
Santa Cruz Atoyac, Benito Juárez","108 m² lote, 2 rec., 2 baños, 2 estac.",Santa Cruz Atoyac
"Hermoso departamento en Av. Popocatépetl. Ubicado en el 6. º nivel de un moderno edificio, este hermoso departamento ofrece comodidad, estilo y acceso a excelentes amenidades. Ideal para quienes buscan un estilo de vida práctico y exclusivo en una de las zonas más convenientes de la ciudad. Características del departamento: • 2 recámaras. • 2 baños completos. • Cocina integral. • Sala-comedor. Amenidades del edificio: • Gimnasio. • Alberca. • Sala de juegos. • Salón de fiestas. • Sala de cine. Condiciones: • Se aceptan mascotas. • No se aceptan niños. Requisitos: • 1 mes de renta. • 1 mes de depósito. • Póliza Jurídica.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-col.-santa-cruz-atoyac-147344165.html,"MN 20,000","Departamento en Renta Col. Santa Cruz Atoyac
Santa Cruz Atoyac, Benito Juárez","70 m² lote, 2 rec., 2 baños, 1 estac.",Santa Cruz Atoyac
"Departamento amueblado para pareja o persona sola, con una vista increible en piso 18, con vista a los Volcanes!, consta de 1 recamara con closet, baño amplio completo, cocina integral abierta, barra desayunador, area de lavado, 1 bodega, 2 estacionamientos. Cuenta con un sin fin de amenidades exclusivas: Alberca, Gimnasio, Carriles de nado, Area de Juegos Infantiles, Ludoteca, Salones para fiesta, Asadores, Cancha de Squash, City Market, Boliche, Cross Fit, Sala de Musica, Water Park, Roof Garden, Cine, Sky Cinema, Jacuzzis, Salon de tareas, Cafeteria, Amplio Jardin, Oficinas Co-working, Lobby, Seguridad 24 hrs. Espectacular!!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-o-se-vende-depa-en-city-towers-black-147434654.html,"MN 22,000","Av. Popocatépetl 415
Santa Cruz Atoyac, Benito Juárez","60 m² lote, 1 rec., 1 baño, 2 estac.",Santa Cruz Atoyac
"Excelente departamento exterior en renta totalmente amueblado o sin amueblar(30, 000), ubicado en uno de los mejores condominios de la ciudad, city towers green, consta de 2 habitaciones con closet, 1 baño completo, cocina integral, amplia sala-comedor, cuarto de lavado dentro del departamento, acabados de lujo, cuenta con balcón, dos estacionamientos independientes, la renta incluye mantenimiento. El complejo cuenta con más de 15 amenidades, por ejemplo: -Cancha de futbol. -Squash. -Alberca con clavados. -Cine. -Cuarto de música. -Salas de juegos y muchas más. Requisitos: -Pagar póliza jurídica y presentar un solidario obligado o un fiador en cdmx o edomex. -Mes de renta corriente. -Mes y medio de depsito. ¡No te pierdas la oportunidad de vivir en uno de los mejores condominios de la cdmx",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-ameblado-renta-city-towers-green-147067488.html,"MN 34,000","Av. Popocatépetl 415
Santa Cruz Atoyac, Benito Juárez","85 m² lote, 2 rec., 1 baño, 2 estac.",Santa Cruz Atoyac
"Excelente departamento exterior en renta semi-amueblado ubicado en uno de los mejores condominios de la ciudad, city towers green, consta de 2 habitaciones con closet, 2 baños completos, cocina integral, amplia sala-comedor, cuarto de lavado dentro del departamento, acabados de lujo, cuenta con balcón, dos estacionamientos independientes, la renta incluye mantenimiento. El complejo cuenta con más de 15 amenidades, por ejemplo: -Cancha de futbol. -Squash. -Alberca con clavados. -Cine. -Cuarto de música. -Salas de juegos y muchas más. Requisitos: -Pagar póliza jurídica y presentar un solidario obligado o un fiador en cdmx o edomex. -Mes de renta corriente. -Mes y medio de depsito. ¡No te pierdas la oportunidad de vivir en uno de los mejores condominios de la cdmx!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-city-towers-green-147067123.html,"MN 41,500","Av. Popocatépetl 415
Santa Cruz Atoyac, Benito Juárez","120 m² lote, 2 rec., 2 baños, 2 estac.",Santa Cruz Atoyac
"Disponible 1 de agosto. ¡Descubre el hogar de tus sueños en este espectacular y luminoso departamento! Características del departamento: Pisos de madera de ingeniería en recámaras, ofreciendo calidez y elegancia. Pisos de porcelanato en sala, comedor, cocina y baños, garantizando durabilidad y fácil mantenimiento. Incluye bodega. Ubicación inmejorable: Vive cerca de todo lo que necesitas, a pasos de Plaza Universidad, Patio Universidad, Walmart Universidad, Mitikah y la icónica Cineteca Nacional. Además, goza de acceso rápido a importantes vías como Churubusco, Calzada de Tlalpan, Eje Central y Avenida Universidad, conectándote fácilmente con toda la ciudad. Amenidades de primer nivel: Este desarrollo lo tiene todo para que disfrutes de una vida plena y activa sin salir de casa: Albercas techadas y al aire libre, perfectas para nadar en cualquier clima. Boliche para diversión con amigos o en familia. Cines privados para disfrutar de tus películas favoritas. Área de asadores para tus reuniones al aire libre. Clases de yoga para mantener tu mente y cuerpo en equilibrio. Cancha de fútbol para los amantes del deporte. Salón de juegos con mesas de billar y ping pong. Kid’s club ideal para que los pequeños disfruten al máximo. Squash para entrenamientos dinámicos y llenos de energía. Business center equipado para trabajar desde casa con todas las comodidades. Observatorio para relajarte viendo las estrellas. Gimnasio completo con equipo de última generación. Parque acuático para que tus hijos se diviertan como nunca. Seguridad 24 horas para tu tranquilidad absoluta. Y mucho más: ¡espacios para mascotas, zonas verdes, jacuzzi y terrazas! ¡Este es el estilo de vida que mereces! Contáctanos ahora y descubre más opciones increíbles en Rentas City, donde encontrarás la mejor experiencia de vivir en un entorno exclusivo.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-con-balcon-city-towers-green-146770967.html,"MN 31,000","AV. POPOCATEPETL 415
Santa Cruz Atoyac, Benito Juárez","86 m² lote, 2 rec., 2 baños, 2 estac.",Santa Cruz Atoyac
"Se renta departamento amueblado en City Towers Green. Vive en uno de los desarrollos más completos y exclusivos de la ciudad, con todas las comodidades a tu alcance. Características del departamento: • 3 recámaras amplias con clóset; la principal cuenta con baño privado, walk-in clóset y balcón con vista. • Estancia y comedor generosos, ideales para convivir y recibir visitas. • Cocina moderna con barra, funcional y bien distribuida. • Área de lavado independiente, discreta y bien integrada. • Amueblado y listo para habitar. Seguridad 24/7 con acceso controlado para tu total tranquilidad. Amenidades de lujo: • Albercas techadas y al aire libre. • Cines privados. • Boliche. • Business center y salas de juntas. • Kids Club y parque acuático. • Observatorio. • Gimnasio equipado. • Salón de juegos (billar, ping pong, etc. ) • Jardín para mascotas. • Áreas verdes, asadores y zonas de descanso. Ubicación privilegiada: A minutos de Plaza Universidad, Patio Universidad, Mitikah, la Cineteca, supermercados, restaurantes y centros culturales. Con excelente conectividad a vías principales. Confort, lujo y ubicación inmejorable en un solo lugar. Contáctanos para más información y agenda tu visita.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-3-recamaras-city-towers-147238334.html,"MN 38,000","av popocatepetl 415
Santa Cruz Atoyac, Benito Juárez","97 m² lote, 3 rec., 2 baños, 2 estac.",Santa Cruz Atoyac
"2 Recamaras. 2 baños. 3 estacionamientos en excelente ubicación. Cocina integral. Aire acondicionado. Sonido Bose en estancia. Persianas eléctricas. 71. 3 m2. Amenidades: Jardín, observatorio, alberca semiolímpica, alberca panorámica, chapoteadero, fosa de clavados y buceo, water park, kids club, ludoteca, arcade, gimnasio cardio, gimnasio pesas, cross fit, spinning, salón de yoga y pilates, boliche, cine, sky cinema, city music, arcade, yoga 360, simulador de golf, fúlbol rápido, paddle tennis, reja de beisbol, salón de juegos, salón inglés, business center, lounge, salón de eventos, vapor, sauna, zona de jacuzzis y asadores.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-city-towers-black!-147422499.html,"MN 32,000","Av Popocatepetl 415
Santa Cruz Atoyac, Benito Juárez","71 m² lote, 2 rec., 2 baños, 3 estac.",Santa Cruz Atoyac
"City Towers Black departamento de una habitación, un baño completo, un lugar de estacionamiento. En piso alto, vista panorámica, barra de granito, piso de mármol, persianas eléctricas, sonido Bose en sala / comedor. Lujo total, con albercas, jacuzies, simulador de golf, planetario, área de buceo, rogateros, parque acuático, carriles de nado, business center, salón de eventos, entro otros..",https://www.inmuebles24.com/propiedades/clasificado/alclapin-city-towers-black-departamento-de-una-habitacion-147447956.html,"MN 26,000","Popocatépetl
Santa Cruz Atoyac, Benito Juárez","60 m² lote, 1 rec., 1 baño, 1 estac.",Santa Cruz Atoyac
"City Towers ii, depto en renta de 3 habitaciones, dos baños completos, dos lugares de estacionamiento, balcón. Edificio con amenidades ( albercas, jacuzies, gimnasio, spinning, yoga, pilates, jardines, zona infantil al aire libre, kids club, cancha de soccer, arcade, simulador de golf, cines, restaurante-bar, asadores, salón de juegos con billar, futbolito, hockey, salones de eventos, business center, zona de mascotas, entre otros). Con las mejores escuelas a la redonda, a minutos caminando de Mitikha, Cineteca Nacional, Viveros de Coyoacán, museos, restaurantes, hospitales y a 25 minutos del aeropuerto por Churubusco.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-city-towers-ii-departamento-en-renta-147251364.html,"MN 30,000","Popocatépetl
Santa Cruz Atoyac, Benito Juárez","90 m² lote, 3 rec., 2 baños, 2 estac.",Santa Cruz Atoyac
