Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Renta sin Aval en 24 horas. Proceso ágil y flexible. / Lease without guarantor with agile and flexible processes in 24 hours. Opción de departamentos amueblados por Bo-Concept. / Furnished apartments by Bo-Concept available. Todos los departamentos incluyen electrodomésticos. (microondas, lava-secadora, Refrigerador, estufa con horno, lavavajillas) persianas / canceles. All apartments include appliances. (microwave, washer-dryer, refrigerator, stove with oven, dishwasher) blinds / gates. ! estrena depa en la Torre mas emblemática de la cdmx! Brand new apartments just released to the market in the most iconic tower in cdmx. Departamentos tipo: Loft, 1 y 2 recámaras; a un minuto de Bosques de las Lomas y Arcos Bosques (El Pantalón) en medio de escuelas, universidades, hospitales, centros comerciales y toda la oferta de servicios que ofrecen Santa Fe y Bosques. Potencializa tu vida con nuestras amenidades: Alberca. Co-Working. Bar. Cafetería. Salón de Fiestas. Game Room. Chill Spot. Pet Zone. Área de asadores con fogateros. Gimnasio. Yoga Room. Motor Lobby. Sala de recepción. Concierge Vigilancia 24hrs. cctv. Shuttle que te conecta con los principales puntos de la cdmx y Santa Fe. Renta sin aval; Departamentos nuevos, Totalmente equipados con electrodomesticos nuevos, agenda una cita y prepara todo para estrenar! !",https://www.inmuebles24.com/propiedades/desarrollo/ememvein-ri-a-bosques-renta-y-estrena-nuestros-depas.-loft-1-143241199.html,"MN 19,800","PROLONGACIÓN PASEO DE LA REFORMA
Santa Fe, Alvaro Obregón","454 un., 1 a 2 rec., 61 a 80 m² lote",Santa Fe
"Se ofrece en renta departamento amueblado ubicado en el exclusivo edificio L'Atelier en Santa Fe. Características del inmueble: * 2 recámaras. * 2 baños completos. * 108 m² de superficie, con acabados de alta calidad y una decoración elegante. * 1 cajón de estacionamiento. El condominio cuenta con amenidades de lujo que incluyen: * Gimnasio completamente equipado. * Alberca techada con jacuzzi y vistas panorámicas. * Extenso jardín. * Cancha de tenis. * Seguridad las 24 horas del día. La ubicación es estratégica, a solo media cuadra de Patio Santa Fe. Condiciones y detalles: * Renta mensual de 33, 500. 00 mxn, que incluye la cuota de mantenimiento de 4, 581. 00 mxn. * No se aceptan mascotas. * El edificio, con 23 años de antigüedad, dispone de 4 elevadores, 10 pisos y 2 torres Torre Alameda, en el Condominio latelier Santa Fe.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-en-renta-departamento-santa-fe-latelier-alvaro-147225413.html,"MN 33,500","Santa Fe
Santa Fe, Alvaro Obregón","108 m² lote, 2 rec., 2 baños, 1 estac.",Santa Fe
"Muy buen departamento amueblado en latelier Santa Fé! 108 m2, 2 recámaras, 2 baños, sala, comedor y 2 cajones de estacionamiento. Totalmente iluminado y muy funcional. Áreas comunes: alberca techada y jacuzzi con espectacular vista desde el roof, gym, cancha de tenis, amplios jardines. Ubicado en calle tranquila, a pocos minutos del centro de Santa Fé, y cerca de grandes avenidas!! Cuota de mantenimiento incluida. No acepta mascotas. Clave interna: D414as. EasyBroker id: eb-mj9656",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-latelier-santa-fe-65982749.html,"MN 33,500","latelier
Santa Fe, Alvaro Obregón","108 m² lote, 2 rec., 2 baños, 2 estac.",Santa Fe
"Planta Jardín en Vistahermosa, con vista espectacular a la cañada! Acabados de lujos 526 m2 en dos pisos. 3 recámaras todas con. Con paneles solares! 526 mts en total en dos pisos. 3 recamaras todas con walking closet. Calefaccion hidrónica, doble vidrio, blackout en cuartos y persiana enrollable en áreas sociales. Paneles solares. Cocina equipada (sin refrigerador) Antecomedor. 4 lugares de estacionamiento. 1 bodega. Sólo 6 departamentos. Areas Comunes. 2 Jardines comunes. 1 salón de usos multiples. Está localizado cerca de Sta. Fe, Bosques y Reforma. Escuelas, Universidades, Centros comerciales, restaurantes etc. No dejes de Verlo! $100, 000. 00 M. N.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-santa-fe-146927412.html,"MN 100,000","Dirección no informada
Santa Fe, Alvaro Obregón","526 m² lote, 3 rec., 3 baños, 4 estac.",Santa Fe
"Ubicado en Conjunto latelier- Torre Alameda. Departamento amueblado. Con gran ubicación e iluminado departamento de 108 m2. Con 2 Recamaras, 2 Baños Completos, Sala, Comedor, Cocina Abierta. Un lugar de estacionamiento fijo. Excelentes amenidades: Recepción, Alberca Techada con Jacuzzi. Gimnasio, Jardín Cancha tenis. Vigilancia 24 horas. (Mantenimiento Incluido). No mascotas. A unos media cuadra de centro comercial patio santa fe",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-conjunto-latelier-147223862.html,"MN 33,500","Fernando Espinosa Gutiérrez No 55
Santa Fe, Alvaro Obregón","108 m² lote, 2 rec., 2 baños, 1 estac.",Santa Fe
"Excelente departamento en renta en el exclusivo fraccionamiento Reforma Santa Fe (Giralta) Magnífico departamento de 100 m² ubicado en piso alto, con excelente iluminación y agradable vista. Consta de una recámara con vestidor y baño completo, amplia estancia, medio baño de visitas, cocina integral, área de lavado, persianas y cortinas incluidas. Departamento exterior, en piso 15. Cuenta con un lugar de estacionamiento, vigilancia 24 horas, elevador y excelentes amenidades: gimnasio, terraza con asadores, áreas verdes y juegos infantiles. Una excelente opción para vivir con confort y seguridad en una de las zonas más modernas y conectadas de la ciudad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-santa-fe-giralta-vasco-de-57582225.html,"MN 18,500","Vasco de Quiroga 3833
Santa Fe, Alvaro Obregón","100 m² lote, 1 rec., 1 baño, 1 estac.",Santa Fe
"Moderno departamento en Renta con buenos acabados, buena iluminación, bonita terraza en la sala, estupendas vistas a la Ciudad de México, ubicación, en el centro de Santa Fe, en la zona coorporativa y universdades de prestigio. Cuenta con estupendas amenidades como canchas de Paddle, área de mascotas, cine, cafetería. Vigilancia 24hrs un lugar único para vivir cerca de todas las comodidades que brinda Santa Fe. Vigiliancia 24hrs",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-en-renta-blum-santa-fe-146607633.html,"MN 22,500","prol paseo de la reforma
Santa Fe, Alvaro Obregón","51 m² lote, 1 rec., 1 baño, 1 estac.",Santa Fe
"Departamento de 320mts. Sala, comedor, cocina, 2 recámaras, (se puede volver hacer la tercer recamara) 4 baños completos, 1/2 baño de visitas, sala, comedor, cocina, 4 estacionamientos, bodega Y cuarto de servicio, area de lavado. Increíbles áreas comunes",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-hermoso-departamento-en-dos-vistas-amueblado-o-147455734.html,"MN 75,000","AV BERNARDO QUINTANA
Santa Fe, Alvaro Obregón","320 m² lote, 2 rec., 4 baños, 4 estac.",Santa Fe
"Hola, si vienes A santa fe cdmx Y estas buscando un lugar cerca de tu trabajo O escuela, nosotro te ofrecemos departamento individual O tambien habitaciones individuales con su propio baño. ¡evita perder tiempo en el trafico! Estamos sobre la avenida principal vasco de quiroga (transporte directo A los corporativos santa fe Y universidades) A escasos 5 minutos de televisa sta fe. Y A nuestro alrededor contamos con tiendas de conveniencia Y comida. Las estancias son amuebladas con baño personal Y con servicios incluidos. La mayoria de nuestros inquilinos son personas que laboran en (bancos, televisa santa fe, patio sta fe, novotel, centro comercial sta fe, etc) O estudian en (ibero, cide, tec mty, west hill). Si pretendes ir al area corporativa de santa fe cdmx O estudiar en una de las universidades cercas A santa fe, no dudes en contactarnos O envianos un mensaje por whatsapp. A 10 minutos de la ibero, Centro Comercial Santa Fe, cide, Tec de Monterrey, Televisa Santa Fe, Centros Financiero Santa Fe, Zedec, German Centre y mucho más. Te esparamos! ! !",https://www.inmuebles24.com/propiedades/clasificado/alclapin-santa-fe-ibero-tec-departamento-amueblado-incluye-58058480.html,"MN 9,500","PRIVADA DEL FRESNO 2
Santa Fe, Alvaro Obregón","45 m² lote, 1 rec., 1 baño, 1 estac.",Santa Fe
"Quedan cordialmente bienvenidos! Se renta habitación amueblada con baño propio. La recamara consta de cama matrimonial, buro, closet, escritorio, silla, frigobar y televisión. En la renta mensual esta incluido servicios de luz, agua, gas e intenet wifi. El departamento tiene 3 habitaciones y cada una cuenta con su propio baño (no compartido) . Solo se comparte área de cocina ya equipada con (estufa y microondas) ; area de comedor y sala. Super cerca de tiendas de autoservicio como Walmart, Aurrera. A 5-10 minutos de Televisa Santa Fe, Patio Santa Fe, Samara, Universidad Ibero, cide, Tec de Monterrey Sta Fe, Zedec, Centro Comercial Santa Fe, West Hill University, German Centre, Centro financiero, etc. Estamos a unos pasos de Av. Vasco de Quiroga, (avenidad principal) . Donde pasa el transporte público que va directo a Zona Corporativa Santa Fe y Universiades. *Compartes unicamente con roomies que son profesionista o estudiantes que laboran o estudian en los Corporativos Santa Fe.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-santa-fe-habitacion-amueblada-ibero-cide-tec-de-57656085.html,"MN 9,500","Privada del Fresno 2
Santa Fe, Alvaro Obregón","250 m² lote, 1 rec., 1 baño",Santa Fe
