Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Hermoso Departamento en Be Grand Reforma Con Vista Panorámica. Cuenta 130M2, Amplia sala y comedor, cocina integral abierta con barra de granito, cuenta con 2 recamaras, la principal con Balcón, 2 baños completos, Área de lavado, 2 lugares de estacionamiento. El Edificio cuenta con seguridad 24 horas. Amenidades: Alberca, jacuzzi, gimnasio, spa, business center y salón de fiestas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-increible-departamento-en-be-grand-reforma-con-146449742.html,"MN 53,000","Lafragua
Tabacalera, Cuauhtémoc","130 m² lote, 2 rec., 2 baños, 2 estac.",Tabacalera
"Espectacular departamento para estrenar, en renta en Sky Town Insurgentes Norte de 88. 74m2 habitables y 6. 2 m2 de Terraza en el piso 17. Este hermoso departamento ubicado en la colonia Tabacalera sobre Insurgentes te ofrece todo lo que necesitas para disfrutar de una vida urbana llena de comodidades, con vialidades importantes. Características Principales: 2 recámaras. Principal con vestidor y baño completo. � Recámara secundaria con clóset. � Baño completo en pasillo para visitas o segunda recámara. Estancia - comedor amplios con balcón y espectacular vista al Monumento a la Revolución. Cocina integral abierta con diseño moderno y funcional. Área de lavado independiente. 2 cajones de estacionamiento totalmente independientes. Amenidades de Lujo en tu Nuevo Hogar. Amenidades que disfrutarás todos los días: Alberca techada para nadar en cualquier temporada. Jacuzzi para relajarte después de un largo día. Sauna y Vapor que te ofrecen una experiencia tipo spa. Gimnasio totalmente equipado para mantenerte en forma. Spa para consentirte sin salir de casa. Área de juegos ideal para los más pequeños. Terrazas pensadas para coworking o disfrutar con vistas espectaculares. Construido con Tecnología de Vanguardia: Sistema antisísmico que brinda tranquilidad y seguridad. Medidas eco-sustentables, incluyendo tratamiento de agua para un futuro más verde. Este es el lugar donde el lujo, la seguridad y la sustentabilidad se unen. ¡Hazlo tuyo y agenda tu visita hoy! Se encuentra a una cuadra de Av. Reforma, frente la estación del metrobus Plaza de la República, cerca de Reforma. Los requisitos de arrendamiento: -Renta $35'500 que corre, incluye mantenimiento de $6, 300 y $500 de pago de agua y agua caliente de calderas. * Los servicios como luz, gas e internet son dependientes al monto de renta. -1 Deposito en garantía de mes de renta. -Fiador con una propiedad libre de gravamen en cdmx o en caso de no tener se puede presenta un Obligado Solidario. -Pago de póliza jurídica $18'676. **En caso de no tener fiador u Obligado se manejaria una póliza con cobertura mayor de $ 24'708.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-insurgentes-cerca-revolucion-y-147149545.html,"MN 35,500","Av. Insurgentes Norte 86
Tabacalera, Cuauhtémoc","95 m² lote, 2 rec., 2 baños, 2 estac.",Tabacalera
"Precioso loft 100% amueblado sobre Paseo de la Reforma, con todas las comodidades de la mejor zona para vivir. El loft cuenta con cocina integral equipada con refrigerador, lavavajillas, lavadora, horno, microondas, comedor, sofá, cama king size, baño de visitas y vestidor, baño principal y cuenta con 1 estacionamiento. El condominio cuenta con las mejores amenidades: salón de adultos con mesa de billar y bar, alberca techada con preciosas vistas, gimnasio muy equipado, spa con jacuzzi, sauna y vapor, salas de juntas, cine, salón de fiestas para 250 personas, terrazas y seguridad 24 horas. Mantenimeinto incluido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-precioso-depto.-completamente-amueblado-sobre-reforma-147184637.html,"MN 24,900","Reforma 77
Tabacalera, Cuauhtémoc","63 m² lote, 1 rec., 1 baño, 1 estac.",Tabacalera
"Departamento en renta, Be Grand Reforma, cdmx. 40, 000 incluye mantenimiento. 90m2. Piso 33. Sala - comedor. Cocina equipada. 2 Recámaras. 2 baños completos. Terraza. 2 estacionamientos. Persianas translúcidas y blackout. * sin amueblar. Be Grand Reforma te ofrece lo mejor en seguridad como sistema de control de acceso peatonal y vehicular, sistema de circuito cerrado de televisión en lobby, elevadores, seguridad en cada uno de los accesos los 365 días del año las 24 horas del día. Las amenidades ubicadas en el piso 20 constan de: barbería, salón de belleza, coworking center, salón de eventos, gimnasio, gimnasio al aire libre, jacuzzi, kids club, alberca, sky lounge, spa, spinning broom, coffee shop, sports bar y en la planta baja el pet spa.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-be-grand-reforma-cdmx.-147227357.html,"MN 40,000","Lafragua #13
Tabacalera, Cuauhtémoc","90 m² lote, 2 rec., 2 baños, 2 estac.",Tabacalera
"85 m2, 1 recamara con vestidor, baño completo, sala comedor, cocina abierta, balcones con vista al Monumento a la Revolución. 1 lugar de estacionamiento. Amenidades: alberca, gimnasio, spa, jacuzzi, biblioteca, jardines, valet parking. Vigilancia 24 horas. Mantenimiento incluido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-y-equipado-en-reforma-27-146528002.html,"MN 35,000","Paseo de la Reforma 27, Tabacalera
Tabacalera, Cuauhtémoc","85 m² lote, 1 rec., 1 baño, 1 estac.",Tabacalera
"Desarrollo nuevo, Torre de 21 pisos. Ubicado en Piso 16. Recámara principal con walking clóset y baño completo. Cocina equipada. Área de Lavandería. Estacionamientos independientes. Vigilancia 24 hrs. Vista al Monumento a la Revolución. Cerca de Reforma 222. Mantenimiento incluido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto.-en-renta-desarrollo-sky-town-insurgentes-143383248.html,"MN 34,000","Avenida Insurgentes Norte, 86
Tabacalera, Cuauhtémoc","94 m² lote, 2 rec., 2 baños, 2 estac.",Tabacalera
- departamento amueblado. - 1 recámara. - 1 baño. - Sala - Comedor. - Cocina integral. - Balcones. **mantenimiento incluido* Se aceptan mascotas. Amenidades del edificio. - Alberca. - Jacuzzi. - Gym. - Spa. - Valet Parking,https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-amueblado-paseo-de-la-reforma-145671262.html,"MN 32,000","PASEO E LA REFORMA
Tabacalera, Cuauhtémoc","85 m² lote, 1 rec., 1 baño",Tabacalera
"Este departamento de 100 m2 tiene una recámara con cama matrimonial, un baño completo, baño de visitas, súper vestidor, balcón, vista a la ciudad y un gran diseño. Techos altos, hermosa vista de la ciudad, excelente luminosidad y los mejores materiales lo convierten en el lugar ideal para una pareja que quiera vivir en los alrededores del centro de la ciudad y disfrutar de museos, restaurantes y los lugares donde se fraguó la historia mexicana. Este edificio, vanguardista en todos los sentidos, fue construido por el arquitecto Alberto Kalach sobre Reforma, la avenida la más importante de México. Tiene alberca techada en el último piso, con gimnasio, sauna y veranda. En planta baja hay business center y un estupendo jardín arbolado en la parte de atrás del edificio. Un lugar de estacionamiento, cuatro elevadores y montacargas. Mantenimiento incluido. Seguridad las 24 horas. Hay pocos lugares como este. Se renta amueblado o sin amueblar. Tiene centro de lavado y refri.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-ya-es-hora-de-que-vivas-aqui-147381907.html,"MN 34,000","Reforma 27
Tabacalera, Cuauhtémoc","100 m² lote, 1 rec., 1 baño, 1 estac.",Tabacalera
"Este departamento de 100 m2 tiene una recámara con cama matrimonial, un baño completo, baño de visitas, súper vestidor, balcón, vista a la ciudad y un gran diseño. Techos altos, hermosa vista de la ciudad, excelente luminosidad y los mejores materiales lo convierten en el lugar ideal para una pareja que quiera vivir en los alrededores del centro de la ciudad y disfrutar de museos, restaurantes y los lugares donde se fraguó la historia mexicana. Este edificio, vanguardista en todos los sentidos, fue construido por el arquitecto Alberto Kalach sobre Reforma, la avenida la más importante de México. Tiene alberca techada en el último piso, con gimnasio, sauna y veranda. En planta baja hay business center y un estupendo jardín arbolado en la parte de atrás del edificio. Un lugar de estacionamiento, cuatro elevadores y montacargas. Mantenimiento incluido. Seguridad las 24 horas. Hay pocos lugares como este. Se renta amueblado o sin amueblar. Tiene centro de lavado y refri.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-porque-ya-te-mereces-vivir-aqui-147381882.html,"MN 34,000","Reforma 27
Tabacalera, Cuauhtémoc","100 m² lote, 1 rec., 1 baño, 1 estac.",Tabacalera
"Loft en renta en sky town insurgentes, las mejores vistas, alberca, roof top, gimnasio, salon de usos multiples, co-working, el loft cuenta con refrigerador, centro de lavado, acabados de lujo.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-sky-town-insurgentes-147178671.html,"MN 22,500","Avenida Insurgentes Norte 86
Tabacalera, Cuauhtémoc","35 m² lote, 1 rec., 1 baño, 1 estac.",Tabacalera
