Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Descubre este Departamento dúplex en renta sin amueblar en Tizapan San Ángel, ofrece 114 m² de terreno y 138 m² de construcción. Cuenta con 2 recámaras y 2 1/2 baños, ideal para familias o profesionales. La propiedad incluye un estacionamiento con opción a 2 y permite mascotas. En su interior, encontrarás una cocina integral, un cuarto de tv y un estudio perfecto para trabajar desde casa. Además, cuenta con área de lavado y cuarto de servicio o usos multiples. El dúplex ofrece una terraza para disfrutar del aire libre. El conjunto residencial cuenta con caseta de guardia, brindando seguridad 24/7. El precio no incluye el mantenimiento de 4, 000 pesos. La ubicación en Tizapan es estratégica, ubicada a 1 sola cuadra del itam y unas cuadras de San Ángel, con escuelas cercanas y fácil acceso a servicios y comercios. Disfruta de la comodidad y seguridad que este dúplex ofrece en una de las zonas más tranquilas de la ciudad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-duplex-de-138-m-sup2--con-2-recamaras-y-3-147419535.html,"MN 28,000","YUCATAN 103
Tizapan, Alvaro Obregón","114 m² lote, 2 rec., 2 baños, 2 estac.",Tizapan
"Rento departamento de lujo en Be Grand Iglesias amueblado y con finos acabados, en Piso 21 ideal para ejecutivos o repatriados, con las mejores amenidades ubicado al sur de la ciudad, a 5 minutos de Periférico Sur (Glorieta de San Jerónimo), Av. Revolución e Insurgentes, cercano a centros comerciales, cerca de clínicas del imss, restaurantes, escuelas, tiendas de autoservicio, bancos, Parque Batán y mucho más. Con seguridad las 24 hrs. Es un desarrollo ecológicamente sustentable, para esto, cuenta con una planta de tratamiento de agua y un sistema de captación pluvial. Esto te permitirá ahorrar un 65% en tu consumo y gracias al sistema centralizado de agua caliente, ahorrarás hasta un 50% en gas natural. Disponible A partir de agosto. No se aceptan Mascotas. Renta: $ 49, 500 (la renta incluye cuota de mantenimiento) Construcción 146 m2. Sala. Comedor. Cocina integral. Recámara principal con vestidor y baño. 2da. Recámara con baño y closet. Baño de visitas completo. Clóset de blancos. Área de lavado con baño. Bodega en el sótano 4. cochera para 2 autos en el sótano 2. Increíbles amenities que dan servicio a todo el desarrollo como son: Alberca semiolímpica de 3 carriles. Jacuzzi. Salones Privados. Gimnasio. Vestidores con Spa. Kid’s Club. Jardines especialmente diseñados. Espejo de agua, cascada, andador y áreas recreativas. Previa cita: Ángeles Aguirre cel. Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-departamento-amueblado-de-lujo-en-be-grand-57776788.html,"MN 49,500","Iglesias
Tizapan, Alvaro Obregón","146 m² lote, 2 rec., 3 baños, 2 estac.",Tizapan
"Departamento en renta excelente ubicación Acceso a Insurgentes, Av. Revolucion a 5 minutos de unam, Estadio Universitario. Rectoría. Características: -97 m². -Recámara principal con baño completo y vestidor clóset. -Segunda Recamara comparte baño completo con visitas. -Cocina integral equipada. - Sala comedor muy amplia. -Área de despensa. -Area de Lavado. -2 Estacionamientos independientes. -Bodega. -Vigilancia las 24 Horas. -Cámaras de circuito cerrado de televisión. Excelentes amenidades: * Alberca. * Ahapoteadero para bebés y niños. * Asoleadero. * Cafetería. * Areas verdes. * Gimnasio. * Spa y área de masajes. * Ludoteca. * Salón de adultos. * Tienda. * Estética. * Business center",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-san-angel-eleva-residencial-147387976.html,"MN 34,000","AVENIDA DE LOS INSURGENTES 2411
Tizapan, Alvaro Obregón","96 m² lote, 2 rec., 2 baños, 2 estac.",Tizapan
"Renta en eleva 2411 insurgentes sur. •97mts. •piso 11. •sala. •comedor. •cocina integral. •área de lavado. •baño de vistas completo. •segunda recámara con clóset. •recámara principal con baño completo Y vestidor. • dos estacionamientos que no se estorban con vecinos. •bodega. desarrollo eleva 2411. spa. gimnasio. salón de eventos. ludoteca. súper. areas verdes. salón de juegos. vigilancia las 24hrs. acceso controlado. cámaras de seguridad. Entrada sobre Insurgentes y avenida Revolución, entre Loreto y Rey Cuahutemoc. Renta 34, 000. citas Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-depto-en-eleva-insurgentes-sur-tizapan-alvaro-147386050.html,"MN 34,000","Avenida Insurgentes Sur 2411
Tizapan, Alvaro Obregón","97 m² lote, 2 rec., 2 baños, 2 estac.",Tizapan
"Disponible A partir del 1ro de Septiembre. Amplio y luminoso departamento en el excelente desarrollo Be Grand, San Angel. Son 143m2 distribuídos en 3 recámaras, 3. 5 baños (incluído el servicio), sala-comedor, tiene un espacio que puede ser utilizado como sala de tv, cocina, lavandería y área de servicio con baño, 2 estacionamientos. El desarrollo ofrece excelentes áreas comunes, alberca, gym, área para perros, área para niños, seguridad 24/7. Se encuentra en el piso 10, está lleno de luz, de ventilación. El precio incluye mantenimiento Informes y citas: Sissi Fialdini Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-depto-en-be-grand-iglesia-270-tizapan.-64432966.html,"MN 42,000","Iglesia 270
Tizapan, Alvaro Obregón","143 m² lote, 3 rec., 2 baños, 2 estac.",Tizapan
"Disponible para inicio de contrato a partir de 1 de Octubre. Excelente departamento tipo loft en renta amueblado y con servicios incluidos. 1 recámara con baño completo y cocineta. Amueblado con cama matrimonial, sofá barra desayunador, bancos para barra, closet, gabinetes y muebles de baño. Equipos eléctricos de bajo consumo de luz: estufa eléctrica de inducción, microondas, refrigerador, calentador, campana extractora y pantalla. Servicios Incluídos: -Internet de Alta Velocidad(75 Megas/usuario) -tv con 80 canales (70hd) -Agua. -Seguridad. -Limpieza y mantenimiento de áreas comunes. Amenidades: -Amplio roof terrace con increibles vistas. -Espacios dedicados a co-working. -Lounge en patio Interno (planta baja) -Rack para bicicletas. -Cuarto de lavado y área de tendido. Servicios adicionales con costo: -Luz (recibo individual) y Lavadora de Monedas. loft para una persona, si lo habitan 2 personas la renta sube 20% no mascotas, no niños. mantenimiento incluído. Excelente ubicación en zona residencial y tranquila. Principales vías: Periférico, Av. Revolución, Insurgentes (metrobús), Eje 10 Sur. A unos pasos de Plaza Loreto y Patio Revolución. Cercano a itam, Universidad cessa, Colegio Oxford, Bazar del Sábado, Torre Aleph, Torre Murano, bansefi, imss Hospital no. 4 y 8.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-tizapan-san-angel-144447786.html,"MN 10,500","Cuauhtémoc 22
Tizapan, Alvaro Obregón","30 m² lote, 1 rec., 1 baño",Tizapan
"Ofrezco Departamento en excelentes condiciones con terraza privada. Ubicado en edificio con vigilancia las 24 horas los 7 días de la semana. Superficie total de 153. 6 m2. Terraza 29 m2. Balcones 4. 6 m2. Habitables 120 m2. Características: -3 habitaciones con excelente ventilación e iluminacion. Habitación principal con amplios ventanales, persianas, vestidor, baño completo con doble lavabo, cancel templado y closet para blancos. Habitaciones secundarias con closet y persianas. -Family room con salida a la terraza. -Espacio para comedor. -Cocina integral con amplia barra, extractor, estufa, doble tarja, gavetas, alacena. -2. 5 baños (baño completo en recamara principal, 1 baño completo para 2 recamaras y 1/2 baño para visitas) -Cuarto de lavado (conexión para lava secadora, calentador de paso, lavadero de servicio) -Terraza independiente. Todo el departamento cuenta con ventilación natural y persianas. -Amenidades: gym, roof, jacuzzi. Ven a conocerlo! No se aceptan mascotas. Precio más mantenimiento. Más información y citas al Ver datos 18 o por whats app.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depa-con-terraza-privada-3-rec-2.5-wc-y-2-147151442.html,"MN 25,000","Nayarit
Tizapan, Alvaro Obregón","153 m² lote, 3 rec., 2 baños, 2 estac.",Tizapan
"Departamento ubicado en Tizapán San Ángel, con dos recamaras, dos y medio baños, amplia estancia, cocina integral, cuarto de lavado, un lugar de estacionamiento y acceso al Roof Garden del edificio.",https://www.inmuebles24.com/propiedades/clasificado/alclappa-rento-departamento-en-tizapan-san-angel-147170234.html,"MN 16,000","Boulevard Juárez 24
Tizapan, Alvaro Obregón","100 m² lote, 2 rec., 2 baños, 1 estac.",Tizapan
"Hermoso departamento de lujo ubicado en el piso 28 con excelentes acabados, extraordinaria vista y excelente ubicación. Con todos los servicios y comercios cercanos como Plaza Loreto y Plaza San Jerónimo. Cuenta con área de sala y comedor muy amplia, tiene un lindo techo con acabado Paladium en lo que divide la cocina y área social, balcón a todo lo largo del área social, tiene una cocina integral abierta de gran tamaño con barra de mármol negro, triturador de desperdicios orgánicos y filtro purificador, medio baño de visitas, family room. 3 Recámaras, la principal con vestidor, baño y una vista espectacular hacia la ciudad, la cual cuenta con aires acondicionados y persianas motorizadas, la 2a y 3er recámara con closet y baño cada una, área de lavado, alacena y 3 lugares de estacionamiento. El desarrollo cuenta con magníficas amenidades como: salón de adultos, ludoteca, juegos infantiles al aire libre, gym, área para mascotas, alberca techada, salón de eventos y mucho más!! Estricta vigilancia 24/7. Es el departamento de tus sueños!! Que no te lo ganen!! Agenda tu cita!!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-be-grand-san-angel-147291729.html,"MN 77,000","Iglesia
Tizapan, Alvaro Obregón","267 m² lote, 3 rec., 3 baños, 3 estac.",Tizapan
"En este nuevo y cómodo conjunto de solo 4 departamentos, puedes seleccionar cuál se adapta mejor a tu búsqueda! Cada uno cuenta con amplia estancia para sala y comedor, la cocina amplia en un concepto cerrado, dos recámaras de buen tamaño una de ellas con baño integrado, los departamentos en planta baja tienen un hermoso patio interior y patio en área de lavado. Cada departamento cuenta con un lugar de estacionamiento y servicios de limpieza en áreas comunes. La ubicación es a un minuto del periférico, a pasos de cessa y a 4 min de el itam. Si lo que buscas son los lindos espacios, con solo 3 vecinos en un ambiente tranquilo, esta es la solución a tu estilo de vida! ! Elije el que mas te guste! Lamentablemente no se aceptan mascotas. Disponibles para entrega al 18 de agosto del 2025!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-tizapan-san-angel-en-pequeno-conjunto-146444182.html,"MN 25,000","morelos 15 bis
Tizapan, Alvaro Obregón","90 m² lote, 2 rec., 2 baños, 1 estac.",Tizapan
