Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento de 3 recamaras en be grand coapa, 116M2, con bodega de 5M2, 2 baños completos, balcon, 2 lugares de estacionamiento, amenidades de primer nivel (alberca, chapoteadero, jacuzzi, regaderas, gimnasio, cafeteria, ludoteca, 4 salones de usos multiples, 3 salas de negocio, paqueteria, estacionamiento para visitas, juegos infantiles al aire libre) la renta incluye mantenimiento. se aceptan mascotas. celular Ver datos. precio venta: $5, 800, 000",https://www.inmuebles24.com/propiedades/clasificado/alclapin-venta-de-departamento-3-recamaras-be-grand-coapa-116-59517639.html,"MN 27,000","CALZADA DEL HUESO 859
Granjas Coapa, Tlalpan","116 m² lote, 3 rec., 2 baños, 2 estac.",Tlalpan
"Increíble departamento completamente nuevo en renta al sur de la ciudad, cerca de six flags. -2 recamaras con closets de piso A techo. -2 baños completos. -sala comedor. -cocina integral con barra de granito. - área de lavado. - balcón. - 1 lugar para un auto. - calentador de paso. - vigilancia. mantenimiento incluido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-increible-depto-completamente-nuevo-en-renta.-146085608.html,"MN 17,500","SINANCHE
Héroes de Padierna, Tlalpan","80 m² lote, 2 rec., 2 baños, 1 estac.",Tlalpan
"Mirador 46, Fuentes de Tepepan. Tlalpan. Amplio e iluminado departamento de 110m2. Ubicado a 15 min del Tec de Monterrey y a 15 min de zona de hospitales. Cuenta con 2 recamaras, (opción a tercer recamara) la principal con vestidor y baño completo con cancel de cristal templado, segunda recámara muy amplia con clóset y excelente iluminación. Balcón de 6 m2. Espacio de cuarto de tv, estudio u opción a tercer recámara. Dos baños completos. Sala comedor. Cocina integral de concepto cerrado con barra desayunador. Cuarto de lavando independiente con ventilación natural. 2 lugares de estacionamiento fijos e independientes de muy buen tamaño. Bodega. Gas estacionario. Cisterna. 9 años de antigüedad. Piso 1 sin elevador. $17, 000. 00 mantenimiento incluido. Requisitos: -Mes de renta. -Mes de depósito. -Póliza juridica. ¡Aprovecha el excelente precio y disfrútalo! ¡Contáctanos! Ofi. (55) Ver datos. Cel. (55) Ver datos. Correo. Ver datos. Facebook e Instagram @vbienesraices. Al ""Contactar"" para consultar esta propiedad, estás aceptando los ""Términos y Condiciones"" y ""Aviso de privacidad"". Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria y los propietarios de los inmuebles. Todas las medidas enunciadas son meramente orientativas, las medidas exactas serán las que se expresen en el respectivo título de propiedad de cada inmueble.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-fuentes-de-tepepan-tlalpan.-147284367.html,"MN 17,000","Mirador 46
Fuentes de Tepepan, Tlalpan","110 m² lote, 2 rec., 2 baños, 2 estac.",Tlalpan
"Departamento en renta con amplio espacios, y lo mejor de todo el sinfín de amenidades y recursos dentro de un desarrollo de lujo. Gana esta oportunidad de vivir al sur de la Ciudad en este inmueble con seguridad 24 hrs y las mejores amenidades como canchas de fútbol, albercas, gimnasio entre otras.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-fuentes-de-tepepan-90599291.html,"MN 21,000","Bosques de tepepan
Fuentes de Tepepan, Tlalpan","112 m² lote, 3 rec., 2 baños, 2 estac.",Tlalpan
"Si lo que buscas en vivir en un lugar privilegiado dentro de la ciudad, rodeado de árboles con seguridad y un ambiente de tranquilidad como si estuvieras en un lugar de descanso, este departamento es tu opción. El departamento cuenta con 170 mt de superficie, consta de 2 amplias recámaras, ambas con closet y baño integrado, sala comedor, cocina integral, desayunador, baño de visitas, espacio para poder realizar home office o lo que tú decidas, área de lavado, 2 lugares de estacionamiento, uno de ellos techado, cuarto de servicio con baño, zotehuela en donde se encuentran los lavaderos y boilers y una preciosa terraza a todo lo largo del departamento con vista al campo de Golf. Tanto la sala comedor como las recámaras tienen salida a la terraza. Dentro de las amenidades cuenta con precioso jardín con asador, amplia terraza común y un salón para reuniones familiares o con los amigos con barra de bar, tarja, una parrilla y baño completo. Sólo 3 departamentos en el inmueble. Este departamento tiene salida directa al jardín. Vigilancia 24/7. Cuota de mantenimiento: $3, 300 (no inlcuída en la renta)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-club-de-golf-mexico-tlalpan-146384197.html,"MN 27,000","Av. San Buenaventura 616
Club de Golf México, Tlalpan","179 m² lote, 2 rec., 2 baños, 2 estac.",Tlalpan
"Dos extraordinario departamentos llenos de luz, vista exterior uno con balcón el otro con terraza para disfrutar! contactar por wattsappdepatamento No. 1cobalto No, Ver datosmts2 habitables, 20mts2 de terraza balcón, recámara principal con vestidor Y baño, recamaras secundaria con baño integrado Y vestidor, sala comedor, diseño de bar, cocina abierta con excelente capacidad de almacenaje, medio baño de visitas, área de lavado y cuarto de servicio con baño integrados al departamento, 3 cajones de estacionamiento, bodega, 2 elevadores. renta: $52, 000. 00 mantenimiento incluidobalcón terrazadepatamento No. 2cobalto No. 70190mts2 habitables, 5mts2 de terraza, recámara principal con vestidor Y baño, 2 recamaras secundarias con con closet, baño completo que compaten recámaras secundarias, sala comedor, cocina abierta con excelente capacidad de almacenaje, medio baño de visitas, área de lavado y cuarto de servicio con baño integrados al departamento, 2 cajones de estacionamiento, 2 elevadores. renta: $54, 000. 00 mas mantenimientoterrazaacabados de lujo, pisos madera ingeniería en Tzalam, mármol, techos con 2. 70 de altura, grandes ventanales. El edificio cuenta: Lobby, control de acceso, salón de fiestas, gym, área de asador. Fraccionamiento con extrema vigilancia, calles de concreto, gas natural, cables ocultos, magnífico parque de 6000mts2 aproximados divididos en 3 terrazas, juegos infantiles, espejo de agua con lirios y peces. El departamento se encuentra dentro del mejor fraccionamiento al sur de la ciudad &quot;único en su tipo&quot; A 5 Minutos del hospital Ángeles del Pedregal, 6 minutos del Plaza artz. Rodeado de todos los servicios y los mejores colegios de la zona. &quot;estilo de vida, seguridad, tranquilidad, ubicación&quot;____________________________________________________________________________________________________________________Todas las imágenes mostradas en este anuncio son para fines ilustrativos, el departamento no se renta amueblado. Es importante hacer una visita al inmueble para conocer características y/o acabados. requisitos* 1 Mes de depósito* 1 Mes de renta* Fiador con bien raíz libre de gravamen en cdmx* Firma de Póliza Jurídica de Arrendamiento e Investigación* (Probables requisitos extras) dependiendo del perfil del cliente, condiciones del propietario, propuesta de renta, tiempo y tipo de arrendamiento con o sin muebles*Rentas inmuebles comerciales precio de renta mas iva* Contrato mínimo por 1 año.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-juntate-con-los-expertos-renta-departamento-lomas-del-147155958.html,"MN 52,000","Lomas del Pedregal, Tlalpan, Ciudad de México
Lomas del Pedregal, Tlalpan","175 m² lote, 2 rec., 3 baños, 3 estac.",Tlalpan
"Ubicado en el Tercer Piso, lo cual da total privacidad y cero ruido de vecinos superiores. Cuenta con 2 Recamaras, 2 Baños Completos, 2 Estacionamientos, Amenidades Amplias, parcialmente amueblada y mantenimiento incluido. 2 recámaras. 2 baños completos. 2 estacionamientos. Terraza privada. Último piso. Mantenimiento incluido. No se aceptan mascotas o se acepta con poliza ampliada. Amenidades del conjunto: Alberca (Pueden tomar clases los niños) Gimnasio (Amplio y bien distribuido con equipos Life Fitness) Juegos infantiles (Uno cerrado y 2 Abiertos) Salones de fiestas (3 uno Grande para arriba de 100 personas) Cafetería (1 Llevan la comida al departamento) Paqueteria y Tintorería. Excelente ubicación en zona tranquila y con fácil acceso.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-bg-coapa-con-bodega-y-amueblado-147440485.html,"MN 27,000","Calzada del Hueso , granjas Coapa, be grand
Granjas Coapa, Tlalpan","92 m² lote, 2 rec., 2 baños, 2 estac.",Tlalpan
"Solo 2 deptos, cerca de picacho ajusco. Amplia estancia comedor, cocina integral equipada, 2 recamaras, la rec. Principal con baño Y closet, segunda recámara con closet, primer piso, pequeña área de lavado, gas independiente. Acabados nuevos. Sin estacionamiento. Gánelo! Citas whats Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-estrene-depto!-147397523.html,"MN 10,600","Temascalillo
Cruz del Farol, Tlalpan","60 m² lote, 2 rec., 2 baños",Tlalpan
"Se rentan lindas y funcionales oficinas dentro de Plaza Imágen, en Jardines en la Montaña. Son 150mt2 y cuenta con 7 privados, sala de juntas, cocineta, 2 baños, 3 lugares de estacionamiento. Por encontrarse dentro de la plaza comercial, tienes lugares de estacionamiento para visitas, cafeterías y diversos comercios. Vigilancia y cctv. Cerca de bancos, Hotel Royal del Pedregal, vías de acceso como Periférico Sur, Insurgentes Sur. Renta: 41, 500 m. n. Mas iva (factura) mantenimiento: 4, 000 m. n. Mas iva. Gracias a nuestra experiencia y nuestro servicio personalizado te garantizamos: - Nos ocupamos de todo el proceso de principio a fin, desde la negociación hasta la entrega de la propiedad. Al ""Contactar"" para consultar esta propiedad, estás aceptando los ""Términos y Condiciones"" y ""Aviso de privacidad"". Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria y los propietarios de los inmuebles. Todas las medidas enunciadas son meramente orientativas, las medidas exactas serán las que se expresen en el respectivo título de propiedad de cada inmueble. La publicación de la presente información no representa una oferta pública por lo que toda transacción debe hacerse de forma personal de acuerdo con las prácticas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles. No esperes más y déjanos ayudarte. ¡contáctanos!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-oficina-en-jardines-en-la-montana-tlalpan-147205833.html,"MN 41,500","Jardines en la Montaña
Tlalpan, Ciudad de México","150 m² lote, 1 rec., 2 baños, 3 estac.",Tlalpan
"Si disfrutas de vivir de forma tranquila y rodeado de naturaleza, esta propiedad es para ti. Se encuentra en planta baja en un conjunto de solo 2 departamentos y 2 casas, dentro de una calle cerrada con vigilancia, lo que te proporcionara tranquilidad y seguridad. La zona es boscosa por lo que te sentiras en tu propia cabaña en el bosque. El departamento cuenta con 2 recamaras, un baño completo, estancia sala comedor y pequeña cocineta con barra de trabajo, asi como espacio para un lugar de estacionamiento. No esperes mas para visitarlo, llama ahora para agendar tu cita: 55 Ver datos. requisitos: Un mes de renta, un mes de deposito, fiador con bien inmueble libre de gravamen y poliza juridica compartiendo costo con propietario. Mantenimiento incluido. En cumplimiento a la nom247, se informa a nuestros clientes que las medidas son enunciativas y deben de corroborarse con los documentos de propiedad respectivos. Asimismo, los precios publicados y su disponibilidad pueden variar sin previo aviso por lo que se deben verificar con la inmobiliaria. De igual forma, la póliza jurídica, gastos de investigación, así como el mobiliario y demás enseres que se muestran en las fotografías no está incluido en el precio de renta.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-lindo-departamento-en-pb-en-renta-en-san-andres-147297349.html,"MN 10,500","1a. Cerrada del Cedral 4
San Andrés Totoltepec, Tlalpan","80 m² lote, 2 rec., 1 baño, 1 estac.",Tlalpan
