Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Excelente Departamento en Renta con Amenidades en Lago Chapala 26, Colonia Anahuac, Delegación Miguel Hidalgo, Ciudad de México. distribución. El departamento tiene una muy buena distribución que permite aprovechar perfectamente sus espacios, los cuales constan de 3 tres Recamaras, 2 dos Baños completos, estancia sala comedor, cocina equipada con barra desayunadora y área de lavado, cuenta con lugar de estacionamiento techado y por un costo extra se puede obtener uno o dos lugares adiconales aparte. Equipamientoel departamento cuenta con Interfono, Cocina integral con alacena, horno y estufa de encendido electrónico, calentador de agua (boiler) de paso de encendido electrónico, servicio de gas natural y un muy buen estado de conservación. Hay la posiblidad de entregarlo amueblado y equipado con costo adicional a convenir. ubicación dentro del desarrollo. Este bonito departamento, se ubica en 2 segundo piso y es interior (cuenta con elevador) , lo que le permite tener una tranquilidad lejos de los ruidos de la calle, pero con la comodidad de llegar rápidamente a través de su elevador. características del desarrollo. seguridadeste excelente departamento se encuentra en un Desarrollo Cuenta con Vigilancia las 24 horas del día, Circuito Cerrado de Televisión cctv, acceso controlado por biométricos vía huella digital de forma peatonal, o bien por tag adicional al corbatín, tarjetón o marbete en el acceso vehicular. También se cuenta con Alarma Sísmica, Alarma Vecinal, Botón de Pánico y Código Águila. serviciosel desarrollo cuenta con los servicios de una empresa de administración profesional con 3 residentes en la oficina dentro del condominio y personal de mantenimiento de planta, así como personal de limpieza con una plantilla de varias personas que da servicio los siete días de la semana y todo con mucha tranquilidad y Excelente ambiente familiar. Ubicación del desarrolloel desarrollo está super céntrico, se ubica en Lago Chapala 26, en la colonia Anáhuac de la delegación Miguel Hidalgo en la Ciudad de México y está a unas cuadras de la Torre de Pemex, el unitec de Marina Nacional, el Instituto Politécnico Nacional ipn en el casco de Santo Tomas, Anzures, Polanco. Muy cerca de colonia San Rafael, Cuauhtémoc, Juárez, Roma, Condesa vialidades cercanas. Circuito Interior, Reforma, Mariano Escobedo, Marina Nacional, Av. México Tacuba, Avenida de los Insurgentes Centro, Ejército Nacional, Rio San Joaquín, Aquiles Serdán, Cuitláhuac, Eje 1 Norte Álzate, Eje 2 Norte Eulalia Guzmán entre muchas otras. Amenidadesel conjunto cuenta con las mejores amenidades: Alberca Semi-Olímpica con parte techada y asoleadero, Chapoteadero, Vestidores, Jardín de 200 m2, salón de Eventos con capacidad para 200 personas (cuenta con cocina y bodega) , Salón de aerobics, Salón de spinning, Gimnasio super equipado, Sala de Tareas con computadoras e Internet inalámbrico (Business Center) , Sala de lectura Biblioteca, Salón de juegos para adultos con Billar (Pool y Carambola) , Pin Pon, Futbolito, Juegos de mesa y Juegos de casino. También cuenta con 2 canchas de Futbol 7, Sala de cine, Salón de Juegos Infantiles (Kids Club o Ludoteca) con Alberca de pelotas, tobogán y Juegos infantiles, Cancha deportiva multiusos, Auditorio-Cine con 50 butacas y Elevadores. Tendrás servicios de lujo a un precio muy accesible. centros comerciales cercanosplaza Galerías, Parques Plaza, Parques Polanco, Reforma 222, Plaza Antara, Plaza Carso, Fórum Buenavista, Pabellón Azcapotzalco, Marina Park y muchas mas. transportes cercanossitio de Taxis, Estaciones del Metro como Colegio Militar, Normal, Popotla, Rio San Joaquín, y el Metro Polanco, Rutas de Microbús a diferentes destinos como Toreo de 4 cuatro caminos, Pantitlán, Polanco, Defensa Nacional, metro Normal y muchas otras mas. servicios cercanos: Hospitales, Escuelas Públicas y Particulares de todos los niveles desde guarderías hasta universidades, Parques, Deportivos, Tiendas de Conveniencia, Farmacias, Panaderías, Tintorerías, Tortillerías, Tlapalerías, Papelerías, etc. Hospitales cercanos: Tiene muchos hospitales cercanos, como el Hospital General &quot;Dr. Ruben Leñero&quot;, El Hospital de La Mujer, El Centro Especializado en Control de Diabetes, La Escuela Superior de Medicina del Instituto Politécnico Nacional, Centro de Salud T-iii Dr. Manuel Gutierrez Zavala, Hospital Vertiz (en lago Garda) , El Hospital San Judas Tadeo (en Mar Tirreno) , Hospital San Felipe (Mar Mediterraneo) , Hospital Colonial (Mar Mediterraneo) , Centro Médico Tiber, (Rio Tiber) y algunos otros, como la Clinica 5 del imss en Marina Nacional, o la Clinica de Mamá del imss en Agustin Melgar, el Hospital Sanatorio Durango, El Hospital María José Roma, el Hospital Angeles Santamónica (Temistocles) , el Hospital Español (Cervantes Saavedra) , el Hospital Central Militar, el Hospital Pediatrico Legaria y el Hospital General Tacuba del issste, entre muchos otros. escuelas cercanas. Colegio Salesiano, Colegio Civilización A. C. , Escuela Primaria Estado de Hidalgo, Kinder Fray Francisco Aparicio, Colegio Inglés Michael Faraday, Jardín de Niños Maria Luisa de la Torre, Ex itam, Centro De Capacitación Artistica A. N. D. A. , Con este magnifico departamento, tendrás todo cerca y contarás con servicios de lujo a un precio muy accesible. *Disponibilidad, Precios, características y condiciones sujtas a cambio sin previo aviso por lo que deberá confirmarlas al momento de su visita, así como previo a la firma del contrato correspondiente. requisitos: * Fiador con bien raíz libre de gravamen (Indispensable) * Aprobar la investigación (Con Costo) * Contrato mínimo a 12 meses. * Depósito y un mes de renta por adelantado. Llama ahora para una cita antes que te lo ganen. ¡ ¡ ¡ llama ya! ! ! Empresa de intermediacion inmobiliaria. Compraventa, renta, remodelacion, construcción y administración de inmuebles. La información aquí proporcionada puede ser sujeta a cambio sin previo aviso y muestran únicamente una propuesta y de ninguna forma puede ser considerada vinculante, contractual o de forma alguna obligación de cumplir con cierto ofrecimiento. Las imágenes y contenido pueden estar sujetas a derechos de autor, por lo que no se autoriza de ninguna forma su uso fuera de este sitio ni para fines distintos a los que fue publicado. Para mayor información se recomienda contactar con un asesor que le brinde atención personalizada.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-en-venta-con-alberca-y-muchas-146705781.html,"MN 21,000","Lago Chapala 26 - Inch6301
Tlaxpana, Miguel Hidalgo","62 m² lote, 3 rec., 2 baños, 1 estac.",Tlaxpana
"Excelente Departamento en Renta con Amenidades en Lago Chapala 26, Colonia Anahuac, Delegación Miguel Hidalgo, Ciudad de México. distribución. El departamento tiene una muy buena distribución que permite aprovechar perfectamente sus espacios, los cuales constan de 3 tres Recamaras, 2 dos Baños completos, estancia sala comedor, cocina equipada con barra desayunadora y área de lavado, no cuenta con lugar de estacionamiento. Por un costo extra se puede obtener aparte equipamientoel departamento cuenta con Interfono, Cocina integral con alacena, horno y estufa de encendido electrónico, calentador de agua (boiler) de paso de encendido electrónico, servicio de gas natural y un muy buen estado de conservación. Hay la posiblidad de entregarlo amueblado y equipado con costo adicional a convenir. ubicación dentro del desarrollo. Este bonito departamento, se ubica en 2 segundo piso y es interior (cuenta con elevador) , lo que le permite tener una tranquilidad lejos de los ruidos de la calle, pero con la comodidad de llegar rápidamente a través de su elevador. características del desarrollo. seguridadeste excelente departamento se encuentra en un Desarrollo Cuenta con Vigilancia las 24 horas del día, Circuito Cerrado de Televisión cctv, acceso controlado por biométricos vía huella digital de forma peatonal, o bien por tag adicional al corbatín, tarjetón o marbete en el acceso vehicular. También se cuenta con Alarma Sísmica, Alarma Vecinal, Botón de Pánico y Código Águila. serviciosel desarrollo cuenta con los servicios de una empresa de administración profesional con 3 residentes en la oficina dentro del condominio y personal de mantenimiento de planta, así como personal de limpieza con una plantilla de varias personas que da servicio los siete días de la semana y todo con mucha tranquilidad y Excelente ambiente familiar. Ubicación del desarrolloel desarrollo está super céntrico, se ubica en Lago Chapala 26, en la colonia Anáhuac de la delegación Miguel Hidalgo en la Ciudad de México y está a unas cuadras de la Torre de Pemex, el unitec de Marina Nacional, el Instituto Politécnico Nacional ipn en el casco de Santo Tomas, Anzures, Polanco. Muy cerca de colonia San Rafael, Cuauhtémoc, Juárez, Roma, Condesa vialidades cercanas. Circuito Interior, Reforma, Mariano Escobedo, Marina Nacional, Av. México Tacuba, Avenida de los Insurgentes Centro, Ejército Nacional, Rio San Joaquín, Aquiles Serdán, Cuitláhuac, Eje 1 Norte Álzate, Eje 2 Norte Eulalia Guzmán entre muchas otras. Amenidadesel conjunto cuenta con las mejores amenidades: Alberca Semi-Olímpica con parte techada y asoleadero, Chapoteadero, Vestidores, Jardín de 200 m2, salón de Eventos con capacidad para 200 personas (cuenta con cocina y bodega) , Salón de aerobics, Salón de spinning, Gimnasio super equipado, Sala de Tareas con computadoras e Internet inalámbrico (Business Center) , Sala de lectura Biblioteca, Salón de juegos para adultos con Billar (Pool y Carambola) , Pin Pon, Futbolito, Juegos de mesa y Juegos de casino. También cuenta con 2 canchas de Futbol 7, Sala de cine, Salón de Juegos Infantiles (Kids Club o Ludoteca) con Alberca de pelotas, tobogán y Juegos infantiles, Cancha deportiva multiusos, Auditorio-Cine con 50 butacas y Elevadores. Tendrás servicios de lujo a un precio muy accesible. centros comerciales cercanosplaza Galerías, Parques Plaza, Parques Polanco, Reforma 222, Plaza Antara, Plaza Carso, Fórum Buenavista, Pabellón Azcapotzalco, Marina Park y muchas mas. transportes cercanossitio de Taxis, Estaciones del Metro como Colegio Militar, Normal, Popotla, Rio San Joaquín, y el Metro Polanco, Rutas de Microbús a diferentes destinos como Toreo de 4 cuatro caminos, Pantitlán, Polanco, Defensa Nacional, metro Normal y muchas otras mas. servicios cercanos: Hospitales, Escuelas Públicas y Particulares de todos los niveles desde guarderías hasta universidades, Parques, Deportivos, Tiendas de Conveniencia, Farmacias, Panaderías, Tintorerías, Tortillerías, Tlapalerías, Papelerías, etc. Hospitales cercanos: Tiene muchos hospitales cercanos, como el Hospital General &quot;Dr. Ruben Leñero&quot;, El Hospital de La Mujer, El Centro Especializado en Control de Diabetes, La Escuela Superior de Medicina del Instituto Politécnico Nacional, Centro de Salud T-iii Dr. Manuel Gutierrez Zavala, Hospital Vertiz (en lago Garda) , El Hospital San Judas Tadeo (en Mar Tirreno) , Hospital San Felipe (Mar Mediterraneo) , Hospital Colonial (Mar Mediterraneo) , Centro Médico Tiber, (Rio Tiber) y algunos otros, como la Clinica 5 del imss en Marina Nacional, o la Clinica de Mamá del imss en Agustin Melgar, el Hospital Sanatorio Durango, El Hospital María José Roma, el Hospital Angeles Santamónica (Temistocles) , el Hospital Español (Cervantes Saavedra) , el Hospital Central Militar, el Hospital Pediatrico Legaria y el Hospital General Tacuba del issste, entre muchos otros. escuelas cercanas. Colegio Salesiano, Colegio Civilización A. C. , Escuela Primaria Estado de Hidalgo, Kinder Fray Francisco Aparicio, Colegio Inglés Michael Faraday, Jardín de Niños Maria Luisa de la Torre, Ex itam, Centro De Capacitación Artistica A. N. D. A. , Con este magnifico departamento, tendrás todo cerca y contarás con servicios de lujo a un precio muy accesible. *Disponibilidad, Precios, características y condiciones sujtas a cambio sin previo aviso por lo que deberá confirmarlas al momento de su visita, así como previo a la firma del contrato correspondiente. requisitos: * Fiador con bien raíz libre de gravamen (Indispensable) * Aprobar la investigación (Con Costo) * Contrato mínimo a 12 meses. * Depósito y un mes de renta por adelantado. Llama ahora para una cita antes que te lo ganen. ¡ ¡ ¡ llama ya! !! Empresa de intermediacion inmobiliaria. Compraventa, renta, remodelacion, construcción y administración de inmuebles. La información aquí proporcionada puede ser sujeta a cambio sin previo aviso y muestran únicamente una propuesta y de ninguna forma puede ser considerada vinculante, contractual o de forma alguna obligación de cumplir con cierto ofrecimiento. Las imágenes y contenido pueden estar sujetas a derechos de autor, por lo que no se autoriza de ninguna forma su uso fuera de este sitio ni para fines distintos a los que fue publicado. Para mayor información se recomienda contactar con un asesor que le brinde atención personalizada.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-en-venta-con-alberca-y-muchas-146705663.html,"MN 19,000","Lago Chapala 26 - Inch6301
Tlaxpana, Miguel Hidalgo","62 m² lote, 3 rec., 2 baños",Tlaxpana
Departamento exterior en primer piso amueblado con lo basico pero indispensable para vivir comodamente: cocina con alacena. estufa con mesa desayunador. 2 recamaras. baño Y medio. muy iluminado con excelente vias de comunicación. Gas estacionario,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amplio-y-amueblado-en-calle-san-cosme-147294587.html,"MN 16,500","Manuel María Contreras 3
San Rafael, Cuauhtémoc","500 m² lote, 2 rec., 1 baño",Tlaxpana
"Departamento en renta en la colonia San Rafael, ideal para quien busca un espacio funcional y bien ubicado. Cuenta con 60 m² de superficie cubierta. Este departamento ofrece 1 recámara y 1 baño, perfecto para una persona o una pareja. La cocina integral facilita la preparación de alimentos, y el diseño interior optimiza el espacio disponible. El edificio cuenta con gimnasio y seguridad privada, brindando comodidad y tranquilidad a sus residentes. Además, dispone de 1 lugar de estacionamiento. La colonia San Rafael es una zona céntrica con fácil acceso a transporte público, incluyendo diversas líneas de autobuses. En sus alrededores se encuentran supermercados, farmacias y una variada oferta de restaurantes y comercios. La zona también cuenta con servicios de salud y centros educativos cercanos. Precio: $18, 000 mensuales, incluye mantenimiento. Requisitos: 2 meses de depósito en garantía, 1 mes de renta por adelantado y pago de fianza jurídica anual con valor de $6, 264. Citas e información: Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-amueblado-en-col.-san-rafael-64649248.html,"MN 18,000","Calle Guillermo Prieto
San Rafael, Cuauhtémoc","60 m² lote, 1 rec., 1 baño, 1 estac.",Tlaxpana
"Estrena departamento en renta totalmente amueblado, en la colonia San Rafael. El interior ofrece cocina integral moderna, sala comedor amplio y muy iluminado. El edificio ofrece amenidades como caseta de guardia, gimnasio, seguridad privada y espacio de co-working. Se admiten mascotas y cuenta con acceso para personas con discapacidad. Se entrega con persiana en la recamara y cancel de vidrio templado. Se entrega para habitar a partir del 1º de Octubre. San Rafael es una zona mixta, con un ambiente bohemio y una rica historia. Cuenta con acceso a diversas opciones de transporte público y vialidades importantes. En los alrededores encontrarás escuelas, supermercados, farmacias y bancos. Para el ocio, hay parques, restaurantes y centros culturales. La zona también cuenta con hospitales y clínicas cercanas. El ambiente general es tranquilo y familiar, con una vibra que atrae a artistas y jóvenes profesionales",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-1-recamara-en-renta-san-rafael-147332584.html,"MN 22,500","Serapio Rendon 21
San Rafael, Cuauhtémoc","50 m² lote, 1 rec., 1 baño",Tlaxpana
Asesora lorena castillo lc437. -Departamento completamente amueblado. -3 recámaras. -2 baños. -1 sala de tv que se puede ajustar para oficina o 4ta recámara abierta. -1 cajón de estacionamiento. -Mantenimiento y WiFi incluidos. -Pet friendly. - Comedor. - Sala de 2 piezas. - 2 Libreros. - 3 Clósets. - Refrigerador amplio. - Estufa. - Microondas. - 3 tvs. - 1 Cama matrimonial con base. - 1 Cama individual con base. requisitos. Póliza jurídica con fiador u obligado solidario. 1 depósito. 1 renta,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta.-san-rafael-cuauhtemoc-147380138.html,"MN 25,000","Calle Joaquín Velázquez de León
San Rafael, Cuauhtémoc","80 m² lote, 3 rec., 2 baños, 1 estac.",Tlaxpana
"Departamento nuevo 3 recámaras, 2 baños, 2 estacionamientos, descripción: Balcon amplio desde sala comedor hasta recámara principal, sala comedor con concina abierta barra de granito cocina equipada con estufa y campana, cuarto de lavado 2 recamaras tamaño matimonial, dos baños completos; uno en la recámara principal la cual cuenta con también con closet y salida al balcon mediante ventanal. 2 cajones de estacionamiento. Se encuentra en tercer nivel. El edificio cuanta con Roof garden comun equipado con Jacuzzi para 6 personas, fogata con sala y pantalla con internet alambrico, 2 asadores grandes uno de gas y otro de carbon, 2 mesas para 8 personas cada una barra con periqueras tipo antro, 2 baños uno mujeres y otro hombres, vigilancia privada 24 horas, cctv, Elevador. Requisitos Depósito, renta, 3 referencias personales, comprobantes ingreso nómina ó estados de cuenta bancarios ó declaraciones ante el sat, Fiador ó en su caso Póiza bancaria consto 6 mil pesos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-80-m-sup2--3-recamaras-2-banos-2-estacionamiento-144563973.html,"MN 25,000","Antonio caso 168
San Rafael, Cuauhtémoc","80 m² lote, 3 rec., 2 baños, 2 estac.",Tlaxpana
"• fachada Y entrada remodeladas. • amplio departamento de 85 mtrs. • 3 recamaras grandes con closet. • 2 baños completos. • area de lavado. • 2 lugares de estacionamiento. • 4to piso con elevador. • interior con excelente iluminacion Y ventilacion. • vigilancia las 24 hrs Y jaula de tendido. • antigÜedad 17 años. • roof garden comun con asdador. • excelente ubicación (A 2 cuadras de reforma Y media cuadra del sullivan. . Jaula de tendido en la azotea. . Se aceptan mascotas pequeñas. la renta incluye mantenimiento 2, 600 mensuales. el departamento tambien esta A la venta",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-3-recamaras-col-san-rafael-147144705.html,"MN 20,999","Calle Jose Rosas Moreno
San Rafael, Cuauhtémoc","85 m² lote, 3 rec., 2 baños, 2 estac.",Tlaxpana
"Loft de 80 M2, 1 Recamará tamaño King size con Vestidor muy amplio y 2 baños completos con cancel de vidrio templado ambos; sala comedor, Cocina abierta equipada, closet de lavado. Decorado con excelente gusto. Ubicado en sexto piso con balcón de 7 M2. Interphone. Con 2 estacionamientos. El Edificio tiene elevador y cuenta con Roof Garden con amenidades (Jacuzzi, Fogata con sala alrededor, 2 televisiones con internet, Asadores 1 de carbón y 1 de gas, 2 mesas para eventos, barra de servicio con tarja, dos baños uno para mujeres y otro para hombres. Vigilancia Privada 2 guardias 24 x 24, Videovigilancia cctv. Ubicado en Antonio Caso, cerca de Plaza de las Estrellas, Reforma, Insurgentes, Polanco, parques cercanos, teatros, gimnasios, escuelas, restaurantes, bancos, centros comerciales, supermercados. Varias rutas viales como Circuito Interior, Reforma, Insurgentes. Zona muy segura.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-loft-de-80-m-sup2--de-una-rec-amplio-balcon-7-147209136.html,"MN 23,000","Calle Maestro Antonio Caso 168
San Rafael, Cuauhtémoc","80 m² lote, 1 rec., 2 baños, 1 estac.",Tlaxpana
"Se renta loft amueblado nuevo, 60m2, 1 recámara amplia con clóset muy amplio y vestidor, 2 baños completos, cocina integral, lava secadora, refrigerador, horno, electrodomésticos, vajilla y blancos. No cuenta con lugar de estacionamiento. 1er piso, elevador. Se aceptan mascotas. Amenidades: Alberca, gimnasio, salón de yoga, salón de billar, salón de usos múltiples con salas para hacer home office y lobby con vigilancia las 24 horas. Requisitos: Mes de renta, mes de depósito y aval o póliza jurídica. Renta de 18, 000 más mantenimiento de 2, 879 pesos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-amueblado-col.-san-rafael-147402138.html,"MN 18,000","Ignacio Manuel Altamirano 7
San Rafael, Cuauhtémoc","60 m² lote, 1 rec., 2 baños",Tlaxpana
