Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Departamento en renta en piso 6, Residencial Cittá San Jerónimo, al sur de la Ciudad de México, a un lado de la Universidad Anáhuac del Sur y con acceso inmediato a Santa Fe, San Jerónimo y vías principales. Cuenta con 2 recámaras; la principal con baño completo y walking closet, 2 baños con cancelería de cristal templado, cocina integral abierta con barra de granito, sala-comedor con excelente iluminación natural, y vista al jardin central, área de lavado y 2 lugares de estacionamiento techados. El desarrollo ofrece seguridad 24/7 y una amplia gama de amenidades: alberca climatizada, jacuzzi, gimnasio, sauna, vapor, jogging track, salón de fiestas con jardín, salones para adultos y jóvenes, ludoteca, área de mascotas, asadores, jardines, elevadores y estacionamiento para visitas. Una excelente opción para quienes buscan vivir con confort, plusvalía y cercanía a servicios, escuelas, hospitales, parques y centros comerciales.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-citta-san-jeronimo-alvaro-147356681.html,"MN 21,000","Av. de las Torres 805
Torres de Potrero, Alvaro Obregón","78 m² lote, 2 rec., 2 baños, 2 estac.",Torres de Potrero
"Departamento en renta en Torre D, piso 4; De 127 metros cuadrados. Conjunto ubicado junto a la entrada-salida de la Supervía Poniente a la altura de Av. De las Torres. Se puede llegar a la Universidad Anáhuac caminando a 5 minutos. Cocina integral abierta, equipada con estantes en la parte de arriba de la tarja y de la barra desayunador, sala-comedor, 3 recámaras, 3 baños completos, 3 lugares de estacionamiento cubiertos y Area de T. V. Mantenimiento incluido. El conjunto cuenta con cajones de estacionamiento para visitas. Todo el conjunto es muy seguro, con vigilancia las 24/7 y huella de acceso en el ingreso a la torre. Como áreas comunes tiene grandes jardines, asadores, área de mascota, gimnasio, alberca techada y diversos salones, ludoteca, juegos infantiles, pista de jogging de 1 km, salón para eventos. Estacionamientos techados para visitas, facilidad para estacionarse, Circuito cerrado, 2 Elevadores, doble filtro de seguridad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-citta-san-jeronimo.-se-renta-departamento-torre-d-146673252.html,"MN 28,500","Av de las Torres 805
Torres de Potrero, Alvaro Obregón","127 m² lote, 3 rec., 3 baños, 2 estac.",Torres de Potrero
"[arr] id houm: Ver datos. Entérate de todos los beneficios al rentar con Houm: • No te pedimos aval. • Asistencia e intermediación con el propietario. • Firma tu contrato online. • Renta sin burocracia, papeleos y mucho más rápido. • Difiere tu depósito en hasta 6 meses sin interés. Departamento en renta, ubicado en la colonia Torres de Potrero, con una superficie construida de 110. 00 m² y superficie total de 110. 00 m². Dispone de un acogedor cuarto de tv perfecto para el entretenimiento en casa. Además, ofrece estacionamiento propio para bicicleta y motocicleta, brindando comodidad y seguridad para tus medios de transporte. ¡Una excelente opción para vivir con todo lo necesario! Sus principales características son: • Amueblado. • 2 recámaras. • 2 baños. • Admite mascotas. • 2 estacionamientos. • Año de construcción: 2017. • Bodega. Además, el inmueble cuenta con las siguientes amenidades: • Salón de eventos. • Elevador. • Zona de juegos. • Gimnasio. • Zona de asadores. Si rentas con nosotros, te brindamos asesoría personalizada durante todo el proceso. Importante: • Se deben demostrar ingresos de 3 veces el valor de la renta. • En caso de que tus ingresos no lleguen a 3 veces el valor de la renta, estos pueden ser la suma de las personas que vivirán en la propiedad. • Te invitamos a agendar una visita a esta propiedad: esta puede ser presencial o vía streaming, desde la comodidad de tu hogar. • Y lo mejor. Sin aval. Más que una corredora, somos Houm. *Aplican T&C",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-torres-de-potrero-con-2-recamaras-147103229.html,"MN 36,000","Avenida de las Torres
Torres de Potrero, Alvaro Obregón","110 m² lote, 2 rec., 2 baños, 2 estac.",Torres de Potrero
"Precio renta 24, 500. 00. 70 m2 de construcción. • 2 recámaras. • 2 baños completos. • 2 lugares de estacionamiento. • Piso 17. • 5 años. amenidades. • Alberca vapor sauna. • Gimnasio regaderas. • Salón de usos múltiples. • Zona de asadores. • Áreas verdes. • Ludoteca. • Salón de adultos y niños. • Áreas para mascotas. • Seguridad 24hrs. informes. *Arturo Vizcaíno 56 Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-en-renta-citta-san-jeronimo-147310533.html,"MN 24,500","Av. de las Torres 805
San José del Olivar, Alvaro Obregón","70 m² lote, 2 rec., 2 baños, 2 estac.",Torres de Potrero
"Casa nueva, ubicada en en el pueblo de San Bartolo Ameyalco. (Por Rancho San Francisco). Casita moderna construida en 3 niveles. Consta de planta baja con estancia sala comedor, con cocina con espacio para un antecomedor, subiendo en primer piso tiene una habitación amplia, closet y un baño completo y en latercera planta, tiene el roof garden privado, con área para lavado. Estacionamiento para un automovil",https://www.inmuebles24.com/propiedades/clasificado/alclapin-casa-de-lujo-en-renta-de-una-habitacion-roof-garden-147352473.html,"MN 13,500","Avenida Hidalgo 14
San Bartolo Ameyalco, Alvaro Obregón","90 m² lote, 1 rec., 1 baño, 1 estac.",Torres de Potrero
"Este depa esta en la torre B, tiene una excelente terraza (15 metros) de muy buen tamaño con vistas verdes, lindisimos pisos de madera y cocina abierta. Las recamaras tienen grandes ventanales, les entra mucha luz, cada una con su baño, la principal con vestidor. Ademas área de lavandería. Excelentes áreas comunes: alberca, gimnasio, salón de adolescentes y de fiestas, pista para correr, ludoteka, etc. Ya incluye mantenimiento. No bodega. EasyBroker: eb-jh7089",https://www.inmuebles24.com/propiedades/clasificado/alclapin-santa-fe-3-cumbres-79343578.html,"MN 49,000","Av. de los Poetas 89
San Bartolo Ameyalco, Alvaro Obregón","200 m² lote, 3 rec., 3 baños, 2 estac.",Torres de Potrero
"Se renta espectacular departamento con vista al bosque. 240 mts habitables. 15 mts terraza. 2445total. 3 Amplias Recamaras con baño Y vestidor cada una. Sala con vista espectacular al bosque. Comedor con terraza. Cocina. Estudio. Sala de tv. 3 estacionamientos. 1 bodega. Cuarto de servicio. Elevador directo al departamento. Acabados: pisos en madera de ingeniera, mármol, granito, calefacción, canceles, closet etc. Amenidades: un bosque de 6 hectareas con una casa club ""el castillo de Artigas donde se encuentra: alberca, gym, spa, restaurante, bar, biblioteca kids club, teens club, cancha de tenis, area de mascotas, salon de eventos. seguridad 24/7.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-bosque-6060-alvaro-obregon-rancho-san-147297959.html,"MN 65,000","Bosque
San Bartolo Ameyalco, Alvaro Obregón","253 m² lote, 3 rec., 4 baños, 3 estac.",Torres de Potrero
"¡Vive con estilo en Citta San Jerónimo! ¿Buscas un hogar listo para habitar, con diseño a la medida y cada detalle pensado para tu comodidad? Te presento este increíble departamento amueblado en renta: Citta San Jerónimo. 110 m² 2 habitaciones Cuarto de Tv. 2 baños completos. $35, 000 Mxn al mes. Completamente amueblado con mobiliario a la medida, decoración de diseñador y acabados de alta gama. Lo mejor de este depa: •Recámara principal con cama King Size, Smart Tv Lg 65” y decoración de lujo. •Cuarto de Tv ideal para relajarte, también con pantalla de 65” •Cocina equipada electrodomésticos Lg. •Sala y comedor con muebles elegantes y tapetes de diseño. •Cerradura electrónica para tu seguridad. •¡Cada espacio está pensado para enamorarte! Ubicado a lado de la Universidad Anahuac campus sur a 10 minutos de Santa Fe y Pedregal con acceso a 2 min a la supervia poniente. Solo trae tu maleta… ¡ya está listo para ti! Mándame un mensaje para más info o agenda tu visita hoy mismo.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-citta-san-jeronimo:-departamento-en-renta-en-san-jose-146709966.html,"MN 35,500","Citta San Jerónimo
San José del Olivar, Alvaro Obregón","110 m² lote, 2 rec., 2 baños, 2 estac.",Torres de Potrero
"Ubicada en una pequeña, arbolada privada de casas y departamentos, en la calle Hidalgo, en el pueblo de San Bartolo Ameyalco. (A solo 700m de Rancho San Francisco). Pequeña casita en renta distribuida en dos plantas, planta baja con estancia y cocina, en la planta alta se encuentra la recamara con un baño completo. Tiene espacio para poner la lavadora, estacionamiento para un auto.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-casita-estudio-de-una-habitacion-62788581.html,"MN 10,000","Hidalgo 14, san Bartolo Ameyalco
San Bartolo Ameyalco, Alvaro Obregón","55 m² lote, 1 rec., 1 baño, 1 estac.",Torres de Potrero
"*Bonita habitación de 20m2 con baño propio, ubicada dentro de una acogedora casa. El espacio ofrece privacidad y comodidad, ideal para 1 persona que busca un lugar tranquilo para descansar. Ubicada cerca de la Supervía Poniente, en San Bartolo Ameyalco, ofrece una combinación de tranquilidad y accesibilidad, ideal para quienes buscan un espacio confortable y bien conectado en la ciudad. A 5 minutos del tec de Monterrey, para desplazarte a la zona corporativa y escolar más importante de la ciudad. No Incluye Estacionamiento. *no se aceptan mascotas. La renta incluye: agua, luz, gas e internet y cocina compartida. El estudio se encuentra en una casa. Disponible para inicio de contrato 1 de mayo de 2025",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-habitacion-en-san-bartolo-ameyalco-144549693.html,"MN 7,500","Aguatitla 33, San Bartolo Ameyalco
San Bartolo Ameyalco, Alvaro Obregón","20 m² lote, 1 rec., 1 baño",Torres de Potrero
